Repeaters, primary, female (% of female enrollment)	Repeaters, primary, male (% of male enrollment)	Repeaters, primary, total (% of total enrollment)	Trained teachers in primary education, female (% of female teachers)	Trained teachers in primary education, male (% of male teachers)	Trained teachers in primary education (% of total teachers)	Primary education, teachers	Primary education, teachers (% female)	Total enrollment, primary (% net)	Total enrollment, primary, female (% net)	Total enrollment, primary, male (% net)	Children out of school, primary	Children out of school, primary, female	Children out of school, primary, male	Secondary school starting age (years)	Secondary education, duration (years)	Secondary education, pupils	Secondary education, pupils (% female)	Secondary education, general pupils	Secondary education, general pupils (% female)	Pupil-teacher ratio, secondary	Secondary education, vocational pupils	Secondary education, vocational pupils (% female)	School enrollment, secondary (% gross)	School enrollment, secondary, female (% gross)	School enrollment, secondary, male (% gross)	School enrollment, secondary (% net)	School enrollment, secondary, female (% net)	School enrollment, secondary, male (% net)	School enrollment, secondary, private (% of total secondary)	Progression to secondary school, female (%)	Progression to secondary school, male (%)	Progression to secondary school (%)	Repeaters, secondary, female (% of female enrollment)	Repeaters, secondary, male (% of male enrollment)	Repeaters, secondary, total (% of total enrollment)	Secondary education, teachers	Secondary education, teachers, female	Secondary education, teachers (% female)	School enrollment, tertiary (% gross)	School enrollment, tertiary, female (% gross)	School enrollment, tertiary, male (% gross)	Tertiary education, teachers (% female)	Expenditure per student, primary (% of GDP per capita)	Expenditure per student, secondary (% of GDP per capita)	Expenditure per student, tertiary (% of GDP per capita)	Public spending on education, total (% of government expenditure)	Public spending on education, total (% of GDP)	Female legislators, senior officials and managers (% of total)	Proportion of seats held by women in national parliaments (%)	Condom use, population ages 15-24, female (% of females ages 15-24)	Condom use, population ages 15-24, male (% of males ages 15-24)	Women's share of population ages 15+ living with HIV (%)	Prevalence of HIV, total (% of population ages 15-49)	Mortality rate, female child (per 1,000 female children age one)	Mortality rate, male child (per 1,000 male children age one)	Mortality rate, under-5 (per 1,000 live births)	Mortality rate, neonatal (per 1,000 live births)	Improved water source, rural (% of rural population with access)	Improved water source, urban (% of urban population with access)	Improved water source (% of population with access)	Children (0-14) living with HIV	Prevalence of HIV, female (% ages 15-24)	Prevalence of HIV, male (% ages 15-24)	Antiretroviral therapy coverage (% of people with advanced HIV infection)	Immunization, DPT (% of children ages 12-23 months)	Immunization, measles (% of children ages 12-23 months)	Hospital beds (per 1,000 people)	Community health workers (per 1,000 people)	Nurses and midwives (per 1,000 people)	Physicians (per 1,000 people)	Notified cases of malaria (per 100,000 people)	Use of insecticide-treated bed nets (% of under-5 population)	Children with fever receiving antimalarial drugs (% of children under age 5 with fever)	Number of maternal deaths	Lifetime risk of maternal death (1 in: rate varies by country)	Lifetime risk of maternal death (%)	Smoking prevalence, females (% of adults)	Smoking prevalence, males (% of adults)	Improved sanitation facilities (% of population with access)	Improved sanitation facilities, rural (% of rural population with access)	Improved sanitation facilities, urban (% of urban population with access)	Pregnant women receiving prenatal care (%)	ARI treatment (% of children under 5 taken to a health provider)	Exclusive breastfeeding (% of children under 6 months)	Births attended by skilled health staff (% of total)	Low-birthweight babies (% of births)	Malnutrition prevalence, weight for age (% of children under 5)	Maternal mortality ratio (modeled estimate, per 100,000 live births)	Maternal mortality ratio (national estimate, per 100,000 live births)	Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding)	Prevalence of overweight (% of children under 5)	Malnutrition prevalence, height for age (% of children under 5)	Prevalence of wasting (% of children under 5)	Tuberculosis treatment success rate (% of registered cases)	Tuberculosis case detection rate (%, all forms)	Incidence of tuberculosis (per 100,000 people)	Newborns protected against tetanus (%)	Outpatient visits per capita	External resources for health (% of total expenditure on health)	Income
6.47169	8.29859	7.40515	100	100	100	586	84.12969	99.69469	99.88447	99.50778	26	5	21	12	5	7342	50.23154	6200	52.69355	13.80075	1142	36.86515	89.63497	89.97316	89.29619	NaN	NaN	NaN	91.77336	NaN	NaN	NaN	NaN	NaN	NaN	532	315	59.21053	30.69424	34.62338	26.65063	53.57143	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	100	100	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
2.33	2.51767	2.4273	100	100	100	453	79.69095	NaN	NaN	NaN	1092	509	583	12	6	4059	48.28776	3692	48.13109	NaN	367	49.86376	86.87928	88.92922	85.04862	74.37928	74.63702	74.14911	2.04484	NaN	NaN	NaN	5.74001	7.88512	6.85265	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.50095	12.86209	NaN	NaN	2.93861	NaN	35.7	NaN	NaN	NaN	NaN	NaN	NaN	3.5	1	100	100	100	NaN	NaN	NaN	NaN	99	99	NaN	NaN	4.574	3.912	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	100	100	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	110	7.4	NaN	NaN	0	3
NaN	NaN	NaN	NaN	NaN	NaN	118858	31.00002	NaN	NaN	NaN	NaN	NaN	NaN	13	6	2044157	32.00865	2032719	32.15398	NaN	NaN	6.18115	45.53538	30.23415	59.77772	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.7	NaN	NaN	NaN	NaN	NaN	NaN	103.9	36.8	42	78	50	NaN	NaN	NaN	NaN	66	62	0.4	NaN	0.5	0.21	NaN	NaN	NaN	6400	32	3.078417534	NaN	NaN	37	30	60	NaN	NaN	NaN	NaN	NaN	NaN	460	NaN	NaN	NaN	NaN	NaN	NaN	47	189	NaN	NaN	31.99360548	0
11.69095	10.16262	10.84637	NaN	NaN	NaN	93379	NaN	85.65122	78.20512	93.06373	492581	373254	119327	12	6	850334	40.7975	487529	46.27868	38.67264	362805	33.43173	31.30734	25.48391	37.15886	NaN	NaN	NaN	10.58419	NaN	NaN	NaN	NaN	NaN	NaN	21988	NaN	NaN	3.70984	3.33515	4.09214	28.74948	NaN	NaN	NaN	8.52119	3.3755	NaN	38.6	NaN	NaN	NaN	NaN	NaN	NaN	161	43.8	38	60	51	NaN	NaN	NaN	NaN	91	93	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3600	39	2.592020808	NaN	NaN	58	19	85	NaN	NaN	NaN	NaN	NaN	NaN	450	NaN	NaN	NaN	NaN	NaN	NaN	77	304	NaN	NaN	2.879261929	2
0.81278	1.10975	0.9685	NaN	NaN	NaN	11409	81.77754	78.77471	79.05077	78.52266	43234	20366	22868	11	7	355871	47.79232	335865	48.7955	14.77747	20006	30.95071	88.94151	87.78452	90.02772	NaN	NaN	NaN	6.14436	NaN	NaN	NaN	NaN	NaN	NaN	24082	14951	62.08371	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.4	NaN	NaN	NaN	NaN	NaN	NaN	15	7.5	94	96	95	NaN	NaN	NaN	NaN	99	99	NaN	NaN	3.896	1.153	NaN	NaN	NaN	11	2200	0.044576912	NaN	NaN	94	93	95	NaN	NaN	NaN	NaN	NaN	NaN	27	NaN	NaN	NaN	NaN	NaN	NaN	97	14	NaN	NaN	1.835310836	1
1.89932	2.0941	1.99946	100	100	100	19401	86.41307	NaN	NaN	NaN	NaN	NaN	NaN	11	7	336652	49.51226	335012	49.75464	12.42442	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	56.4684	NaN	NaN	NaN	2.23777	3.76943	3.00735	27096	17514	64.63685	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.5	NaN	NaN	NaN	NaN	NaN	NaN	7	4.2	100	100	100	NaN	NaN	NaN	NaN	94	94	NaN	NaN	4.09	1.93	NaN	NaN	NaN	11	4000	0.024928314	NaN	NaN	98	95	98	NaN	NaN	NaN	NaN	NaN	NaN	12	NaN	NaN	NaN	NaN	NaN	NaN	57	3.1	NaN	NaN	0	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38.5	NaN	NaN	NaN	NaN	NaN	NaN	14.5	7.7	NaN	98	NaN	NaN	NaN	NaN	NaN	94	99	4.5	NaN	NaN	3.21	NaN	NaN	NaN	530	560	0.179821813	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	77	NaN	NaN	NaN	NaN	NaN	NaN	66	27	NaN	NaN	0.066228423	2
0.18885	0.18051	0.18439	NaN	NaN	NaN	NaN	NaN	79.52924	81.06456	78.22326	23386	9943	13443	10	7	281424	48.1789	275806	48.65775	6.6666	5618	24.6707	92.04443	93.14085	91.04797	86.27595	87.67689	85.00275	1.42952	NaN	NaN	NaN	0.07302	0.10734	0.09064	42214	35588	84.30379	51.52984	57.94499	45.19867	55.91113	16.44982	17.81974	7.45684	NaN	3.21055	NaN	9.2	NaN	NaN	NaN	NaN	NaN	NaN	18.3	11.5	97	99	98	NaN	NaN	NaN	NaN	94	97	NaN	NaN	4.818	3.762	NaN	NaN	NaN	14	1700	0.057411128	NaN	NaN	90	80	95	99.1	56.8	34.6	99.5	NaN	5.3	30	NaN	NaN	16.8	20.8	4.2	NaN	62	73	NaN	NaN	14.28572687	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	75	7.8	NaN	NaN	NaN	2
5.66923	8.21664	7.01084	54.60993	57.14286	54.75234	747	94.37751	87.8326	NaN	NaN	1349	853	496	12	5	8436	51.1854	7841	51.42201	12.15562	595	48.06723	105.43682	106.01522	104.83707	84.92688	84.58139	85.28513	18.27881	NaN	NaN	NaN	7.26687	9.8451	8.51932	694	498	71.75793	16.36364	23.17631	8.99563	61.84971	NaN	NaN	NaN	NaN	NaN	NaN	10.5	NaN	NaN	NaN	NaN	NaN	NaN	8.1	4.4	NaN	95	NaN	NaN	NaN	NaN	NaN	98	98	2.2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	98	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	140	4.9	NaN	NaN	0.128534149	2
