Repeaters, primary, female (% of female enrollment)	Repeaters, primary, male (% of male enrollment)	Repeaters, primary, total (% of total enrollment)	Trained teachers in primary education, female (% of female teachers)	Trained teachers in primary education, male (% of male teachers)	Trained teachers in primary education (% of total teachers)	Primary education, teachers	Primary education, teachers (% female)	Total enrollment, primary (% net)	Total enrollment, primary, female (% net)	Total enrollment, primary, male (% net)	Children out of school, primary	Children out of school, primary, female	Children out of school, primary, male	Secondary school starting age (years)	Secondary education, duration (years)	Secondary education, pupils	Secondary education, pupils (% female)	Secondary education, general pupils	Secondary education, general pupils (% female)	Pupil-teacher ratio, secondary	Secondary education, vocational pupils	Secondary education, vocational pupils (% female)	School enrollment, secondary (% gross)	School enrollment, secondary, female (% gross)	School enrollment, secondary, male (% gross)	School enrollment, secondary (% net)	School enrollment, secondary, female (% net)	School enrollment, secondary, male (% net)	School enrollment, secondary, private (% of total secondary)	Progression to secondary school, female (%)	Progression to secondary school, male (%)	Progression to secondary school (%)	Repeaters, secondary, female (% of female enrollment)	Repeaters, secondary, male (% of male enrollment)	Repeaters, secondary, total (% of total enrollment)	Secondary education, teachers	Secondary education, teachers, female	Secondary education, teachers (% female)	School enrollment, tertiary (% gross)	School enrollment, tertiary, female (% gross)	School enrollment, tertiary, male (% gross)	Tertiary education, teachers (% female)	Expenditure per student, primary (% of GDP per capita)	Expenditure per student, secondary (% of GDP per capita)	Expenditure per student, tertiary (% of GDP per capita)	Public spending on education, total (% of government expenditure)	Public spending on education, total (% of GDP)	Female legislators, senior officials and managers (% of total)	Proportion of seats held by women in national parliaments (%)	Condom use, population ages 15-24, female (% of females ages 15-24)	Condom use, population ages 15-24, male (% of males ages 15-24)	Women's share of population ages 15+ living with HIV (%)	Prevalence of HIV, total (% of population ages 15-49)	Mortality rate, female child (per 1,000 female children age one)	Mortality rate, male child (per 1,000 male children age one)	Mortality rate, under-5 (per 1,000 live births)	Mortality rate, neonatal (per 1,000 live births)	Improved water source, rural (% of rural population with access)	Improved water source, urban (% of urban population with access)	Improved water source (% of population with access)	Children (0-14) living with HIV	Prevalence of HIV, female (% ages 15-24)	Prevalence of HIV, male (% ages 15-24)	Antiretroviral therapy coverage (% of people with advanced HIV infection)	Immunization, DPT (% of children ages 12-23 months)	Immunization, measles (% of children ages 12-23 months)	Hospital beds (per 1,000 people)	Community health workers (per 1,000 people)	Nurses and midwives (per 1,000 people)	Physicians (per 1,000 people)	Notified cases of malaria (per 100,000 people)	Use of insecticide-treated bed nets (% of under-5 population)	Children with fever receiving antimalarial drugs (% of children under age 5 with fever)	Number of maternal deaths	Lifetime risk of maternal death (1 in: rate varies by country)	Lifetime risk of maternal death (%)	Smoking prevalence, females (% of adults)	Smoking prevalence, males (% of adults)	Improved sanitation facilities (% of population with access)	Improved sanitation facilities, rural (% of rural population with access)	Improved sanitation facilities, urban (% of urban population with access)	Pregnant women receiving prenatal care (%)	ARI treatment (% of children under 5 taken to a health provider)	Exclusive breastfeeding (% of children under 6 months)	Births attended by skilled health staff (% of total)	Low-birthweight babies (% of births)	Malnutrition prevalence, weight for age (% of children under 5)	Maternal mortality ratio (modeled estimate, per 100,000 live births)	Maternal mortality ratio (national estimate, per 100,000 live births)	Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding)	Prevalence of overweight (% of children under 5)	Malnutrition prevalence, height for age (% of children under 5)	Prevalence of wasting (% of children under 5)	Tuberculosis treatment success rate (% of registered cases)	Tuberculosis case detection rate (%, all forms)	Incidence of tuberculosis (per 100,000 people)	Newborns protected against tetanus (%)	Outpatient visits per capita	External resources for health (% of total expenditure on health)	Income
7.67107	9.83268	8.77767	100	97.14286	99.47552	572	81.64336	98.28429	97.45652	99.11044	158	117	41	12	5	7439	50.38312	6311	52.68579	14.361	1128	37.5	96.2479	95.70991	96.80042	70.78535	72.52298	69.00079	92.24358	96.86684	91.78385	94.32203	11.6391	11.95579	11.78894	518	282	54.44015	30.50255	36.11667	24.6734	45.7265	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	100	100	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
0	0	0	100	100	100	413	76.02906	84.46804	84.68941	84.26698	866	430	436	12	6	3843	49.93495	3597	49.9583	NaN	246	49.5935	89.43449	93.97649	85.32151	77.70538	81.14594	74.5898	3.69503	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.72593	10.45655	9.01246	39.50617	12.03954	12.27574	36.27816	NaN	2.74799	NaN	28.6	NaN	NaN	NaN	NaN	NaN	NaN	4	1.1	100	100	100	NaN	NaN	NaN	NaN	93	91	2.6	NaN	3.87	3.64	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	100	100	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	75	140	11	NaN	NaN	0	3
NaN	NaN	NaN	NaN	NaN	NaN	110313	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13	6	1006841	25.40252	NaN	NaN	NaN	NaN	NaN	25.74217	13.57739	37.04437	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.3	NaN	NaN	NaN	NaN	NaN	NaN	116.3	39.2	39	72	46	NaN	NaN	NaN	NaN	58	53	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35	29	58	30.3	NaN	83	18.9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	84	47	189	88	NaN	29.3679105	0
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10	7	458111	NaN	308338	NaN	NaN	149773	NaN	15.70518	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.89983	NaN	NaN	NaN	NaN	41.68302	80.43032	4.41192	2.64607	NaN	15	NaN	NaN	NaN	1.9	NaN	NaN	175.6	45.7	39	57	49	20000	NaN	NaN	9	44	48	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52	16	82	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18	110	281	80	NaN	9.126972958	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.1	NaN	NaN	NaN	NaN	NaN	NaN	18.7	9	94	98	96	NaN	NaN	NaN	NaN	97	95	2.9692	NaN	4.05	1.15	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	91	87	95	NaN	NaN	39.5	99	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	90	86	17	87	1.48	3.948533683	1
1.6504	2.25377	1.96085	NaN	NaN	NaN	17596	84.218	95.56532	97.71947	93.59735	11584	2844	8740	11	7	298447	48.95911	296972	49.20228	12.33252	1475	NaN	92.31814	93.0101	91.66401	81.04002	81.61975	80.49199	45.64898	98.29285	98.03373	98.15879	2.66499	5.93882	4.32802	24200	13267	54.82231	NaN	NaN	NaN	NaN	3.98159	5.56935	NaN	26.13966	0.8357	10	0	NaN	NaN	NaN	NaN	NaN	NaN	8.7	5.2	100	100	100	NaN	NaN	NaN	NaN	92	92	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	97	95	98	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	79	44	4.4	NaN	NaN	0	3
5.32806	7.72974	6.55836	NaN	NaN	NaN	286782	88.2932	NaN	NaN	NaN	NaN	NaN	NaN	12	6	3481085	52.11099	NaN	NaN	12.75571	NaN	NaN	84.74957	89.70172	79.94684	NaN	NaN	NaN	27.9377	NaN	NaN	NaN	NaN	NaN	NaN	272904	188586	69.10342	67.08708	81.22513	53.32036	53.15329	13.17944	20.2606	14.20866	13.96679	4.51593	23.12020148	35	NaN	NaN	NaN	0.4	NaN	NaN	16.7	9	80	98	96	NaN	NaN	NaN	69	94	97	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	90	77	91	NaN	NaN	NaN	99.4	7.1	NaN	NaN	48	NaN	NaN	NaN	NaN	63	75	32	NaN	NaN	0.086491291	2
0.23408	0.14353	0.18683	NaN	NaN	NaN	5720	98.91608	91.70437	93.14863	90.42135	10120	3932	6188	10	7	355790	49.56604	354261	49.65717	8.31169	1529	28.44997	89.77885	91.15301	88.46812	85.88353	87.43868	84.40016	1.25917	99.75011	98.40196	99.0528	0.16997	0.34035	0.25574	42806	35646	83.27337	31.75293	34.42692	29.0491	46.38917	NaN	NaN	NaN	14.99136	2.71577	24	5.3	NaN	NaN	NaN	0.1	NaN	NaN	22.3	13.5	91	99	96	NaN	NaN	NaN	7	87	92	4.4	NaN	4.92	3.7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	89	79	95	NaN	NaN	NaN	99.7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	69	80	72	NaN	2.77	16.20898158	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	75	8.3	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.5	NaN	NaN	NaN	NaN	NaN	NaN	10.4	5.6	NaN	95	NaN	NaN	NaN	NaN	NaN	99	99	2.4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	98	99.9	NaN	NaN	99.9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	88	5.4	NaN	NaN	0.164997482	2
