"time_s1.0"	"time_b1.0"	"time_s1.1"	"time_b1.1"	"mean_conntime"	"stdev_conntime"	"mean_reqtime"	"stdev_reqtime"	"time_addit"	"ser_1.1"	"burst_1.1"	"getall"	"http_vers"	"conn_b1.1"	"conn_s1.1"	"servers"	"size"	"retrieved"	"objects"	"size_ob1"
0.979	0.849	0.754	0.817	0.165	0.031	0.212	0.044	0	0.605	0.652	0.982	1.1	1	1	1	5490	2	2	955
12.563	8.403	6.88	4.354	0.23	0.023	0.263	0.035	1.161	6.619	4.106	4.602	1.1	1	1	1	54502	12	12	18406
7.539	1.266	0.909	0.846	3.43	4.422	0.323	0.059	0	0.663	0.558	1.134	1.1	1	1	2	3833	2	3	1137
2.198	4.063	2.838	1.229	0.233	0.079	0.306	0.047	0	2.559	0.9	1.558	1.1	1	1	1	10680	3	3	1059
42.61	15.716	34.334	24.418	0.794	1.252	0.451	0.682	0.656	34.084	24.146	24.69	1.1	1	2	1	82047	18	18	8190
1.567	0.854	0.897	0.752	0.187	0.023	0.204	0.021	0	0.743	0.591	0.913	1.1	1	1	2	6820	4	5	1290
68.195	16.396	29.319	15.156	0.875	1.963	0.768	1.198	4.774	29.027	14.922	15.39	1.1	1	1	1	51342	30	30	14609
25.309	12.87	15.603	10.063	0.513	0.769	0.348	0.055	0.663	15.337	9.753	10.373	1.1	2	2	1	107352	15	15	10466
2.84	1.738	2.383	1.397	0.259	0.022	0.238	0.015	0.519	2.204	1.258	1.536	1.1	2	0	1	7118	3	3	750
1.312	3.858	1.576	1.641	0.177	0.028	0.261	0.038	0	1.397	1.407	1.875	1.1	1	1	1	6661	3	3	1418
16.277	6.106	5.397	9.385	0.348	0.044	1.252	1.336	0.43	5.109	9.025	9.745	1.1	1	1	1	47923	6	6	4338
4.402	4.95	0.833	2.378	0.192	0.071	0.218	0.054	0.389	0.613	2.179	2.577	1.1	1	1	1	3988	3	3	830
2.08	1.583	1.79	3.23	0.065	0.026	0.377	0.582	0	1.648	3.15	3.31	1.1	2	2	1	12883	4	4	1071
3.755	3.686	1.81	1.161	0.219	0.116	0.24	0.036	0	1.522	0.973	1.349	1.1	1	1	1	18719	4	4	2696
1.396	1.079	0.979	0.746	0.146	0.049	0.187	0.11	0	0.76	0.597	0.895	1.1	1	1	1	10054	3	3	710
21.172	16.817	52.576	9.038	0.673	1.64	0.494	0.776	2.913	46.061	8.785	9.291	1.1	3	3	1	64189	14	14	24662
7.175	4.736	1.341	11.949	1.75	2.102	0.412	0.125	2.851	1.062	8.581	15.317	1.1	1	1	1	5397	2	2	4371
6.851	1.669	10.166	1.699	0.341	0.034	0.406	0.026	0	9.777	1.302	2.096	1.1	1	1	1	9643	4	4	1501
4.159	3.25	3.102	1.249	0.288	0.124	0.377	0.102	0.354	2.763	0.986	1.512	1.1	2	0	1	21139	3	3	1695
66.508	23.671	7.335	8.874	0.622	0.989	1.934	3.031	3.083	7.131	8.695	9.053	1.1	1	1	2	35839	9	12	8074
2.573	1.885	4.27	6.726	0.185	0.054	0.204	0.042	0.215	4.023	3.749	9.703	1.1	1	1	1	11468	3	3	1843
3.049	0.956	3.805	1.575	0.257	0.051	0.275	0.052	0	3.457	1.23	1.92	1.1	1	1	1	9722	5	5	1123
90.181	22.079	16.726	24.999	0.685	1.179	0.275	0.046	22.972	16.453	24.763	25.235	1.1	1	1	1	151484	17	17	28357
46.023	8.419	9.608	11.079	0.895	1.776	0.717	1.68	7.322	9.288	10.764	11.394	1.1	1	1	1	75959	22	22	12385
7.146	7.214	4.021	3.748	0.238	0.074	0.273	0.077	1.155	3.837	3.627	3.869	1.1	1	1	2	43770	11	13	28825
93.913	21.808	11.999	5.92	1.01	1.498	3.138	5.023	3.245	5.403	5.666	6.174	1.1	1	1	1	93718	8	8	2216
29.905	18.702	8.985	12.247	0.521	0.919	1.556	3.551	3.644	8.746	12.08	12.414	1.1	4	1	1	52087	12	12	5717
0.629	0.641	0.812	0.521	0.073	0.014	0.062	0.006	0.007	0.713	0.463	0.579	1.1	1	1	1	13158	3	3	645
3.605	4.183	1.545	4.039	0.196	0.039	0.813	0.889	0	1.361	0.627	7.451	1.1	1	2	1	12029	3	3	601
26.925	13.265	22.724	13.404	0.39	0.57	0.295	0.21	0.634	22.501	13.273	13.535	1.1	1	1	2	143336	29	30	22595
20.861	29.427	27.579	14.347	0.235	0.068	0.388	0.657	3.078	27.345	14.017	14.677	1.1	1	1	1	86561	25	25	17677
16.566	9.581	7.938	9.708	0.81	1.182	0.289	0.06	0.275	7.638	6.408	13.008	1.1	1	1	1	51151	12	12	3360
28.679	81.118	15.607	50.107	1.842	3.168	0.275	0.044	0	15.311	49.902	50.312	1.1	1	1	1	75239	4	4	1083
2.229	4.322	19.392	8.329	0.24	0.09	0.236	0.082	0.003	19.178	1.717	14.941	1.1	1	1	1	22144	3	3	616
5.194	2.766	5.354	1.634	0.283	0.105	0.269	0.039	0.615	5.17	1.432	1.836	1	2	0	1	30797	6	6	8579
115.318	41.793	41.718	16.625	1.784	1.877	0.928	1.058	1.398	41.266	16.221	17.029	1.1	2	1	1	139642	24	24	14826
3.113	3.907	1.722	3.752	0.207	0.051	0.215	0.042	0	1.489	3.509	3.995	1.1	1	1	1	28141	5	5	2677
20.138	7.448	6.773	2.847	0.189	0.084	0.217	0.072	0.537	6.591	2.537	3.157	1.1	2	1	2	149389	23	24	9112
9.41	15.605	6.025	3.495	0.283	0.033	0.33	0.016	0.468	5.772	3.247	3.743	1.1	1	1	1	44403	2	2	5164
15.27	3.223	3.276	10.165	0.732	1.263	0.295	0.033	0.356	3.044	9.849	10.481	1.1	1	1	1	30547	8	8	3925
24.896	12.688	21.178	9.28	0.347	0.057	0.379	0.112	1.599	20.744	9	9.56	1.1	1	2	3	50691	11	13	25117
16.964	11.039	4.908	3.994	3.148	3.722	2.093	1.751	0	4.006	2.954	5.034	1.1	1	1	1	6526	3	3	806
13.127	18.916	7.205	11.724	1.539	2.063	0.337	0.043	0	6.712	11.327	12.121	1.1	2	1	1	29569	3	3	588
6.318	2.225	19.192	17.996	0.158	0.059	0.149	0.039	0.15	19.13	17.857	18.135	1.1	1	2	1	58034	17	17	5001
6.511	4.779	5.228	8.995	1.155	1.796	0.304	0.04	0	4.943	5.222	12.768	1.1	1	1	1	11939	4	4	855
6.602	2.535	4.123	1.769	0.174	0.058	0.19	0.021	0.149	4.042	1.66	1.878	1.1	1	1	1	67042	4	4	4755
14.779	6.272	6.507	2.134	0.44	0.704	0.294	0.057	0.665	6.13	1.916	2.352	1.1	1	1	1	57807	17	17	13152
37.301	21.144	42.573	24.266	0.505	1.216	0.455	0.656	9.203	42.331	24.114	24.418	1.1	1	2	1	86701	21	21	6430
7.802	2.526	17.403	17.385	3.338	4.37	0.346	0.009	0	17.153	17.103	17.667	1.1	1	1	1	3037	2	2	1327
46.521	24.669	28.049	10.286	0.334	0.557	0.623	1.738	3.442	27.913	10.159	10.413	1.1	2	2	2	137270	35	36	39397
18.835	5.57	9.577	8.487	0.326	0.032	1.216	1.573	0.344	9.242	8.228	8.746	1.1	1	1	1	28736	7	7	3844
68.725	41.404	35.939	29.404	0.261	0.029	2.509	3.197	5.81	35.689	29.191	29.617	1.1	1	2	1	111211	17	17	17349
1.803	1.371	4.095	0.893	0.229	0.058	0.268	0.01	0	3.829	0.675	1.111	1.1	1	1	1	5064	3	3	610
37.635	5.178	3.303	18.554	0.068	0.036	0.55	0.951	7.781	3.242	18.481	18.627	1.1	12	2	1	65399	15	15	11695
40.229	18.268	41.021	25.551	0.641	0.734	0.683	0.691	0.477	40.462	25.153	25.949	1.1	1	1	1	138574	17	17	5193
21.372	5.568	11.092	14.125	0.203	0.052	0.317	0.538	0.895	10.963	13.922	14.328	1.1	1	1	2	112328	36	37	14148
38.744	12.473	46.138	47.872	0.337	0.053	0.967	1.182	1.438	45.916	47.54	48.204	1.1	11	2	1	49588	14	14	10622
2.479	10.963	4.129	5.196	0.338	0.131	0.331	0.052	0.001	3.918	4.949	5.443	1.1	1	1	1	11470	3	3	1526
46.117	19.636	20.982	8.624	0.467	0.663	0.785	1.144	4.148	20.627	8.444	8.804	1.1	1	1	1	78946	22	22	11185
38.799	20.98	23.05	12.6	0.594	0.876	0.467	0.542	1.024	22.678	9.009	16.191	1.1	1	1	1	55820	27	27	9976
26.592	15.739	26.227	26.343	0.253	0.073	0.558	0.969	3.485	26.042	26.164	26.522	1.1	1	2	1	71465	9	9	13599
13.173	3.956	7.266	11.969	0.375	0.05	0.417	0.051	0	6.986	2.645	21.293	1.1	1	1	1	33607	7	7	1149
99.882	33.203	42.833	64.984	1.001	1.969	0.865	1.889	10.204	42.477	64.688	65.28	1.1	2	3	2	108851	45	58	58581
29.526	30.991	15.347	17.987	0.3	0.042	0.814	1.341	0.378	15.075	17.682	18.292	1.1	1	1	1	80128	7	7	3701
12.856	24.067	27.387	2.886	0.279	0.028	0.298	0.061	5.637	27.185	2.713	3.059	1	2	0	3	51333	5	22	36256
14.596	16.37	6.412	7.767	1.471	1.601	0.323	0.079	0	6.115	7.539	7.995	1.1	1	1	1	41131	5	5	1297
7.094	7.142	24.258	21.448	0.176	0.044	0.169	0.065	1.271	24.059	21.264	21.632	1.1	1	2	2	34662	16	17	22253
10.074	4.389	3.606	0.778	4.769	6.405	0.267	0.008	0	3.352	0.547	1.009	1.1	1	1	1	3182	2	2	835
16.671	4.669	15.237	5.415	0.223	0.072	0.701	1.178	2.533	14.999	5.133	5.697	1.1	1	1	1	89702	6	6	3701
27.656	18.278	10.915	20.587	0.232	0.055	0.232	0.06	5.27	10.665	20.399	20.775	1.1	13	1	1	59347	27	27	17304
2.975	1.751	4.917	2.117	0.308	0.058	0.333	0.052	0	4.576	1.747	2.487	1.1	1	1	1	10391	4	4	1012
3.307	2.345	5.858	2.626	0.335	0.06	0.338	0.036	0.381	5.617	2.34	2.912	1.1	2	2	1	24015	3	3	5393
22.985	24.588	30.909	22.527	0.277	0.048	0.495	0.286	2.833	30.652	22.191	22.863	1.1	1	1	1	34840	2	2	912
5.382	3.605	2.103	2.279	0.155	0.043	0.146	0.049	0.373	2.02	2.192	2.366	1.1	2	1	1	72783	7	7	5877
110.521	44.128	28.84	20.21	2.253	3.857	0.614	0.984	2.785	28.546	13.595	26.825	1.1	3	2	3	71141	29	31	18950
5.392	1.982	3.626	1.503	0.097	0.026	0.096	0.026	0.136	3.548	1.427	1.579	1.1	1	1	1	96633	16	16	6088
4.87	5.238	3.093	2.387	0.284	0.09	0.439	0.071	0.274	2.821	2.091	2.683	1.1	1	1	1	14956	5	5	3034
35.396	8.962	32.538	19.959	0.572	1.024	0.309	0.05	5.307	32.231	19.642	20.276	1.1	1	2	1	50932	12	12	8994
97.482	39.403	18.691	11.632	1.141	2.294	0.809	2.094	9.039	18.527	11.538	11.726	1.1	1	1	1	96625	26	26	13235
10.805	2.774	4.618	13.3	0.163	0.037	0.169	0.063	0.462	4.508	13.194	13.406	1.1	15	2	1	70596	28	28	13278
10.966	8.656	2.13	5.72	0.238	0.044	0.216	0.027	0.156	1.978	5.509	5.931	1.1	2	1	1	45692	6	6	3940
13.999	6.455	7.174	7.145	0.167	0.05	0.981	1.522	0.44	6.986	6.975	7.315	1.1	1	1	1	86546	8	8	8196
17.533	12.191	14.605	11.823	0.178	0.056	0.213	0.075	0.597	14.451	11.678	11.968	1.1	1	1	1	137456	34	34	10066
6.293	4.877	9.762	17.55	0.186	0.136	0.291	0.103	0	9.595	17.267	17.833	1.1	2	1	1	10059	3	3	1404
20.004	6.302	6.328	14.029	1.519	2.868	0.254	0.029	4.82	6.137	13.826	14.232	1.1	4	2	1	28965	5	5	5933
5.424	1.683	2.647	1.269	0.11	0.047	0.42	0.528	0.106	2.428	1.122	1.416	1.1	1	1	1	19428	8	8	3648
8.528	6.493	14.803	25.253	0.321	0.051	0.364	0.036	0.684	14.461	24.992	25.514	1.1	6	2	1	58004	8	8	6773
8.721	3.157	5.202	2.315	0.287	0.092	0.251	0.06	0.454	4.843	2.044	2.586	1.1	1	1	1	28053	15	15	8158
12.508	32.812	2.683	12.513	2.079	2.409	3.49	4.423	0	2.455	12.275	12.751	1.1	1	1	1	25769	2	2	414
2.806	4.218	2.409	3.066	0.327	0.093	0.315	0.083	0	2.085	2.558	3.574	1.1	1	1	1	12144	3	3	1299
1.259	4.578	3.755	10.807	0.341	0.018	0.288	0.019	0	3.467	10.442	11.172	1.1	1	1	1	1336	2	2	624
44.503	17.529	44.699	22.37	0.359	0.067	0.369	0.066	5.805	44.275	22.066	22.674	1.1	1	2	1	110496	40	40	14858
4.264	1.354	7.93	0.781	0.192	0.02	0.25	0.035	0	4.447	0.639	0.923	1.1	1	1	1	11276	2	2	1581
15.619	1.661	12.434	7.496	2.173	3.521	0.194	0.106	0.131	12.297	7.311	7.681	1.1	1	1	1	15852	3	3	2899
89.065	45.865	74.671	54.901	0.53	0.124	1.072	1.055	10.88	74.187	54.407	55.395	1.1	1	1	1	206785	17	17	20038
6.105	8.192	2.383	2.478	0.385	0.06	0.393	0.097	0	2.119	2.218	2.738	1.1	2	1	1	20069	6	6	1683
14.638	2.846	6.449	13.917	0.424	1.013	0.111	0.03	1.17	6.35	13.777	14.057	1.1	8	3	1	53812	12	12	12755
31.067	12.704	33.299	33.586	1.055	0.086	1.982	1.87	4.135	32.221	32.872	34.3	1.1	1	2	3	59377	5	31	25607
10.057	5.215	5.352	3.277	0.228	0.045	0.532	0.574	1.194	5.139	3.015	3.539	1.1	1	1	2	11980	10	11	7497
1.587	1.223	0.707	0.732	0.378	0.021	0.416	0.035	0	0.432	0.555	0.909	1.1	1	1	1	2643	2	2	2039
23.663	3.788	11.338	14.363	0.678	0.837	0.622	0.954	0.245	11.128	14.165	14.561	1.1	1	2	1	45608	15	15	4298
26.497	9.226	13.137	7.059	1.576	1.83	9.101	12.558	5.049	9.907	6.802	7.316	1.1	1	1	3	31776	2	31	29599
34.335	6.852	25.417	9.001	0.528	0.914	0.403	0.673	10.149	25.163	8.625	9.377	1.1	2	2	2	61283	24	25	12326
29.731	11.418	27.988	18.406	0.232	0.052	0.356	0.544	3.555	27.792	18.276	18.536	1.1	1	2	4	84161	40	48	54445
29.05	7.92	7.508	4.067	0.864	1.673	0.833	1.588	0.503	7.158	3.885	4.249	1.1	4	4	1	38256	16	16	8945
