Agricultural land (sq. km)	Arable land (hectares)	Arable land (hectares per person)	Land under cereal production (hectares)	Permanent cropland (% of land area)	Land area (sq. km)	Cereal production (metric tons)	Surface area (sq. km)	Income payments (BoP, current US$)	Imports of goods and services (BoP, current US$)	Insurance and financial services (% of service imports, BoP)	Goods imports (BoP, current US$)	Service imports (BoP, current US$)	Royalty and license fees, payments (BoP, current US$)	Imports of goods, services and income (BoP, current US$)	Foreign direct investment, net outflows (% of GDP)	Private current transfers, payments (BoP, current US$)	Workers' remittances and compensation of employees, paid (current US$)	Current account balance (BoP, current US$)	Net income (BoP, current US$)	Net trade in goods and services (BoP, current US$)	Net trade in goods (BoP, current US$)	Net errors and omissions, adjusted (BoP, current US$)	Foreign direct investment, net (BoP, current US$)	Private capital flows, total (BoP, current US$)	Portfolio investment, excluding LCFAR (BoP, current US$)	Changes in net reserves (BoP, current US$)	Net current transfers (BoP, current US$)	Net capital account (BoP, current US$)	ICT service exports (BoP, current US$)	ICT service exports (% of service exports, BoP)	Income receipts (BoP, current US$)	Exports of goods and services (BoP, current US$)	Insurance and financial services (% of service exports, BoP)	Goods exports (BoP, current US$)	Service exports (BoP, current US$)	Royalty and license fees, receipts (BoP, current US$)	Exports of goods, services and income (BoP, current US$)	Foreign direct investment, net inflows (BoP, current US$)	Foreign direct investment, net inflows (% of GDP)	Profit remittances on FDI (current US$)	Portfolio equity, net inflows (BoP, current US$)	Workers' remittances and compensation of employees, received (current US$)	Workers' remittances and compensation of employees, received (% of GDP)	Market capitalization of listed companies (current US$)	Listed domestic companies, total	Stocks traded, total value (current US$)	Stocks traded, turnover ratio (%)	Income
20	2000	0.032346757	NaN	NaN	180	NaN	180	21173184.36	312625698.3	1.361209964	249832402.2	62793296.09	NaN	333798882.7	NaN	18324022.35	NaN	-22569832.4	-12234636.87	-7430167.598	-204692737.4	10893854.75	NaN	NaN	NaN	-12905027.93	-2905027.933	NaN	NaN	NaN	8938547.486	305195530.7	0.277121375	45139664.8	260055865.9	NaN	314134078.2	1087875.796	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	3
190	1000	0.020200388	NaN	NaN	470	NaN	470	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
380450	7910000	0.442320906	2496000	0.2069822	652230	3394000	652230	11300000	1060800000	8.65003199	904500000	156300000	NaN	1072100000	NaN	NaN	NaN	-166900000	7900000	-486500000	-365800000	211594325.9	NaN	NaN	NaN	-10794325.9	311700000	NaN	NaN	NaN	19200000	574300000	NaN	538700000	35600000	NaN	593500000	400000	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	0
574000	2900000	0.303258587	956000	0.401058795	1246700	364400	1246700	294000000	1726000000	3.1678487	1303000000	423000000	NaN	2020000000	NaN	8000000	77000000	447000000	-294000000	689000000	1019000000	-834000000	119000000	119000000	NaN	-17000000	52000000	NaN	NaN	NaN	NaN	2415000000	15	2322000000	93000000	NaN	2415000000	119000000	1.611784359	135000000	0	NaN	NaN	NaN	NaN	NaN	NaN	2
11110	590000	0.189344768	345900	4.525547445	27400	1025800	28750	700000	335600000	2.95	315600000	20000000	NaN	336300000	NaN	NaN	NaN	5200000	400000	-2100000	-4400000	12300000	NaN	NaN	NaN	-11600000	6900000	NaN	NaN	NaN	1100000	333500000	3.408071749	311200000	22300000	NaN	334600000	NaN	NaN	0	0	NaN	NaN	NaN	NaN	NaN	NaN	1
2380	29000	0.019119425	790	0.107655502	83600	874	83600	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46720000	0.128404885	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
1279390	26800000	0.857056996	9631373	0.372347617	2736690	22947900	2780400	4724000000	7909000000	NaN	5343000000	2566000000	280000000	12633000000	NaN	19000000	21000000	-4235000000	-4472000000	245000000	1017000000	-111893079.7	-19000000	-115000000	-96000000	1916893080	-8000000	NaN	NaN	NaN	252000000	8154000000	0.05574136	6360000000	1794000000	14000000	8406000000	-19000000	-0.017100757	558000000	0	34000000	0.030601355	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	28480	NaN	29740	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
40	1000	0.023559346	NaN	15	200	NaN	200	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
130	8000	0.125964415	25	2.272727273	440	48	440	41374074.07	303144444.4	6.299931522	222014814.8	81129629.63	NaN	344518518.5	NaN	4137037.037	10925926.21	-111285185.2	-39959259.26	-76159259.26	-195711111.1	10829629.63	38596296.3	38596296.3	NaN	2485185.185	4833333.333	5237037.037	NaN	NaN	1414814.815	226985185.2	0.516757714	26303703.7	200681481.5	NaN	228400000	38596296.3	13.47287607	NaN	0	11744444.85	4.099653728	NaN	NaN	NaN	NaN	2
