Agricultural land (sq. km)	Arable land (hectares)	Arable land (hectares per person)	Land under cereal production (hectares)	Permanent cropland (% of land area)	Land area (sq. km)	Cereal production (metric tons)	Surface area (sq. km)	Income payments (BoP, current US$)	Imports of goods and services (BoP, current US$)	Insurance and financial services (% of service imports, BoP)	Goods imports (BoP, current US$)	Service imports (BoP, current US$)	Royalty and license fees, payments (BoP, current US$)	Imports of goods, services and income (BoP, current US$)	Foreign direct investment, net outflows (% of GDP)	Private current transfers, payments (BoP, current US$)	Workers' remittances and compensation of employees, paid (current US$)	Current account balance (BoP, current US$)	Net income (BoP, current US$)	Net trade in goods and services (BoP, current US$)	Net trade in goods (BoP, current US$)	Net errors and omissions, adjusted (BoP, current US$)	Foreign direct investment, net (BoP, current US$)	Private capital flows, total (BoP, current US$)	Portfolio investment, excluding LCFAR (BoP, current US$)	Changes in net reserves (BoP, current US$)	Net current transfers (BoP, current US$)	Net capital account (BoP, current US$)	ICT service exports (BoP, current US$)	ICT service exports (% of service exports, BoP)	Income receipts (BoP, current US$)	Exports of goods and services (BoP, current US$)	Insurance and financial services (% of service exports, BoP)	Goods exports (BoP, current US$)	Service exports (BoP, current US$)	Royalty and license fees, receipts (BoP, current US$)	Exports of goods, services and income (BoP, current US$)	Foreign direct investment, net inflows (BoP, current US$)	Foreign direct investment, net inflows (% of GDP)	Profit remittances on FDI (current US$)	Portfolio equity, net inflows (BoP, current US$)	Workers' remittances and compensation of employees, received (current US$)	Workers' remittances and compensation of employees, received (% of GDP)	Market capitalization of listed companies (current US$)	Listed domestic companies, total	Stocks traded, total value (current US$)	Stocks traded, turnover ratio (%)	Income
20	2000	0.033278424	NaN	NaN	180	NaN	180	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
220	1000	0.026789541	NaN	NaN	470	NaN	470	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
380490	7910000	0.516885695	3018500	0.213115005	652230	4072000	652230	6900000	917600000	8.038942976	773800000	143800000	NaN	924500000	NaN	6800000	NaN	53600000	45000000	-176800000	-68600000	-19929900.4	NaN	NaN	NaN	71729900.4	185400000	NaN	NaN	NaN	51900000	740800000	NaN	705200000	35600000	NaN	792700000	9000000	0.247135735	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	0
574000	2900000	0.379659668	704000	0.401058795	1246700	435000	1246700	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37420000	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
11180	585000	0.218994497	372500	4.270072993	27400	880600	28750	3900000	371400000	4.857142857	353900000	17500000	NaN	375300000	NaN	NaN	NaN	16000000	3500000	6700000	13300000	-10600000	NaN	NaN	NaN	-3400000	5800000	NaN	NaN	NaN	7400000	378100000	4.678899083	367200000	10900000	NaN	385500000	NaN	NaN	0	0	NaN	NaN	NaN	NaN	NaN	NaN	1
2230	16000	0.015744498	376	0.083732057	83600	906	83600	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	97640000	0.223951388	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
1280200	26000000	0.924245957	9952900	0.35846223	2736690	18652400	2780400	2817000000	13182000000	NaN	9394000000	3788000000	101000000	15999000000	-0.14292782	62000000	36000000	-4774000000	-1512000000	-3285000000	-1373000000	-307804859.7	788000000	942000000	154000000	2597804860	23000000	NaN	NaN	NaN	1305000000	9897000000	0.319829424	8021000000	1876000000	4000000	11202000000	678000000	0.88095511	605000000	0	56000000	0.072763254	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	28480	NaN	29740	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
40	1000	0.030744635	NaN	15	200	NaN	200	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
120	8000	0.113914678	17	2.272727273	440	29	440	4000000	131800000	6.722306525	114714814.8	17085185.19	NaN	135800000	NaN	1300000	NaN	-18800000	-1200000	-27700000	-55214814.81	-7303703.704	19600000	19600000	NaN	3214814.815	10100000	NaN	NaN	NaN	2800000	104100000	NaN	59500000	44600000	NaN	106900000	19600000	17.80738978	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	2
4829260	44031000	2.996937109	15587229	0.020176249	7682300	16402317	7741220	3644959667	27089125741	1.839392514	20521101082	6568024659	271338469.7	30734085408	0.304719416	626874996.2	303632507.3	-4447490809	-2688180183	-1334456885	1371279906	532781136.7	1409018136	3211884296	1802866160	-447664582.9	-424853740.5	178919353.4	NaN	NaN	956779483.7	25754668856	1.299498264	21892380988	3862287868	66774591.22	26711448340	1869828588	1.236458664	NaN	1780213127	631592773.4	0.417652378	NaN	NaN	NaN	NaN	3
36750	1536000	0.203458988	1068780	1.200727714	82450	4826203	83870	3030038147	29920740821	4.248834869	23716268541	6204472280	152381161.1	32950778968	0.123627918	799728623	334470336.9	-3864971757	-527737241.3	-3270939572	-6489360680	2337031425	138587361.7	1713231281	1574643919	-1340783699	-66294944.16	-22387014.26	NaN	NaN	2502300906	26649801249	2.550231002	17226907861	9422893388	36107766.62	29152102155	239303891.7	0.293741672	NaN	9739748.562	244725067.1	0.300396077	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	83210	NaN	86600	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
21500	930000	0.225181762	203668	12.46105919	25680	216600	27830	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
NaN	NaN	NaN	430392	NaN	NaN	2040803	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1280031494	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1139075073	0.909183254	NaN	NaN	NaN	NaN	3
20270	1500000	0.415445948	481650	0.768396312	110620	345952	112620	6945266.038	420831063.5	10.14688576	312240339	108590724.5	NaN	427776329.5	NaN	3582930.675	2120413.303	-35722305.01	8115348.765	-194590526.8	-148286945.9	-24731090.81	4316555.846	4316555.846	NaN	17125054.36	150752873.1	NaN	NaN	NaN	15060614.8	226240536.6	2.276595745	163953393.1	62287143.56	NaN	241301151.5	4316555.846	0.307202842	2934500.685	0	77002243.04	5.480134799	NaN	NaN	NaN	NaN	0
99870	9121000	0.113129492	10817949	2.043481601	130170	21698319	144000	69734330.88	2834015339	6.008464191	2352840029	481175309.8	NaN	2903749669	NaN	392002.4006	392002.4037	-702138190.8	6590801.612	-1829305682	-1559609531	-74088389.01	NaN	NaN	NaN	206881272.6	1120576690	NaN	NaN	NaN	76325132.49	1004709657	NaN	793230497.8	211479158.7	NaN	1081034789	8510000	0.046978563	0	0	338666748	1.869574286	NaN	NaN	NaN	NaN	0
61810	3827000	0.431866488	2064114	3.163698816	110630	7647576	110990	553000000	7994000000	5.701275046	7445000000	549000000	NaN	8547000000	NaN	22000000	NaN	954000000	-412000000	1308000000	646000000	151000000	NaN	NaN	NaN	-235000000	58000000	NaN	NaN	NaN	141000000	9302000000	4.029727498	8091000000	1211000000	NaN	9443000000	NaN	NaN	0	0	NaN	NaN	NaN	NaN	NaN	NaN	2
100	2000	0.005587263	NaN	5.797101449	690	NaN	690	522280842	3461271055	7.004479283	2987531297	473739758.1	NaN	3983551897	NaN	95755908.55	329973266.6	184350017.9	-208222682	304774346.1	445623064.7	396334056	-418036875	-305304849.7	112732025.3	-341957432	87798353.83	NaN	NaN	NaN	314058159.9	3766045401	0.167330677	3433154361	332891039.4	NaN	4080103561	-418036875	-13.60487845	NaN	121485335.5	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	51000	NaN	51210	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	202840	NaN	207600	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
960	45000	0.308219178	13800	0.306882946	22810	27443	22970	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
10	1000	0.018518519	NaN	NaN	50	NaN	50	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
335620	1943000	0.362997835	560535	0.109849534	1083300	625905	1098580	278700000	832900000	9.12959381	574400000	258500000	2000000	1111600000	0.011019313	1300000	2400000.095	-6400000	-263100000	197200000	367800000	-456035762.8	90500000	87000000	-3500000	185535762.8	59500000	NaN	NaN	NaN	15600000	1030100000	8.907849829	942200000	87900000	NaN	1045700000	91000000	2.005515015	19100000	0	1399999.976	0.030854077	NaN	NaN	NaN	NaN	1
2242780	45000000	0.369725666	21080565	0.92961456	8459420	33217509	8514880	8424000000	27826000000	1.047012934	22955000000	4871000000	38000000	36250000000	0.156153867	158000000	152000000	-12831000000	-7018000000	-5957000000	-2823000000	-340244117	1544000000	1898000000	354000000	3469244117	144000000	25000000	NaN	NaN	1406000000	21869000000	7.887161773	20132000000	1737000000	12000000	23275000000	1911000000	0.813106376	955000000	-11000000	111000000	0.047229099	NaN	NaN	NaN	NaN	2
190	16000	0.064309716	800	2.325581395	430	2000	430	19600000	612600000	12.94072065	483550000	129050000	2050000	632200000	0.06973189	4300000	699999.9881	-16800000	300000	-38500000	-254700000	-31275542.9	2200000	7450000	5250000	-17574457.1	21400000	NaN	NaN	NaN	19900000	574100000	4.301230992	228850000	345250000	350000	594000000	2800000	0.325415489	NaN	4800000	9100000.381	1.057600383	NaN	NaN	NaN	NaN	3
140	3000	0.015847861	1991	0.948766603	5270	2747	5770	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
4130	130000	0.301881184	110950	0.382978723	47000	158100	47000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
260040	403000	0.404532775	193500	0.001764509	566730	45900	581730	135096014.8	818424524.2	3.676996424	602528226.2	215896298	NaN	953520539	0.218237698	19299430.69	25861236.57	-151050210.9	-32937695.05	-173051561.9	-58026954.95	89291947.64	109234777.7	109234777.7	NaN	-90449913.48	54939046.04	8234423.762	NaN	NaN	102158319.8	645372962.3	4.119897959	544501271.2	100871691.1	NaN	747531282.1	111550709.4	10.51178247	107562160.4	0	77326385.5	7.286714245	NaN	NaN	NaN	NaN	2
49450	1870000	0.822473314	191665	0.120389098	622980	99862	622980	1789098.804	327433479.6	4.721825014	185105463.3	142328016.3	NaN	329222578.4	NaN	21753169.59	19609090.81	-43051964.88	2565321.566	-126405983.5	-37907122.55	-12081083.01	5343631.085	5343631.085	NaN	-8181170.91	80788697.07	NaN	NaN	NaN	4354420.371	201027496.1	2.384595094	147198340.8	53829155.3	NaN	205381916.5	5343631.085	0.670425858	0	0	37864.5249	0.004750582	NaN	NaN	NaN	NaN	0
663960	44723000	1.818525597	19318900	0.632539031	9093510	41364700	9984670	18631416618	70259332206	NaN	59593390029	10665942177	NaN	88890748824	1.52233773	533533383.9	NaN	-6088042791	-10763562224	4717465501	7938527040	120919610.1	1719850021	6954264432	5234414410	-84303850.23	-41946068.16	423847093.9	NaN	NaN	7867854394	74976797708	NaN	67531917070	7444880638	NaN	82844652102	5813313577	2.161940976	NaN	1282529616	NaN	NaN	NaN	NaN	NaN	NaN	3
20200	391000	0.061872884	170665	0.5	40000	789100	41280	6680756897	51842870698	1.6085868	46957676674	4885194024	NaN	58523627594	NaN	904095283.5	2339309326	-201108977	4186289382	-3247581863	-5250081233	11880070147	NaN	-7068055800	-7068055800	-337488652.9	-1139816496	NaN	NaN	NaN	10867046279	48595288835	4.743641808	41707595441	6887693394	NaN	59462335113	NaN	NaN	NaN	0	608697814.9	0.554103911	NaN	NaN	NaN	NaN	3
80	3000	0.023421946	NaN	NaN	190	NaN	190	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
168500	3836000	0.343149011	852020	0.287816228	743530	1754570	756090	1308000000	7052000000	2.653190145	5469000000	1583000000	29000000	8360000000	NaN	52000000	70000000	-1971000000	-1000000000	-1084000000	-764000000	51189189.58	213000000	170000000	-43000000	-1321189190	113000000	NaN	NaN	NaN	308000000	5968000000	2.121931908	4705000000	1263000000	NaN	6276000000	213000000	0.772514231	86000000	0	NaN	NaN	NaN	NaN	NaN	NaN	2
4342200	96949000	0.098803039	95054320	0.350578884	9327430	280287435	9599960	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
89300	5910000	0.648757092	1031730	2.157771149	472710	891774	475440	214549864.6	2337093142	5.414328161	1620270354	716822788.2	NaN	2551643007	-0.122175203	124621617.8	101760910	-445401476.8	-176212033	-278635573.1	37201895.78	-6419728.136	138063524.1	138063524.1	NaN	-78187483.22	9446129.305	NaN	NaN	NaN	38337831.52	2058457569	5.16170916	1657472250	400985319.3	NaN	2096795400	129827990	1.926014845	114729510.6	0	29392337.8	0.436039092	NaN	NaN	NaN	NaN	1
452920	3712000	0.138121413	1335650	1.333934205	1109500	3224950	1141750	777393330	5453885680	10.20196015	4283407770	1170477910	11000000	6231279010	0.317358503	6000000	39045898.44	-205835310	-245239470	-125595840	-297110710	168486211.5	51137700	48534640	-2603060	-907609471.5	165000000	NaN	NaN	NaN	532153860	5328289840	5.603351979	3986297060	1341992780	11000000	5860443700	157137700	0.470462125	110347430	0	106000000	0.317358503	NaN	NaN	NaN	NaN	2
1100	75000	0.228059879	17200	10.75268817	1860	18200	1860	42597.95156	34291351	5.631453535	22373390.78	11917960.22	NaN	34333948.95	NaN	1519326.939	1519326.925	-8907704.981	591638.216	-20863530.05	-11184328.84	-15187825.28	NaN	-407047.0926	-407047.0926	3506520.341	11364186.85	NaN	NaN	NaN	634236.1676	13427820.95	4.22832981	11189061.94	2238759.01	NaN	14062057.12	NaN	NaN	0	0	1618722.2	1.310653813	NaN	NaN	NaN	NaN	0
650	38000	0.126646825	16000	0.496277916	4030	8500	4030	92097.26633	87435153.36	1.019660113	79965318.33	7469835.034	NaN	87527250.63	NaN	2220290.853	NaN	4321104.172	3390175.047	-68241585.24	-70850178.08	-5634449.36	NaN	NaN	NaN	178308.6082	69172514.36	NaN	NaN	NaN	3482272.313	19193568.13	0.019757965	9115140.252	10078427.88	NaN	22675840.44	NaN	NaN	0	0	40064800.26	28.16568034	NaN	NaN	NaN	NaN	1
25160	283000	0.120767535	118847	4.367410889	51060	347564	51100	235600000	1661400000	6.743535989	1375200000	286200000	4300000	1897000000	0.093139795	11100000	NaN	-663900000	-212100000	-466300000	-374300000	-69511012.7	48100000	170100000	122000000	-92188987.3	14500000	NaN	NaN	NaN	23500000	1195100000	0.669412976	1000900000	194200000	1400000	1218600000	52600000	1.088700717	19800000	0	4099999.905	0.0848607	NaN	NaN	NaN	NaN	2
59370	2980000	0.303702841	225354	3.258845438	107400	573934	109890	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10000	5.02187E-05	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
