Agricultural land (sq. km)	Arable land (hectares)	Arable land (hectares per person)	Land under cereal production (hectares)	Permanent cropland (% of land area)	Land area (sq. km)	Cereal production (metric tons)	Surface area (sq. km)	Income payments (BoP, current US$)	Imports of goods and services (BoP, current US$)	Insurance and financial services (% of service imports, BoP)	Goods imports (BoP, current US$)	Service imports (BoP, current US$)	Royalty and license fees, payments (BoP, current US$)	Imports of goods, services and income (BoP, current US$)	Foreign direct investment, net outflows (% of GDP)	Private current transfers, payments (BoP, current US$)	Workers' remittances and compensation of employees, paid (current US$)	Current account balance (BoP, current US$)	Net income (BoP, current US$)	Net trade in goods and services (BoP, current US$)	Net trade in goods (BoP, current US$)	Net errors and omissions, adjusted (BoP, current US$)	Foreign direct investment, net (BoP, current US$)	Private capital flows, total (BoP, current US$)	Portfolio investment, excluding LCFAR (BoP, current US$)	Changes in net reserves (BoP, current US$)	Net current transfers (BoP, current US$)	Net capital account (BoP, current US$)	ICT service exports (BoP, current US$)	ICT service exports (% of service exports, BoP)	Income receipts (BoP, current US$)	Exports of goods and services (BoP, current US$)	Insurance and financial services (% of service exports, BoP)	Goods exports (BoP, current US$)	Service exports (BoP, current US$)	Royalty and license fees, receipts (BoP, current US$)	Exports of goods, services and income (BoP, current US$)	Foreign direct investment, net inflows (BoP, current US$)	Foreign direct investment, net inflows (% of GDP)	Profit remittances on FDI (current US$)	Portfolio equity, net inflows (BoP, current US$)	Workers' remittances and compensation of employees, received (current US$)	Workers' remittances and compensation of employees, received (% of GDP)	Market capitalization of listed companies (current US$)	Listed domestic companies, total	Stocks traded, total value (current US$)	Stocks traded, turnover ratio (%)	Income
20	2000	0.02407637	NaN	NaN	180	NaN	180	31005586.59	2559217877	1.635260992	2043351955	515865921.8	NaN	2590223464	0.024291496	15027932.96	7932960.987	-69106145.25	-11843575.42	-53631284.92	-307653631.3	4301675.978	84134078.21	77877094.97	-6256983.24	26089385.47	-3631284.916	30614525.14	4301675.978	0.558740295	19162011.17	2505586592	2.169653871	1735698324	769888268.2	NaN	2524748603	84469273.74	6.121457042	NaN	NaN	12122904.78	0.878542428	NaN	NaN	NaN	NaN	3
180	1000	0.015331075	NaN	NaN	470	NaN	470	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
377520	7647000	0.330590889	2690730	0.160986155	652230	3238881	652230	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	690000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
575000	3000000	0.240911126	794317	0.401058795	1246700	518934	1246700	1516694000	4463751000	2.007725035	2040461000	2423290000	NaN	5980445000	NaN	107259000	173802002	3266378000	-1473354000	898908000	3054539000	149164638	180559000	180559000	NaN	-330326638	3840824000	NaN	NaN	NaN	43340000	5362659000	8.287784083	5095000000	267659000	16587000	5405999000	180559000	2.398993967	536314000	0	5142000.198	0.068319095	NaN	NaN	NaN	NaN	2
11310	577000	0.185375749	205526	4.562043796	27400	503714	28750	11900000	1111400000	15.94508976	922000000	189400000	NaN	1123300000	NaN	23600000	NaN	-107300000	71800000	-738500000	-678300000	96900504.06	90100000	90100000	NaN	-55900504.06	559400000	4800000	11100000	8.591331269	83700000	372900000	3.637770898	243700000	129200000	NaN	456600000	90100000	2.99015884	2000000	0	550900024.4	18.28278111	NaN	NaN	NaN	NaN	1
3920	46000	0.018593499	503	0.490430622	83600	601	83600	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	300520000	0.408474867	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
1284300	27500000	0.779321335	11150255	0.372713022	2736690	30702150	2780400	9908585425	30235504066	5.852391912	22283200000	7952304066	482004066.2	40144089492	0.588186817	244500000	207300003.1	-6769978160	-5464728737	-1787449424	1759500000	-1605176757	5347787687	14941979735	9594192049	-3507678583	482200000	101600000	391500000	8.886912219	4443856689	28448054642	0.156627572	24042700000	4405354642	15554642.49	32891911331	6948536687	2.553203331	2082700000	867340547.7	65000000	0.023883909	44679000000	147	4382000000	10.62792559	2
13060	450000	0.141858057	166633	1.966292135	28480	312800	29740	33310000	888150000	7.773109244	759630000	128520000	NaN	921460000	NaN	13500000	17000000	-290680000	44730000	-520000000	-469190000	15061654.84	17570000	24790000	7220000	-11311654.84	184590000	13400000	NaN	NaN	78040000	368150000	6.447046712	290440000	77710000	NaN	446190000	17570000	1.100209269	3280000	1880000	83860000.61	5.251198061	NaN	NaN	NaN	NaN	1
40	1000	0.018552531	NaN	15	200	NaN	200	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
130	8000	0.113555713	33	2.272727273	440	57	440	32011111.11	467366666.7	12.22444418	309940740.7	157425925.9	133333.3333	499377777.8	NaN	2051851.852	2051851.749	-59440740.74	-26218518.52	-64844444.44	-271062963	-11155297.89	19351851.85	17759259.26	-1592592.593	11259001.6	31622222.22	4355555.556	NaN	NaN	5792592.593	402522222.2	0.986922513	38877777.78	363644444.4	NaN	408314814.8	19351851.85	3.576562339	NaN	NaN	12274073.6	2.268464523	NaN	NaN	NaN	NaN	2
4652210	36284000	1.98154115	16741808	0.02811658	7682300	35645886	7741220	21219823792	79916483447	6.212646443	61031683759	18884799688	1146884408	1.01136E+11	1.747167554	1725683202	871201110.8	-15518858969	-15192684010	-418884734.3	-634784046.2	956483662.2	-870520980.2	19560205323	20430726304	-1497469203	92709774.79	963349541.5	935270651.2	4.896525783	6027139782	79497598713	5.49165784	60396899713	19100699000	272547920.8	85524738495	6181381325	1.531488728	NaN	2068303471	2159244873	0.534970909	3.11981E+11	1190	1.45395E+11	52.18779304	3
34260	1410000	0.177157556	833862	0.92177077	82450	4495926	83870	11005999818	86665340212	7.136773103	66732863526	19932476686	694499552.4	97671340030	0.818378531	2956642268	346233947.8	-6703609363	-609305103.7	-4108199435	-8756697274	1913564280	2494120933	403515894.2	-2090605039	-1074967960	-1986104824	-93707621.52	521951165.3	2.123394924	10396694715	82557140777	4.249506657	57976166252	24580974525	182478927.5	92953835491	4414662673	1.881169816	NaN	2653291672	984293640.1	0.419425814	33953000000	106	20528000000	61.76992748	3
45260	1784000	0.229808064	633623	3.148660017	83210	999923	86600	27182000	1778475000	0.734647034	1337583000	440892000	NaN	1805657000	NaN	40539000	14861000.06	-931182000	-12126000	-985550000	-693914000	23620860.67	627277000	627277000	NaN	85047139.33	66494000	NaN	NaN	NaN	15056000	792925000	0.850887067	643669000	149256000	NaN	807981000	627277000	19.74587488	0	NaN	4098000.05	0.128999782	NaN	NaN	NaN	NaN	2
21500	940000	0.15308803	196333	14.40809969	25680	272649	27830	20353651.02	138383026.5	3.736225895	100014313.4	38368713.12	23121.64186	158736677.5	NaN	545010.1295	4812604.427	-40010349.69	-13925834.58	-87449352.59	-59600986.52	-9165422.944	NaN	NaN	NaN	35332515.34	61364837.49	-303884.4358	NaN	NaN	6427816.436	50933673.92	4.113029827	40413326.87	10520347.04	NaN	57361490.35	100	1.1507E-05	1377389.236	0	NaN	NaN	NaN	NaN	NaN	NaN	0
NaN	NaN	NaN	310909	NaN	NaN	2571286	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3418260742	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4947035645	1.793725189	1.19831E+11	139	26120000000	23.23936457	3
27100	1950000	0.334937311	707595	1.898390888	110620	714355	112620	57495572.81	748462478.8	9.614488522	559678310.7	188784168.1	385102.2659	805958051.6	0.992791693	32645725.07	33615322.11	-40955332.75	-20953863.9	-94660482.75	-32025651.78	6265632.521	13595869.34	1947014.501	-11648854.83	-60291766.24	74659013.9	111085387.6	NaN	NaN	36541708.91	653801996.1	2.611107668	527652658.9	126149337.2	NaN	690343705	35517375.98	1.608527935	9017648.489	2535419.486	86208175.66	3.904237151	NaN	NaN	NaN	NaN	0
93270	8357000	0.06968308	10994172	2.842436813	130170	29620075	144000	193062050.4	7450640620	8.684133859	6284612065	1166028555	4602195.485	7643702670	NaN	3290716.675	790506.6013	-991418975	-63680468.64	-2836515602	-2275322343	113463803.6	13529831.54	-103512764.2	-117042595.7	414293762.1	1908777096	371236644	28882994.48	4.775348702	129381581.8	4614125018	2.087192741	4009289722	604835296.5	NaN	4743506600	13529831.54	0.03327061	18643714.14	-117042595.7	1344661255	3.306597004	4551000000	186	722000000	24.52029207	0
61640	4203000	0.502581304	1783266	1.798788755	110630	3403520	110990	577200000	5948500000	NaN	4702600000	1245900000	NaN	6525700000	-0.320573593	127400000	33500000	15700000	-396200000	307700000	187600000	-105269732.4	137500000	8200000	-129300000	642169732.4	104200000	65900000	NaN	NaN	181000000	6256200000	NaN	4890200000	1366000000	NaN	6437200000	109000000	1.22605339	0	2000000	41500000	0.466800144	7000000	15	30000	0.088235294	2
90	2000	0.003478781	NaN	4.225352113	710	NaN	710	3840308376	4649734444	3.8671875	4036968434	612766010.4	NaN	8490042821	4.995559015	559308559	559308532.7	260424551.9	-25213770.7	718617083.4	665159632	193372484.2	1743329780	963437518.7	-779892260.8	6427320.606	-432978760.8	50000004.32	NaN	NaN	3815094605	5368351528	NaN	4702128066	666223461.8	NaN	9183446133	2048151880	33.56601633	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	3
21700	900000	0.272259317	237900	2.352941176	51000	841400	51210	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
93330	6230000	0.613188976	2499000	0.719779136	202840	5482000	207600	104900000	7274500000	3.483179518	6938600000	335900000	NaN	7379400000	NaN	33700000	191699996.9	-515900000	-30800000	-576400000	-1148500000	-178058583.6	104500000	90000000	-14500000	-78641416.39	91300000	1006000000	17800000	1.960352423	74100000	6698100000	0.341409692	5790100000	908000000	NaN	6772200000	104500000	0.708145155	0	NaN	350500000	2.375166285	NaN	NaN	NaN	NaN	2
1470	63000	0.283783784	22327	1.49057431	22810	55947	22970	32360000	320855000	8.730636598	229510000	91345000	400000	353215000	0.88340141	1035000	8425000.191	-6645000	-26060000	-11710000	-58240000	18371598.74	10915000	20990000	10075000	-20586598.74	31125000	-2165000	NaN	NaN	6300000	309145000	1.174977335	171270000	137875000	NaN	315445000	16580000	2.585489034	26200000	0	17250000	2.689968989	NaN	NaN	NaN	NaN	1
10	1000	0.01618123	NaN	NaN	50	NaN	50	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
365840	2590000	0.339110786	705745	0.150466168	1083300	1138768	1098580	236800000	1731420000	9.685763029	1368000000	363420000	4000000	1968220000	0.028390072	2800000	13000000	-379690000	-208200000	-418490000	-236010000	-31555037.58	472000000	472300000	300000	-293044962.4	247000000	2800000	NaN	NaN	28600000	1312930000	10.09726981	1131990000	180940000	NaN	1341530000	474100000	6.40939672	40000000	0	13500000	0.182507605	114000000	10	1000000	0.947867299	1
2590190	57858000	0.35205739	17471671	0.891550485	8459420	44957190	8514880	17527000000	66018000000	2.957369829	53304000000	12714000000	797000000	83545000000	-0.05561621	180000000	409000000	-23248000000	-12177000000	-13512000000	-5453000000	-1991580644	11667000000	32499000000	20832000000	-8396419356	2441000000	533000000	231000000	4.962406015	5350000000	52506000000	7.626208378	47851000000	4655000000	78000000	57856000000	11200000000	1.333836306	3975000000	5785000000	2527000000	0.300946817	2.1699E+11	551	1.12108E+11	61.49204939	2
190	16000	0.060551702	300	2.325581395	430	800	430	108450000	1127698500	25.61371607	742748500	384950000	17800000	1236148500	0.179031027	23050000	20350000.38	34077683.4	-45600000	39977683.4	-461298500	72361354.64	9750000	-9250000	-19000000	-84089038.04	39700000	400000	50900000	5.74345477	62850000	1167676183	9.278239003	281450000	886226183.4	NaN	1230526183	13300000	0.670735961	NaN	0	68199996.95	3.439412818	770000000	19	6000000	0.949367089	3
100	2000	0.006729747	270	0.759013283	5270	446	5770	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
5590	135000	0.259351544	109809	0.598951834	40070	167271	40070	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	33000000	10	NaN	NaN	1
259460	345000	0.212477151	277080	0.001764509	566730	92901	581730	754754983.4	1811342289	4.201739526	1467720923	343621366.2	NaN	2566097273	-0.021940814	37964059.49	98219215.39	494954771	-253063547.2	569169393.3	749811232.6	-32855674.46	72235497.5	65647439.63	-6588057.867	-510733102.4	178848924.9	6209018.921	NaN	NaN	501691436.2	2380511683	0.789256076	2217532156	162979526.9	NaN	2882203119	71182310.71	1.482925775	656511698.6	28728745.49	50117370.61	1.044084407	326000000	12	31000000	8.563535912	2
