Agricultural land (sq. km)	Arable land (hectares)	Arable land (hectares per person)	Land under cereal production (hectares)	Permanent cropland (% of land area)	Land area (sq. km)	Cereal production (metric tons)	Surface area (sq. km)	Income payments (BoP, current US$)	Imports of goods and services (BoP, current US$)	Insurance and financial services (% of service imports, BoP)	Goods imports (BoP, current US$)	Service imports (BoP, current US$)	Royalty and license fees, payments (BoP, current US$)	Imports of goods, services and income (BoP, current US$)	Foreign direct investment, net outflows (% of GDP)	Private current transfers, payments (BoP, current US$)	Workers' remittances and compensation of employees, paid (current US$)	Current account balance (BoP, current US$)	Net income (BoP, current US$)	Net trade in goods and services (BoP, current US$)	Net trade in goods (BoP, current US$)	Net errors and omissions, adjusted (BoP, current US$)	Foreign direct investment, net (BoP, current US$)	Private capital flows, total (BoP, current US$)	Portfolio investment, excluding LCFAR (BoP, current US$)	Changes in net reserves (BoP, current US$)	Net current transfers (BoP, current US$)	Net capital account (BoP, current US$)	ICT service exports (BoP, current US$)	ICT service exports (% of service exports, BoP)	Income receipts (BoP, current US$)	Exports of goods and services (BoP, current US$)	Insurance and financial services (% of service exports, BoP)	Goods exports (BoP, current US$)	Service exports (BoP, current US$)	Royalty and license fees, receipts (BoP, current US$)	Exports of goods, services and income (BoP, current US$)	Foreign direct investment, net inflows (BoP, current US$)	Foreign direct investment, net inflows (% of GDP)	Profit remittances on FDI (current US$)	Portfolio equity, net inflows (BoP, current US$)	Workers' remittances and compensation of employees, received (current US$)	Workers' remittances and compensation of employees, received (% of GDP)	Market capitalization of listed companies (current US$)	Listed domestic companies, total	Stocks traded, total value (current US$)	Stocks traded, turnover ratio (%)	Income
20	2000	0.032601431	NaN	NaN	180	NaN	180	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
210	1000	0.024160425	NaN	NaN	470	NaN	470	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
380540	7910000	0.493734164	2799500	0.220781013	652230	3724000	652230	20100000	969500000	8.824786325	829100000	140400000	NaN	989600000	NaN	9100000	NaN	-67300000	21100000	-212700000	-121300000	-77167647.7	NaN	NaN	NaN	7967647.699	124300000	NaN	NaN	NaN	41200000	756800000	NaN	707800000	49000000	NaN	798000000	100000	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	0
574000	2900000	0.354013673	699000	0.401058795	1246700	315000	1246700	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	115810000	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
11140	589000	0.212054182	357400	4.379562044	27400	970400	28750	1300000	459800000	4.886877828	437700000	22100000	NaN	461100000	NaN	NaN	NaN	-66800000	13400000	-86700000	-77800000	-1900000	NaN	NaN	NaN	13500000	6500000	NaN	NaN	NaN	14700000	373100000	4.696969697	359900000	13200000	NaN	387800000	NaN	NaN	0	0	NaN	NaN	NaN	NaN	NaN	NaN	1
2270	18000	0.01555296	890	0.107655502	83600	1780	83600	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	95060000	0.203892014	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
1287690	27000000	0.931000453	14052800	0.362481684	2736690	34328400	2780400	5265000000	6877000000	NaN	4859000000	2018000000	363000000	12142000000	-0.035584028	17000000	18000000	-2353000000	-4707000000	2320000000	2764000000	-400991286.8	257000000	2145000000	1888000000	668991286.8	34000000	NaN	NaN	NaN	558000000	9197000000	0.317662008	7623000000	1574000000	12000000	9755000000	227000000	0.269252481	322000000	0	28000000	0.03321176	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	28480	NaN	29740	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
40	1000	0.02873811	NaN	15	200	NaN	200	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
120	8000	0.116274	33	2.272727273	440	59	440	10300000	148300000	5.876801647	126714814.8	21585185.19	NaN	158600000	NaN	1300000	NaN	-41600000	-3700000	-47300000	-77414814.81	2997196.193	23000000	23000000	NaN	-1204603.6	9400000	NaN	NaN	NaN	6600000	101000000	NaN	49300000	51700000	NaN	107600000	23000000	16.67248327	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	2
4780810	46374000	3.05534326	16201647	0.020436588	7682300	14186561	7741220	3546309728	31320424318	2.664984521	23774873807	7545550511	307672666.3	34866734046	0.356058888	679436392	365698913.6	-8511928608	-2518281084	-5345749811	-2174361243	384729864.7	1666243177	4582658864	2916415687	-4731265634	-647897712.2	202580204.5	NaN	NaN	1028028643	25974674507	1.266648052	21600512565	4374161942	78808535.03	27002703150	2363109706	1.20741373	NaN	781630078.4	771140441.9	0.394008605	NaN	NaN	NaN	NaN	3
36750	1535000	0.202663273	1051744	1.200727714	82450	5026048	83870	3559007465	23940848440	5.443438054	18597944120	5342904320	120347892.7	27499855905	0.197073076	688675658.1	265836181.6	703478844.3	-412114664.5	1168655382	-3045760345	385292893.3	68621559.74	1573201546	1504579986	-207242883.5	-53061872.85	-19934031.86	NaN	NaN	3146892800	25109503821	2.533306463	15552183775	9557320047	34670543.38	28256396622	207917636.3	0.294157375	NaN	4938749.744	220660125.7	0.312185173	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	83210	NaN	86600	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
21500	930000	0.211577137	205500	12.46105919	25680	221000	27830	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
NaN	NaN	NaN	398492	NaN	NaN	2221846	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	994580749.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	837334533.7	0.920401472	NaN	NaN	NaN	NaN	3
20900	1550000	0.406682609	542482	0.813596095	110620	352337	112620	29619034.7	648134350	13.58420981	514460691.5	133673658.5	NaN	677753384.7	0.04176843	2604941.303	23773132.32	-377165677.7	-18961903.34	-464769001.6	-379104167.9	10933133.66	-541681.7195	-541681.7195	NaN	45885626.93	106565227.3	NaN	NaN	NaN	10657131.36	183365348.4	2.237576065	135356523.6	48008824.76	NaN	194022479.7	-12172.62291	-0.000960194	1935447.043	0	36949996.95	2.914668234	NaN	NaN	NaN	NaN	0
99780	9104000	0.106909175	11181547	2.104939694	130170	22339608	144000	154161378.7	2660816870	5.680080492	2221081894	439734976.2	NaN	2814978249	NaN	133171.5111	133171.5137	-500670224.2	-125244175.7	-1674191271	-1452646455	-83403351.22	NaN	NaN	NaN	52102013.2	1298765222	NaN	NaN	NaN	28917202.91	986625599.1	NaN	768435438.5	218190160.6	NaN	1015542802	6960000	0.038480677	0	0	526463684.1	2.910729718	NaN	NaN	NaN	NaN	0
61820	3818000	0.428148967	2134549	3.000994305	110630	9967358	110990	372000000	8814000000	6.476190476	8184000000	630000000	NaN	9186000000	NaN	21000000	NaN	177000000	-212000000	287000000	-290000000	6000000	NaN	NaN	NaN	-126000000	102000000	NaN	NaN	NaN	160000000	9101000000	4.183927092	7894000000	1207000000	NaN	9261000000	NaN	NaN	0	0	NaN	NaN	NaN	NaN	NaN	NaN	2
80	2000	0.005211251	NaN	2.898550725	690	NaN	690	501329788.6	3897606393	4.821428571	3167819157	729787236	NaN	4398936182	NaN	117553191.8	372872345	425558511.8	-11436170.24	364920213.7	527154256.7	-358925918.3	28457446.88	12500000.03	-15957446.85	4378044.992	72074468.28	NaN	NaN	NaN	489893618.3	4262526607	NaN	3694973414	567553193	NaN	4752420225	28457446.88	0.780566068	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	3
