Agricultural land (sq. km)	Arable land (hectares)	Arable land (hectares per person)	Land under cereal production (hectares)	Permanent cropland (% of land area)	Land area (sq. km)	Cereal production (metric tons)	Surface area (sq. km)	Income payments (BoP, current US$)	Imports of goods and services (BoP, current US$)	Insurance and financial services (% of service imports, BoP)	Goods imports (BoP, current US$)	Service imports (BoP, current US$)	Royalty and license fees, payments (BoP, current US$)	Imports of goods, services and income (BoP, current US$)	Foreign direct investment, net outflows (% of GDP)	Private current transfers, payments (BoP, current US$)	Workers' remittances and compensation of employees, paid (current US$)	Current account balance (BoP, current US$)	Net income (BoP, current US$)	Net trade in goods and services (BoP, current US$)	Net trade in goods (BoP, current US$)	Net errors and omissions, adjusted (BoP, current US$)	Foreign direct investment, net (BoP, current US$)	Private capital flows, total (BoP, current US$)	Portfolio investment, excluding LCFAR (BoP, current US$)	Changes in net reserves (BoP, current US$)	Net current transfers (BoP, current US$)	Net capital account (BoP, current US$)	ICT service exports (BoP, current US$)	ICT service exports (% of service exports, BoP)	Income receipts (BoP, current US$)	Exports of goods and services (BoP, current US$)	Insurance and financial services (% of service exports, BoP)	Goods exports (BoP, current US$)	Service exports (BoP, current US$)	Royalty and license fees, receipts (BoP, current US$)	Exports of goods, services and income (BoP, current US$)	Foreign direct investment, net inflows (BoP, current US$)	Foreign direct investment, net inflows (% of GDP)	Profit remittances on FDI (current US$)	Portfolio equity, net inflows (BoP, current US$)	Workers' remittances and compensation of employees, received (current US$)	Workers' remittances and compensation of employees, received (% of GDP)	Market capitalization of listed companies (current US$)	Listed domestic companies, total	Stocks traded, total value (current US$)	Stocks traded, turnover ratio (%)	Income
20	2000	0.032772916	NaN	NaN	180	NaN	180	24692737.43	497597765.4	0.87562744	397430167.6	100167597.8	NaN	522290502.8	NaN	14636871.51	NaN	-46703910.61	-11284916.2	-38770949.72	-289944134.1	20391061.45	NaN	NaN	NaN	-21508379.89	3351955.307	NaN	NaN	NaN	13407821.23	458826815.6	0.389569089	107486033.5	351340782.1	NaN	472234636.9	1300000	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	3
190	1000	0.019515622	NaN	NaN	470	NaN	470	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
380400	7910000	0.424457123	2290000	0.199316192	652230	2834000	652230	7900000	726900000	8.907156673	623500000	103400000	NaN	734800000	NaN	1200000	NaN	-143300000	12200000	-466400000	-371200000	182821438	NaN	NaN	NaN	20078562	310900000	NaN	NaN	NaN	20100000	260500000	NaN	252300000	8200000	NaN	280600000	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	0
574000	2900000	0.288483529	982000	0.401058795	1246700	272400	1246700	779000000	2513000000	3.167659574	1338000000	1175000000	NaN	3292000000	NaN	69000000	104000000	-132000000	-779000000	651000000	1676000000	-678000000	200000000	200000000	NaN	6000000	-4000000	NaN	NaN	NaN	NaN	3164000000	15	3014000000	150000000	NaN	3164000000	200000000	2.154463257	303000000	0	NaN	NaN	NaN	NaN	NaN	NaN	2
11100	582000	0.17875467	348900	4.562043796	27400	1033350	28750	500000	483700000	3.655913978	455800000	27900000	NaN	484200000	NaN	NaN	NaN	-39300000	-100000	-49800000	-62100000	4800000	NaN	NaN	NaN	-324900000	10600000	NaN	NaN	NaN	400000	433900000	2.189054726	393700000	40200000	NaN	434300000	NaN	NaN	0	0	NaN	NaN	NaN	NaN	NaN	NaN	1
2390	29000	0.016966684	624	0.119617225	83600	1201	83600	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38790000	0.093548785	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
1274000	26400000	0.820202507	8515780	0.372713022	2736690	18133270	2780400	6698000000	6657000000	NaN	3864000000	2793000000	403000000	13355000000	NaN	10000000	69720001.22	-1305000000	-6422000000	5109000000	5709000000	-249314096.6	1028000000	3646000000	2618000000	1348314097	8000000	NaN	NaN	NaN	276000000	11766000000	0.227998176	9573000000	2193000000	7000000	12042000000	1028000000	1.341390409	675000000	0	26559999.47	0.034656934	4220000000	178	1916000000	61.41025641	2
NaN	NaN	NaN	NaN	NaN	28480	NaN	29740	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
40	1000	0.021932229	NaN	15	200	NaN	200	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
130	8000	0.128633908	28	2.272727273	440	60	440	46685185.19	338911111.1	6.328759451	246329629.6	92581481.48	NaN	385596296.3	NaN	4222222.222	9474074.364	-81648148.15	-45481481.48	-47974074.07	-217185185.2	-1851851.852	43107407.41	43107407.41	NaN	-40740.74074	11807407.41	6737037.037	NaN	NaN	1203703.704	290937037	0.488087828	29144444.44	261792592.6	NaN	292140740.7	43107407.41	11.54445097	NaN	0	13196296.69	3.534056192	NaN	NaN	NaN	NaN	2
4670770	47700000	2.836854125	13347416	0.023039975	7682300	22375367	7741220	13892852431	53685761138	4.610362974	40510696644	13175064494	808156157.1	67578613570	0.956682262	850751440.5	555251220.7	-17877431775	-10383298327	-7669842283	-3350280250	-304499455.4	4366773805	12289124322	7922350517	-600660894.1	175708835.1	1681632739	NaN	NaN	3509554104	46015918855	3.235871543	37160416393	8855502462	170237056.7	49525472959	7259411410	2.400905704	NaN	1401061654	2402261230	0.794500045	1.41E+11	1258	44785999872	32.10465864	3
35480	1459000	0.191480697	946951	0.897513645	82450	5009120	83870	7723100099	49038838785	4.30730992	37511800616	11527038169	232175051.9	56761938885	0.658402148	1272822097	302310730	248020074	-934173074.4	1298138540	-5551790987	-613115533.8	-280016317.3	2354325370	2634341688	-990114993.3	-115945392.1	-11681010.42	NaN	NaN	6788927025	50336977326	2.965153663	31960009629	18376967696	76488359.92	57125904351	587351065.6	0.445847066	NaN	864226017.5	469524231	0.356406949	22300000256	81	11706000384	75.13478942	3
NaN	NaN	NaN	NaN	NaN	83210	NaN	86600	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
21300	930000	0.170098729	216150	14.01869159	25680	295900	27830	26489495.8	244021008.4	3.467165703	151405462.2	92615546.22	25210.08403	270510504.2	0.004526356	579831.9328	5376050.472	-11489495.8	-17602941.18	-135460084	-58159663.87	-14331030.06	516806.7227	516806.7227	NaN	-37979894.31	141573529.4	-611344.5378	NaN	NaN	8886554.622	108560924.4	0.436213992	93245798.32	15315126.05	NaN	117447479	567226.8908	0.050921501	2457983.193	0	NaN	NaN	NaN	NaN	NaN	NaN	0
