Agricultural land (sq. km)	Arable land (hectares)	Arable land (hectares per person)	Land under cereal production (hectares)	Permanent cropland (% of land area)	Land area (sq. km)	Cereal production (metric tons)	Surface area (sq. km)	Income payments (BoP, current US$)	Imports of goods and services (BoP, current US$)	Insurance and financial services (% of service imports, BoP)	Goods imports (BoP, current US$)	Service imports (BoP, current US$)	Royalty and license fees, payments (BoP, current US$)	Imports of goods, services and income (BoP, current US$)	Foreign direct investment, net outflows (% of GDP)	Private current transfers, payments (BoP, current US$)	Workers' remittances and compensation of employees, paid (current US$)	Current account balance (BoP, current US$)	Net income (BoP, current US$)	Net trade in goods and services (BoP, current US$)	Net trade in goods (BoP, current US$)	Net errors and omissions, adjusted (BoP, current US$)	Foreign direct investment, net (BoP, current US$)	Private capital flows, total (BoP, current US$)	Portfolio investment, excluding LCFAR (BoP, current US$)	Changes in net reserves (BoP, current US$)	Net current transfers (BoP, current US$)	Net capital account (BoP, current US$)	ICT service exports (BoP, current US$)	ICT service exports (% of service exports, BoP)	Income receipts (BoP, current US$)	Exports of goods and services (BoP, current US$)	Insurance and financial services (% of service exports, BoP)	Goods exports (BoP, current US$)	Service exports (BoP, current US$)	Royalty and license fees, receipts (BoP, current US$)	Exports of goods, services and income (BoP, current US$)	Foreign direct investment, net inflows (BoP, current US$)	Foreign direct investment, net inflows (% of GDP)	Profit remittances on FDI (current US$)	Portfolio equity, net inflows (BoP, current US$)	Workers' remittances and compensation of employees, received (current US$)	Workers' remittances and compensation of employees, received (% of GDP)	Market capitalization of listed companies (current US$)	Listed domestic companies, total	Stocks traded, total value (current US$)	Stocks traded, turnover ratio (%)	Income
20	2000	0.033019647	NaN	NaN	180	NaN	180	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
210	1000	0.025493295	NaN	NaN	470	NaN	470	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
380530	7910000	0.505177333	2909000	0.219247811	652230	3893000	652230	20100000	1060400000	8.215818516	897300000	163100000	NaN	1080500000	NaN	28500000	NaN	-205800000	23500000	-337700000	-206500000	100896556.1	NaN	NaN	NaN	37903443.9	108400000	NaN	NaN	NaN	43600000	722700000	NaN	690800000	31900000	NaN	766300000	180000	0.005174216	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	0
574000	2900000	0.366932174	700500	0.401058795	1246700	316000	1246700	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49050000	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
11160	588000	0.21577752	361600	4.306569343	27400	904200	28750	1500000	402600000	4.536082474	383200000	19400000	NaN	404100000	NaN	NaN	NaN	45000000	10500000	27400000	34800000	20700000	NaN	NaN	NaN	-26200000	7100000	NaN	NaN	NaN	12000000	430000000	4.75	418000000	12000000	NaN	442000000	NaN	NaN	0	0	NaN	NaN	NaN	NaN	NaN	NaN	1
2270	19000	0.01739683	375	0.09569378	83600	757	83600	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-16940000	-0.034337775	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
1278940	26000000	0.910314391	12377000	0.360289255	2736690	30014200	2780400	4630000000	11865000000	NaN	8431000000	3434000000	254000000	16495000000	-0.135999357	92000000	27000000	-4712000000	-3684000000	-1006000000	712000000	-205366024.7	944000000	2069000000	1125000000	3193366025	-22000000	NaN	NaN	NaN	946000000	10859000000	0.34965035	9143000000	1716000000	6000000	11805000000	837000000	1.06384544	753000000	0	42000000	0.053382925	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	28480	NaN	29740	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
40	1000	0.029800042	NaN	15	200	NaN	200	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
120	8000	0.114878157	25	2.272727273	440	45	440	5200000	145000000	6.35272045	125259259.3	19740740.74	NaN	150200000	NaN	1200000	NaN	-32700000	-2000000	-41100000	-73859259.26	-6129629.63	22400000	22400000	NaN	381481.4815	10400000	NaN	NaN	NaN	3200000	103900000	NaN	51400000	52500000	NaN	107100000	22400000	17.997323	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	2
