Agricultural land (sq. km)	Arable land (hectares)	Arable land (hectares per person)	Land under cereal production (hectares)	Permanent cropland (% of land area)	Land area (sq. km)	Cereal production (metric tons)	Surface area (sq. km)	Income payments (BoP, current US$)	Imports of goods and services (BoP, current US$)	Insurance and financial services (% of service imports, BoP)	Goods imports (BoP, current US$)	Service imports (BoP, current US$)	Royalty and license fees, payments (BoP, current US$)	Imports of goods, services and income (BoP, current US$)	Foreign direct investment, net outflows (% of GDP)	Private current transfers, payments (BoP, current US$)	Workers' remittances and compensation of employees, paid (current US$)	Current account balance (BoP, current US$)	Net income (BoP, current US$)	Net trade in goods and services (BoP, current US$)	Net trade in goods (BoP, current US$)	Net errors and omissions, adjusted (BoP, current US$)	Foreign direct investment, net (BoP, current US$)	Private capital flows, total (BoP, current US$)	Portfolio investment, excluding LCFAR (BoP, current US$)	Changes in net reserves (BoP, current US$)	Net current transfers (BoP, current US$)	Net capital account (BoP, current US$)	ICT service exports (BoP, current US$)	ICT service exports (% of service exports, BoP)	Income receipts (BoP, current US$)	Exports of goods and services (BoP, current US$)	Insurance and financial services (% of service exports, BoP)	Goods exports (BoP, current US$)	Service exports (BoP, current US$)	Royalty and license fees, receipts (BoP, current US$)	Exports of goods, services and income (BoP, current US$)	Foreign direct investment, net inflows (BoP, current US$)	Foreign direct investment, net inflows (% of GDP)	Profit remittances on FDI (current US$)	Portfolio equity, net inflows (BoP, current US$)	Workers' remittances and compensation of employees, received (current US$)	Workers' remittances and compensation of employees, received (% of GDP)	Market capitalization of listed companies (current US$)	Listed domestic companies, total	Stocks traded, total value (current US$)	Stocks traded, turnover ratio (%)	Income
20	2000	0.031925932	NaN	NaN	180	NaN	180	13631284.92	261005586.6	1.116022099	210446927.4	50558659.22	NaN	274636871.5	NaN	16089385.47	NaN	-18659217.88	-6368715.084	-14581005.59	-180893854.7	7106145.251	NaN	NaN	NaN	-51284916.2	2290502.793	NaN	NaN	NaN	7262569.832	246424581	0.311695003	29553072.63	216871508.4	NaN	253687150.8	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	3
200	1000	0.020553717	NaN	NaN	470	NaN	470	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
380540	7910000	0.451532805	2347000	0.220781013	652230	3084000	652230	34600000	1320100000	9.387755102	1138800000	181300000	NaN	1354700000	NaN	NaN	NaN	-537200000	-10800000	-793800000	-641800000	216383184.1	NaN	NaN	NaN	18726815.9	267400000	NaN	NaN	NaN	23800000	526300000	NaN	497000000	29300000	NaN	550100000	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	0
574000	2900000	0.311073687	899000	0.401058795	1246700	341400	1246700	233000000	1673000000	3.304940375	1086000000	587000000	NaN	1906000000	NaN	18000000	89000000	-303000000	-233000000	-211000000	260000000	-204000000	234000000	234000000	NaN	41000000	141000000	NaN	NaN	NaN	NaN	1462000000	15	1346000000	116000000	NaN	1462000000	234000000	3.681648091	82000000	0	NaN	NaN	NaN	NaN	NaN	NaN	2
11110	589000	0.194172005	349800	4.525547445	27400	1046000	28750	700000	336300000	3.705583756	316600000	19700000	NaN	337000000	NaN	NaN	NaN	-3200000	100000	-9000000	-5300000	3500000	NaN	NaN	NaN	1400000	5700000	NaN	NaN	NaN	800000	327300000	4.25	311300000	16000000	NaN	328100000	NaN	NaN	0	0	NaN	NaN	NaN	NaN	NaN	NaN	1
2380	29000	0.020296923	991	0.107655502	83600	1175	83600	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	110210000	0.32468554	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
1282650	27000000	0.876310864	10119555	0.370520592	2736690	26130800	2780400	4796000000	6906000000	NaN	4406000000	2500000000	420000000	11702000000	NaN	19000000	20000000	-2859000000	-4404000000	1543000000	2446000000	301877084.2	574000000	209000000	-365000000	891122915.8	2000000	NaN	NaN	NaN	392000000	8449000000	0.250469631	6852000000	1597000000	16000000	8841000000	574000000	0.51742271	485000000	0	32000000	0.028845865	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	28480	NaN	29740	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
40	1000	0.024489396	NaN	15	200	NaN	200	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
130	8000	0.123956058	21	2.272727273	440	40	440	37470370.37	293537037	6.004935563	212492592.6	81044444.44	NaN	331007407.4	NaN	3133333.333	11148148.54	-118285185.2	-36033333.33	-87644444.44	-180962963	-181481.4815	22600000	22600000	NaN	-10144444.44	5392592.593	5996296.296	NaN	NaN	1437037.037	205892592.6	0.539530141	31529629.63	174362963	NaN	207329629.6	22600000	9.190866532	NaN	0	11185185.43	4.548740992	NaN	NaN	NaN	NaN	2
4708850	46813000	2.922451681	15771295	0.021087435	7682300	24001773	7741220	6454498381	32141984747	5.960247218	24459483524	7682501222	541575949.4	38596483128	1.813436867	557900047	291884246.8	-9807128243	-4896623907	-4728358630	-1820121888	-1558709144	2009334048	5264064740	3254730692	-702737803.4	-182145705.6	627207928.8	NaN	NaN	1557874474	27413626116	3.206049451	22639361637	4774264480	150789005.8	28971500591	5336006348	2.908765805	NaN	1013938361	1053348999	0.574202006	NaN	NaN	NaN	NaN	3
34990	1439000	0.190097643	1058754	0.897513645	82450	5108351	83870	4459215803	33368026548	4.784485109	25741300329	7626726219	166585258.3	37827242351	0.322375228	857561461.9	224538681	204201243.8	-676268211.8	918006375.6	-4016077312	-1227738561	-130043209.1	2201231594	2331274804	-643189072.6	-37536920	-3409416.249	NaN	NaN	3782947591	34286032923	2.624336682	21725223016	12560809907	43943151.99	38068980515	186540951.3	0.189953223	NaN	103626940.1	303058471.7	0.308602123	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	83210	NaN	86600	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
21600	930000	0.185695422	219195	13.23987539	25680	266000	27830	22694012.57	268185245.4	3.30069811	165304553.9	102880691.5	17517.57049	290879258	NaN	1629134.055	6998269.558	-36165024.27	-20626939.25	-127308943.5	-36165024.27	-18867274.93	1524028.632	1524028.632	NaN	-28508994.46	111770858.5	-1410164.424	NaN	NaN	2067073.318	140876301.9	0.679104478	129139529.6	11736772.23	NaN	142943375.2	1524028.632	0.12682003	3074333.621	0	NaN	NaN	NaN	NaN	NaN	NaN	0
NaN	NaN	NaN	387092	NaN	NaN	2402763	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	986456298.8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1098416260	0.926480841	NaN	NaN	NaN	NaN	3
21900	1590000	0.373720009	593932	0.903995661	110620	496618	112620	28876204.24	521504248.5	5.956416465	402245525	119258723.5	NaN	550380452.8	NaN	2887620.424	2887620.449	-52843453.76	-25988583.81	-141204638.7	-93558901.73	448638.418	NaN	NaN	NaN	-2181210.672	114349768.8	NaN	NaN	NaN	2887620.424	380299609.8	NaN	308686623.3	71612986.51	NaN	383187230.2	1100000	0.082327636	0	0	50822120.67	3.803695487	NaN	NaN	NaN	NaN	0
100410	9161000	0.096609036	11304368	2.151033264	130170	24266304	144000	167219028	2803726494	4.968070078	2300712559	503013935.1	NaN	2970945522	NaN	296348.0158	NaN	-625181389.2	-135521526.9	-1708694420	-1420714661	8747375.854	2436499.344	2436499.344	NaN	-85935617.75	1219034558	NaN	NaN	NaN	31697501.13	1095032074	0.119319907	879997897.8	215034176.4	NaN	1126729575	2436499.344	0.01151452	0	0	576282470.7	2.723421963	NaN	NaN	NaN	NaN	0
61660	3819000	0.426314702	2098372	2.838289795	110630	8492190	110990	300000000	10676000000	5.657686212	10045000000	631000000	NaN	10976000000	NaN	22000000	NaN	-951000000	-162000000	-856000000	-1183000000	-346000000	NaN	NaN	NaN	885000000	67000000	NaN	NaN	NaN	138000000	9820000000	3.288100209	8862000000	958000000	NaN	9958000000	NaN	NaN	0	0	NaN	NaN	NaN	NaN	NaN	NaN	2
80	2000	0.004642041	NaN	2.898550725	690	NaN	690	675000000	2491755319	7.349593496	2164627660	327127659.6	NaN	3166755319	NaN	264627659.6	716223388.7	-68882978.72	-397074468.1	472074468.1	34840425.53	-7101946.839	-31914893.62	-57978723.4	-26063829.79	175718968.1	-143882978.7	NaN	NaN	NaN	277925531.9	2963829787	NaN	2199468085	764361702.1	NaN	3241755319	-31914893.62	-1.045569393	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	3
