Agricultural land (sq. km)	Arable land (hectares)	Arable land (hectares per person)	Land under cereal production (hectares)	Permanent cropland (% of land area)	Land area (sq. km)	Cereal production (metric tons)	Surface area (sq. km)	Income payments (BoP, current US$)	Imports of goods and services (BoP, current US$)	Insurance and financial services (% of service imports, BoP)	Goods imports (BoP, current US$)	Service imports (BoP, current US$)	Royalty and license fees, payments (BoP, current US$)	Imports of goods, services and income (BoP, current US$)	Foreign direct investment, net outflows (% of GDP)	Private current transfers, payments (BoP, current US$)	Workers' remittances and compensation of employees, paid (current US$)	Current account balance (BoP, current US$)	Net income (BoP, current US$)	Net trade in goods and services (BoP, current US$)	Net trade in goods (BoP, current US$)	Net errors and omissions, adjusted (BoP, current US$)	Foreign direct investment, net (BoP, current US$)	Private capital flows, total (BoP, current US$)	Portfolio investment, excluding LCFAR (BoP, current US$)	Changes in net reserves (BoP, current US$)	Net current transfers (BoP, current US$)	Net capital account (BoP, current US$)	ICT service exports (BoP, current US$)	ICT service exports (% of service exports, BoP)	Income receipts (BoP, current US$)	Exports of goods and services (BoP, current US$)	Insurance and financial services (% of service exports, BoP)	Goods exports (BoP, current US$)	Service exports (BoP, current US$)	Royalty and license fees, receipts (BoP, current US$)	Exports of goods, services and income (BoP, current US$)	Foreign direct investment, net inflows (BoP, current US$)	Foreign direct investment, net inflows (% of GDP)	Profit remittances on FDI (current US$)	Portfolio equity, net inflows (BoP, current US$)	Workers' remittances and compensation of employees, received (current US$)	Workers' remittances and compensation of employees, received (% of GDP)	Market capitalization of listed companies (current US$)	Listed domestic companies, total	Stocks traded, total value (current US$)	Stocks traded, turnover ratio (%)	Income
20	2000	0.021653692	NaN	NaN	180	NaN	180	107083798.9	2984262570	1.854233362	2371743017	612519553.1	1564245.81	3091346369	-0.194174749	94212290.5	49134078.98	308759776.5	-57340782.12	430458100.6	51441340.78	-5441340.782	-263240223.5	-205944134.1	57296089.39	-82793296.09	-64357541.9	-1435754.19	5977653.631	0.602867848	49743016.76	3414720670	0.298053357	2423184358	991536312.8	NaN	3464463687	-267932960.9	-14.1100318	NaN	0	9765362.74	0.514268862	NaN	NaN	NaN	NaN	3
180	1000	0.015062509	NaN	NaN	470	NaN	470	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
377530	7683000	0.287780509	2094000	0.107324103	652230	2108000	652230	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	680000	0.027623565	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
573000	3000000	0.208503553	939643	0.240635277	1246700	586120	1246700	1583960000	6697310000	2.647144932	3179180000	3518130000	430000	8281270000	NaN	107910000	216059997.6	-1430930000	-1560990000	39510000	3355140000	-308573379.5	2145470000	2145470000	NaN	466343379.5	90550000	3890000	NaN	NaN	22970000	6736820000	13.67407407	6534320000	202500000	4420000	6759790000	2145470000	24.00922591	927120000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
11390	578000	0.18782223	165800	4.416058394	27400	502500	28750	13500000	1775700000	9.727538843	1331600000	444100000	NaN	1789200000	NaN	72500000	NaN	-217300000	149000000	-936900000	-1027100000	136276542	207300000	183800000	-23500000	-146676542	570600000	117700000	NaN	NaN	162500000	838800000	0.318173311	304500000	534300000	NaN	1001300000	207300000	5.067195647	100000	0	699299987.8	17.09353524	NaN	NaN	NaN	NaN	1
5670	71000	0.02254369	45	2.284688995	83600	159	83600	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1183840000	1.145892137	NaN	NaN	NaN	NaN	5773601922	12	145409080.8	2.528652093	3
1288600	28000000	0.750627659	11200623	0.365404923	2736690	35914289	2780400	13084672153	27647942433	4.75576743	19157800000	8490142433	564137635.4	40732614586	0.059872964	376463222.4	256100006.1	-3780423241	-7726728702	3521810644	7384900000	-2810012905	2005260142	-7498059137	-9503319280	21404950777	424494817.5	313000000	375612378.2	8.117745182	5357943451	31169753077	0.091418878	26542700000	4627053077	46775129.55	36527696528	2166136830	0.806164239	1396900000	31126954.25	189600006.1	0.07056283	1.92499E+11	111	4180340000	2.331688966	2
13280	455000	0.148411024	191331	1.334269663	28480	364044	29740	39291922.64	977626889.3	5.273674111	773325014	204301875.3	NaN	1016918812	NaN	22928800	20535999.3	-199556181.3	64455105.31	-437996346.9	-420219814	11020646.34	69868500	64154571.15	-5713928.853	-16717215.05	173985060.2	30116601.17	31037300	16.63972284	103747028	539630542.4	2.364848834	353105200	186525342.4	NaN	643377570.4	69868500	3.298067417	3575000	487297.3932	94388160.71	4.455491637	2147314.123	105	32835.28993	NaN	1
50	2000	0.034110484	NaN	15	200	NaN	200	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
130	8000	0.101054759	31	2.272727273	440	52	440	43470370.37	493983333.3	16.43829915	324908888.9	169074444.4	474814.8148	537453703.7	NaN	9562592.593	1564444.423	-40190740.74	-24788148.15	-24534814.81	-256138148.1	-15893438.31	98452222.22	95947407.41	-2504814.815	-15997302.43	9132222.222	11930740.74	NaN	NaN	18682222.22	469448518.5	2.990950519	68770740.74	400677777.8	NaN	488130740.7	98452222.22	12.3998815	NaN	NaN	27010000.23	3.401861275	NaN	NaN	NaN	NaN	2
