Agricultural land (sq. km)	Arable land (hectares)	Arable land (hectares per person)	Land under cereal production (hectares)	Permanent cropland (% of land area)	Land area (sq. km)	Cereal production (metric tons)	Surface area (sq. km)	Income payments (BoP, current US$)	Imports of goods and services (BoP, current US$)	Insurance and financial services (% of service imports, BoP)	Goods imports (BoP, current US$)	Service imports (BoP, current US$)	Royalty and license fees, payments (BoP, current US$)	Imports of goods, services and income (BoP, current US$)	Foreign direct investment, net outflows (% of GDP)	Private current transfers, payments (BoP, current US$)	Workers' remittances and compensation of employees, paid (current US$)	Current account balance (BoP, current US$)	Net income (BoP, current US$)	Net trade in goods and services (BoP, current US$)	Net trade in goods (BoP, current US$)	Net errors and omissions, adjusted (BoP, current US$)	Foreign direct investment, net (BoP, current US$)	Private capital flows, total (BoP, current US$)	Portfolio investment, excluding LCFAR (BoP, current US$)	Changes in net reserves (BoP, current US$)	Net current transfers (BoP, current US$)	Net capital account (BoP, current US$)	ICT service exports (BoP, current US$)	ICT service exports (% of service exports, BoP)	Income receipts (BoP, current US$)	Exports of goods and services (BoP, current US$)	Insurance and financial services (% of service exports, BoP)	Goods exports (BoP, current US$)	Service exports (BoP, current US$)	Royalty and license fees, receipts (BoP, current US$)	Exports of goods, services and income (BoP, current US$)	Foreign direct investment, net inflows (BoP, current US$)	Foreign direct investment, net inflows (% of GDP)	Profit remittances on FDI (current US$)	Portfolio equity, net inflows (BoP, current US$)	Workers' remittances and compensation of employees, received (current US$)	Workers' remittances and compensation of employees, received (% of GDP)	Market capitalization of listed companies (current US$)	Listed domestic companies, total	Stocks traded, total value (current US$)	Stocks traded, turnover ratio (%)	Income
20	2000	0.021142543	NaN	NaN	180	NaN	180	167910614.5	2629229050	1.39009319	2017156425	612072625.7	3391061.453	2797139665	-0.321543408	98094972.07	51837989.81	-340251396.6	-135743016.8	-137737430.2	-529223463.7	10731275.98	338659217.9	402720670.4	64061452.51	-40223463.69	-66770949.72	19927941.9	13217877.09	1.317100597	32167597.77	2491491620	0.197064079	1487932961	1003558659	NaN	2523659218	261284916.2	13.67144106	NaN	0	8910614.967	0.466237964	NaN	NaN	NaN	NaN	3
180	1000	0.014483728	NaN	NaN	470	NaN	470	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
377530	7678000	0.279550455	2238000	0.114990111	652230	3737000	652230	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50000000	1.152363794	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
573900	3100000	0.208186791	1120481	0.232614101	1246700	716819	1246700	1652348440	7082116362	3.849519352	3760118415	3321997947	NaN	8734464802	0.251055429	103330000	223507965.1	-150093385.3	-1634656134	1452563748	4567770678	-67572515.09	1643393000	1643393000	NaN	356335900.3	31999000	NaN	NaN	NaN	17692306.6	8534680110	NaN	8327889093	206791017	NaN	8552372417	1672093000	14.62676047	1100277150	0	NaN	NaN	NaN	NaN	NaN	NaN	2
11400	578000	0.187068456	157600	4.416058394	27400	518800	28750	20580000	2075570000	8.539333458	1485360000	590210000	NaN	2096150000	NaN	56860000	NaN	-407520000	127690000	-1160330000	-1155120000	108468951.6	135000000	98180000	-36820000	-37108951.55	625120000	121220000	33100000	5.658119658	148270000	915240000	1.858119658	330240000	585000000	NaN	1063510000	135000000	3.034135061	600000	0	733570007.3	16.48704058	NaN	NaN	NaN	NaN	1
5710	75000	0.023043662	34	2.284688995	83600	116	83600	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	95300000	0.086781364	NaN	NaN	NaN	NaN	20376310683	24	363486742.9	2.780022621	3
1289830	28129000	0.746972569	9825957	0.365770328	2736690	31843845	2780400	10529850000	13428720000	2.05322442	8473100000	4955620000	351280000	23958570000	-0.614600104	250550000	119550003.1	8766610000	-7490680000	15717280000	17177500000	-1889947470	2776050000	-1864280000	-4640330000	3786787470	540010000	812220000	277210000	7.930708932	3039170000	29146000000	0.025748126	25650600000	3495400000	33450000	32185170000	2148910000	2.105941749	113400000	-115880000	206630004.9	0.202498361	1.03434E+11	83	1352800000	0.914260319	2
13910	455000	0.14864098	184869	1.264044944	28480	412083	29740	48356770	1107060403	5.055497011	882543255.4	224517147.8	NaN	1155417173	NaN	24436508	24053800.58	-147883570.5	88213571.2	-409447183.5	-368758758.4	-4386319.403	110738700	112268700	1530000	-74173120.33	173350041.8	68055663.92	27559100	14.99172686	136570341.2	697613219.7	3.651026277	513784497	183828722.7	NaN	834183560.9	110738700	4.660062565	13029770	-410000	130979736.3	5.51183792	10200106	161	737570.7224	11.94696082	1
50	2000	0.033508134	NaN	15	200	NaN	200	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
130	8000	0.099370241	32	2.272727273	440	50	440	49535185.19	481581851.9	17.94417033	310134444.4	171447407.4	509629.6296	531117037	NaN	13300370.37	1411481.5	-67473857.78	-41446719.26	-31641802.22	-254413844.4	-40263735.13	65865064.81	63693968.52	-2171096.296	-7727943.386	5614663.704	13922906.67	NaN	NaN	8088465.926	449940049.6	2.255398613	55720600	394219449.6	NaN	458028515.6	65865064.81	8.001069008	NaN	NaN	17575500.49	2.135013344	NaN	NaN	NaN	NaN	2
