Agricultural land (sq. km)	Arable land (hectares)	Arable land (hectares per person)	Land under cereal production (hectares)	Permanent cropland (% of land area)	Land area (sq. km)	Cereal production (metric tons)	Surface area (sq. km)	Income payments (BoP, current US$)	Imports of goods and services (BoP, current US$)	Insurance and financial services (% of service imports, BoP)	Goods imports (BoP, current US$)	Service imports (BoP, current US$)	Royalty and license fees, payments (BoP, current US$)	Imports of goods, services and income (BoP, current US$)	Foreign direct investment, net outflows (% of GDP)	Private current transfers, payments (BoP, current US$)	Workers' remittances and compensation of employees, paid (current US$)	Current account balance (BoP, current US$)	Net income (BoP, current US$)	Net trade in goods and services (BoP, current US$)	Net trade in goods (BoP, current US$)	Net errors and omissions, adjusted (BoP, current US$)	Foreign direct investment, net (BoP, current US$)	Private capital flows, total (BoP, current US$)	Portfolio investment, excluding LCFAR (BoP, current US$)	Changes in net reserves (BoP, current US$)	Net current transfers (BoP, current US$)	Net capital account (BoP, current US$)	ICT service exports (BoP, current US$)	ICT service exports (% of service exports, BoP)	Income receipts (BoP, current US$)	Exports of goods and services (BoP, current US$)	Insurance and financial services (% of service exports, BoP)	Goods exports (BoP, current US$)	Service exports (BoP, current US$)	Royalty and license fees, receipts (BoP, current US$)	Exports of goods, services and income (BoP, current US$)	Foreign direct investment, net inflows (BoP, current US$)	Foreign direct investment, net inflows (% of GDP)	Profit remittances on FDI (current US$)	Portfolio equity, net inflows (BoP, current US$)	Workers' remittances and compensation of employees, received (current US$)	Workers' remittances and compensation of employees, received (% of GDP)	Market capitalization of listed companies (current US$)	Listed domestic companies, total	Stocks traded, total value (current US$)	Stocks traded, turnover ratio (%)	Income
20	2000	0.018759614	NaN	NaN	180	NaN	180	123636871.5	3134670391	2.290791231	2448659218	686011173.2	13000000	3258307263	NaN	146525139.7	76826812.74	193648044.7	-64860335.2	340011173.2	-496927374.3	-13689305.39	-34972067.04	-31620111.73	3351955.307	-33575418.99	-81502793.3	34049640.59	15592178.77	1.023814415	58776536.31	3474681564	0.530798803	1951731844	1522949721	NaN	3533458101	73407821.23	NaN	NaN	0	21424581.53	NaN	NaN	NaN	NaN	NaN	3
180	1000	0.011950715	NaN	NaN	470	NaN	470	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
379100	7793000	0.233055904	3185000	0.179384573	652230	6514000	652230	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	185000000	1.301563873	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
582900	4000000	0.215573981	1742079	0.232614101	1246700	1029870	1246700	6954474705	41829288283	4.038039493	22659935299	19169352983	20000	48783762988	0.008945438	397064204.9	715962036.1	-7571651746	-6823141271	-378203335.8	18168010016	454722663.4	2198545055	1708435331	-490109724.9	5003798394	-370307138.6	11258221.69	33950000	5.448217111	131333434.1	41451084947	NaN	40827945316	623139631	NaN	41582418381	2205298180	2.921219343	6130050800	0	NaN	NaN	NaN	NaN	NaN	NaN	2
12040	612000	0.191685906	146200	3.175182482	27400	630900	28750	569669116.4	6500182960	4.833439526	4267333691	2232849269	14447807.76	7069852076	0.323675667	221416346.5	10034214.02	-1851316059	-192293257.4	-2966892915	-3218479677	417630338.5	951522038.6	966602243	15080204.38	24677585.07	1307870113	118799141.1	166055970.1	6.683849696	377375859	3533290045	0.959872754	1048854014	2484436031	17207967.41	3910665904	964630946.7	7.959931756	435790449.1	2645459.425	1317469482	10.87148116	NaN	NaN	NaN	NaN	1
5690	64000	0.009223477	15	2.392344498	83600	45	83600	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4002700000	1.480644772	NaN	NaN	NaN	NaN	1.0962E+11	95	65714399018	63.34788952	3
1405000	31000000	0.773791531	6963938	0.365404923	2736690	26382228	2780400	12478700289	49398473138	4.373432288	37146134000	12252339138	1461447055	61877173426	0.231712352	1726173751	755619018.6	8337560772	-8955492615	17240618644	18525966000	-355079597.4	3305612521	143365352.8	-3162247168	-1326662862	52434743.33	148056000	1334490789	12.16824828	3523207674	66639091781	0.151347277	55672100000	10966991781	101688206.1	70162299455	4017150000	1.308169461	8359882364	-211920000	621462463.4	0.202376863	48932431697	101	2729139562	5.391328368	2
17530	457000	0.148137151	169304	1.860955056	28480	377502	29740	549164726.5	3687749463	7.105013235	2830128729	857620733.7	NaN	4236914189	0.609609936	77524831	145153976.4	-1369481993	165999617.5	-2349398315	-2081280676	20124934.24	724779397.4	720916556.1	-3862841.338	-165225438.4	813916705.4	89101776.69	94921663.22	16.10197878	715164344	1338351148	2.641846354	748848052.9	589503094.6	NaN	2053515492	777498557.9	8.990485453	331625140.4	505136.8098	769453186	8.897454027	140509762.9	12	265027.6445	0.167457523	1
50	2000	0.029712384	NaN	15	200	NaN	200	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
130	8000	0.091114098	38	2.272727273	440	66	440	63991481.48	706477113	22.60906619	478906695.6	227570417.4	1190460.37	770468594.4	NaN	11441480.37	2296622.276	-169090240	-50885714.07	-144853610.7	-428096230.7	-26553378.37	80646652.59	75995879.26	-4650773.333	10211882.97	26649084.81	3792477.778	NaN	NaN	13105767.41	561623502.2	2.638282092	50810464.81	510813037.4	NaN	574729269.6	80646652.59	6.641485345	NaN	NaN	24429292.68	2.011822985	NaN	NaN	NaN	NaN	2
