Agricultural land (sq. km)	Arable land (hectares)	Arable land (hectares per person)	Land under cereal production (hectares)	Permanent cropland (% of land area)	Land area (sq. km)	Cereal production (metric tons)	Surface area (sq. km)	Income payments (BoP, current US$)	Imports of goods and services (BoP, current US$)	Insurance and financial services (% of service imports, BoP)	Goods imports (BoP, current US$)	Service imports (BoP, current US$)	Royalty and license fees, payments (BoP, current US$)	Imports of goods, services and income (BoP, current US$)	Foreign direct investment, net outflows (% of GDP)	Private current transfers, payments (BoP, current US$)	Workers' remittances and compensation of employees, paid (current US$)	Current account balance (BoP, current US$)	Net income (BoP, current US$)	Net trade in goods and services (BoP, current US$)	Net trade in goods (BoP, current US$)	Net errors and omissions, adjusted (BoP, current US$)	Foreign direct investment, net (BoP, current US$)	Private capital flows, total (BoP, current US$)	Portfolio investment, excluding LCFAR (BoP, current US$)	Changes in net reserves (BoP, current US$)	Net current transfers (BoP, current US$)	Net capital account (BoP, current US$)	ICT service exports (BoP, current US$)	ICT service exports (% of service exports, BoP)	Income receipts (BoP, current US$)	Exports of goods and services (BoP, current US$)	Insurance and financial services (% of service exports, BoP)	Goods exports (BoP, current US$)	Service exports (BoP, current US$)	Royalty and license fees, receipts (BoP, current US$)	Exports of goods, services and income (BoP, current US$)	Foreign direct investment, net inflows (BoP, current US$)	Foreign direct investment, net inflows (% of GDP)	Profit remittances on FDI (current US$)	Portfolio equity, net inflows (BoP, current US$)	Workers' remittances and compensation of employees, received (current US$)	Workers' remittances and compensation of employees, received (% of GDP)	Market capitalization of listed companies (current US$)	Listed domestic companies, total	Stocks traded, total value (current US$)	Stocks traded, turnover ratio (%)	Income
1345300	18052000	0.492639431	9899820	0.058080808	2376000	6372748	2505810	879230000	3366390000	0.019270375	2536100000	830290000	NaN	4245620000	NaN	510150000	649999.9762	-938580000	-869220000	-787740000	6070000	-13868148.18	1349190000	1384440000	35250000	-437481851.8	718380000	NaN	NaN	NaN	10010000	2578650000	2.275219298	2542170000	36480000	NaN	2588660000	1349190000	7.588116261	878580000	0	1223599976	6.881772675	NaN	NaN	NaN	NaN	1
86820	2982000	0.289572028	1331210	0.259699787	192530	1451891	196720	222580747	2656865393	10.69229784	2065509897	591355496.2	505849.6924	2879446140	0.038762213	56890884.62	57090473.18	-436568745.6	-136152713.8	-830863095.6	-808540327.2	10830681.67	49836518.17	4110458.895	-45726059.27	-51025271.18	530447063.9	150027448.2	78461760.79	13.78862005	86428033.16	1826002297	1.69780057	1256969569	569032727.8	NaN	1912430330	52494809.92	0.765459625	88807591.41	3649344.21	510932281.5	7.450222856	NaN	NaN	NaN	NaN	1
0	0	0	NaN	0	680	NaN	690	20472988874	1.72595E+11	5.800509096	1.3236E+11	40235813531	6635275146	1.93068E+11	2.886411827	1560796534	NaN	21789332767	-3523222776	26755896962	29026911157	3016808049	9246501038	2508691202	-6737809836	-6703281378	-1443341418	-164161827.6	814148842.2	2.14448346	16949766098	1.99351E+11	11.71449161	1.61387E+11	37964799335	366307317.7	2.16301E+11	11941337976	12.79024296	NaN	2785470339	NaN	NaN	2.29328E+11	551	87863703803	53.05326787	3
32700	940000	0.198730661	490300	1.815135437	71620	496093	71740	16694831.71	404486156.4	7.485123423	310696085.9	93790070.51	197310.6941	421180988.1	NaN	2036947.77	3403188.229	-82819209.24	-15014997.39	-227632445.4	-199905653.3	-50325595.23	8615049.668	8615049.668	NaN	9425808.929	159828233.5	70980119.04	NaN	NaN	1679834.323	176853711	0.206227744	110790432.6	66063278.43	2184.466536	178533545.4	8615049.668	0.869229406	9436507.331	0	25889259.34	2.612138802	NaN	NaN	NaN	NaN	0
15510	681000	0.113339002	320104	11.82432432	20720	791458	21040	563440000	6494309897	11.93240632	5439200000	1055109897	22200000	7057749897	0.123615145	85940000	24799999.24	-702197959.6	-423040000	-2393417960	-2286600000	-143304668.8	122600000	311700000	189100000	-316197371.6	2114260000	112900000	123300000	13.00232504	140400000	4100891937	3.585393766	3152600000	948291937.2	200000	4241291937	141200000	0.938411745	84900000	0	2122399902	14.10541781	2109050000	34	10250000	0.566628615	1
10	1000	0.034467308	NaN	NaN	60	NaN	60	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
442760	1250000	0.156603238	585834	0.041444831	627340	402751	637660	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-850000	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
NaN	NaN	NaN	NaN	NaN	87460	NaN	88360	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1405952494	7.191285217	0	NaN	NaN	NaN	1417410693	342	535720101.8	49.79534931	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
800	55000	0.112982744	52453	0.038461538	156000	193750	163820	60200000	652600000	2.096608428	458000000	194600000	NaN	712800000	NaN	29500000	28299999.24	-159000000	-48500000	-105800000	29800000	193656753.1	-76100000	-76100000	NaN	-7156753.146	-4700000	9000000	NaN	NaN	11700000	546800000	0.084745763	487800000	59000000	NaN	558500000	-76100000	-5.987178431	NaN	0	23500000	1.848865876	NaN	NaN	NaN	NaN	2
