Agricultural land (sq. km)	Arable land (hectares)	Arable land (hectares per person)	Land under cereal production (hectares)	Permanent cropland (% of land area)	Land area (sq. km)	Cereal production (metric tons)	Surface area (sq. km)	Income payments (BoP, current US$)	Imports of goods and services (BoP, current US$)	Insurance and financial services (% of service imports, BoP)	Goods imports (BoP, current US$)	Service imports (BoP, current US$)	Royalty and license fees, payments (BoP, current US$)	Imports of goods, services and income (BoP, current US$)	Foreign direct investment, net outflows (% of GDP)	Private current transfers, payments (BoP, current US$)	Workers' remittances and compensation of employees, paid (current US$)	Current account balance (BoP, current US$)	Net income (BoP, current US$)	Net trade in goods and services (BoP, current US$)	Net trade in goods (BoP, current US$)	Net errors and omissions, adjusted (BoP, current US$)	Foreign direct investment, net (BoP, current US$)	Private capital flows, total (BoP, current US$)	Portfolio investment, excluding LCFAR (BoP, current US$)	Changes in net reserves (BoP, current US$)	Net current transfers (BoP, current US$)	Net capital account (BoP, current US$)	ICT service exports (BoP, current US$)	ICT service exports (% of service exports, BoP)	Income receipts (BoP, current US$)	Exports of goods and services (BoP, current US$)	Insurance and financial services (% of service exports, BoP)	Goods exports (BoP, current US$)	Service exports (BoP, current US$)	Royalty and license fees, receipts (BoP, current US$)	Exports of goods, services and income (BoP, current US$)	Foreign direct investment, net inflows (BoP, current US$)	Foreign direct investment, net inflows (% of GDP)	Profit remittances on FDI (current US$)	Portfolio equity, net inflows (BoP, current US$)	Workers' remittances and compensation of employees, received (current US$)	Workers' remittances and compensation of employees, received (% of GDP)	Market capitalization of listed companies (current US$)	Listed domestic companies, total	Stocks traded, total value (current US$)	Stocks traded, turnover ratio (%)	Income
20	2000	0.024899468	NaN	NaN	180	NaN	180	24581005.59	2017932961	23.00864816	1772458101	245474860.3	NaN	2042513966	NaN	35083798.88	8547486.305	-279329.6089	-8212290.503	-25586592.18	-425251396.6	1955307.263	-5530726.257	-22122905.03	-16592178.77	-42737430.17	33519553.07	-502793.2961	NaN	NaN	16368715.08	1992346369	3.394527191	1347206704	645139664.8	NaN	2008715084	-5530726.257	-0.418781717	NaN	NaN	4413407.803	0.334179349	NaN	NaN	NaN	NaN	3
180	1000	0.015456189	NaN	NaN	470	NaN	470	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
377530	7653000	0.340501635	2577012	0.153320148	652230	3142985	652230	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-93326.6667	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
575000	3000000	0.247829325	735842	0.401058795	1246700	296000	1246700	783189000	3519068000	2.186458029	1467668000	2051400000	NaN	4302257000	NaN	153496000	209546005.2	-295047000	-767257000	316690000	2255032000	-19368538.19	472427000	472427000	NaN	-30739461.81	155520000	NaN	NaN	NaN	15932000	3835758000	9.247465902	3722700000	113058000	7421000	3851690000	472427000	9.374416905	385831000	0	NaN	NaN	NaN	NaN	NaN	NaN	2
11270	577000	0.183693494	227137	4.562043796	27400	645400	28750	28400000	836200000	13.8658147	679700000	156500000	NaN	864600000	NaN	35700000	NaN	-11500000	43600000	-532500000	-474800000	53689050.41	70000000	70000000	NaN	-20589050.41	477400000	389400000	8300000	8.400809717	72000000	303700000	1.315789474	204900000	98800000	NaN	375700000	70000000	2.887194483	4000000	0	427299987.8	17.62425953	NaN	NaN	NaN	NaN	1
3830	43000	0.018309255	558	0.4784689	83600	972	83600	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	399850000	0.608195468	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
1279400	27000000	0.774634229	8681595	0.372713022	2736690	24306495	2780400	9004452701	26066017000	6.846881584	18804317000	7261700000	392000000	35070469701	0.580218619	230100000	195199996.9	-5117957254	-4636072254	-1078685000	2357415000	-2673684229	4112274404	6425763947	2313489543	2006345789	596800000	28400000	345500000	9.03126307	4368380447	24987332000	0.235257215	21161732000	3825600000	12400000	29355712447	5609423404	2.17392651	2129400000	1552418680	63599998.47	0.024648117	37783000000	149	4594000000	12.30266598	2
12440	435000	0.134960177	133512	2.071629213	28480	248200	29740	14610000	726141000	10.27338295	673870000	52271000	NaN	740751000	NaN	NaN	NaN	-218371000	40020000	-426641000	-402970000	12353740.8	25320000	25320000	NaN	-29512740.8	168250000	8050000	NaN	NaN	54630000	299500000	NaN	270900000	28600000	NaN	354130000	25320000	1.724422857	0	NaN	65349998.47	4.450672633	NaN	NaN	NaN	NaN	1
40	1000	0.018896805	NaN	15	200	NaN	200	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
130	8000	0.116546721	28	2.272727273	440	45	440	32066666.67	438925925.9	11.04209973	291040740.7	147885185.2	NaN	470992592.6	NaN	11566666.67	7859259.129	-518518.5185	-26859259.26	-37318518.52	-237892592.6	17700302.08	31485185.19	31392592.59	-92592.59259	-13589190.96	63659259.26	6985185.185	NaN	NaN	5207407.407	401607407.4	0.619659028	53148148.15	348459259.3	NaN	406814814.8	31485185.19	6.37113089	NaN	NaN	3333333.254	0.674510959	NaN	NaN	NaN	NaN	2
4633480	40097000	2.218736166	14638839	0.026424378	7682300	27389413	7741220	19293605011	74841495814	6.986346018	57442772670	17398723144	1001161631	94135100824	0.880825046	1521845020	700452697.8	-19276732605	-14036020068	-5131310540	-4223212396	482578523.3	8759597125	21117286920	12357689794	2404942623	-109401996.2	579756937.3	784933942.8	4.759879888	5257584942	69710185274	5.234204939	53219560274	16490625000	240272765.4	74967770216	12026426012	3.242648332	NaN	2584983382	1651104980	0.445182368	2.45218E+11	1178	98654000000	42.51562323	3
