Agricultural land (sq. km)	Arable land (hectares)	Arable land (hectares per person)	Land under cereal production (hectares)	Permanent cropland (% of land area)	Land area (sq. km)	Cereal production (metric tons)	Surface area (sq. km)	Income payments (BoP, current US$)	Imports of goods and services (BoP, current US$)	Insurance and financial services (% of service imports, BoP)	Goods imports (BoP, current US$)	Service imports (BoP, current US$)	Royalty and license fees, payments (BoP, current US$)	Imports of goods, services and income (BoP, current US$)	Foreign direct investment, net outflows (% of GDP)	Private current transfers, payments (BoP, current US$)	Workers' remittances and compensation of employees, paid (current US$)	Current account balance (BoP, current US$)	Net income (BoP, current US$)	Net trade in goods and services (BoP, current US$)	Net trade in goods (BoP, current US$)	Net errors and omissions, adjusted (BoP, current US$)	Foreign direct investment, net (BoP, current US$)	Private capital flows, total (BoP, current US$)	Portfolio investment, excluding LCFAR (BoP, current US$)	Changes in net reserves (BoP, current US$)	Net current transfers (BoP, current US$)	Net capital account (BoP, current US$)	ICT service exports (BoP, current US$)	ICT service exports (% of service exports, BoP)	Income receipts (BoP, current US$)	Exports of goods and services (BoP, current US$)	Insurance and financial services (% of service exports, BoP)	Goods exports (BoP, current US$)	Service exports (BoP, current US$)	Royalty and license fees, receipts (BoP, current US$)	Exports of goods, services and income (BoP, current US$)	Foreign direct investment, net inflows (BoP, current US$)	Foreign direct investment, net inflows (% of GDP)	Profit remittances on FDI (current US$)	Portfolio equity, net inflows (BoP, current US$)	Workers' remittances and compensation of employees, received (current US$)	Workers' remittances and compensation of employees, received (% of GDP)	Market capitalization of listed companies (current US$)	Listed domestic companies, total	Stocks traded, total value (current US$)	Stocks traded, turnover ratio (%)	Income
20	2000	0.02215551	NaN	NaN	180	NaN	180	77016759.78	3225955307	1.756561094	2581603352	644351955.3	458100.5587	3302972067	0.141268404	108329608.9	48776535.03	207145251.4	-24033519.55	309776536.3	-58094972.07	12529456.98	-130558659.2	-137396648	-6837988.827	14972067.04	-78597765.36	11238196.65	10955307.26	1.082301256	52983240.22	3535731844	0.641322825	2523508380	1012223464	NaN	3588715084	-127988826.8	-6.88608328	NaN	0	7854748.726	0.422602935	NaN	NaN	NaN	NaN	3
180	1000	0.015471733	NaN	NaN	470	NaN	470	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
377530	7683000	0.296060055	2406000	0.107324103	652230	1940000	652230	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	170000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
573000	3000000	0.215418616	890728	0.240635277	1246700	509635	1246700	1715230000	5738980000	2.336014106	3039510000	2699470000	5630000	7454210000	NaN	91220000	266290008.5	795650000	-1680860000	2449010000	4881200000	-50562722.49	878620000	878620000	NaN	-631257277.5	27500000	18330000	NaN	NaN	34370000	8187990000	13.21086501	7920710000	267280000	15750000	8222360000	878620000	9.624303227	928630000	0	NaN	NaN	NaN	NaN	NaN	NaN	2
11440	578000	0.188159862	178200	4.416058394	27400	565800	28750	9300000	1499300000	7.943163289	1070000000	429300000	NaN	1508600000	NaN	93300000	NaN	-156300000	106600000	-795800000	-814300000	9793111.139	143000000	118000000	-25000000	-119893111.1	532900000	78000000	21300000	4.756587762	115900000	703500000	0.200982582	255700000	447800000	NaN	819400000	143000000	3.878860857	100000	0	597799987.8	16.21526554	NaN	NaN	NaN	NaN	1
5520	60000	0.019779192	56	2.236842105	83600	364	83600	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-506330000	-0.485281519	NaN	NaN	NaN	NaN	5727314410	54	118000000	1.759317065	3
1287700	27900000	0.755468843	11222463	0.365404923	2736690	38756328	2780400	14967920797	33108403787	4.006810151	23889100000	9219303787	580337544.9	48076324583	0.317036005	344139734.2	267700012.2	-8980617893	-7547770369	-1831883472	2451900000	-154385116.6	9517286140	6933680546	-2583605594	1176399180	399035948	211800000	321606166.8	6.516155264	7420150428	31276520315	0.376859962	26341000000	4935520315	36756558.01	38696670743	10418314339	3.665790656	3086000000	-3227185085	86343658.45	0.030380901	1.66068E+11	127	5956460000	4.766012562	2
13230	450000	0.146289227	156585	1.334269663	28480	220819	29740	50840000	966175602	5.89157057	773429850	192745752	NaN	1017015602	NaN	18450000	4699999.809	-278374154	52900000	-519334154	-463520850	17091117.89	104190000	85340000	-18850000	-35666988.89	188060000	28310000	17810000	13.00641321	103740000	446841448	3.202199379	309909000	136932448	NaN	550581448	104190000	5.450511635	22020000	400000	87470001.22	4.575835103	NaN	NaN	NaN	NaN	1
50	2000	0.034707158	NaN	15	200	NaN	200	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
130	8000	0.10301844	30	2.272727273	440	48	440	60040370.37	502565259.3	10.05004376	346494444.4	156070814.8	288888.8889	562605629.6	NaN	7812592.593	1558148.146	-42295712.59	-44518888.89	-7122008.889	-265552666.7	-45257442.4	43115925.93	45456666.67	2340740.741	6161673.515	9345185.185	40290740.74	NaN	NaN	15521481.48	495443250.4	3.83772036	80941777.78	414501472.6	NaN	510964731.9	43115925.93	5.372522296	NaN	NaN	20676296.23	2.57639979	NaN	NaN	NaN	NaN	2
