Agricultural land (sq. km)	Arable land (hectares)	Arable land (hectares per person)	Land under cereal production (hectares)	Permanent cropland (% of land area)	Land area (sq. km)	Cereal production (metric tons)	Surface area (sq. km)	Income payments (BoP, current US$)	Imports of goods and services (BoP, current US$)	Insurance and financial services (% of service imports, BoP)	Goods imports (BoP, current US$)	Service imports (BoP, current US$)	Royalty and license fees, payments (BoP, current US$)	Imports of goods, services and income (BoP, current US$)	Foreign direct investment, net outflows (% of GDP)	Private current transfers, payments (BoP, current US$)	Workers' remittances and compensation of employees, paid (current US$)	Current account balance (BoP, current US$)	Net income (BoP, current US$)	Net trade in goods and services (BoP, current US$)	Net trade in goods (BoP, current US$)	Net errors and omissions, adjusted (BoP, current US$)	Foreign direct investment, net (BoP, current US$)	Private capital flows, total (BoP, current US$)	Portfolio investment, excluding LCFAR (BoP, current US$)	Changes in net reserves (BoP, current US$)	Net current transfers (BoP, current US$)	Net capital account (BoP, current US$)	ICT service exports (BoP, current US$)	ICT service exports (% of service exports, BoP)	Income receipts (BoP, current US$)	Exports of goods and services (BoP, current US$)	Insurance and financial services (% of service exports, BoP)	Goods exports (BoP, current US$)	Service exports (BoP, current US$)	Royalty and license fees, receipts (BoP, current US$)	Exports of goods, services and income (BoP, current US$)	Foreign direct investment, net inflows (BoP, current US$)	Foreign direct investment, net inflows (% of GDP)	Profit remittances on FDI (current US$)	Portfolio equity, net inflows (BoP, current US$)	Workers' remittances and compensation of employees, received (current US$)	Workers' remittances and compensation of employees, received (% of GDP)	Market capitalization of listed companies (current US$)	Listed domestic companies, total	Stocks traded, total value (current US$)	Stocks traded, turnover ratio (%)	Income
20	2000	0.03274984	NaN	NaN	180	NaN	180	27932960.89	439888268.2	1.21231979	354636871.5	85251396.65	NaN	467821229.1	NaN	15810055.87	NaN	-44301675.98	-17039106.15	-26312849.16	-267262569.8	-12849162.01	NaN	NaN	NaN	391061.4525	-949720.6704	NaN	NaN	NaN	10893854.75	413575419	0.297996232	87374301.68	326201117.3	NaN	424469273.7	12264016.63	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	3
190	1000	0.019906043	NaN	NaN	470	NaN	470	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
380400	7910000	0.433296971	2331000	0.199316192	652230	2997000	652230	11500000	851800000	9.116666667	731800000	120000000	NaN	863300000	NaN	NaN	NaN	26200000	11800000	-328400000	-278000000	-47731019.5	NaN	NaN	NaN	25631019.5	342800000	NaN	NaN	NaN	23300000	523400000	NaN	453800000	69600000	NaN	546700000	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	0
574000	2900000	0.29592803	1006000	0.401058795	1246700	334400	1246700	615000000	2506000000	3.217813051	1372000000	1134000000	NaN	3121000000	NaN	8000000	71000000	-469000000	-615000000	114000000	1120000000	-257000000	131000000	131000000	NaN	-49000000	32000000	NaN	NaN	NaN	NaN	2620000000	15	2492000000	128000000	NaN	2620000000	131000000	1.642585019	185000000	0	NaN	NaN	NaN	NaN	NaN	NaN	2
11170	590000	0.184671976	347000	4.525547445	27400	997630	28750	700000	408500000	3.854961832	382300000	26200000	NaN	409200000	NaN	NaN	NaN	-27100000	200000	-34300000	-37700000	22000000	NaN	NaN	NaN	-134200000	7000000	NaN	NaN	NaN	900000	374200000	2.466216216	344600000	29600000	NaN	375100000	NaN	NaN	0	0	NaN	NaN	NaN	NaN	NaN	NaN	1
2390	29000	0.01799837	673	0.119617225	83600	544	83600	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	188890000	0.52070707	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
1273800	26367000	0.83100293	8835960	0.374540047	2736690	22336300	2780400	5338000000	7594000000	NaN	4892000000	2702000000	288000000	12932000000	NaN	2000000	45360000.61	-1572000000	-5127000000	3555000000	4242000000	-165007005.6	1147000000	491000000	-656000000	-1857992994	0	NaN	NaN	NaN	211000000	11149000000	0.049627792	9134000000	2015000000	6000000	11360000000	1147000000	0.908825708	660000000	0	30280000.69	0.023992365	2020000000	186	593000000	NaN	2
NaN	NaN	NaN	NaN	NaN	28480	NaN	29740	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
40	1000	0.022702506	NaN	15	200	NaN	200	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
130	8000	0.127654821	28	2.272727273	440	57	440	33059259.26	283800000	5.97356499	204500000	79300000	NaN	316859259.3	NaN	4740740.741	4314815.044	-45037037.04	-31625925.93	-18274074.07	-176307407.4	-3655555.556	32951851.85	32951851.85	NaN	-2622222.222	4862962.963	5485185.185	NaN	NaN	1433333.333	265525925.9	0.483770287	28192592.59	237333333.3	NaN	266959259.3	32951851.85	9.729026504	NaN	0	12337037.09	3.642507297	NaN	NaN	NaN	NaN	2
4722830	47000000	2.842936814	13434984	0.029027765	7682300	21891005	7741220	11550990703	44913895707	5.325052556	34090024105	10823871603	715692769.6	56464886410	2.441578249	768202123.6	428584075.9	-11725687123	-8563290879	-3045557911	-677491456	-147449215.9	1554268079	11317084357	9762816278	-5278855350	-116838332.5	2347373445	NaN	NaN	2987699824	41868337796	2.586593599	33412532649	8455805148	163974382.6	44856037620	7376945451	3.093317456	NaN	1107289084	1884704224	0.790298439	1.38E+11	1380	37411999744	NaN	3
35320	1458000	0.192213457	966344	0.897513645	82450	5359332	83870	6242534919	46999509169	4.182383836	34922440654	12077068515	264691518.4	53242044088	0.234887868	1215770812	251341339.1	-241751208.8	-918691667.2	708395605.2	-4764625347	321909898.2	125719180.5	2444336959	2318617778	-491045999.7	-31455146.74	-4528052.732	NaN	NaN	5323843252	47707904774	2.653394303	30157815308	17550089466	70649471.9	53031748026	435699357	0.330151735	NaN	388525795.2	448963897.7	0.340202957	8860000256	74	2026000000	NaN	3
NaN	NaN	NaN	NaN	NaN	83210	NaN	86600	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
21450	930000	0.174775629	244250	14.01869159	25680	291700	27830	25820007.84	280935930.8	2.883804563	166060044.9	114875885.9	7122.760782	306755938.6	NaN	1709462.588	5940382.481	-70059475.05	-22935289.72	-144656148.7	-41703764.38	-6567738.443	1196623.811	1196623.811	NaN	-7122207.78	97531963.39	-505716.0155	NaN	NaN	2884718.117	136279782	0.519713262	124356280.5	11923501.55	NaN	139164500.2	1196623.811	0.110552499	2279283.45	0	NaN	NaN	NaN	NaN	NaN	NaN	0
NaN	NaN	NaN	385381	NaN	NaN	2351141	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1380126343	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1430124512	0.892023823	58900000768	186	8368999936	NaN	3
22100	1610000	0.358236161	667296	0.903995661	110620	556977	112620	37029934.39	457905709.6	6.0009869	331351989.9	126553719.7	NaN	494935644	NaN	17645564.65	15516963.96	-105492992.8	-32290272	-153359319	-141157802.3	448067.553	-1.86265E-09	286051.7358	286051.7358	-3993161.776	80156598.2	87330050.53	NaN	NaN	4739662.388	304546390.6	4.95366945	190194187.6	114352203.1	NaN	309286053	-1.86265E-09	-1.14961E-16	0	0	71116760.25	4.389283064	NaN	NaN	NaN	NaN	0
104270	9537000	0.095310601	10935826	2.227855881	130170	24449970	144000	180739659.2	3347529945	5.031137405	2734413290	613116654.7	NaN	3528269604	NaN	1455752.397	NaN	-272836596.9	-125891023.1	-1778862049	-1443389544	6622311.411	1838242.499	1838242.499	NaN	-132417333.8	1631916475	NaN	NaN	NaN	54848636.11	1568667896	0.061474188	1291023746	277644150.4	NaN	1623516532	1838242.499	0.007169782	0	0	763622131.3	2.978390717	430000000	101	4000000	NaN	0
61620	3840000	0.427548081	2109569	2.711741842	110630	7816939	110990	511000000	10545000000	5.914634146	9889000000	656000000	NaN	11056000000	NaN	80000000	NaN	-402000000	-429000000	-76000000	-606000000	-486000000	NaN	NaN	NaN	-657000000	103000000	NaN	NaN	NaN	82000000	10469000000	3.516020236	9283000000	1186000000	NaN	10551000000	NaN	NaN	0	0	NaN	NaN	NaN	NaN	NaN	NaN	2
80	2000	0.004327281	NaN	2.898550725	690	NaN	690	694148936.2	2863297872	4.899497487	2334042553	529255319.1	NaN	3557446809	NaN	193085106.4	668617004.4	192021276.6	-431117021.3	449734042.6	77393617.02	114885116.5	222074468.1	222074468.1	NaN	-92544690.96	173404255.3	NaN	NaN	NaN	263031914.9	3313031915	NaN	2411436170	901595744.7	NaN	3576063830	222074468.1	5.998132251	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	51000	NaN	51210	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	202840	NaN	207600	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
1150	50000	0.278086763	17000	0.745287155	22810	28672	22970	15700000	214600000	3.805060918	161250000	53350000	200000	230300000	NaN	2600000	6000000	-2600000	-7700000	-20750000	-41850000	-2932287.3	14000000	14000000	NaN	-21767712.7	25850000	NaN	NaN	NaN	8000000	193850000	NaN	119400000	74450000	2900000	201850000	14000000	4.445855827	4800000	0	16950000.76	5.382661404	NaN	NaN	NaN	NaN	1
10	1000	0.017035775	NaN	NaN	50	NaN	50	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
352500	2080000	0.326865688	631546	0.156927905	1083300	834282	1098580	283000000	845700000	9.576138148	590900000	254800000	3600000	1128700000	0.041325769	4100000	7099999.905	-304396000	-264800000	-174900000	-48400000	46639915.1	-12000000	-12000000	NaN	43316084.9	135304000	49000000	NaN	NaN	18200000	670800000	7.170693687	542500000	128300000	NaN	689000000	-10100000	-0.219679087	5200000	0	4500000	0.097876821	NaN	NaN	NaN	NaN	1
2376870	49800000	0.344707344	23082585	0.74319516	8459420	42905137	8514880	12851000000	19907000000	3.772161449	14605000000	5302000000	48000000	32758000000	0.052966521	7000000	7000000	4156000000	-12080000000	16145000000	19168000000	-826671935.5	2629000000	2805000000	176000000	-1711328065	91000000	3000000	NaN	NaN	771000000	36052000000	14.78718736	33773000000	2279000000	6000000	36823000000	2804000000	0.848675006	2255000000	189000000	32000000	0.009685307	32099999744	589	17979000832	NaN	2
190	16000	0.062106738	840	2.325581395	430	2200	430	64550000	711350000	15.34076186	518400000	192950000	5500000	775900000	0.061652526	5800000	3650000.095	48050000	-35500000	67000000	-338850000	-45308605.7	10600000	53100000	42500000	-40641394.3	16550000	NaN	NaN	NaN	29050000	778350000	3.674014696	179550000	598800000	650000	807400000	11550000	0.74956492	NaN	350000	31950000.76	2.073471841	NaN	NaN	NaN	NaN	3
120	3000	0.012588909	890	0.759013283	5270	1930	5770	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
4600	140000	0.258819267	91670	0.425531915	47000	93871	47000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
260100	409000	0.314338283	288300	0.001764509	566730	108280	581730	546815506.5	1225700165	7.643151626	986936638.3	238763526.5	NaN	1772515671	NaN	34999692.39	18780263.9	193920170.6	-326700253.6	353551580.1	482011388.6	213691864.2	39921524.13	39921524.13	NaN	-382291944.9	167068844.1	NaN	NaN	NaN	220115252.9	1579251745	1.784828954	1468948027	110303718	NaN	1799366998	39921524.13	1.509914957	239419770.7	0	54687019.35	2.068376653	NaN	NaN	NaN	NaN	2
50060	1920000	0.683817181	128708	0.138046165	622980	143158	622980	21165274.18	330121161.7	7.261309325	179087859.6	151033302.1	NaN	351286435.9	0.371361285	34356425.03	33013458.25	-34608362.8	-21165274.18	-134132076.3	-45425821.43	11724171.01	-8591624.318	-8591624.318	NaN	-31281155.38	120688987.6	NaN	NaN	NaN	NaN	195989085.4	7.341628959	133662038.2	62327047.22	NaN	195989085.4	-3827452.803	-0.298345218	0	0	21784.7917	0.001698098	NaN	NaN	NaN	NaN	0
677980	45372000	1.68700502	20231700	0.730630966	9093510	35494200	9984670	30706224005	1.28867E+11	NaN	1.07843E+11	21023967399	NaN	1.59574E+11	1.248702423	982087860.6	NaN	-14817781655	-17473890556	3505439752	8849192045	327597967	-149479871.1	14863088596	15012568467	-8150329576	-849330850.7	3924142189	NaN	NaN	13232333449	1.32373E+11	NaN	1.16693E+11	15680215106	NaN	1.45605E+11	6071142242	1.218696441	NaN	-1934626835	NaN	NaN	2.42E+11	1145	66653999104	NaN	3
20210	391000	0.059301852	196510	0.525	40000	1243700	41280	11191143306	77584910818	1.273979705	68358504750	9226406068	NaN	88776054124	4.500467211	1974988041	5765734863	8845759585	8866261190	1692749265	-5194423563	3470355995	-8289482676	-15704913552	-7415430875	2382169120	-1713250871	NaN	NaN	NaN	20057404497	79277660083	23.97048221	63164081186	16113578897	NaN	99335064580	405248411.1	0.209760045	NaN	4255450010	826214721.7	0.42765581	1.41E+11	161	NaN	NaN	3
80	3000	0.021761838	NaN	NaN	190	NaN	190	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
161540	3059000	0.240234175	792720	0.329509233	743530	2799540	756090	2116200000	6624700000	4.07773534	4844300000	1780400000	36200000	8740900000	0.063309343	16500000	14100000.38	-231400000	-1931300000	1519300000	2209800000	-121533724.1	952300000	944300000	-8000000	-826266275.9	180600000	NaN	NaN	NaN	184900000	8144000000	6.248279659	7054100000	1089900000	NaN	8328900000	967900000	3.928020098	310500000	0	100000.0015	0.000405829	6849999872	205	610000000	NaN	2
