Agricultural land (sq. km)	Arable land (hectares)	Arable land (hectares per person)	Land under cereal production (hectares)	Permanent cropland (% of land area)	Land area (sq. km)	Cereal production (metric tons)	Surface area (sq. km)	Income payments (BoP, current US$)	Imports of goods and services (BoP, current US$)	Insurance and financial services (% of service imports, BoP)	Goods imports (BoP, current US$)	Service imports (BoP, current US$)	Royalty and license fees, payments (BoP, current US$)	Imports of goods, services and income (BoP, current US$)	Foreign direct investment, net outflows (% of GDP)	Private current transfers, payments (BoP, current US$)	Workers' remittances and compensation of employees, paid (current US$)	Current account balance (BoP, current US$)	Net income (BoP, current US$)	Net trade in goods and services (BoP, current US$)	Net trade in goods (BoP, current US$)	Net errors and omissions, adjusted (BoP, current US$)	Foreign direct investment, net (BoP, current US$)	Private capital flows, total (BoP, current US$)	Portfolio investment, excluding LCFAR (BoP, current US$)	Changes in net reserves (BoP, current US$)	Net current transfers (BoP, current US$)	Net capital account (BoP, current US$)	ICT service exports (BoP, current US$)	ICT service exports (% of service exports, BoP)	Income receipts (BoP, current US$)	Exports of goods and services (BoP, current US$)	Insurance and financial services (% of service exports, BoP)	Goods exports (BoP, current US$)	Service exports (BoP, current US$)	Royalty and license fees, receipts (BoP, current US$)	Exports of goods, services and income (BoP, current US$)	Foreign direct investment, net inflows (BoP, current US$)	Foreign direct investment, net inflows (% of GDP)	Profit remittances on FDI (current US$)	Portfolio equity, net inflows (BoP, current US$)	Workers' remittances and compensation of employees, received (current US$)	Workers' remittances and compensation of employees, received (% of GDP)	Market capitalization of listed companies (current US$)	Listed domestic companies, total	Stocks traded, total value (current US$)	Stocks traded, turnover ratio (%)	Income
20	2000	0.02928858	NaN	NaN	180	NaN	180	21787709.5	1606536313	24.92135617	1446703911	159832402.2	NaN	1628324022	NaN	25921787.71	7094972.134	43798882.68	-7318435.754	33854748.6	-377486033.5	4413407.821	-36983240.22	-43798882.68	-6815642.458	-22569832.4	17262569.83	-1508379.888	NaN	NaN	14469273.74	1640391061	4.037558685	1069217877	571173184.4	NaN	1654860335	-36983240.22	-3.857808776	NaN	0	2625698.328	0.273892768	NaN	NaN	NaN	NaN	3
180	1000	0.017310921	NaN	NaN	470	NaN	470	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
380300	7910000	0.388968824	2250000	0.183984177	652230	2470000	652230	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	360000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
575000	3000000	0.272655143	1012042	0.401058795	1246700	401800	1246700	797980000	4030416000	2.518529834	1988034000	2042382000	NaN	4828396000	NaN	67757000	121637001	-734776000	-782288000	-54757000	1844766000	42985000	287956000	287956000	NaN	-227180000	102269000	NaN	NaN	NaN	15692000	3975659000	8.037295515	3832800000	142859000	NaN	3991351000	287956000	4.982459847	362120000	0	NaN	NaN	NaN	NaN	NaN	NaN	2
11270	578000	0.176921643	189541	4.562043796	27400	430122	28750	37700000	629600000	4.242424242	540500000	89100000	NaN	667300000	NaN	300000	NaN	-50700000	-35100000	-539300000	-470500000	47389266.89	20000000	20000000	NaN	-13489266.89	523700000	NaN	NaN	NaN	2600000	90300000	0.985221675	70000000	20300000	NaN	92900000	20000000	2.819074984	0	0	151800003.1	21.39677957	NaN	NaN	NaN	NaN	1
3390	38000	0.018867035	1373	0.370813397	83600	3179	83600	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	129720000	0.239162944	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
1279700	27000000	0.805008393	8372540	0.372713022	2736690	25597620	2780400	4758134249	19336500000	1.651117888	13794800000	5541700000	284000000	24094634249	0.509623851	190200000	142800003.1	-5547754559	-2383654559	-3953300000	-1395900000	-153545910.3	3265063223	8125188672	4860125449	-3336776762	789200000	31400000	210300000	7.046878665	2374479691	15383200000	0.160841738	12398900000	2984300000	5700000	17757679691	4430977523	1.936790575	1246200000	1213770549	15399999.62	0.006731376	18599999488	175	15678999552	84.52291039	2
11700	423000	0.122610828	162767	2.106741573	28480	299949	29740	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2400000	0.188593619	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
30	1000	0.020141798	NaN	10	200	NaN	200	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
130	8000	0.125387919	36	2.272727273	440	62	440	33366666.67	386455555.6	7.464725977	261770370.4	124685185.2	NaN	419822222.2	NaN	8514814.815	9424691.2	-9870370.37	-29666666.67	20914814.81	-186744444.4	13702962.96	19648148.15	19648148.15	NaN	-17981481.48	-1118518.519	5737037.037	NaN	NaN	3700000	407370370.4	0.521547257	75025925.93	332344444.4	NaN	411070370.4	19648148.15	4.63658937	NaN	NaN	2714814.901	0.640644697	NaN	NaN	NaN	NaN	2
4661780	47200000	2.69791369	13319769	0.023170144	7682300	25261727	7741220	13891935178	54923389953	6.771990019	41172777074	13750612878	843695450.8	68815325130	1.565902184	1381247079	565207336.4	-11095826184	-10117598287	-896358663.7	1643349818	296534116.4	554043732.3	-260034257.1	-814077989.4	4726150271	-81869233.89	1038258683	749938598	6.689367526	3774336891	54027031289	4.826413019	42816126893	11210904396	148081020.3	57801368180	5699133705	1.734524753	NaN	797611109.7	1926091797	0.586203811	1.45E+11	1030	45771001856	31.13673585	3
34920	1436000	0.183146703	837703	0.848999394	82450	4322589	83870	8413710232	70161510683	6.11629532	52205128465	17956382218	420791913.8	78575220915	0.876675396	1515705086	206126342.8	-753153021.6	-1415377000	1679798368	-7689547415	1012683132	-250193083	6237385406	6487578489	-2580534896	-1017574390	-50000540.11	130576809.8	0.477852996	6998333232	71841309051	3.385006557	44515581050	27325728001	122295591.9	78839642283	1442437729	0.747091249	NaN	157711018.1	815280883.8	0.422263784	21799999488	112	4930999808	33.44184412	3
44460	1704000	0.230831753	627000	3.72551376	83210	1324700	86600	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
21350	930000	0.159381094	220000	14.40809969	25680	306100	27830	27556056.25	319111613.2	2.610476863	181773957.1	137337656.1	96014.13328	346667669.5	NaN	518476.3197	7671529.293	-59608454.36	-13561996.33	-224685553.7	-104818629.3	-12704634.12	600088.333	600088.333	NaN	-25530114.03	178639095.7	-849725.0795	NaN	NaN	13994059.93	94426059.52	0.829852715	76955327.82	17470731.69	NaN	108420119.4	600088.333	0.055407891	4215020.451	0	NaN	NaN	NaN	NaN	NaN	NaN	0
NaN	NaN	NaN	346774	NaN	NaN	2165192	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2896886230	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4475618164	1.929779094	64199999488	171	8030000128	11.85239896	3
22950	1630000	0.319086356	667314	1.03959501	110620	609496	112620	27112286.74	746702011.3	4.55778765	560537952.4	186164059	NaN	773814298.1	NaN	23057759.94	21149124.15	-72712868.12	7024018.102	-245575041.7	-215459261.8	9149041.319	77571726.6	72008275.08	-5563451.515	-67299690.32	165838155.5	79289951.33	NaN	NaN	34136304.84	501126969.6	7.072802853	345078690.5	156048279.1	NaN	535263274.5	77571726.6	4.775712916	954317.4336	0	136306823.7	8.391746414	NaN	NaN	NaN	NaN	0
95490	8609000	0.078103485	10860757	2.611968964	130170	28516927	144000	165958606.2	4142568972	4.857328985	3353792987	788775985	NaN	4308527578	NaN	718599.4953	NaN	180790960.4	-65899646.56	-1561350613	-1255926435	-83968682.12	3721853.382	12451776.4	8729923.022	-635242422.9	1808041220	NaN	NaN	NaN	100058959.6	2581218359	0.03980782	2097866552	483351806.7	NaN	2681277319	3721853.382	0.01173758	0	8729923.022	911759948.7	2.875410347	314000000	145	11000000	3.773584906	0
61540	4047000	0.473878488	2231625	2.558076471	110630	6591619	110990	220700000	5333900000	NaN	4168700000	1165200000	NaN	5554600000	NaN	71200000	NaN	-359900000	-95600000	-307200000	-212300000	14689316.9	41500000	41500000	NaN	-440889316.9	42900000	NaN	NaN	NaN	125100000	5026700000	NaN	3956400000	1070300000	NaN	5151800000	41500000	0.400119535	0	0	NaN	NaN	NaN	NaN	NaN	NaN	2
90	2000	0.003848404	NaN	4.225352113	710	NaN	710	2493085106	4596276596	4.491413474	3992287234	603989361.7	NaN	7089361702	1.113972197	335638297.9	335638305.7	-826595744.7	32180851.06	-588031914.9	-526861702.1	238087359.7	815691489.4	-582446808.5	-1398138298	90104129.63	-270744680.9	101063829.8	NaN	NaN	2525265957	4008244681	NaN	3465425532	542819148.9	NaN	6533510638	868617021.3	18.28257886	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	3
22000	850000	0.216209507	304100	2.941176471	51000	1080400	51210	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
