Agricultural land (sq. km)	Arable land (hectares)	Arable land (hectares per person)	Land under cereal production (hectares)	Permanent cropland (% of land area)	Land area (sq. km)	Cereal production (metric tons)	Surface area (sq. km)	Income payments (BoP, current US$)	Imports of goods and services (BoP, current US$)	Insurance and financial services (% of service imports, BoP)	Goods imports (BoP, current US$)	Service imports (BoP, current US$)	Royalty and license fees, payments (BoP, current US$)	Imports of goods, services and income (BoP, current US$)	Foreign direct investment, net outflows (% of GDP)	Private current transfers, payments (BoP, current US$)	Workers' remittances and compensation of employees, paid (current US$)	Current account balance (BoP, current US$)	Net income (BoP, current US$)	Net trade in goods and services (BoP, current US$)	Net trade in goods (BoP, current US$)	Net errors and omissions, adjusted (BoP, current US$)	Foreign direct investment, net (BoP, current US$)	Private capital flows, total (BoP, current US$)	Portfolio investment, excluding LCFAR (BoP, current US$)	Changes in net reserves (BoP, current US$)	Net current transfers (BoP, current US$)	Net capital account (BoP, current US$)	ICT service exports (BoP, current US$)	ICT service exports (% of service exports, BoP)	Income receipts (BoP, current US$)	Exports of goods and services (BoP, current US$)	Insurance and financial services (% of service exports, BoP)	Goods exports (BoP, current US$)	Service exports (BoP, current US$)	Royalty and license fees, receipts (BoP, current US$)	Exports of goods, services and income (BoP, current US$)	Foreign direct investment, net inflows (BoP, current US$)	Foreign direct investment, net inflows (% of GDP)	Profit remittances on FDI (current US$)	Portfolio equity, net inflows (BoP, current US$)	Workers' remittances and compensation of employees, received (current US$)	Workers' remittances and compensation of employees, received (% of GDP)	Market capitalization of listed companies (current US$)	Listed domestic companies, total	Stocks traded, total value (current US$)	Stocks traded, turnover ratio (%)	Income
20	2000	0.031730922	NaN	NaN	180	NaN	180	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
200	1000	0.021090817	NaN	NaN	470	NaN	470	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
380540	7910000	0.460936532	2434500	0.220781013	652230	3242000	652230	8600000	1075700000	8.935756003	921600000	154100000	NaN	1084300000	NaN	NaN	NaN	-243200000	20600000	-407500000	-293400000	168413472.8	NaN	NaN	NaN	-26013472.8	143700000	NaN	NaN	NaN	29200000	668200000	NaN	628200000	40000000	NaN	697400000	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	0
574000	2900000	0.319891916	685800	0.401058795	1246700	308000	1246700	214000000	2042000000	3.2074883	1401000000	641000000	NaN	2256000000	NaN	16000000	79000000	195000000	-214000000	388000000	900000000	-655000000	278000000	278000000	NaN	-21000000	21000000	NaN	NaN	NaN	NaN	2430000000	15	2301000000	129000000	NaN	2430000000	278000000	4.085664893	108000000	0	NaN	NaN	NaN	NaN	NaN	NaN	2
11120	589000	0.199162099	343000	4.525547445	27400	994900	28750	900000	362000000	3.072625698	344100000	17900000	NaN	362900000	NaN	NaN	NaN	-36400000	1400000	-43500000	-40600000	6000000	NaN	NaN	NaN	17600000	5700000	NaN	NaN	NaN	2300000	318500000	5.466666667	303500000	15000000	NaN	320800000	NaN	NaN	0	0	NaN	NaN	NaN	NaN	NaN	NaN	1
2350	26000	0.019273536	970	0.107655502	83600	1300	83600	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-220960000	-0.544187527	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
1283910	27000000	0.889496822	11508250	0.368328163	2736690	28074800	2780400	5576000000	5705000000	NaN	3518000000	2187000000	420000000	11281000000	NaN	18000000	18000000	-952000000	-5294000000	4342000000	4878000000	-531760761	919000000	412000000	-507000000	-1029239239	0	NaN	NaN	NaN	282000000	10047000000	0.181708056	8396000000	1651000000	8000000	10329000000	919000000	1.039396769	426000000	0	27000000	0.030537228	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	28480	NaN	29740	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
40	1000	0.02547576	NaN	15	200	NaN	200	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
130	8000	0.121925199	20	2.272727273	440	38	440	5100000	213200000	4.557291667	174800000	38400000	NaN	218300000	NaN	1600000	NaN	-23100000	-2700000	-34600000	-146500000	3.72529E-09	15600000	15600000	NaN	-3300000	14200000	NaN	NaN	NaN	2400000	178600000	NaN	28300000	150300000	NaN	181000000	15600000	7.728014881	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	2
