Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)	HFC gas emissions (thousand metric tons of CO2 equivalent)	Agricultural methane emissions (thousand metric tons of CO2 equivalent)	Agricultural methane emissions (% of total)	Methane emissions in energy sector (thousand metric tons of CO2 equivalent)	Energy related methane emissions (% of total)	Methane emissions (kt of CO2 equivalent)	Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent)	Agricultural nitrous oxide emissions (% of total)	Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)	Nitrous oxide emissions in industrial and energy processes (% of total nitrous oxide emissions)	Industrial nitrous oxide emissions (thousand metric tons of CO2 equivalent)	Nitrous oxide emissions (thousand metric tons of CO2 equivalent)	PFC gas emissions (thousand metric tons of CO2 equivalent)	PM10, country level (micrograms per cubic meter)	SF6 gas emissions (thousand metric tons of CO2 equivalent)	Bird species, threatened	Disaster risk reduction progress score (1-5 scale; 5=best)	GHG net emissions/removals by LUCF (Mt of CO2 equivalent)	Droughts, floods, extreme temperatures (% of population, average 1990-2009)	CO2 emissions from residential buildings and commercial and public services (million metric tons)	CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion)	CO2 emissions from electricity and heat production, total (million metric tons)	CO2 emissions from electricity and heat production, total (% of total fuel combustion)	CO2 emissions from manufacturing industries and construction (million metric tons)	CO2 emissions from manufacturing industries and construction (% of total fuel combustion)	CO2 emissions from other sectors, excluding residential buildings and commercial and public services (million metric tons)	CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)	CO2 emissions from transport (million metric tons)	CO2 emissions from transport (% of total fuel combustion)	Fish species, threatened	Plant species (higher), threatened	Mammal species, threatened	Population density (people per sq. km of land area)	Population living in areas where elevation is below 5 meters (% of total population)	Population in largest city	Population in the largest city (% of urban population)	Population in urban agglomerations of more than 1 million	Population in urban agglomerations of more than 1 million (% of total population)	Pump price for diesel fuel (US$ per liter)	Pump price for gasoline (US$ per liter)	GEF benefits index for biodiversity (0 = no biodiversity potential to 100 = maximum)	Water productivity, total (constant 2000 US$ GDP per cubic meter of total freshwater withdrawal)	Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)	Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)	Annual freshwater withdrawals, industry (% of total freshwater withdrawal)	Annual freshwater withdrawals, total (billion cubic meters)	Annual freshwater withdrawals, total (% of internal resources)	Renewable internal freshwater resources, total (billion cubic meters)	Renewable internal freshwater resources per capita (cubic meters)	Terrestrial protected areas (% of total land area)	Marine protected areas (% of territorial waters)	Terrestrial and marine protected areas (% of total territorial area)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	345.6	NaN	18181	57.94239601	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	92.84255319	NaN	15941	38.88012214	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.13235668	NaN	1127555	41.73943272	1127555	6.878658513	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.06	2.553191489	0.62	26.38297872	0.46	19.57446809	0.44	18.72340426	0.77	32.76595745	NaN	NaN	NaN	6.811327505	NaN	1200000	50.65045145	1200000	14.13147595	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.29	3.956343793	1.18	16.09822647	3.24	44.20190996	1.7	23.19236016	0.92	12.55115962	NaN	NaN	NaN	103.3460584	NaN	207840	21.2255848	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.1	0.408163265	8.18	33.3877551	7.04	28.73469388	0	0	9.19	37.51020408	NaN	NaN	NaN	14.55766746	NaN	306179	31.38481837	306179	25.1580704	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.69	15.3999371	29.21	30.62165845	14.95	15.67250236	5.28	5.535171402	31.26	32.77073068	NaN	NaN	NaN	10.76043432	NaN	9745704	39.3234926	11801483	40.07570572	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	113.7363764	NaN	1089596	50.46157694	1089596	33.63768719	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	181.015	NaN	25951	93.82448274	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	154.0727273	NaN	24317	102.9564126	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.32	3.614457831	103.73	51.21963263	37.95	18.73888999	3.01	1.486272961	50.51	24.94074659	NaN	NaN	NaN	2.000572745	NaN	3355135	25.49700478	9312892	60.59530223	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.88	27.1677432	11.67	22.84204345	11.84	23.17478959	2.24	4.384419652	11.45	22.41143081	NaN	NaN	NaN	91.71510006	NaN	1533157	30.94434093	1533157	20.27473218	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
