Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)	HFC gas emissions (thousand metric tons of CO2 equivalent)	Agricultural methane emissions (thousand metric tons of CO2 equivalent)	Agricultural methane emissions (% of total)	Methane emissions in energy sector (thousand metric tons of CO2 equivalent)	Energy related methane emissions (% of total)	Methane emissions (kt of CO2 equivalent)	Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent)	Agricultural nitrous oxide emissions (% of total)	Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)	Nitrous oxide emissions in industrial and energy processes (% of total nitrous oxide emissions)	Industrial nitrous oxide emissions (thousand metric tons of CO2 equivalent)	Nitrous oxide emissions (thousand metric tons of CO2 equivalent)	PFC gas emissions (thousand metric tons of CO2 equivalent)	PM10, country level (micrograms per cubic meter)	SF6 gas emissions (thousand metric tons of CO2 equivalent)	Bird species, threatened	Disaster risk reduction progress score (1-5 scale; 5=best)	GHG net emissions/removals by LUCF (Mt of CO2 equivalent)	Droughts, floods, extreme temperatures (% of population, average 1990-2009)	CO2 emissions from residential buildings and commercial and public services (million metric tons)	CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion)	CO2 emissions from electricity and heat production, total (million metric tons)	CO2 emissions from electricity and heat production, total (% of total fuel combustion)	CO2 emissions from manufacturing industries and construction (million metric tons)	CO2 emissions from manufacturing industries and construction (% of total fuel combustion)	CO2 emissions from other sectors, excluding residential buildings and commercial and public services (million metric tons)	CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)	CO2 emissions from transport (million metric tons)	CO2 emissions from transport (% of total fuel combustion)	Fish species, threatened	Plant species (higher), threatened	Mammal species, threatened	Population density (people per sq. km of land area)	Population living in areas where elevation is below 5 meters (% of total population)	Population in largest city	Population in the largest city (% of urban population)	Population in urban agglomerations of more than 1 million	Population in urban agglomerations of more than 1 million (% of total population)	Pump price for diesel fuel (US$ per liter)	Pump price for gasoline (US$ per liter)	GEF benefits index for biodiversity (0 = no biodiversity potential to 100 = maximum)	Water productivity, total (constant 2000 US$ GDP per cubic meter of total freshwater withdrawal)	Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)	Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)	Annual freshwater withdrawals, industry (% of total freshwater withdrawal)	Annual freshwater withdrawals, total (billion cubic meters)	Annual freshwater withdrawals, total (% of internal resources)	Renewable internal freshwater resources, total (billion cubic meters)	Renewable internal freshwater resources per capita (cubic meters)	Terrestrial protected areas (% of total land area)	Marine protected areas (% of territorial waters)	Terrestrial and marine protected areas (% of total territorial area)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15	1	2	597.1555556	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.105546772	0	0.006721137	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	0	2	180.5617021	NaN	NaN	NaN	NaN	NaN	1.32	1.49	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.119063123	NaN	6.119063123	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5	2	11	52.71923708	NaN	3731312	43.75624007	3731312	10.85154754	1	1.15	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.366882032	NaN	0.366882032	0
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37	33	15	15.30593727	NaN	4772334	42.75166921	4772334	25.00972649	0.43	0.65	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.39982287	0.066622615	12.05923051	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38	0	3	116.9446715	NaN	NaN	NaN	NaN	NaN	1.4	1.46	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.846622995	1.624083824	8.418842909	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13	0	7	89.8527512	NaN	1566878	26.74255658	1566878	20.85919414	0.71	0.47	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.616997662	2.571971049	4.708512613	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36	44	37	14.76688116	NaN	13074389	35.01346133	15798475	39.09316047	1.05	0.96	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.466403241	1.103725578	5.254071816	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	1	9	108.5699438	NaN	1111664	56.43967592	1111664	35.95207356	0.99	1.08	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.991597188	NaN	7.991597188	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8	1	1	342.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.310137905	17.04212118	16.69072877	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14	4	2	201.6136364	NaN	NaN	NaN	NaN	NaN	0.96	0.99	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.991853251	0.70369162	0.984431831	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	67	55	2.902750478	NaN	4428978	22.29075872	13018363	58.37883299	1.23	1.27	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.55022324	28.34152791	12.46747808	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11	4	3	101.7805532	NaN	1705594	30.07314559	1705594	20.32944642	1.55	1.63	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.93135065	NaN	22.93135065	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10	0	7	109.590075	NaN	1972113	41.72581978	1972113	21.78087793	0.56	0.75	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.149470223	NaN	7.149470223	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17	2	10	326.4349299	NaN	NaN	NaN	NaN	NaN	1.42	1.43	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.849381021	NaN	4.849381021	0
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10	1	3	359.8343791	NaN	1904133	17.94236957	1904133	17.47586796	1.62	1.87	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.77079265	0.043200407	13.16112398	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27	14	11	80.00263967	NaN	844461	22.71916345	NaN	NaN	1.21	1.04	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.80738184	0	23.27300081	0
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19	16	34	1142.291857	NaN	14648354	35.05859612	21292510	14.31986337	0.63	1.09	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.810011299	0.810495357	1.588626921	0
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18	0	7	69.40207259	NaN	1196287	22.14491169	1196287	15.87790168	1.58	1.51	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.18917775	3.181464726	8.852483334	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8	0	3	1660.309211	NaN	NaN	NaN	NaN	NaN	0.13	0.21	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.34984586	0.650520603	0.735356598	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31	1	4	73.72841176	NaN	NaN	NaN	NaN	NaN	1.42	1.42	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.579972497	0.707014982	0.580002259	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2	0	4	46.79025737	NaN	1852223	26.26867979	1852223	19.51762908	0.86	1.08	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.221258129	NaN	7.221258129	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25	32	8	15.11179307	NaN	NaN	NaN	NaN	NaN	0.98	1.13	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.94590623	11.85533723	20.58894219	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11	4	4	1284.74	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.568176777	5.038733208	5.051407262	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	72	20	9.166296501	NaN	1673401	25.34169937	3322062	33.45531236	0.54	0.7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.50712655	NaN	18.50712655	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	123	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	80	387	80	23.04489788	NaN	20262493	12.01604081	79536971	40.79939021	1.14	1.58	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.2785599	16.479942	25.9952495	2
