Variables	Terms	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
Node Frequnecy	Stephen C. North	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	1	1
Node Frequnecy	Oliver Deussen	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	1	0	1	0	1
Node Frequnecy	Juliana Freire	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	1	1	1	0
Node Frequnecy	Wei Chen 0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	1	0	0	0	1
Node Frequnecy	Robert S. Laramee	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	3	0	0	0	0	0
Node Frequnecy	William Wright	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	2	0	0	0	0	0	0	0	0
Node Frequnecy	Thomas Schultz 0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	3	0
Node Frequnecy	Halld�_r Janetzko	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	1	0	1	0	0
Node Frequnecy	Henry Fuchs	0	1	0	0	1	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Michael J. Bailey	0	1	1	0	0	0	0	2	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	F. David Fracchia	0	0	0	0	1	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Roberto Scopigno	0	0	0	0	1	0	0	0	1	0	1	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0
Node Frequnecy	Steven F. Roth	0	0	0	0	0	1	2	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Mark A. Duchaineau	0	0	0	0	0	0	0	1	0	0	2	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Node Frequnecy	Baoquan Chen	0	0	0	0	0	0	0	1	0	2	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0
Node Frequnecy	Hong Qin	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	1	0	1	1	0	0	0	0	0	0	0	0
Node Frequnecy	Jonathan D. Cohen	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0
Node Frequnecy	Harlan Foote	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0
Node Frequnecy	Michael Garland	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	2	0	1	0	0	0	0	0	0	0	0
Node Frequnecy	T. J. Jankun-Kelly	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	2	0	0	1	0	0	0	0	0	0	0
Node Frequnecy	Aditi Majumder	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	2	2	0	0	0	0	0	0
Node Frequnecy	Daniel F. Keefe	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	2	1	1	0
Node Frequnecy	Armin Kanitsar	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0
Node Frequnecy	J̦rn Schneidewind	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2	1	0	1	0	0	0	0	0	0	0
Node Frequnecy	Ulrik Brandes	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	2	0	0	0	1
Node Frequnecy	Aidong Lu	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	2	1	0	0	0	0
Node Frequnecy	Jimmy Johansson	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	1	0	0	1	1
Node Frequnecy	Anushka Anand	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	2	0
Node Frequnecy	Brian D. Fisher	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	1	2	0	0	0	0
Node Frequnecy	Johanna Beyer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	2	1	0
Node Frequnecy	Aaron Knoll	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	2	2
Node Frequnecy	Harald Bosch	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	2	1	0	0	0
Node Frequnecy	Nan Cao	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	2
Node Frequnecy	Michael Burch	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	1	1	1
Node Frequnecy	Bilal Alsallakh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	2	1
Node Frequnecy	Bernice E. Rogowitz	0	0	0	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Node Frequnecy	Chandrajit L. Bajaj	0	0	0	0	1	0	0	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Daniel G. Aliaga	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0
Node Frequnecy	James P. Ahrens	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0
Node Frequnecy	Alireza Entezari	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	1	0	1	0
Node Frequnecy	Fernanda B. Vi̩gas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	3	0	0	0	0	0	0	0
Node Frequnecy	Peter Bak	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	0	1	0
Node Frequnecy	Christophe Hurter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	1	1
Node Frequnecy	Nahum D. Gershon	1	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	David A. Lane	1	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Steve Bryson	0	1	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Ken Brodlie	0	0	0	1	0	0	1	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Daniel Cohen-Or	0	0	0	0	0	0	2	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Yarden Livnat	0	0	0	0	0	0	2	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Stuart K. Card	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0
Node Frequnecy	Elizabeth G. Hetzler	0	0	0	0	0	0	0	0	1	0	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Huub van de Wetering	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0
Node Frequnecy	Peter Hastreiter	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Gordon Erlebacher	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Ingrid Hotz	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	2	0	0	0	0	0
Node Frequnecy	Joe Michael Kniss	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	1	0	1	0	0	0	0	0	0	0	0	0
Node Frequnecy	Dominik Fleischmann	0	0	0	0	0	0	0	0	0	0	0	1	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Mike Sips	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	1	0	1	0	0
Node Frequnecy	Jinwook Seo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	1	0	1
Node Frequnecy	John Keyser	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	1	1	0	0	0	0	0	0
Node Frequnecy	Alexander Wiebel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	1	0	1	0	0	0	0
Node Frequnecy	Anthony C. Robinson	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	1	0	0	0	0	0
Node Frequnecy	Ji Soo Yi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	2	0
Node Frequnecy	Fernando Vieira Paulovich	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	2	0	0	1	0	0
Node Frequnecy	Daniela Oelke	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	0	0	0	1	0
Node Frequnecy	Philipp Muigg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	1	0	0	0	0	0
Node Frequnecy	J̦rn Kohlhammer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	1	1	0	0	0
Node Frequnecy	Jian Chen	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2	1
Node Frequnecy	Jurgen Waser	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0	1	0	0
Node Frequnecy	Naren Ramakrishnan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	1	1	0
Node Frequnecy	Dirk J. Lehmann	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	0	1	0
Node Frequnecy	Harish Doraiswamy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1
Node Frequnecy	Robert Haimes	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0
Node Frequnecy	Theresa-Marie Rhyne	0	0	1	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Donna L. Gresh	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	David N. Kenwright	0	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Hans-Georg Pagendarm	0	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Benjamin B. Bederson	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0
Node Frequnecy	Ayellet Tal	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Node Frequnecy	Patrick J. Moran	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0
Node Frequnecy	Alan Keahey	0	0	0	0	0	0	1	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Jock D. Mackinlay	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0
Node Frequnecy	Chris Stolte	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0
Node Frequnecy	Patric Ljung	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0
Node Frequnecy	Colin Ware	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	1
Node Frequnecy	Jens H. Kr�_ger	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	1	0
Node Frequnecy	Ravin Balakrishnan	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	0	0	0
Node Frequnecy	Chi-Wing Fu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	0
Node Frequnecy	Christoph Heinzl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	1
Node Frequnecy	Christian Panse	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Steven P. Callahan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0
Node Frequnecy	Carsten G̦rg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0
Node Frequnecy	Christian Rohrdantz	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0
Node Frequnecy	Romain Vuillemot	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	1	0	0
Node Frequnecy	Wolfgang Aigner	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0
Node Frequnecy	William L. Hibbard	1	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Peter Schr̦der	0	1	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Graham J. Wills	0	0	0	1	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Milos Sr��mek	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0
Node Frequnecy	Matthew Chalmers	0	0	0	0	0	0	1	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Chris Weigle	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0
Node Frequnecy	Russell M. Taylor II	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0
Node Frequnecy	Gabriel Taubin	0	0	0	0	0	0	0	0	1	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Stefan Guthe	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Node Frequnecy	Martin Rumpf	0	0	0	0	0	0	0	0	0	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Lukas Mroz	0	0	0	0	0	0	0	0	0	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	��agatay Demiralp	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0
Node Frequnecy	Xiaoqiang Zheng	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Benjamin Watson	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	1	0	0
Node Frequnecy	David J. Duke	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	1	0
Node Frequnecy	Pourang Irani	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	2
Node Frequnecy	Daniel Archambault	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	1
Node Frequnecy	Wesley Willett	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	1
Node Frequnecy	Chris Muelder	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0
Node Frequnecy	Dong Hyun Jeong	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	0	0	0	0
Node Frequnecy	Tera Marie Green	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	1	0	0	0	0
Node Frequnecy	Bo Hyoung Kim	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	1
Node Frequnecy	Georgia Albuquerque	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	0
Node Frequnecy	Kristin A. Cook	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2
Node Frequnecy	Julien Tierny	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	1
Node Frequnecy	Raphael Fuchs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	0	0	0	0
Node Frequnecy	Jeff Lichtman	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	1	0
Node Frequnecy	Conglei Shi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	2	0
Node Frequnecy	R. Jordan Crouser	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1
Node Frequnecy	Florian Heimerl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	1
Node Frequnecy	Sarah Goodwin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	2
Node Frequnecy	Kuno Kurzhals	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	1
Node Frequnecy	Daniel J̦nsson	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	1
Node Frequnecy	Yvonne Jansen	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2
Node Frequnecy	Zuchao Wang	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0
Node Frequnecy	Jing Yang	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2
Node Frequnecy	Xiaotong Liu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3
Node Frequnecy	David E. Breen	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Pheng-Ann Heng	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Node Frequnecy	Alfred Inselberg	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Barry G. Becker	0	0	0	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Mei C. Chuah	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	David Ellsworth	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0
Node Frequnecy	Yuriko Takeshima	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Jihad El-Sana	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Mark A. Livingston	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0
Node Frequnecy	Sharon J. Laskowski	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
Node Frequnecy	Frans Vos	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0
Node Frequnecy	Enrico Gobbetti	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0
Node Frequnecy	Gunther H. Weber	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0
Node Frequnecy	Stefan Gumhold	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Dirk Bartz	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0
Node Frequnecy	Guy Melan̤on	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0
Node Frequnecy	Eugene Zhang	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0
Node Frequnecy	Martin Kraus	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Joachim Giesen	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0
Node Frequnecy	Martin Isenburg	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Camilla Forsell	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0
Node Frequnecy	Yehuda Koren	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	David S. Thompson	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0
Node Frequnecy	Jens Schneider	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	1
Node Frequnecy	Jonathan Woodring	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	1
Node Frequnecy	Chaoli Wang	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0
Node Frequnecy	Shigeo Takahashi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	1	0
Node Frequnecy	Leland Wilkinson	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	0
Node Frequnecy	Charl P. Botha	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0
Node Frequnecy	Huy T. Vo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	0
Node Frequnecy	Mario Jelovic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0
Node Frequnecy	Peter Rautek	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1
Node Frequnecy	Rita Borgo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0
Node Frequnecy	Anders Persson	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0
Node Frequnecy	Youn ah Kang	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	1	0
Node Frequnecy	Marcel Breeuwer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0
Node Frequnecy	Won-Ki Jeong	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1	0	0
Node Frequnecy	Thomas Butkiewicz	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	1
Node Frequnecy	Marian D̦rk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0
Node Frequnecy	Kai B�_rger	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0
Node Frequnecy	Johannes Kehrer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0
Node Frequnecy	Christopher Andrews	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0
Node Frequnecy	Haesun Park	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1
Node Frequnecy	Heike Hofmann	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0
Node Frequnecy	Steven M. Drucker	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1
Node Frequnecy	Marco Ament	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0
Node Frequnecy	Nivan Ferreira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1
Node Frequnecy	Chi-Chun Pan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0
Node Frequnecy	Julian Heinrich	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0
Node Frequnecy	David G�_nther	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0
Node Frequnecy	Markus B̦gl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0
Node Frequnecy	Theresia Gschwandtner	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1
Node Frequnecy	Jie Liang	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1
Node Frequnecy	Haim Levkowitz	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	T. Todd Elvins	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	David R. Nadeau	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Sidney W. Wang	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Holly E. Rushmeier	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Shao-Chiung Lu	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
