Variables	Terms	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
Node Frequnecy	Pat Hanrahan	0	0	1	0	0	0	0	0	0	2	1	1	1	1	1	1	1	2	2	0	2	1	1	0	0	0	0
Node Frequnecy	Roger Crawfis	0	1	1	2	1	0	1	3	1	1	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Bernhard Preim	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	1	1	2	3	3	2
Node Frequnecy	Ben Shneiderman	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	1	4	0	0	2	0	1	0	2	0	0	1
Node Frequnecy	Melanie Tory	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	1	0	1	0	1	4	0	0	3	1	0	1
Node Frequnecy	Petra Isenberg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	1	4	2	2	1	1
Node Frequnecy	Anna Vilanova	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	2	0	1	1	1	1	1	1	0	0	3	1
Node Frequnecy	Markus Hadwiger	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	2	0	1	2	1	3	3	0
Node Frequnecy	Shixia Liu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	2	2	5	1	2
Node Frequnecy	Georges G. Grinstein	0	1	2	0	1	1	1	2	1	0	0	0	0	2	0	0	1	1	2	1	0	0	0	0	0	0	0
Node Frequnecy	Bongshin Lee	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	2	3	0	2	2	0	1	2
Node Frequnecy	Hans-Peter Seidel	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	4	1	1	2	0	0	0	0	0	2	1	0
Node Frequnecy	Gregory M. Nielson	1	1	0	0	0	0	1	3	1	1	1	0	1	1	3	0	1	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Pak Chung Wong	0	0	0	0	0	1	2	2	1	1	2	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0
Node Frequnecy	Gennady L. Andrienko	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	3	3	1	0	1	0
Node Frequnecy	Natalia V. Andrienko	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	3	3	1	0	1	0
Node Frequnecy	Deborah Silver	0	1	1	0	0	1	1	0	2	0	1	0	0	0	1	3	1	1	0	0	0	0	1	0	0	0	0
Node Frequnecy	Robert J. Moorhead II	0	0	0	0	2	0	3	1	0	0	1	2	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0
Node Frequnecy	Xavier Tricoche	0	0	0	0	0	0	0	0	0	1	1	1	0	0	3	0	0	2	2	0	1	1	1	1	0	0	0
Node Frequnecy	Catherine Plaisant	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	2	1	1	3	0	1	0	2	0	0	1
Node Frequnecy	Kresimir Matkovic	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	3	1	1	0	1	0	3	2	0
Node Frequnecy	Peer-Timo Bremer	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	3	2	1	1	1	0
Node Frequnecy	Christoph Garth	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	3	1	1	2	1	1	1	1	0	0
Node Frequnecy	Peter Lindstrom	0	0	0	0	0	1	0	0	1	0	0	2	1	1	0	1	2	1	0	0	0	2	0	0	1	1	0
Node Frequnecy	Raghu Machiraju	0	0	0	0	0	0	0	2	0	1	1	2	1	1	2	0	2	1	1	0	0	0	0	0	0	0	0
Node Frequnecy	Gordon L. Kindlmann	0	0	0	0	0	0	0	0	0	2	0	1	1	1	2	0	1	0	1	1	1	0	0	1	1	1	0
Node Frequnecy	Min Chen	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	2	0	0	0	2	1	2	2	0	0	1
Node Frequnecy	Niklas Elmqvist	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	2	1	2	2	2
Node Frequnecy	Nathalie Henry Riche	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	2	2	3	2	0	0	2
Node Frequnecy	Ross Maciejewski	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	2	3	0	2	1	1
Node Frequnecy	Chris Weaver	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	2	1	3	0	2	1	0	0	0
Node Frequnecy	Carlos Eduardo Scheidegger	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	3	1	0	0	0	1	1	2	2
Node Frequnecy	Yingcai Wu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	1	2	3	1	1
Node Frequnecy	Tim Dwyer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0	1	0	2	4
Node Frequnecy	Carlos D. Correa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	4	2	2	0	0	0	0	0
Node Frequnecy	Ross T. Whitaker	0	1	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	2	1	1	1	0	0	1	1	0	0
Node Frequnecy	Amitabh Varshney	0	0	0	1	0	2	3	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0
Node Frequnecy	Aidan Slingsby	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	2	1	2	1	1	2
Node Frequnecy	Roni Yagel	1	1	0	1	1	1	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	David C. Banks	0	0	0	0	1	0	4	1	1	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0
Node Frequnecy	Wolfgang Stra��er	0	0	0	1	0	0	1	0	0	3	1	2	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Anders Ynnerman	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	2	1	0	1	3	1
Node Frequnecy	Jing Yang 0001	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	3	3	1	0	1	1	0	0	0	0	0
Node Frequnecy	Zhicheng Liu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	2	2	0	0	1	0	2
Node Frequnecy	Wenwen Dou	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	4	1	1	0	2	0
Node Frequnecy	Lloyd Treinish	0	0	2	2	1	2	0	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	James J. Thomas	0	0	0	0	0	1	0	0	1	1	2	0	0	2	1	1	1	1	0	1	0	0	0	0	0	0	0
Node Frequnecy	Markus H. Gross	0	0	0	0	0	1	0	2	2	0	2	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Ronald Peikert	0	0	0	0	0	0	1	0	1	1	0	0	1	1	1	2	1	1	0	1	0	0	1	0	0	0	0
Node Frequnecy	Elke A. Rundensteiner	0	0	0	0	0	0	0	0	0	2	0	0	1	2	2	0	2	1	0	1	0	1	0	0	0	0	0
Node Frequnecy	Martin Wattenberg	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	2	0	1	2	3	0	0	0	0	1	0	0
Node Frequnecy	Maneesh Agrawala	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	2	1	0	2	0	1	1	1	0	0
Node Frequnecy	Harald Piringer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	2	2	1	2
Node Frequnecy	Enrico Bertini	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	1	0	5	0	1
Node Frequnecy	Silvia Miksch	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3	1	4	1
Node Frequnecy	Frank van Ham	0	0	0	0	0	0	0	0	0	0	0	1	1	1	3	0	1	1	1	2	0	0	0	0	0	0	0
Node Frequnecy	Tobias Isenberg 0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	3	1	0	2	2
Node Frequnecy	Timo Ropinski	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	2	0	0	3	1
Node Frequnecy	Alex Endert	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	1	3	3
Node Frequnecy	Nelson L. Max	0	1	2	2	1	1	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Robert van Liere	0	0	0	1	0	0	0	0	2	2	2	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Victoria Interrante	0	0	0	0	0	1	1	2	1	1	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0
Node Frequnecy	Ming C. Hao	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	1	0	1	0	2	1	1	1	0	0	0	0
Node Frequnecy	Umeshwar Dayal	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	1	0	1	0	2	1	1	1	0	0	0	0
Node Frequnecy	Michael Gleicher	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	2	2	1	1
Node Frequnecy	Miriah D. Meyer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	0	1	0	1	2	2
Node Frequnecy	Pierre Dragicevic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	2	2	1	2
Node Frequnecy	Steffen Koch	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	1	2	2	1
Node Frequnecy	Alan M. MacEachren	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	0
Node Frequnecy	Robert Michael Kirby	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	1	0	0
Node Frequnecy	Xiaoyu Wang	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	1	1	2	0
Node Frequnecy	Christopher R. Johnson 0001	0	0	1	0	1	1	1	0	0	0	1	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Filip Sadlo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	3	0	1
Node Frequnecy	Stephen G. Eick	1	0	1	1	0	1	0	1	0	0	0	0	1	0	2	0	1	1	0	0	0	0	0	0	0	0	0
Node Frequnecy	William E. Lorensen	0	2	1	1	1	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	William J. Schroeder	0	1	1	0	1	0	1	2	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Dinesh Manocha	0	0	0	0	0	1	0	1	1	0	1	0	1	2	1	0	0	1	1	0	0	0	0	0	0	0	0
