Wage and salaried workers, female (% of females employed)	Wage and salary workers, male (% of males employed)	Wage and salaried workers, total (% of total employed)	Contributing family workers, female (% of females employed)	Contributing family workers, male (% of males employed)	Contributing family workers, total (% of total employed)	GDP per person employed (constant 1990 PPP $)	Employees, industry, female (% of female employment)	Employees, industry, male (% of male employment)	Employment in industry (% of total employment)	Child employment in manufacturing, female (% of female economically active children ages 7-14)	Child employment in manufacturing, male (% of male economically active children ages 7-14)	Child employment in manufacturing (% of economically active children ages 7-14)	Child employment in services, female (% of female economically active children ages 7-14)	Child employment in services, male (% of male economically active children ages 7-14)	Child employment in services (% of economically active children ages 7-14)	Employees, services, female (% of female employment)	Employees, services, male (% of male employment)	Employment in services (% of total employment)	Economically active children, female (% of female children ages 7-14)	Economically active children, male (% of male children ages 7-14)	Economically active children, study and work, female (% of female economically active children, ages 7-14)	Economically active children, study and work, male (% of male economically active children, ages 7-14)	Economically active children, study and work (% of economically active children, ages 7-14)	Economically active children, work only, female (% of female economically active children, ages 7-14)	Economically active children, work only, male (% of male economically active children, ages 7-14)	Economically active children, work only (% of economically active children, ages 7-14)	Economically active children, total (% of children ages 7-14)	Labor force participation rate, female (% of female population ages 15-64)	Labor force participation rate, male (% of male population ages 15-64)	Labor force participation rate, total (% of total population ages 15-64)	Labor participation rate, female (% of female population ages 15+)	Ratio of female to male labor participation rate (%)	Labor participation rate, male (% of male population ages 15+)	Labor participation rate, total (% of total population ages 15+)	Part time employment, female (% of total female employment)	Part time employment, male (% of total male employment)	Part time employment, female (% of total part time employment)	Part time employment, total (% of total employment)	Labor force with primary education, female (% of female labor force)	Labor force with primary education, male (% of male labor force)	Labor force with primary education (% of total)	Labor force with secondary education, female (% of female labor force)	Labor force with secondary education, male (% of male labor force)	Labor force with secondary education (% of total)	Labor force with tertiary education, female (% of female labor force)	Labor force with tertiary education, male (% of male labor force)	Labor force with tertiary education (% of total)	Labor force, female (% of total labor force)	Labor force, total	Unemployment, youth female (% of female labor force ages 15-24)	Unemployment, youth male (% of male labor force ages 15-24)	Unemployment, youth total (% of total labor force ages 15-24)	Long-term unemployment, female (% of female unemployment)	Long-term unemployment, male (% of male unemployment)	Long-term unemployment (% of total unemployment)	Unemployment with primary education, female (% of female unemployment)	Unemployment with primary education, male (% of male unemployment)	Unemployment with primary education (% of total unemployment)	Unemployment with secondary education, female (% of female unemployment)	Unemployment with secondary education, male (% of male unemployment)	Unemployment with secondary education (% of total unemployment)	Unemployment with tertiary education, female (% of female unemployment)	Unemployment with tertiary education, male (% of male unemployment)	Unemployment with tertiary education (% of total unemployment)	Unemployment, female (% of female labor force)	Unemployment, male (% of male labor force)	Unemployment, total (% of total labor force)	Income
89.80000305	83.40000153	86.19999695	0.600000024	0.400000006	0.400000006	46993	10.10000038	29.70000076	21	NaN	NaN	NaN	NaN	NaN	NaN	86.5	64.30000305	74.19999695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	66	82.30000305	74.19999695	55.09999847	76.42163612	72.09999847	63.40000153	38.79999924	11.69999981	72.69999695	23.70000076	38.90000153	33	35.59999847	27.60000038	41.5	35.29999924	33.5	25.5	29	44.18228642	9782847.855	12.3	14.6	13.5	20.89999962	26.20000076	23.89999962	56.5	52.79999924	54.40000153	27.70000076	34.5	31.5	15.80000019	12.69999981	14	6.400000095	7	6.800000191	3
87.69999695	85.69999695	86.59999847	3.900000095	1.5	2.599999905	44107	13.80000019	41.90000153	29.70000076	NaN	NaN	NaN	NaN	NaN	NaN	80.09999847	52.79999924	64.69999695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	62.20000076	79.30000305	70.80000305	48.90000153	71.70088521	68.19999695	58.20000076	24.79999924	2.700000048	88	12.39999962	23.29999924	17.10000038	19.89999962	62.70000076	66	64.5	14	16.79999924	15.5	43.83341277	3895402.196	5.5	5.7	5.6	22.89999962	23.70000076	23.29999924	39.20000076	38.40000153	38.79999924	57.09999847	58.09999847	57.59999847	3.700000048	3.5	3.599999905	3.799999952	3.400000095	3.599999905	3
NaN	NaN	NaN	NaN	NaN	NaN	5818	7.199999809	14.10000038	10.80000019	NaN	NaN	NaN	NaN	NaN	NaN	50	48.5	49.20000076	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	62.70000076	75.19999695	68.69999695	57.79999924	81.52326938	70.90000153	64	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47.33724238	3636618.619	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	86.5	84.59999847	85.59999847	85.30000305	101.6686549	83.90000153	84.59999847	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	53.19488344	2993737.147	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
87	83.19999695	84.80000305	4	0.5	2	51685	11.80000019	35.40000153	25.5	NaN	NaN	NaN	NaN	NaN	NaN	87.19999695	62.90000153	73.09999847	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	54.40000153	72.59999847	63.59999847	41.79999924	69.205295	60.40000153	50.79999924	32.5	5.699999809	80.69999695	17	26.20000076	33.90000153	30.60000038	36	36.90000153	36.5	37.79999924	29.29999924	32.90000153	42.40267222	4335903.999	16.6	14.3	15.3	50.79999924	52.5	51.70000076	40.59999847	50.59999847	45.79999924	40	34	36.90000153	19.39999962	15.39999962	17.29999924	6.900000095	5.599999905	6.199999809	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	66	80.19999695	72.80000305	64.69999695	80.87499619	80	72	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47.09176131	2639857.026	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
NaN	NaN	NaN	NaN	NaN	NaN	2986	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	57	87.69999695	72.69999695	54.5	63.66822543	85.59999847	70.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37.62227751	58894774.85	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
87.59999847	81.19999695	84.30000305	2	1.200000048	1.5	13890	28.79999924	36.29999924	32.70000076	NaN	NaN	NaN	NaN	NaN	NaN	63.79999924	51.5	57.40000153	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	59.59999847	67.90000153	63.70000076	46.79999924	82.24955709	56.90000153	51.59999847	3.900000095	3.099999905	54.29999924	3.5	19.10000038	23.89999962	21.70000076	52.20000076	57.79999924	55.09999847	28.70000076	18.29999924	23.20000076	46.95709464	3507236.27	35.4	42.7	39.2	63.09999847	63	63.09999847	34	38.79999924	36.70000076	52.09999847	53.79999924	53	13.80000019	7.400000095	10.30000019	18.89999962	20.89999962	19.89999962	2
NaN	NaN	NaN	NaN	NaN	NaN	10535	13.30000019	31.79999924	28	NaN	NaN	NaN	NaN	NaN	NaN	86	64.09999847	68.59999847	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36.90000153	87.69999695	67.30000305	35.59999847	41.39534706	86	65.59999847	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.00147983	302335.7755	27	17.2	20.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.5	4.099999905	5.5	3
NaN	NaN	NaN	NaN	NaN	NaN	20269	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38.79999924	64.90000153	51.40000153	33.20000076	57.73913176	57.5	44.70000076	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39.04706826	1354497.274	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
