Wage and salaried workers, female (% of females employed)	Wage and salary workers, male (% of males employed)	Wage and salaried workers, total (% of total employed)	Contributing family workers, female (% of females employed)	Contributing family workers, male (% of males employed)	Contributing family workers, total (% of total employed)	GDP per person employed (constant 1990 PPP $)	Employees, industry, female (% of female employment)	Employees, industry, male (% of male employment)	Employment in industry (% of total employment)	Child employment in manufacturing, female (% of female economically active children ages 7-14)	Child employment in manufacturing, male (% of male economically active children ages 7-14)	Child employment in manufacturing (% of economically active children ages 7-14)	Child employment in services, female (% of female economically active children ages 7-14)	Child employment in services, male (% of male economically active children ages 7-14)	Child employment in services (% of economically active children ages 7-14)	Employees, services, female (% of female employment)	Employees, services, male (% of male employment)	Employment in services (% of total employment)	Economically active children, female (% of female children ages 7-14)	Economically active children, male (% of male children ages 7-14)	Economically active children, study and work, female (% of female economically active children, ages 7-14)	Economically active children, study and work, male (% of male economically active children, ages 7-14)	Economically active children, study and work (% of economically active children, ages 7-14)	Economically active children, work only, female (% of female economically active children, ages 7-14)	Economically active children, work only, male (% of male economically active children, ages 7-14)	Economically active children, work only (% of economically active children, ages 7-14)	Economically active children, total (% of children ages 7-14)	Labor force participation rate, female (% of female population ages 15-64)	Labor force participation rate, male (% of male population ages 15-64)	Labor force participation rate, total (% of total population ages 15-64)	Labor participation rate, female (% of female population ages 15+)	Ratio of female to male labor participation rate (%)	Labor participation rate, male (% of male population ages 15+)	Labor participation rate, total (% of total population ages 15+)	Part time employment, female (% of total female employment)	Part time employment, male (% of total male employment)	Part time employment, female (% of total part time employment)	Part time employment, total (% of total employment)	Labor force with primary education, female (% of female labor force)	Labor force with primary education, male (% of male labor force)	Labor force with primary education (% of total)	Labor force with secondary education, female (% of female labor force)	Labor force with secondary education, male (% of male labor force)	Labor force with secondary education (% of total)	Labor force with tertiary education, female (% of female labor force)	Labor force with tertiary education, male (% of male labor force)	Labor force with tertiary education (% of total)	Labor force, female (% of total labor force)	Labor force, total	Unemployment, youth female (% of female labor force ages 15-24)	Unemployment, youth male (% of male labor force ages 15-24)	Unemployment, youth total (% of total labor force ages 15-24)	Long-term unemployment, female (% of female unemployment)	Long-term unemployment, male (% of male unemployment)	Long-term unemployment (% of total unemployment)	Unemployment with primary education, female (% of female unemployment)	Unemployment with primary education, male (% of male unemployment)	Unemployment with primary education (% of total unemployment)	Unemployment with secondary education, female (% of female unemployment)	Unemployment with secondary education, male (% of male unemployment)	Unemployment with secondary education (% of total unemployment)	Unemployment with tertiary education, female (% of female unemployment)	Unemployment with tertiary education, male (% of male unemployment)	Unemployment with tertiary education (% of total unemployment)	Unemployment, female (% of female labor force)	Unemployment, male (% of male labor force)	Unemployment, total (% of total labor force)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.10000038	82.19999695	49.5	13.69999981	16.97645642	80.69999695	48.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.57676915	7351079.287	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
NaN	NaN	NaN	NaN	NaN	NaN	1559	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	67	76.80000305	71.80000305	65.69999695	86.56125906	75.90000153	70.69999695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47.51324554	5900807.317	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	12665	NaN	NaN	13.60000038	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.60000038	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	55.70000076	77.19999695	66.40000153	50.09999847	69.68010766	71.90000153	60.79999924	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41.78541262	1386765.295	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	22278	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37.5	92.90000153	77.69999695	36.90000153	39.97833186	92.30000305	77	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.2444225	2234335.658	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
78.59999847	70.80000305	74.09999847	2.200000048	0.699999988	1.399999976	24304	11.60000038	31.29999924	23	NaN	NaN	NaN	NaN	NaN	NaN	87.19999695	66.90000153	75.5	9.8	15.7	NaN	NaN	95.2	NaN	NaN	4.8	12.9	56.20000076	82.69999695	69.30000305	48.79999924	63.87434328	76.40000153	62.09999847	53.8	25.1	60.7	37.1	33.29999924	41.90000153	38.20000076	31.39999962	33.79999924	32.70000076	33.70000076	22.5	27.29999924	40.6708854	17467296.14	31.4	24.9	27.6	NaN	NaN	NaN	37.20000076	46.90000153	42.09999847	38.09999847	37.29999924	37.70000076	23	14.10000038	18.5	14.5	11.19999981	12.60000038	2
NaN	NaN	47.59999847	NaN	NaN	NaN	20385	10.39999962	20.70000076	16	NaN	NaN	NaN	NaN	NaN	NaN	45	30.5	37.09999847	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	60.90000153	77	68.30000305	53.40000153	75.74468302	70.5	61.09999847	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48.04349893	1448735.54	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.199999809	NaN	NaN	81.5	NaN	NaN	13.30000019	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	5	26.10000038	15.60000038	NaN	NaN	NaN	NaN	NaN	NaN	93.80000305	69.5	81.59999847	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
90.19999695	84.09999847	86.80000305	0.5	0.300000012	0.400000006	48493	9.800000191	30.70000076	21.39999962	NaN	NaN	NaN	NaN	NaN	NaN	87.5	64.69999695	74.90000153	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	66.80000305	82.09999847	74.40000153	55.70000076	77.79329881	71.59999847	63.59999847	38.40000153	12	71.90000153	23.79999924	33.40000153	29.5	31.20000076	29.29999924	41.5	36	37.29999924	29	32.70000076	44.47382474	10248988.92	10.9	11.8	11.4	17.60000038	23.20000076	20.60000038	45.59999847	50.59999847	48.29999924	33.79999924	31.79999924	32.70000076	20.60000038	17.60000038	19	5.5	5.300000191	5.400000095	3
89.19999695	85.19999695	87	1.600000024	0.5	1	45781	13.19999981	39.5	27.70000076	NaN	NaN	NaN	NaN	NaN	NaN	81.5	55.70000076	67.30000305	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	64.5	78.69999695	71.59999847	50.40000153	75.22388287	67	58.40000153	29.5	3.799999952	86.30000305	15.39999962	19.89999962	15.80000019	17.60000038	63.5	62.5	63	16.60000038	21.70000076	19.39999962	44.85304137	3999178.719	10.1	9.3	9.7	26.5	28.60000038	27.60000038	42.09999847	38.59999847	40.20000076	54.59999847	55.40000153	55.09999847	3.299999952	6	4.699999809	5.400000095	4.5	4.900000095	3
33.20000076	33.20000076	33.20000076	18.60000038	18.60000038	18.60000038	7690	8.300000191	15.19999981	11.89999962	NaN	NaN	NaN	NaN	NaN	NaN	53.70000076	43.90000153	48.59999847	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	64.30000305	73.59999847	68.80000305	59	85.50724638	69	63.79999924	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48.12046496	3934937.507	NaN	NaN	NaN	NaN	NaN	NaN	6.400000095	6.300000191	6.400000095	83.40000153	83.30000305	83.30000305	10.19999981	10.30000019	10.30000019	9.199999809	8.899999619	9	2
NaN	NaN	5.199999809	NaN	NaN	30.79999924	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	85.59999847	83.30000305	84.5	84.40000153	102.0556283	82.69999695	83.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52.81454023	3365646.311	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
88.30000305	83	85.30000305	3.299999952	0.5	1.700000048	54070	10.89999962	35.70000076	24.89999962	NaN	NaN	NaN	NaN	NaN	NaN	87.59999847	61.59999847	72.80000305	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	58.20000076	73.40000153	65.90000153	44.59999847	73.23480683	60.90000153	52.5	33.90000153	6.400000095	80.80000305	18.5	24	30.5	27.60000038	36.90000153	38.29999924	37.70000076	39.09999847	31.20000076	34.70000076	43.76511255	4545581.917	22.4	20.2	21.2	49.20000076	48.90000153	49	38	46	42.09999847	41.5	35.29999924	38.40000153	20.5	18.70000076	19.60000038	9.5	7.5	8.399999619	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	67.19999695	78.90000153	72.90000153	65.90000153	83.7357104	78.69999695	72	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47.54750477	2939760.397	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
NaN	NaN	NaN	NaN	NaN	NaN	3131	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	57.90000153	87.30000305	72.90000153	55.29999924	64.98237395	85.09999847	70.59999847	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38.23273761	63746435.39	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
87.19999695	80.90000153	83.90000153	3	1.399999976	2.200000048	15463	28.5	36.70000076	32.90000153	NaN	NaN	NaN	NaN	NaN	NaN	62.70000076	50.09999847	56.09999847	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	58.59999847	67.5	63	45.90000153	80.80986293	56.79999924	51.20000076	3.299999952	2.599999905	53.59999847	3	19.20000076	23.5	21.5	51	58.20000076	54.79999924	29.79999924	18.29999924	23.70000076	46.51741447	3426196.137	23.8	25	24.5	60	55.29999924	57.40000153	34.79999924	40.20000076	37.79999924	49	52.29999924	50.90000153	16.20000076	7.400000095	11.39999962	11.60000038	12.39999962	12	2
