Wage and salaried workers, female (% of females employed)	Wage and salary workers, male (% of males employed)	Wage and salaried workers, total (% of total employed)	Contributing family workers, female (% of females employed)	Contributing family workers, male (% of males employed)	Contributing family workers, total (% of total employed)	GDP per person employed (constant 1990 PPP $)	Employees, industry, female (% of female employment)	Employees, industry, male (% of male employment)	Employment in industry (% of total employment)	Child employment in manufacturing, female (% of female economically active children ages 7-14)	Child employment in manufacturing, male (% of male economically active children ages 7-14)	Child employment in manufacturing (% of economically active children ages 7-14)	Child employment in services, female (% of female economically active children ages 7-14)	Child employment in services, male (% of male economically active children ages 7-14)	Child employment in services (% of economically active children ages 7-14)	Employees, services, female (% of female employment)	Employees, services, male (% of male employment)	Employment in services (% of total employment)	Economically active children, female (% of female children ages 7-14)	Economically active children, male (% of male children ages 7-14)	Economically active children, study and work, female (% of female economically active children, ages 7-14)	Economically active children, study and work, male (% of male economically active children, ages 7-14)	Economically active children, study and work (% of economically active children, ages 7-14)	Economically active children, work only, female (% of female economically active children, ages 7-14)	Economically active children, work only, male (% of male economically active children, ages 7-14)	Economically active children, work only (% of economically active children, ages 7-14)	Economically active children, total (% of children ages 7-14)	Labor force participation rate, female (% of female population ages 15-64)	Labor force participation rate, male (% of male population ages 15-64)	Labor force participation rate, total (% of total population ages 15-64)	Labor participation rate, female (% of female population ages 15+)	Ratio of female to male labor participation rate (%)	Labor participation rate, male (% of male population ages 15+)	Labor participation rate, total (% of total population ages 15+)	Part time employment, female (% of total female employment)	Part time employment, male (% of total male employment)	Part time employment, female (% of total part time employment)	Part time employment, total (% of total employment)	Labor force with primary education, female (% of female labor force)	Labor force with primary education, male (% of male labor force)	Labor force with primary education (% of total)	Labor force with secondary education, female (% of female labor force)	Labor force with secondary education, male (% of male labor force)	Labor force with secondary education (% of total)	Labor force with tertiary education, female (% of female labor force)	Labor force with tertiary education, male (% of male labor force)	Labor force with tertiary education (% of total)	Labor force, female (% of total labor force)	Labor force, total	Unemployment, youth female (% of female labor force ages 15-24)	Unemployment, youth male (% of male labor force ages 15-24)	Unemployment, youth total (% of total labor force ages 15-24)	Long-term unemployment, female (% of female unemployment)	Long-term unemployment, male (% of male unemployment)	Long-term unemployment (% of total unemployment)	Unemployment with primary education, female (% of female unemployment)	Unemployment with primary education, male (% of male unemployment)	Unemployment with primary education (% of total unemployment)	Unemployment with secondary education, female (% of female unemployment)	Unemployment with secondary education, male (% of male unemployment)	Unemployment with secondary education (% of total unemployment)	Unemployment with tertiary education, female (% of female unemployment)	Unemployment with tertiary education, male (% of male unemployment)	Unemployment with tertiary education (% of total unemployment)	Unemployment, female (% of female labor force)	Unemployment, male (% of male labor force)	Unemployment, total (% of total labor force)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.39999962	83	50.09999847	13.89999962	17.05521426	81.5	49.09999847	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.59169995	6262892.472	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
NaN	NaN	NaN	NaN	NaN	NaN	1306	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	68.90000153	76.30000305	72.5	67.59999847	89.65516858	75.40000153	71.40000153	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48.48047141	4912074.149	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	7135	NaN	NaN	8.800000191	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	56.90000153	78.5	67.69999695	51.70000076	69.95940419	73.90000153	62.70000076	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41.69058882	1328887.838	NaN	NaN	NaN	NaN	NaN	NaN	40.09999847	52.59999847	46.59999847	49.29999924	35.40000153	42.09999847	6.699999809	6.900000095	6.800000191	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	22022	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33.40000153	92.69999695	76.59999847	32.70000076	35.54347909	92	75.80000305	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.79346799	1534527.144	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
75.5	69.90000153	72.09999847	2.200000048	0.800000012	1.299999952	26132	10.39999962	34	24.79999924	NaN	NaN	NaN	NaN	NaN	NaN	89	64.5	74	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48.09999847	81.30000305	64.5	41.90000153	55.8666687	75	57.90000153	32.59999847	11.80000019	63.79999924	19.89999962	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37.43096535	14980545.97	26.1	21.3	23.3	NaN	NaN	NaN	46.90000153	60.79999924	54.70000076	33.20000076	27.20000076	29.79999924	18.70000076	10.10000038	13.89999962	14.19999981	11.89999962	12.80000019	2
NaN	NaN	55.09999847	NaN	NaN	NaN	9497	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	64.90000153	79.40000153	71.59999847	57.90000153	78.990449	73.30000305	65	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48.45210578	1464549.921	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.5	NaN	NaN	80.30000305	NaN	NaN	12.19999981	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
88.59999847	82.90000153	85.40000153	1	0.5	0.699999988	45158	10.5	30.39999962	21.79999924	NaN	NaN	NaN	NaN	NaN	NaN	86	63.5	73.30000305	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	64.30000305	82.90000153	73.69999695	53.70000076	73.66255095	72.90000153	63.09999847	NaN	NaN	NaN	NaN	41.90000153	35.5	38.29999924	28.20000076	41.29999924	35.59999847	29.89999962	23.20000076	26.10000038	43.22750771	9322246.531	13.8	15.4	14.6	28.39999962	36.09999847	32.90000153	55.70000076	56.40000153	56.09999847	29.29999924	34.09999847	32.09999847	15	9.600000381	11.80000019	7.400000095	8	7.699999809	3
86.90000153	85.69999695	86.19999695	4.400000095	1.600000024	2.799999952	42279	14.19999981	42.09999847	30.20000076	NaN	NaN	NaN	NaN	NaN	NaN	78.40000153	52	63.29999924	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	61.29999924	79.80000305	70.59999847	48.09999847	69.71014272	69	58	22.79999924	2.700000048	86.90000153	11.5	26.70000076	18.70000076	22.20000076	64.69999695	72.30000305	68.90000153	8.600000381	9.100000381	8.899999619	43.36954321	3824532.576	6.6	5	5.8	30.70000076	30	30.29999924	39.20000076	35.09999847	37	57	61	59.09999847	3.700000048	4	3.900000095	4.599999905	3.900000095	4.199999809	3
NaN	NaN	NaN	NaN	NaN	NaN	4453	NaN	NaN	11.10000038	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46.59999847	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	60.90000153	75.5	67.90000153	56.59999847	78.94002913	71.69999695	63.79999924	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46.56388859	3393084.099	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
2.299999952	9.600000381	5.5	9.399999619	3.599999905	6.900000095	NaN	0.699999988	4.099999905	2.200000048	NaN	NaN	NaN	NaN	NaN	NaN	2.700000048	9.300000191	5.599999905	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	87.40000153	85.80000305	86.59999847	86.09999847	101.2941159	85	85.59999847	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	53.11678758	2844465.236	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
85	81	82.59999847	4.099999905	0.5	2	50077	12.80000019	37.40000153	27.20000076	NaN	NaN	NaN	NaN	NaN	NaN	85.69999695	59.90000153	70.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	53.59999847	72.40000153	63.09999847	41.40000153	68.54304715	60.40000153	50.59999847	31.20000076	4.699999809	82.40000153	15.60000038	28.39999962	36.5	33.09999847	36	36.79999924	36.5	35.59999847	26.70000076	30.5	42.18336784	4270002.031	23	18.3	20.4	63.5	59.5	61.70000076	47.59999847	58.70000076	52.79999924	39.20000076	30.89999962	35.29999924	13.19999981	10.39999962	11.89999962	11.69999981	7.599999905	9.300000191	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	63.70000076	83.80000305	73.30000305	62.40000153	74.73054075	83.5	72.40000153	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	45.31728309	2423102.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
NaN	NaN	NaN	NaN	NaN	NaN	2731	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	58.09999847	88.40000153	73.59999847	55.90000153	64.6990747	86.40000153	71.59999847	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37.91638865	54941772.67	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
NaN	NaN	NaN	NaN	NaN	NaN	11196	NaN	NaN	30.6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	43.2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	62.5	69.30000305	65.90000153	49.40000153	84.8797266	58.20000076	53.59999847	0.899999976	0.600000024	58.79999924	0.800000012	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47.61500805	3692949.541	NaN	NaN	NaN	57.20000076	56.70000076	56.90000153	37.29999924	42.59999847	40.20000076	50.90000153	51.20000076	51.09999847	11.80000019	6.199999809	8.699999809	11.80000019	12.60000038	12.19999981	2
NaN	NaN	NaN	NaN	NaN	NaN	10084	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34.90000153	88.69999695	67.40000153	33.59999847	38.6206879	87	65.69999695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.35598606	287003.2097	NaN	NaN	NaN	NaN	NaN	NaN	17	47.40000153	36.79999924	49.90000153	37.90000153	42.09999847	31.20000076	13	19.39999962	NaN	NaN	NaN	3
