PPG, bilateral (NTR, current US$)	PPG, bilateral concessional (NTR, current US$)	Net transfers on external debt, total (NTR, current US$)	Net transfers on external debt, long-term (NTR, current US$)	Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)	Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)	PPG, IBRD (NTR, current US$)	PPG, IDA (NTR, current US$)	PPG, multilateral (NTR, current US$)	PPG, multilateral concessional (NTR, current US$)	PPG, official creditors (NTR, current US$)	PPG, bonds (NTR, current US$)	PPG, commercial banks (NTR, current US$)	PNG, bonds (NTR, current US$)	PNG, commercial banks and other creditors (NTR, current US$)	PPG, other private creditors (NTR, current US$)	PPG, private creditors (NTR, current US$)	Net official development assistance and official aid received (current US$)	Net official development assistance and official aid received (constant 2010 US$)	Net official aid received (current US$)	Net official aid received (constant 2010 US$)	Net official development assistance received (current US$)	Net ODA received (% of gross capital formation)	Net ODA received (% of GNI)	Net official development assistance received (constant 2010 US$)	Net ODA received (% of imports of goods and services)	Net ODA received per capita (current US$)	Net ODA received (% of central government expense)	PPG, bilateral (TDS, current US$)	PPG, bilateral concessional (TDS, current US$)	Debt service on external debt, total (TDS, current US$)	Total debt service (% of exports of goods, services and income)	Total debt service (% of GNI)	IMF repurchases and charges (TDS, current US$)	Debt service on external debt, long-term (TDS, current US$)	Debt service on external debt, private nonguaranteed (PNG) (TDS, current US$)	Debt service (PPG and IMF only, % of exports, excluding workers' remittances)	Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)	Public and publicly guaranteed debt service (% of GNI)	Public and publicly guaranteed debt service (% of exports, excluding workers' remittances)	PPG, IBRD (TDS, current US$)	PPG, IDA (TDS, current US$)	Multilateral debt service (TDS, current US$)	Multilateral debt service (% of public and publicly guaranteed debt service)	PPG, multilateral concessional (TDS, current US$)	PPG, official creditors (TDS, current US$)	PPG, bonds (TDS, current US$)	PPG, commercial banks (TDS, current US$)	PNG, bonds (TDS, current US$)	PNG, commercial banks and other creditors (TDS, current US$)	PPG, other private creditors (TDS, current US$)	PPG, private creditors (TDS, current US$)	Total amount of debt rescheduled (current US$)	Undisbursed external debt, total (UND, current US$)	Undisbursed external debt, official creditors (UND, current US$)	Undisbursed external debt, private creditors (UND, current US$)	Agriculture value added per worker (constant 2000 US$)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22910000	58450000	NaN	NaN	22910000	NaN	0.64507682	58450000	2.120314669	1.463162162	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	60220000	142880000	NaN	NaN	60220000	NaN	NaN	142880000	NaN	7.61953638	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	756.0235192	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	330000	1170000	NaN	NaN	330000	NaN	NaN	1170000	NaN	0.302155467	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
-135303000	-45867000	5472329000	4331629000	4596800000	-265171000	37377000	0	68892000	-2362000	-66411000	-129894000	-146286000	0	4596800000	77420000	-198760000	43760000	109030000	NaN	NaN	43760000	0.245117917	0.056947944	109030000	0.265292513	1.532129144	NaN	142661000	47796000	5390757000	45.66503177	7.015368492	0	3994357000	1841900000	18.23343499	2152457000	2.801142589	18.23343499	82306000	0	186341000	8.657129968	2605000	329002000	199894000	1261789000	0	1841900000	361772000	1823455000	NaN	3864820000	1531244000	2333576000	6629.483128	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9040000	22080000	NaN	NaN	9040000	17.32046582	7.381824168	22080000	6.018641811	129.8123178	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1327.190864	2
