PPG, bilateral (NTR, current US$)	PPG, bilateral concessional (NTR, current US$)	Net transfers on external debt, total (NTR, current US$)	Net transfers on external debt, long-term (NTR, current US$)	Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)	Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)	PPG, IBRD (NTR, current US$)	PPG, IDA (NTR, current US$)	PPG, multilateral (NTR, current US$)	PPG, multilateral concessional (NTR, current US$)	PPG, official creditors (NTR, current US$)	PPG, bonds (NTR, current US$)	PPG, commercial banks (NTR, current US$)	PNG, bonds (NTR, current US$)	PNG, commercial banks and other creditors (NTR, current US$)	PPG, other private creditors (NTR, current US$)	PPG, private creditors (NTR, current US$)	Net official development assistance and official aid received (current US$)	Net official development assistance and official aid received (constant 2010 US$)	Net official aid received (current US$)	Net official aid received (constant 2010 US$)	Net official development assistance received (current US$)	Net ODA received (% of gross capital formation)	Net ODA received (% of GNI)	Net official development assistance received (constant 2010 US$)	Net ODA received (% of imports of goods and services)	Net ODA received per capita (current US$)	Net ODA received (% of central government expense)	PPG, bilateral (TDS, current US$)	PPG, bilateral concessional (TDS, current US$)	Debt service on external debt, total (TDS, current US$)	Total debt service (% of exports of goods, services and income)	Total debt service (% of GNI)	IMF repurchases and charges (TDS, current US$)	Debt service on external debt, long-term (TDS, current US$)	Debt service on external debt, private nonguaranteed (PNG) (TDS, current US$)	Debt service (PPG and IMF only, % of exports, excluding workers' remittances)	Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)	Public and publicly guaranteed debt service (% of GNI)	Public and publicly guaranteed debt service (% of exports, excluding workers' remittances)	PPG, IBRD (TDS, current US$)	PPG, IDA (TDS, current US$)	Multilateral debt service (TDS, current US$)	Multilateral debt service (% of public and publicly guaranteed debt service)	PPG, multilateral concessional (TDS, current US$)	PPG, official creditors (TDS, current US$)	PPG, bonds (TDS, current US$)	PPG, commercial banks (TDS, current US$)	PNG, bonds (TDS, current US$)	PNG, commercial banks and other creditors (TDS, current US$)	PPG, other private creditors (TDS, current US$)	PPG, private creditors (TDS, current US$)	Total amount of debt rescheduled (current US$)	Undisbursed external debt, total (UND, current US$)	Undisbursed external debt, official creditors (UND, current US$)	Undisbursed external debt, private creditors (UND, current US$)	Agriculture value added per worker (constant 2000 US$)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10490000	16600000	10490000	16600000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1309770000	1906730000	NaN	NaN	1309770000	259.4191383	32.52126128	1906730000	NaN	47.68778314	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
-51394000	-1913000	-469412000	-252912000	0	-252912000	0	16151000	12056000	15667000	-39338000	0	-133015000	0	0	-80559000	-213574000	414030000	609220000	NaN	NaN	414030000	28.81419891	4.228872791	609220000	4.7401874	27.80502488	NaN	51973000	2492000	1443349000	16.87660425	14.7422634	0	1424849000	0	16.66028985	1424849000	14.55330572	16.66027776	0	4473000	8687000	0.60967864	4957000	60660000	0	1283015000	0	0	81174000	1364189000	0	275805000	103875000	171930000	148.1615959	2
15753000	20871000	97792000	107436000	-3570000	111006000	0	76032000	95317000	86491000	111070000	0	328000	0	-3570000	-392000	-64000	307420000	457220000	NaN	NaN	307420000	28.21611206	6.716672422	457220000	14.66593517	99.49582138	28.47254591	23989000	18038000	60007000	5.642354092	1.311064218	14258000	44654000	6542000	4.924260233	38112000	0.832690844	3.583605232	0	3247000	13728000	36.02015113	5454000	37717000	0	3000	0	6542000	392000	395000	75319000	538416000	535840000	2576000	1593.123882	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3830000	5890000	3830000	5890000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
657189000	-81278000	-14010557000	-2014851000	-128890000	-1885961000	-1445346000	0	-2436873000	0	-1779684000	0	-99135000	0	-128890000	-7142000	-106277000	81520000	123920000	NaN	NaN	81520000	0.667940543	0.086209103	123920000	0.34025403	2.164783811	0.406003566	178768000	81278000	5300146000	16.46766508	5.605015135	1419916000	3687900000	128890000	15.46962778	3559010000	3.763727436	11.05791891	1869811000	0	3272336000	91.94511957	0	3451104000	0	100764000	0	128890000	7142000	107906000	0	5727252000	5598116000	129136000	9038.753521	2
2016000	13922000	219530000	33436000	-7660000	41096000	-835000	63006000	43556000	66700000	45572000	0	-5012000	0	-7660000	536000	-4476000	299590000	417290000	NaN	NaN	299590000	58.18606762	12.15602335	417290000	25.92916281	97.87110181	NaN	13454000	1548000	80467000	9.646198244	3.264991259	19639000	56984000	8630000	8.150843913	48354000	1.961989229	5.79656592	835000	3461000	28725000	59.40563345	3626000	42179000	0	5012000	0	8630000	1163000	6175000	9477000	220712000	220712000	0	3094.670628	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13470000	18220000	NaN	NaN	13470000	4.837075151	1.723042718	18220000	2.536164171	167.3146434	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1664.702663	2
