PPG, bilateral (NTR, current US$)	PPG, bilateral concessional (NTR, current US$)	Net transfers on external debt, total (NTR, current US$)	Net transfers on external debt, long-term (NTR, current US$)	Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)	Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)	PPG, IBRD (NTR, current US$)	PPG, IDA (NTR, current US$)	PPG, multilateral (NTR, current US$)	PPG, multilateral concessional (NTR, current US$)	PPG, official creditors (NTR, current US$)	PPG, bonds (NTR, current US$)	PPG, commercial banks (NTR, current US$)	PNG, bonds (NTR, current US$)	PNG, commercial banks and other creditors (NTR, current US$)	PPG, other private creditors (NTR, current US$)	PPG, private creditors (NTR, current US$)	Net official development assistance and official aid received (current US$)	Net official development assistance and official aid received (constant 2010 US$)	Net official aid received (current US$)	Net official aid received (constant 2010 US$)	Net official development assistance received (current US$)	Net ODA received (% of gross capital formation)	Net ODA received (% of GNI)	Net official development assistance received (constant 2010 US$)	Net ODA received (% of imports of goods and services)	Net ODA received per capita (current US$)	Net ODA received (% of central government expense)	PPG, bilateral (TDS, current US$)	PPG, bilateral concessional (TDS, current US$)	Debt service on external debt, total (TDS, current US$)	Total debt service (% of exports of goods, services and income)	Total debt service (% of GNI)	IMF repurchases and charges (TDS, current US$)	Debt service on external debt, long-term (TDS, current US$)	Debt service on external debt, private nonguaranteed (PNG) (TDS, current US$)	Debt service (PPG and IMF only, % of exports, excluding workers' remittances)	Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)	Public and publicly guaranteed debt service (% of GNI)	Public and publicly guaranteed debt service (% of exports, excluding workers' remittances)	PPG, IBRD (TDS, current US$)	PPG, IDA (TDS, current US$)	Multilateral debt service (TDS, current US$)	Multilateral debt service (% of public and publicly guaranteed debt service)	PPG, multilateral concessional (TDS, current US$)	PPG, official creditors (TDS, current US$)	PPG, bonds (TDS, current US$)	PPG, commercial banks (TDS, current US$)	PNG, bonds (TDS, current US$)	PNG, commercial banks and other creditors (TDS, current US$)	PPG, other private creditors (TDS, current US$)	PPG, private creditors (TDS, current US$)	Total amount of debt rescheduled (current US$)	Undisbursed external debt, total (UND, current US$)	Undisbursed external debt, official creditors (UND, current US$)	Undisbursed external debt, private creditors (UND, current US$)	Agriculture value added per worker (constant 2000 US$)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
604000	604000	124431000	89108000	0	89108000	0	41596000	88504000	88504000	89108000	0	0	0	0	0	0	4875070000	4856540000	NaN	NaN	4875070000	250.050849	45.09912073	4856540000	NaN	149.9207077	93.77715069	0	0	7694000	NaN	0.071176954	402000	7292000	0	0.120966907	7292000	0.067458065	NaN	0	2249000	7292000	100	7292000	7292000	0	0	0	0	0	0	51954000	492888000	492888000	0	NaN	0
702240000	806436000	3147753000	3048688000	0	3048688000	0	3252000	4397000	5208000	706637000	0	2301017000	0	0	41034000	2342051000	368820000	358750000	NaN	NaN	368820000	2.702861642	0.523442302	358750000	0.644099068	20.44687527	NaN	382059000	193049000	1640610000	2.537064074	2.328411354	0	1572675000	0	2.432008364	1572675000	2.231995615	2.432008364	0	8822000	11762000	0.74789769	10951000	393821000	0	974748000	0	0	204106000	1178854000	67439000	13625670000	11818007000	1807663000	260.5339015	2
-2662000	4528000	1069351000	675031000	210460000	464571000	11134000	13615000	120284000	56511000	117622000	0	336240000	0	210460000	10709000	346949000	363270000	347190000	NaN	NaN	363270000	8.71944085	2.765577071	347190000	4.715305107	114.1856864	NaN	41322000	34132000	163902000	3.805680015	1.247787082	15977000	130479000	28471000	2.739522133	102008000	0.776587623	2.368818067	602000	13422000	51144000	50.13724414	19958000	92466000	0	9245000	0	28471000	297000	9542000	7574000	1199502000	1017547000	181955000	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
-133007000	-28117000	-521261000	-447404000	-484011000	36607000	-862815000	0	-971471000	241513000	-1104478000	1141503000	-418000	-2718782000	2234771000	0	1141085000	130580000	124980000	NaN	NaN	130580000	0.171659509	0.040869071	124980000	0.160795382	3.287984594	NaN	154841000	49951000	7724139000	8.79802753	2.41750948	0	7484282000	3474011000	4.567819748	4010271000	1.255139008	4.567768518	1194604000	0	2971234000	74.09060385	6605000	3126075000	883772000	424000	2718782000	755229000	0	884196000	0	7805788000	7798052000	7736000	11867.76267	2
67395000	67395000	411729000	453480000	315400000	138080000	-1140000	61080000	70761000	71901000	138156000	0	0	0	315400000	-76000	-76000	302630000	307030000	NaN	NaN	302630000	6.349236356	2.494229606	307030000	5.740428578	98.28562817	12.27551612	4182000	4182000	365252000	13.27501334	3.010350435	27721000	322420000	296500000	1.949571777	25920000	0.213628627	0.94205739	1140000	18896000	21662000	83.57253086	20522000	25844000	0	0	0	296500000	76000	76000	0	457325000	457325000	0	5121.885483	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8750000	8550000	NaN	NaN	8750000	2.552370869	0.676453225	8550000	0.857607358	100.7124688	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1987.067283	2
