PPG, bilateral (NTR, current US$)	PPG, bilateral concessional (NTR, current US$)	Net transfers on external debt, total (NTR, current US$)	Net transfers on external debt, long-term (NTR, current US$)	Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)	Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)	PPG, IBRD (NTR, current US$)	PPG, IDA (NTR, current US$)	PPG, multilateral (NTR, current US$)	PPG, multilateral concessional (NTR, current US$)	PPG, official creditors (NTR, current US$)	PPG, bonds (NTR, current US$)	PPG, commercial banks (NTR, current US$)	PNG, bonds (NTR, current US$)	PNG, commercial banks and other creditors (NTR, current US$)	PPG, other private creditors (NTR, current US$)	PPG, private creditors (NTR, current US$)	Net official development assistance and official aid received (current US$)	Net official development assistance and official aid received (constant 2010 US$)	Net official aid received (current US$)	Net official aid received (constant 2010 US$)	Net official development assistance received (current US$)	Net ODA received (% of gross capital formation)	Net ODA received (% of GNI)	Net official development assistance received (constant 2010 US$)	Net ODA received (% of imports of goods and services)	Net ODA received per capita (current US$)	Net ODA received (% of central government expense)	PPG, bilateral (TDS, current US$)	PPG, bilateral concessional (TDS, current US$)	Debt service on external debt, total (TDS, current US$)	Total debt service (% of exports of goods, services and income)	Total debt service (% of GNI)	IMF repurchases and charges (TDS, current US$)	Debt service on external debt, long-term (TDS, current US$)	Debt service on external debt, private nonguaranteed (PNG) (TDS, current US$)	Debt service (PPG and IMF only, % of exports, excluding workers' remittances)	Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)	Public and publicly guaranteed debt service (% of GNI)	Public and publicly guaranteed debt service (% of exports, excluding workers' remittances)	PPG, IBRD (TDS, current US$)	PPG, IDA (TDS, current US$)	Multilateral debt service (TDS, current US$)	Multilateral debt service (% of public and publicly guaranteed debt service)	PPG, multilateral concessional (TDS, current US$)	PPG, official creditors (TDS, current US$)	PPG, bonds (TDS, current US$)	PPG, commercial banks (TDS, current US$)	PNG, bonds (TDS, current US$)	PNG, commercial banks and other creditors (TDS, current US$)	PPG, other private creditors (TDS, current US$)	PPG, private creditors (TDS, current US$)	Total amount of debt rescheduled (current US$)	Undisbursed external debt, total (UND, current US$)	Undisbursed external debt, official creditors (UND, current US$)	Undisbursed external debt, private creditors (UND, current US$)	Agriculture value added per worker (constant 2000 US$)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	0	78905000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2837620000	3204880000	NaN	NaN	2837620000	133.1639628	41.57137734	3204880000	NaN	94.88793198	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.48142508	NaN	NaN	NaN	0	5219000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
-267681000	-105627000	2289706000	1130256000	0	1130256000	0	22719000	21696000	25503000	-245985000	0	1422160000	0	0	-45919000	1376241000	414570000	476940000	NaN	NaN	414570000	16.48212822	1.712899284	476940000	2.159122016	25.142184	NaN	554185000	296343000	2602146000	10.70313973	10.75141477	0	2545596000	0	10.47053843	2545596000	10.51776435	10.47053843	0	7492000	12453000	0.489197815	8646000	566638000	0	1813734000	0	0	165224000	1978958000	0	14654234000	12192320000	2461914000	201.5950871	2
2363000	10281000	579154000	427372000	374304000	53068000	0	24125000	50980000	39040000	53343000	0	427000	0	374304000	-702000	-275000	319140000	370660000	NaN	NaN	319140000	16.14630277	3.736630674	370660000	8.15572797	101.5787128	NaN	31262000	23344000	80329000	3.923157487	0.940527058	9590000	66481000	2694000	3.583631402	63787000	0.746846089	3.115269039	0	9617000	31813000	49.87379874	15427000	63075000	0	10000	0	2694000	702000	712000	10468000	797386000	795731000	1655000	1644.817317	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
-27740000	-4520000	11824605000	-855519000	-974718000	119199000	-853983000	0	-1223175000	1008000	-1250915000	1371701000	-353000	-725283000	-249435000	-1234000	1370114000	96180000	111880000	NaN	NaN	96180000	0.244696326	0.054343733	111880000	0.206646906	2.486480891	NaN	31534000	8259000	9971658000	19.42506309	5.634197518	4081686000	5545782000	2481857000	13.91984607	3063925000	1.73118238	5.968721497	1215804000	0	2208653000	72.0857397	83000	2240187000	822096000	408000	1265283000	1216574000	1234000	823738000	20136006000	4031775000	3893829000	137946000	10649.79503	2
10441000	10500000	-73170000	75206000	49890000	25316000	-953000	25302000	14875000	27083000	25316000	0	0	0	49890000	0	0	170340000	193070000	NaN	NaN	170340000	11.40937454	3.384492328	193070000	6.955988123	55.5585635	19.1553638	3252000	3193000	138330000	7.383695018	2.748484347	35417000	92413000	67470000	3.221859548	24943000	0.495593473	1.331392358	953000	9043000	21691000	86.96227398	9483000	24943000	0	0	0	67470000	0	0	0	399841000	399841000	0	4317.33974	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7790000	9410000	NaN	NaN	7790000	2.121523928	0.793945025	9410000	1.048848265	92.83092616	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1804.88815	2
