PPG, bilateral (NTR, current US$)	PPG, bilateral concessional (NTR, current US$)	Net transfers on external debt, total (NTR, current US$)	Net transfers on external debt, long-term (NTR, current US$)	Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)	Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)	PPG, IBRD (NTR, current US$)	PPG, IDA (NTR, current US$)	PPG, multilateral (NTR, current US$)	PPG, multilateral concessional (NTR, current US$)	PPG, official creditors (NTR, current US$)	PPG, bonds (NTR, current US$)	PPG, commercial banks (NTR, current US$)	PNG, bonds (NTR, current US$)	PNG, commercial banks and other creditors (NTR, current US$)	PPG, other private creditors (NTR, current US$)	PPG, private creditors (NTR, current US$)	Net official development assistance and official aid received (current US$)	Net official development assistance and official aid received (constant 2010 US$)	Net official aid received (current US$)	Net official aid received (constant 2010 US$)	Net official development assistance received (current US$)	Net ODA received (% of gross capital formation)	Net ODA received (% of GNI)	Net official development assistance received (constant 2010 US$)	Net ODA received (% of imports of goods and services)	Net ODA received per capita (current US$)	Net ODA received (% of central government expense)	PPG, bilateral (TDS, current US$)	PPG, bilateral concessional (TDS, current US$)	Debt service on external debt, total (TDS, current US$)	Total debt service (% of exports of goods, services and income)	Total debt service (% of GNI)	IMF repurchases and charges (TDS, current US$)	Debt service on external debt, long-term (TDS, current US$)	Debt service on external debt, private nonguaranteed (PNG) (TDS, current US$)	Debt service (PPG and IMF only, % of exports, excluding workers' remittances)	Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)	Public and publicly guaranteed debt service (% of GNI)	Public and publicly guaranteed debt service (% of exports, excluding workers' remittances)	PPG, IBRD (TDS, current US$)	PPG, IDA (TDS, current US$)	Multilateral debt service (TDS, current US$)	Multilateral debt service (% of public and publicly guaranteed debt service)	PPG, multilateral concessional (TDS, current US$)	PPG, official creditors (TDS, current US$)	PPG, bonds (TDS, current US$)	PPG, commercial banks (TDS, current US$)	PNG, bonds (TDS, current US$)	PNG, commercial banks and other creditors (TDS, current US$)	PPG, other private creditors (TDS, current US$)	PPG, private creditors (TDS, current US$)	Total amount of debt rescheduled (current US$)	Undisbursed external debt, total (UND, current US$)	Undisbursed external debt, official creditors (UND, current US$)	Undisbursed external debt, private creditors (UND, current US$)	Agriculture value added per worker (constant 2000 US$)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24860000	39760000	NaN	NaN	24860000	NaN	2.21964281	39760000	1.428598029	342.5516377	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	223800000	335750000	NaN	NaN	223800000	NaN	NaN	335750000	NaN	10.64424305	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
-9045000	15217000	201826000	596826000	0	596826000	0	9604000	13907000	10224000	4862000	0	13155000	0	0	578809000	591964000	289390000	449240000	NaN	NaN	289390000	48.91376094	8.933327925	449240000	7.512915704	25.44815002	NaN	31094000	5370000	154550000	5.12161983	4.770882998	0	88550000	0	2.93445122	88550000	2.733495241	2.93445122	0	70000	84000	0.09486166	84000	31178000	0	3279000	0	0	54093000	57372000	0	1384218000	691821000	692397000	72.74972601	2
35100000	35328000	173053000	70465000	0	70465000	0	25808000	25808000	25808000	60908000	0	0	0	0	9557000	9557000	270680000	410840000	NaN	NaN	270680000	166.9778091	22.25856272	410840000	34.0735146	83.93435954	NaN	492000	264000	8071000	3.17630854	0.66369462	940000	7131000	0	3.17630854	7131000	0.586396523	2.806375443	0	33000	33000	0.462768195	33000	525000	0	0	0	0	6606000	6606000	39401000	174668000	156957000	17711000	1078.809208	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-10170000	-13420000	NaN	NaN	-10170000	NaN	NaN	-13420000	NaN	-4.79331707	-0.249342617	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
250135000	519113000	7225031000	4584058000	3337591000	1246467000	939698000	0	1500297000	-2425000	1750432000	-479365000	-53142000	3383464000	-45873000	28542000	-503965000	226240000	351070000	NaN	NaN	226240000	0.50145415	0.096815539	351070000	0.81873332	6.657635424	NaN	525191000	56032000	5837772000	30.92885649	2.498174704	589782000	4679990000	267409000	26.50281089	4412581000	1.888288586	23.37811146	567368000	0	1039529000	23.55829842	2425000	1564720000	2690583000	73773000	221536000	45873000	83505000	2847861000	26496206000	3882992000	3467604000	415388000	7413.338196	2
23361000	2314000	47317000	85397000	0	85397000	498000	0	62036000	0	85397000	0	0	0	0	0	0	109460000	160760000	NaN	NaN	109460000	92.29647877	9.927646105	160760000	37.03728768	32.47711752	NaN	623000	0	2001000	1.153513576	0.181483828	0	1951000	0	1.124690148	1951000	0.176949	1.124690148	8000	0	1328000	68.06765761	0	1951000	0	0	0	0	0	0	45100000	80898000	80898000	0	1639.257302	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3000000	4670000	NaN	NaN	3000000	2.073998159	0.691822856	4670000	0.706633632	45.98546859	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1821.10526	2
