PPG, bilateral (NTR, current US$)	PPG, bilateral concessional (NTR, current US$)	Net transfers on external debt, total (NTR, current US$)	Net transfers on external debt, long-term (NTR, current US$)	Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)	Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)	PPG, IBRD (NTR, current US$)	PPG, IDA (NTR, current US$)	PPG, multilateral (NTR, current US$)	PPG, multilateral concessional (NTR, current US$)	PPG, official creditors (NTR, current US$)	PPG, bonds (NTR, current US$)	PPG, commercial banks (NTR, current US$)	PNG, bonds (NTR, current US$)	PNG, commercial banks and other creditors (NTR, current US$)	PPG, other private creditors (NTR, current US$)	PPG, private creditors (NTR, current US$)	Net official development assistance and official aid received (current US$)	Net official development assistance and official aid received (constant 2010 US$)	Net official aid received (current US$)	Net official aid received (constant 2010 US$)	Net official development assistance received (current US$)	Net ODA received (% of gross capital formation)	Net ODA received (% of GNI)	Net official development assistance received (constant 2010 US$)	Net ODA received (% of imports of goods and services)	Net ODA received per capita (current US$)	Net ODA received (% of central government expense)	PPG, bilateral (TDS, current US$)	PPG, bilateral concessional (TDS, current US$)	Debt service on external debt, total (TDS, current US$)	Total debt service (% of exports of goods, services and income)	Total debt service (% of GNI)	IMF repurchases and charges (TDS, current US$)	Debt service on external debt, long-term (TDS, current US$)	Debt service on external debt, private nonguaranteed (PNG) (TDS, current US$)	Debt service (PPG and IMF only, % of exports, excluding workers' remittances)	Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)	Public and publicly guaranteed debt service (% of GNI)	Public and publicly guaranteed debt service (% of exports, excluding workers' remittances)	PPG, IBRD (TDS, current US$)	PPG, IDA (TDS, current US$)	Multilateral debt service (TDS, current US$)	Multilateral debt service (% of public and publicly guaranteed debt service)	PPG, multilateral concessional (TDS, current US$)	PPG, official creditors (TDS, current US$)	PPG, bonds (TDS, current US$)	PPG, commercial banks (TDS, current US$)	PNG, bonds (TDS, current US$)	PNG, commercial banks and other creditors (TDS, current US$)	PPG, other private creditors (TDS, current US$)	PPG, private creditors (TDS, current US$)	Total amount of debt rescheduled (current US$)	Undisbursed external debt, total (UND, current US$)	Undisbursed external debt, official creditors (UND, current US$)	Undisbursed external debt, private creditors (UND, current US$)	Agriculture value added per worker (constant 2000 US$)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	76220000	98450000	76220000	98450000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	0	3785000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1593670000	2037750000	NaN	NaN	1593670000	206.1522239	33.48722364	2037750000	NaN	56.40167925	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	31171000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
50609000	6753000	320130000	389595000	0	389595000	0	-434000	384000	-822000	50993000	0	592831000	0	0	-254229000	338602000	493730000	630900000	NaN	NaN	493730000	27.93549128	4.0371103	630900000	4.684347058	32.0189251	NaN	91144000	0	1482627000	15.25098055	12.1230809	0	1476162000	0	15.1844786	1476162000	12.07021816	15.18447636	0	5466000	9200000	0.623237829	6039000	100344000	0	1118934000	0	0	256884000	1375818000	196240000	1665554000	168289000	1497265000	160.896685	2
8300000	15398000	210751000	91767000	-2753000	94520000	0	55667000	86397000	68325000	94697000	0	391000	0	-2753000	-568000	-177000	354500000	469240000	NaN	NaN	354500000	26.76156264	6.091287302	469240000	13.58007052	114.108181	27.5851823	21201000	14103000	57303000	4.208239254	0.984623516	9942000	44727000	2753000	3.812626723	41974000	0.721229036	3.08250239	0	5209000	20199000	48.12264735	8065000	41400000	0	6000	0	2753000	568000	574000	15464000	646162000	643503000	2659000	1557.316087	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4960000	6400000	4960000	6400000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
-55909000	-9632000	-2410419000	-2195688000	-9135000	-2186553000	-1386940000	0	-1688487000	0	-1744396000	-439260000	-229000	0	-9135000	-2668000	-442157000	106640000	141400000	NaN	NaN	106640000	0.543588559	0.087678549	141400000	0.356574544	2.806223406	0.414803149	56176000	9632000	14296265000	38.08011432	11.75427389	6247233000	7749579000	949135000	34.75432442	6800444000	5.591270262	18.1139399	3349832000	0	6301898000	92.66891985	0	6358074000	439260000	442000	0	949135000	2668000	442370000	171000	5115140000	4964079000	151061000	9679.865652	2
-25184000	3432000	202563000	26912000	1240000	25672000	-879000	73111000	59475000	79701000	34291000	0	0	0	1240000	-8619000	-8619000	253800000	319580000	NaN	NaN	253800000	37.27228475	8.747035203	319580000	17.17902057	82.92616304	55.08170431	31590000	2974000	116025000	10.84895073	3.998718516	27605000	79700000	14530000	8.674952846	65170000	2.246037369	6.093739445	879000	4275000	24961000	38.30136566	4486000	56551000	0	0	0	14530000	8619000	8619000	0	197776000	197776000	0	3264.150095	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6160000	7750000	NaN	NaN	6160000	2.067653787	0.744035451	7750000	1.044100146	75.38303392	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1707.367811	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24941.97611	3
