PPG, bilateral (NTR, current US$)	PPG, bilateral concessional (NTR, current US$)	Net transfers on external debt, total (NTR, current US$)	Net transfers on external debt, long-term (NTR, current US$)	Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)	Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)	PPG, IBRD (NTR, current US$)	PPG, IDA (NTR, current US$)	PPG, multilateral (NTR, current US$)	PPG, multilateral concessional (NTR, current US$)	PPG, official creditors (NTR, current US$)	PPG, bonds (NTR, current US$)	PPG, commercial banks (NTR, current US$)	PNG, bonds (NTR, current US$)	PNG, commercial banks and other creditors (NTR, current US$)	PPG, other private creditors (NTR, current US$)	PPG, private creditors (NTR, current US$)	Net official development assistance and official aid received (current US$)	Net official development assistance and official aid received (constant 2010 US$)	Net official aid received (current US$)	Net official aid received (constant 2010 US$)	Net official development assistance received (current US$)	Net ODA received (% of gross capital formation)	Net ODA received (% of GNI)	Net official development assistance received (constant 2010 US$)	Net ODA received (% of imports of goods and services)	Net ODA received per capita (current US$)	Net ODA received (% of central government expense)	PPG, bilateral (TDS, current US$)	PPG, bilateral concessional (TDS, current US$)	Debt service on external debt, total (TDS, current US$)	Total debt service (% of exports of goods, services and income)	Total debt service (% of GNI)	IMF repurchases and charges (TDS, current US$)	Debt service on external debt, long-term (TDS, current US$)	Debt service on external debt, private nonguaranteed (PNG) (TDS, current US$)	Debt service (PPG and IMF only, % of exports, excluding workers' remittances)	Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)	Public and publicly guaranteed debt service (% of GNI)	Public and publicly guaranteed debt service (% of exports, excluding workers' remittances)	PPG, IBRD (TDS, current US$)	PPG, IDA (TDS, current US$)	Multilateral debt service (TDS, current US$)	Multilateral debt service (% of public and publicly guaranteed debt service)	PPG, multilateral concessional (TDS, current US$)	PPG, official creditors (TDS, current US$)	PPG, bonds (TDS, current US$)	PPG, commercial banks (TDS, current US$)	PNG, bonds (TDS, current US$)	PNG, commercial banks and other creditors (TDS, current US$)	PPG, other private creditors (TDS, current US$)	PPG, private creditors (TDS, current US$)	Total amount of debt rescheduled (current US$)	Undisbursed external debt, total (UND, current US$)	Undisbursed external debt, official creditors (UND, current US$)	Undisbursed external debt, private creditors (UND, current US$)	Agriculture value added per worker (constant 2000 US$)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
39732000	39732000	137174000	137174000	0	137174000	0	34091000	97442000	97442000	137174000	0	0	0	0	0	0	2961670000	3252330000	NaN	NaN	2961670000	110.4856327	36.07667923	3252330000	NaN	96.30926928	206.4375122	0	0	9260000	NaN	0.112797864	0	9260000	0	0.567497558	9260000	0.112797864	NaN	0	5380000	9260000	100	9260000	9260000	0	0	0	0	0	0	94882000	626269000	626269000	0	NaN	0
-1064313000	29240000	-2968266000	-3116791000	0	-3116791000	0	9778000	-1531000	1013000	-1065844000	0	-1469171000	0	0	-581776000	-2050947000	163520000	183990000	NaN	NaN	163520000	2.549007741	0.459176063	183990000	0.723164375	9.612961885	NaN	1549073000	323969000	4422168000	13.20384476	12.41776965	0	4338693000	0	12.95460254	4338693000	12.18336577	12.95460254	0	8005000	22135000	0.510176682	19591000	1571208000	0	2042236000	0	0	725249000	2767485000	2045000	15558238000	12649331000	2908907000	214.8360928	2
10983000	18629000	216838000	7104000	-78241000	85345000	0	35365000	77287000	54162000	88270000	0	428000	0	-78241000	-3353000	-2925000	321780000	358770000	NaN	NaN	321780000	14.06760787	3.428467524	358770000	7.041916896	101.9385688	NaN	42039000	34393000	205329000	7.810254846	2.187717721	11727000	176460000	93687000	3.594568146	82773000	0.881921009	3.148499356	0	10389000	37368000	45.14515603	15857000	79407000	0	13000	0	93687000	3353000	3366000	8962000	974171000	801979000	172192000	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
-8880000	-6226000	-16268088000	803662000	759380000	44282000	-1020673000	0	-1530086000	2508000	-1538966000	1585372000	-780000	458232000	301148000	-1344000	1583248000	115080000	130300000	NaN	NaN	115080000	0.230192111	0.055092737	130300000	0.217350656	2.948965825	NaN	12395000	9741000	21798344000	36.17722443	10.43561376	9876008000	7985316000	4136870000	22.77754001	3848446000	1.84238289	6.387009585	1479672000	0	3192080000	82.94464831	268000	3204475000	641837000	790000	2437268000	1699602000	1344000	643971000	2096200000	5538624000	5389487000	149137000	10958.77544	2
7547000	7547000	33957000	57920000	1370000	56550000	-970000	51340000	49003000	58650000	56550000	0	0	0	1370000	0	0	215510000	238340000	NaN	NaN	215510000	9.401016047	3.265489923	238340000	7.316525355	70.20226435	19.68449969	3276000	3276000	149768000	7.016725558	2.269342002	32025000	107143000	80990000	2.725676109	26153000	0.396280256	1.225284597	970000	12633000	22877000	87.47371238	13230000	26153000	0	0	0	80990000	0	0	0	380689000	380689000	0	4421.645574	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3280000	3950000	NaN	NaN	3280000	0.741665075	0.293950018	3950000	0.367769122	38.61003861	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1856.69583	2
