PPG, bilateral (NTR, current US$)	PPG, bilateral concessional (NTR, current US$)	Net transfers on external debt, total (NTR, current US$)	Net transfers on external debt, long-term (NTR, current US$)	Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)	Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)	PPG, IBRD (NTR, current US$)	PPG, IDA (NTR, current US$)	PPG, multilateral (NTR, current US$)	PPG, multilateral concessional (NTR, current US$)	PPG, official creditors (NTR, current US$)	PPG, bonds (NTR, current US$)	PPG, commercial banks (NTR, current US$)	PNG, bonds (NTR, current US$)	PNG, commercial banks and other creditors (NTR, current US$)	PPG, other private creditors (NTR, current US$)	PPG, private creditors (NTR, current US$)	Net official development assistance and official aid received (current US$)	Net official development assistance and official aid received (constant 2010 US$)	Net official aid received (current US$)	Net official aid received (constant 2010 US$)	Net official development assistance received (current US$)	Net ODA received (% of gross capital formation)	Net ODA received (% of GNI)	Net official development assistance received (constant 2010 US$)	Net ODA received (% of imports of goods and services)	Net ODA received per capita (current US$)	Net ODA received (% of central government expense)	PPG, bilateral (TDS, current US$)	PPG, bilateral concessional (TDS, current US$)	Debt service on external debt, total (TDS, current US$)	Total debt service (% of exports of goods, services and income)	Total debt service (% of GNI)	IMF repurchases and charges (TDS, current US$)	Debt service on external debt, long-term (TDS, current US$)	Debt service on external debt, private nonguaranteed (PNG) (TDS, current US$)	Debt service (PPG and IMF only, % of exports, excluding workers' remittances)	Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)	Public and publicly guaranteed debt service (% of GNI)	Public and publicly guaranteed debt service (% of exports, excluding workers' remittances)	PPG, IBRD (TDS, current US$)	PPG, IDA (TDS, current US$)	Multilateral debt service (TDS, current US$)	Multilateral debt service (% of public and publicly guaranteed debt service)	PPG, multilateral concessional (TDS, current US$)	PPG, official creditors (TDS, current US$)	PPG, bonds (TDS, current US$)	PPG, commercial banks (TDS, current US$)	PNG, bonds (TDS, current US$)	PNG, commercial banks and other creditors (TDS, current US$)	PPG, other private creditors (TDS, current US$)	PPG, private creditors (TDS, current US$)	Total amount of debt rescheduled (current US$)	Undisbursed external debt, total (UND, current US$)	Undisbursed external debt, official creditors (UND, current US$)	Undisbursed external debt, private creditors (UND, current US$)	Agriculture value added per worker (constant 2000 US$)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-11320000	-13200000	-11320000	-13200000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	0	130826000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2311490000	2693530000	NaN	NaN	2311490000	232.7998324	40.46341714	2693530000	NaN	79.51832363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	4380000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
3468000	-260343000	1065061000	734561000	0	734561000	0	9803000	11992000	13782000	15460000	0	912225000	0	0	-193124000	719101000	1144460000	1361920000	NaN	NaN	1144460000	63.50786417	6.617424409	1361920000	8.699091715	71.71943405	NaN	533038000	265000000	1876082000	13.5645428	10.84776298	0	1867582000	0	13.50308567	1867582000	10.79861482	13.50308567	0	9255000	12670000	0.678417333	10437000	545708000	0	1056653000	0	0	265221000	1321874000	984973000	4353991000	2500466000	1853525000	177.7645548	2
6897000	14406000	-26316000	121024000	29149000	91875000	0	59062000	85202000	70730000	92099000	0	427000	0	29149000	-651000	-224000	299950000	355730000	NaN	NaN	299950000	16.85607321	3.922788254	355730000	9.150284602	95.98826956	18.31563665	28435000	20926000	75325000	4.160400675	0.985110936	9947000	64128000	7234000	3.691806724	56894000	0.744067728	3.142407381	0	7789000	27799000	48.86103983	12842000	56234000	0	9000	0	7234000	651000	660000	0	826172000	823783000	2389000	1605.684492	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5360000	6250000	5360000	6250000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
-15115000	12560000	-6893670000	-3699423000	-2335410000	-1364013000	-294505000	0	-866711000	0	-881826000	-480988000	-112000	-1344477000	-990933000	-1087000	-482187000	91340000	109230000	NaN	NaN	91340000	0.311204047	0.063337542	109230000	0.22314067	2.382319941	0.326145366	37939000	10104000	12828498000	29.4335433	8.895615688	6058428000	6511860000	3991894000	19.68215852	2519966000	1.747410265	5.781778068	1065003000	0	1978654000	78.51907526	0	2016593000	502014000	272000	2240961000	1750933000	1087000	503373000	0	5228102000	5069815000	158287000	9558.33382	2
-23553000	7456000	3256000	17102000	-17150000	34252000	-910000	72169000	58319000	76545000	34766000	0	0	0	-17150000	-514000	-514000	253410000	294840000	NaN	NaN	253410000	28.47933218	6.878601345	294840000	13.21330724	82.74309642	41.78574482	34200000	3191000	168791000	11.49514768	4.581689751	35794000	120787000	61240000	6.492993552	59547000	1.616353239	4.05532024	910000	6329000	24833000	41.70319244	6607000	59033000	0	0	0	61240000	514000	514000	0	231954000	231954000	0	3807.925455	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1630000	1880000	NaN	NaN	1630000	0.513541591	0.185500573	1880000	0.251170664	19.67695985	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1752.699531	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31312.84959	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19491.30397	3
-11801000	-727000	113089000	144166000	136601000	7565000	0	44977000	39997000	48898000	28196000	0	-17802000	0	136601000	-2829000	-20631000	175760000	213330000	NaN	NaN	175760000	3.491549238	2.202509615	213330000	2.483173659	21.15933305	NaN	26636000	15562000	232612000	5.409167531	2.914941775	62462000	166535000	97084000	3.067509486	69451000	0.870314607	1.615015967	0	4188000	22184000	31.94194468	5171000	48820000	0	17802000	0	97084000	2829000	20631000	0	395799000	395799000	0	1089.842728	2
-1168000	-1168000	789000	-12410000	0	-12410000	0	23392000	-6740000	2169000	-7908000	0	0	0	0	-4502000	-4502000	364040000	429330000	NaN	NaN	364040000	384.4030197	39.6231773	429330000	144.152612	51.71365036	NaN	1168000	1168000	87899000	134.099964	9.567183995	28873000	58973000	0	101.889096	58973000	6.418793635	89.96892506	0	19858000	53303000	90.38543062	44394000	54471000	0	0	0	0	4502000	4502000	54418000	210690000	198325000	12365000	109.7807501	0
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39201.5392	3
2090000	2090000	44632000	56683000	0	56683000	0	30876000	54593000	56265000	56683000	0	0	0	0	0	0	393800000	465690000	NaN	NaN	393800000	53.32954479	9.830897458	465690000	33.11938534	53.23071079	77.06387494	2458000	2458000	40171000	4.977500826	1.002836419	7892000	31119000	0	10.13084314	31119000	0.776860584	3.855887287	0	10821000	28661000	92.1012886	26989000	31119000	0	0	0	0	0	0	37248000	480473000	480473000	0	665.7413595	0
-91168000	-90194000	501644000	283808000	0	283808000	-7614000	407331000	394265000	332775000	303097000	0	8329000	0	0	-27618000	-19289000	1413850000	1638740000	NaN	NaN	1413850000	10.40540433	2.374527125	1638740000	10.42471841	10.19848023	28.55403379	174861000	173887000	651921000	6.982682134	1.094885665	854000	627384000	0	6.729015108	627384000	1.053676363	6.719867972	7614000	208085000	418928000	66.7737781	408644000	593789000	0	5977000	0	0	27618000	33595000	0	3855824000	3802024000	53800000	393.727788	0
-85278000	-6252000	1279066000	879832000	1776280000	-896448000	83166000	0	118317000	6613000	33039000	-948279000	22124000	248807000	1527473000	-3332000	-929487000	636760000	745740000	636760000	745740000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	112537000	33511000	2349539000	15.15841504	9.181927991	163301000	2097450000	766187000	9.642411306	1331263000	5.202535903	8.588849593	120439000	0	254265000	19.0995318	3444000	366802000	948279000	12850000	4514000	761673000	3332000	964461000	0	802141000	756046000	46095000	8847.517623	2
