Customs and other import duties (current LCU)	Customs and other import duties (% of tax revenue)	Taxes on international trade (current LCU)	Taxes on international trade (% of revenue)	Other taxes (current LCU)	Other taxes (% of revenue)	Tax revenue (current LCU)	Tax revenue (% of GDP)	Taxes on income, profits and capital gains (current LCU)	Taxes on income, profits and capital gains (% of revenue)	Taxes on income, profits and capital gains (% of total taxes)	Compensation of employees (current LCU)	Compensation of employees (% of expense)	Goods and services expense (current LCU)	Goods and services expense (% of expense)	Interest payments (current LCU)	Interest payments (% of revenue)	Interest payments (% of expense)	Other expense (current LCU)	Other expense (% of expense)	Expense (current LCU)	Expense (% of GDP)	Subsidies and other transfers (current LCU)	Subsidies and other transfers (% of expense)	Business extent of disclosure index (0=less disclosure to 10=more disclosure)	Ease of doing business index (1=most business-friendly regulations)	New business density (new registrations per 1,000 people ages 15-64)	New businesses registered (number)	Credit depth of information index (0=low to 6=high)	Private credit bureau coverage (% of adults)	Public credit registry coverage (% of adults)	Average time to clear exports through customs (days)	Delay in obtaining an electrical connection (days)	Power outages in firms in a typical month (number)	Time required to get electricity (days)	Firing cost (weeks of wages)	Cost to export (US$ per container)	Documents to export (number)	Time to export (days)	Firms using banks to finance investment (% of firms)	Informal payments to public officials (% of firms)	Losses due to theft, robbery, vandalism, and arson (% sales)	Time required to obtain an operating license (days)	Firms with female participation in ownership (% of firms)	Firms formally registered when operations started (% of firms)	Firms that do not report all sales for tax purposes (% of firms)	ISO certification ownership (% of firms)	Value lost due to electrical outages (% of sales)	Firms offering formal training (% of firms)	Management time dealing with officials (% of management time)	Cost to import (US$ per container)	Documents to import (number)	Time to import (days)	Time to resolve insolvency (years)	Strength of legal rights index (0=weak to 10=strong)	Time required to enforce a contract (days)	Procedures to enforce a contract (number)	Time required to register property (days)	Procedures to register property (number)	Cost of business start-up procedures (% of GNI per capita)	Time required to start a business (days)	Start-up procedures to register a business (number)	Time to prepare and pay taxes (hours)	Firms expected to give gifts in meetings with tax officials (% of firms)	Labor tax and contributions (% of commercial profits)	Average number of times firms spent in meetings with tax officials	Other taxes payable by businesses (% of commercial profits)	Tax payments (number)	Profit tax (% of commercial profits)	Total tax rate (% of commercial profits)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	58	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.2	NaN	1011	46	NaN	NaN	1316.4	119	12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
13853540000	11.88688363	13865400000	8.30558774	3919470000	2.34782278	1.16545E+11	17.07192842	22504710000	13.48066723	19.30992865	45557440000	29.35187786	17765290000	11.4458719	29823720000	17.86486673	19.21491169	4781000000	3.080316366	1.55211E+11	22.73595755	57283880000	36.90702219	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2	NaN	390	39	NaN	NaN	56.9	41	11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	84	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.1	NaN	537	50	NaN	NaN	34.3	19	10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
2212398972	4.701301996	10658540034	16.47086892	8796244916	13.59302461	47059282177	12.51878465	10374253526	16.03155493	22.04507389	8702628374	11.67036691	2739212712	3.673329026	22377352017	34.58019867	30.00839486	7525583519	10.09193052	74570306476	19.83731083	33224429853	44.55450356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	182	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.8	NaN	590	36	NaN	NaN	12.4	66	13	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
10723994100	4.714951982	10723994100	3.168438432	35441781920	10.47138807	2.27447E+11	13.99978702	34407562360	10.16582459	15.12775957	13736053500	5.150764735	1.414E+11	53.02232698	11397709940	3.367489936	4.273929366	10191421400	3.821593586	2.6668E+11	16.41467909	89954819800	33.73138533	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.9	NaN	327	50	NaN	NaN	8.4	18	9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
