IDA grants (current US$)	PPG, IBRD (DIS, current US$)	PPG, IDA (DIS, current US$)	PPG, multilateral (DIS, current US$)	PPG, multilateral concessional (DIS, current US$)	PPG, official creditors (DIS, current US$)	PPG, bonds (DIS, current US$)	PPG, commercial banks (DIS, current US$)	PNG, bonds (DIS, current US$)	PNG, commercial banks and other creditors (DIS, current US$)	PPG, other private creditors (DIS, current US$)	PPG, private creditors (DIS, current US$)	External debt stocks, concessional (DOD, current US$)	Concessional debt (% of total external debt)	PPG, bilateral (DOD, current US$)	PPG, bilateral concessional (DOD, current US$)	External debt stocks, total (DOD, current US$)	Total change in external debt stocks (current US$)	External debt stocks (% of exports of goods, services and income)	External debt stocks (% of GNI)	Use of IMF credit (DOD, current US$)	External debt stocks, long-term (DOD, current US$)	External debt stocks, private nonguaranteed (PNG) (DOD, current US$)	External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)	External debt stocks, short-term (DOD, current US$)	Short-term debt (% of total reserves)	Short-term debt (% of exports of goods, services and income)	Short-term debt (% of total external debt)	Debt forgiveness grants (current US$)	PPG, IBRD (DOD, current US$)	PPG, IDA (DOD, current US$)	PPG, multilateral (DOD, current US$)	Multilateral debt (% of total external debt)	PPG, multilateral concessional (DOD, current US$)	IBRD loans and IDA credits (DOD, current US$)	PPG, official creditors (DOD, current US$)	PPG, bonds (DOD, current US$)	PPG, commercial banks (DOD, current US$)	PNG, bonds (DOD, current US$)	PNG, commercial banks and other creditors (DOD, current US$)	PPG, other private creditors (DOD, current US$)	External debt stocks, long-term private sector (DOD, current US$)	PPG, private creditors (DOD, current US$)	External debt stocks, long-term public sector (DOD, current US$)	Present value of external debt (current US$)	Present value of external debt (% of exports of goods, services and income)	Present value of external debt (% of GNI)	Residual, debt stock-flow reconciliation (current US$)	External debt stocks, variable rate (DOD, current US$)	Debt buyback (current US$)	Debt stock reduction (current US$)	Debt stock rescheduled (current US$)	Average grace period on new external debt commitments (years)	Average grace period on new external debt commitments, official (years)	Average grace period on new external debt commitments, private (years)	Average grant element on new external debt commitments (%)	Average grant element on new external debt commitments, official (%)	Average grant element on new external debt commitments, private (%)	Average interest on new external debt commitments (%)	Average interest on new external debt commitments, official (%)	Average interest on new external debt commitments, private (%)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
NaN	0	37752000	37752000	37752000	54536000	0	685173000	0	0	38230000	723403000	2152488000	20.4108	2649994000	2001939000	10545818000	-954203000	195.0762107	179.2815339	0	9377297000	0	9377297000	1168521000	211.8347282	21.61526482	11.0804	NaN	0	115121000	217920000	2.0664	150549000	115121000	2867914000	0	4014518000	0	0	2494865000	25020000	6509383000	9352277000	NaN	NaN	NaN	3296094991	1815745000	0	0	0	1.2676	7.1087	0.9894	6.4384	57.5227	4.0049	7.2851	2.7767	7.4998	2
NaN	0	32324000	41440000	35887000	86838000	0	0	0	0	5605000	5605000	335465000	67.6637	229673000	193892000	495783000	36923000	108.5814717	16.07066875	54212000	409982000	0	409982000	31589000	9.76847936	6.918309242	6.3715	NaN	0	137216000	151085000	30.474	141573000	137216000	380758000	0	0	0	0	29224000	0	29224000	409982000	NaN	NaN	NaN	-476685	58610000	0	0	0	10.5555	10.5555	0	72.2981	72.2981	0	1.387	1.387	0	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	1076698000	0	1583614000	0	1677895000	11204270000	137381000	2489990000	2380000000	4221000	11345872000	2493076000	2.2444	9756562000	2486498000	1.11077E+11	12612476000	337.7042638	41.65104813	6292571000	81287358000	19068321000	62219037000	23497458000	119.1613962	71.43840856	21.1541	NaN	5372447000	0	9743391000	8.7717	6578000	5372447000	19499953000	41435157000	691573000	8760321000	10308000000	592354000	19110461000	42719084000	62176897000	NaN	NaN	NaN	1625399060	39196978000	0	0	0	7.1988	5.1072	7.4438	4.0162	18.4214	2.3285	8.3809	6.7819	8.5682	2
NaN	5448000	87010000	122015000	88321000	146149000	0	0	0	0	0	0	201758000	38.7591	91518000	26412000	520544000	149887000	116.6642013	31.708304	116475000	402669000	0	402669000	1400000	0.832333482	0.313767677	0.2689	NaN	9764000	174048000	311151000	59.7742	175346000	183812000	402669000	0	0	0	0	0	0	0	402669000	NaN	NaN	NaN	70345998.3	198775000	0	0	0	9.0784	9.0784	0	68.5757	68.5757	0	1.845	1.845	0	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	0	35840000	43542000	35840000	46559000	0	0	0	0	0	0	64289000	14.6675	110317000	0	438310000	117323000	54.24756275	14.07298456	174971000	247858000	0	247858000	15481000	7.245579728	1.916010401	3.532	NaN	0	64289000	137541000	31.3798	64289000	64289000	247858000	0	0	0	0	0	0	0	247858000	NaN	NaN	NaN	7696959.6	183569000	0	0	0	7.7375	7.7375	0	59.4605	59.4605	0	2.387	2.387	0	2
NaN	0	16917000	33942000	33110000	35019000	0	0	0	0	0	0	1044321000	92.3441	158807000	158807000	1130902000	-31053000	1971.535246	132.2498288	37641000	1084889000	0	1084889000	8372000	5.735796199	14.59515774	0.7403	NaN	0	587717000	925238000	81.8142	885514000	587717000	1084045000	0	0	0	0	844000	0	844000	1084889000	NaN	NaN	NaN	49310505.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	0	40649000	88024000	84204000	108923000	0	0	0	0	0	0	1057643000	76.7723	307180000	180517000	1377637000	-18875000	199.5581317	63.71913769	99133000	1231621000	0	1231621000	46883000	17.90588308	6.7912548	3.4031	NaN	0	519941000	920608000	66.8252	877126000	519941000	1227788000	0	0	0	0	3833000	0	3833000	1231621000	NaN	NaN	NaN	50663351.8	14873000	0	79689000	119980000	9.2162	9.2162	0	73.5527	73.5527	0	1.1761	1.1761	0	0
NaN	0	279237000	642238000	642238000	892405000	0	0	0	0	0	0	14283338000	94.2129	4590068000	4588052000	15160701000	-565157000	319.609569	36.20278974	516488000	14481148000	0	14481148000	163065000	8.722478768	3.43764674	1.0756	NaN	46455000	5712872000	9742198000	64.2595	9695286000	5759327000	14332266000	0	6809000	0	0	142073000	0	148882000	14481148000	NaN	NaN	NaN	149295626.9	6809000	0	0	0	9.1267	9.1267	0	74.035	74.035	0	1.0563	1.0563	0	0
NaN	52488000	0	140684000	0	157494000	0	0	0	60935000	0	0	368491000	3.5539	1536500000	368491000	10368634000	-10191000	161.0736656	122.0670171	585608000	8636002000	413000000	8223002000	1147024000	132.7170863	17.81867893	11.0624	NaN	452872000	0	1249453000	12.0503	0	452872000	2785953000	5154507000	244117000	0	413000000	38425000	413000000	5437049000	8223002000	NaN	NaN	NaN	6599177.1	7024000000	0	16100000	0	6.1319	6.1319	0	20.3213	20.3213	0	6.5167	6.5167	0	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	0	109559000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44610000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	588897000	108844000	NaN	NaN	NaN	697741000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	13881000	0	46583000	0	56487000	0	8148000	0	480000	27869000	36017000	85783000	4.3772	142047000	85783000	1959769000	265579000	28.9384395	13.30816794	273500000	729695000	842000	728853000	956574000	203.8951188	14.12501107	48.8105	NaN	120744000	0	219069000	11.1783	0	120744000	361116000	0	49365000	0	842000	318372000	842000	367737000	728853000	NaN	NaN	NaN	-2170760.7	503249000	0	0	0	4.3383	6.75	3.9491	22.9337	35.5714	20.8941	6.1537	4.5	6.4206	2
NaN	7515000	0	10033000	1016000	45027000	0	15472000	0	0	0	15472000	117931000	41.8883	109949000	76901000	281537000	26379000	89.25074102	45.59515313	0	250448000	0	250448000	31089000	53.232766	9.855600818	11.0426	NaN	32517000	0	89696000	31.8594	41030000	32517000	199645000	0	47857000	0	0	2946000	0	50803000	250448000	NaN	NaN	NaN	-654545.4	57193000	0	0	0	12.5729	15.4475	3.5	37.0585	38.6565	32.0149	4.3478	5.1709	1.75	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
