IDA grants (current US$)	PPG, IBRD (DIS, current US$)	PPG, IDA (DIS, current US$)	PPG, multilateral (DIS, current US$)	PPG, multilateral concessional (DIS, current US$)	PPG, official creditors (DIS, current US$)	PPG, bonds (DIS, current US$)	PPG, commercial banks (DIS, current US$)	PNG, bonds (DIS, current US$)	PNG, commercial banks and other creditors (DIS, current US$)	PPG, other private creditors (DIS, current US$)	PPG, private creditors (DIS, current US$)	External debt stocks, concessional (DOD, current US$)	Concessional debt (% of total external debt)	PPG, bilateral (DOD, current US$)	PPG, bilateral concessional (DOD, current US$)	External debt stocks, total (DOD, current US$)	Total change in external debt stocks (current US$)	External debt stocks (% of exports of goods, services and income)	External debt stocks (% of GNI)	Use of IMF credit (DOD, current US$)	External debt stocks, long-term (DOD, current US$)	External debt stocks, private nonguaranteed (PNG) (DOD, current US$)	External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)	External debt stocks, short-term (DOD, current US$)	Short-term debt (% of total reserves)	Short-term debt (% of exports of goods, services and income)	Short-term debt (% of total external debt)	Debt forgiveness grants (current US$)	PPG, IBRD (DOD, current US$)	PPG, IDA (DOD, current US$)	PPG, multilateral (DOD, current US$)	Multilateral debt (% of total external debt)	PPG, multilateral concessional (DOD, current US$)	IBRD loans and IDA credits (DOD, current US$)	PPG, official creditors (DOD, current US$)	PPG, bonds (DOD, current US$)	PPG, commercial banks (DOD, current US$)	PNG, bonds (DOD, current US$)	PNG, commercial banks and other creditors (DOD, current US$)	PPG, other private creditors (DOD, current US$)	External debt stocks, long-term private sector (DOD, current US$)	PPG, private creditors (DOD, current US$)	External debt stocks, long-term public sector (DOD, current US$)	Present value of external debt (current US$)	Present value of external debt (% of exports of goods, services and income)	Present value of external debt (% of GNI)	Residual, debt stock-flow reconciliation (current US$)	External debt stocks, variable rate (DOD, current US$)	Debt buyback (current US$)	Debt stock reduction (current US$)	Debt stock rescheduled (current US$)	Average grace period on new external debt commitments (years)	Average grace period on new external debt commitments, official (years)	Average grace period on new external debt commitments, private (years)	Average grant element on new external debt commitments (%)	Average grant element on new external debt commitments, official (%)	Average grant element on new external debt commitments, private (%)	Average interest on new external debt commitments (%)	Average interest on new external debt commitments, official (%)	Average interest on new external debt commitments, private (%)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
103762328	0	39471000	106702000	106702000	146434000	0	0	0	0	0	0	910323000	97.991	256837000	256723000	928986000	229359000	NaN	11.31615944	0	910834000	0	910834000	18152000	NaN	NaN	1.954	0	0	343427000	653600000	70.3563	653600000	343427000	910437000	0	0	0	0	397000	0	397000	910834000	NaN	NaN	NaN	52003659	0	0	0	56202000	10.25	10.25	0	76.1157	76.1157	0	1.2496	1.2496	0	0
15947246	0	17783000	20604000	20604000	505364000	0	573065000	0	0	143473000	716538000	1975816000	20.8572	2185564000	1582519000	9473049000	-2360712000	28.28492006	23.87415734	0	7340889000	0	7340889000	2132160000	24.79664058	6.366268681	22.5076	0	0	347333000	395634000	4.1764	393297000	347333000	2581198000	0	3927549000	0	0	832142000	6678000	4759691000	7334211000	NaN	NaN	NaN	383317140.5	4009761000	0	1007000	0	1.1256	1.5349	0.7509	21.353	37.2683	6.7793	4.7044	1.0743	8.0285	2
0	0	45754000	114655000	70019000	167677000	0	441000	0	15446000	0	441000	1344500000	55.5047	544653000	506688000	2422317000	367897000	92.13950824	25.9166498	92579000	1943263000	358765000	1584498000	386475000	21.31920002	14.70064259	15.9548	0	0	728673000	1013175000	41.8267	837812000	728673000	1557828000	0	3236000	0	358765000	23434000	358765000	26670000	1584498000	NaN	NaN	NaN	20767237.6	628022000	0	0	0	13.0111	6.6421	18.8131	67.2316	44.7273	87.7323	1.7525	3.3673	0.2814	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
0	458999000	0	1661994000	2776000	1665509000	2227209000	10000	2895500000	2000750000	0	2227219000	1505940000	1.2998	5199958000	1501783000	1.15863E+11	-9075906000	192.2905856	55.46777876	0	87564273000	26810522000	60753751000	28299130000	88.37320581	46.96618182	24.4246	0	6205632000	0	14984463000	12.9329	4157000	6205632000	20184421000	40018012000	200803000	10138000000	16672522000	350515000	26909080000	40569330000	60655193000	NaN	NaN	NaN	869702056.5	46426128000	0	0	0	5.399	5.0111	6.0127	24.1854	29.3288	16.049	5.5696	5.4723	5.7236	2
0	0	63973000	71880000	71880000	82703000	0	0	0	82360000	0	0	1023041000	51.0516	131095000	131095000	2003935000	161668000	93.88562263	30.36436414	163673000	1533402000	496140000	1037262000	306860000	28.62719118	14.37658515	15.3129	0	5857000	841246000	904694000	45.1459	891946000	847103000	1035789000	0	0	0	496140000	1473000	496140000	1473000	1037262000	NaN	NaN	NaN	1972911	508888000	0	0	0	10.3314	10.3314	0	76.4274	76.4274	0	0.75	0.75	0	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
0	5394000	59913000	210765000	67812000	266044000	0	120950000	0	24926000	56131000	177081000	1082688000	43.448	542162000	451561000	2491917000	551038000	17.50615897	13.61577408	134236000	1837681000	103834000	1733847000	520000000	20.79689763	3.653092244	20.8675	0	5394000	582706000	734935000	29.4928	631127000	588100000	1277097000	0	402595000	0	103834000	54155000	103834000	456750000	1733847000	NaN	NaN	NaN	-104243556.4	706903000	0	0	0	7.3735	8.0357	0.5	41.3249	43.7486	16.1663	4.4295	4.2793	5.9894	2
0	0	28862000	36907000	36907000	36907000	0	0	0	0	2451000	2451000	1269442000	89.9166	166859000	162859000	1411799000	89974000	1450.576928	155.1387664	82742000	1291440000	0	1291440000	37617000	28.68494135	38.47131672	2.6645	30920000	0	796977000	1123950000	79.6112	1106583000	796977000	1290809000	0	0	0	0	631000	0	631000	1291440000	NaN	NaN	NaN	98563681.3	208000	0	0	0	10.0833	10.0833	0	74.7488	74.7488	0	0	0	0	0
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
0	0	31871000	85328000	85328000	160627000	0	0	0	0	0	0	584099000	91.1663	134380000	134380000	640696000	-897003000	65.62087593	13.85770701	2648000	597141000	0	597141000	40907000	4.484316462	4.189745482	6.3848	1181330000	0	126088000	462761000	72.2279	449719000	126088000	597141000	0	0	0	0	0	0	0	597141000	NaN	NaN	NaN	696570546.9	0	0	1071497950	0	8.2981	8.2981	0	69.589	69.589	0	1.2422	1.2422	0	0
5815347	0	397658000	742386000	658814000	1062990000	0	0	0	0	0	0	17943725000	89.5624	3270369000	3263711000	20034891000	1653423000	153.3484558	30.37786728	476491000	18380400000	0	18380400000	1178000000	30.38303711	9.016494323	5.8797	238880000	0	9297235000	14946785000	74.6038	14680014000	9297235000	18217154000	0	30067000	0	0	133179000	0	163246000	18380400000	NaN	NaN	NaN	53979116.2	266771000	0	0	0	8.7374	8.7374	0	66.0296	66.0296	0	2.032	2.032	0	0
0	38277000	0	150350000	23084000	242980000	0	15905000	215295000	3140037000	1337000	17242000	774868000	3.6917	620185000	619940000	20989576000	5289878000	95.52695365	64.86651415	340947000	12608509000	7542585000	5065924000	8040120000	68.39161931	36.59188592	38.3053	0	1330716000	0	2391593000	11.3942	154928000	1330716000	3011778000	1936903000	115840000	735546000	6807039000	1403000	7542585000	2054146000	5065924000	NaN	NaN	NaN	-197368824.1	9674034000	0	0	0	2.5678	2.5949	0.5	34.1931	34.404	18.0752	3.7342	3.7177	5	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
0	0	26657000	93630000	53560000	125180000	0	0	0	628388000	0	0	1729897000	23.8862	744312000	635938000	7242256000	1020295000	137.8491124	56.95105356	20309000	6050947000	3335018000	2715929000	1171000000	31.89857519	22.28881589	16.169	4610000	465699000	983232000	1802303000	24.8859	1093959000	1448931000	2546615000	0	169314000	0	3335018000	0	3335018000	169314000	2715929000	NaN	NaN	NaN	-27720944.9	4227742000	0	0	0	6.7583	6.9057	2.8835	47.0861	47.5498	34.8922	3.117	3.1267	2.8622	2
0	5205000	0	5205000	0	74323000	0	82920000	0	539511000	50115000	133035000	145593000	2.7205	505961000	145593000	5351635000	615086000	23.80398183	14.383822	2000	1697233000	855336000	841897000	3654400000	263.5871515	16.2547093	68.2857	0	49700000	0	64892000	1.2126	0	49700000	570853000	0	101634000	0	855336000	169410000	860146000	271044000	837087000	NaN	NaN	NaN	183379840.9	1480129000	0	0	0	2.4946	5.4164	1.3142	10.2488	25.0321	4.2762	6.8306	5.9193	7.1988	2
0	29000	0	16742000	1072000	96980000	0	3275000	0	0	0	3275000	166696000	15.9371	187787000	115516000	1045960000	25043000	130.7250558	96.15331314	0	1038180000	19823000	1018357000	7780000	6.841264328	0.972351652	0.7438	1770000	30367000	0	227527000	21.7529	51180000	30367000	415314000	465723000	129492000	0	19823000	7828000	20295000	603043000	1017885000	NaN	NaN	NaN	-1124387.5	191235000	0	0	0	2.3514	2.3514	0	17.9419	17.9419	0	2.9175	2.9175	0	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
