IDA grants (current US$)	PPG, IBRD (DIS, current US$)	PPG, IDA (DIS, current US$)	PPG, multilateral (DIS, current US$)	PPG, multilateral concessional (DIS, current US$)	PPG, official creditors (DIS, current US$)	PPG, bonds (DIS, current US$)	PPG, commercial banks (DIS, current US$)	PNG, bonds (DIS, current US$)	PNG, commercial banks and other creditors (DIS, current US$)	PPG, other private creditors (DIS, current US$)	PPG, private creditors (DIS, current US$)	External debt stocks, concessional (DOD, current US$)	Concessional debt (% of total external debt)	PPG, bilateral (DOD, current US$)	PPG, bilateral concessional (DOD, current US$)	External debt stocks, total (DOD, current US$)	Total change in external debt stocks (current US$)	External debt stocks (% of exports of goods, services and income)	External debt stocks (% of GNI)	Use of IMF credit (DOD, current US$)	External debt stocks, long-term (DOD, current US$)	External debt stocks, private nonguaranteed (PNG) (DOD, current US$)	External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)	External debt stocks, short-term (DOD, current US$)	Short-term debt (% of total reserves)	Short-term debt (% of exports of goods, services and income)	Short-term debt (% of total external debt)	Debt forgiveness grants (current US$)	PPG, IBRD (DOD, current US$)	PPG, IDA (DOD, current US$)	PPG, multilateral (DOD, current US$)	Multilateral debt (% of total external debt)	PPG, multilateral concessional (DOD, current US$)	IBRD loans and IDA credits (DOD, current US$)	PPG, official creditors (DOD, current US$)	PPG, bonds (DOD, current US$)	PPG, commercial banks (DOD, current US$)	PNG, bonds (DOD, current US$)	PNG, commercial banks and other creditors (DOD, current US$)	PPG, other private creditors (DOD, current US$)	External debt stocks, long-term private sector (DOD, current US$)	PPG, private creditors (DOD, current US$)	External debt stocks, long-term public sector (DOD, current US$)	Present value of external debt (current US$)	Present value of external debt (% of exports of goods, services and income)	Present value of external debt (% of GNI)	Residual, debt stock-flow reconciliation (current US$)	External debt stocks, variable rate (DOD, current US$)	Debt buyback (current US$)	Debt stock reduction (current US$)	Debt stock rescheduled (current US$)	Average grace period on new external debt commitments (years)	Average grace period on new external debt commitments, official (years)	Average grace period on new external debt commitments, private (years)	Average grant element on new external debt commitments (%)	Average grant element on new external debt commitments, official (%)	Average grant element on new external debt commitments, private (%)	Average interest on new external debt commitments (%)	Average interest on new external debt commitments, official (%)	Average interest on new external debt commitments, private (%)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
NaN	0	23710000	23710000	23710000	34034000	0	1010348000	0	0	267000	1010615000	1790910000	19.0365	2409012000	1538146000	9407764000	-890764000	114.4168341	126.2882745	0	8084842000	0	8084842000	1322922000	110.4079735	16.08932229	14.062	1320000	0	226426000	294229000	3.1275	252764000	226426000	2703241000	0	2625352000	0	0	2756249000	26191000	5381601000	8058651000	NaN	NaN	NaN	-64752232.2	1230346000	0	0	0	1.6182	10.25	1.3333	11.3585	80.5836	9.074	4.8642	0.75	5	2
NaN	0	64357000	100639000	67304000	119558000	0	324000	0	0	0	324000	561963000	52.5375	481804000	194250000	1069641000	351470000	130.5395411	28.21910805	87905000	945070000	14888000	930182000	36666000	5.673165769	4.474737613	3.4279	2040000	0	345747000	426052000	39.8313	367713000	345747000	907856000	0	327000	0	14888000	21999000	15898000	22326000	929172000	NaN	NaN	NaN	255568710.5	362841000	0	0	0	10.8084	10.5455	24.8333	55.1191	54.4794	89.2337	3.4046	3.4591	0.5	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	1018767000	0	1923149000	0	1936631000	12337873000	2052000	1407648000	3074539000	0	12339925000	1685667000	1.1962	4248977000	1685667000	1.40914E+11	569725000	364.1495361	50.9346491	5055631000	1.07543E+11	25909346000	81633351000	28315419000	112.5766764	73.17275222	20.0941	0	8789137000	0	16235271000	11.5214	0	8789137000	20484248000	60622357000	294450000	11138314000	14771032000	232296000	25960904000	61149103000	81581793000	NaN	NaN	NaN	-209303053.8	49188184000	2744940000	3433540000	0	11.486	4.7878	11.5974	-2.6877	17.1925	-3.018	9.9309	7.1512	9.9771	2
NaN	0	54354000	58131000	56174000	62395000	0	0	0	21252000	564000	564000	458723000	50.0569	173204000	51995000	916403000	14572000	166.4427676	46.64901755	175454000	696530000	21401000	675129000	44419000	14.13715719	8.067652872	4.8471	0	8284000	388291000	484917000	52.9153	406728000	396575000	658121000	0	5000000	0	21401000	12008000	21401000	17008000	675129000	NaN	NaN	NaN	-2316931.6	141646000	0	0	0	10.2405	10.2405	0	79.0948	79.0948	0	0.75	0.75	0	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	0	27196000	55736000	33688000	212549000	0	84438000	0	5544000	3351000	87789000	405814000	29.3143	332793000	174292000	1384357000	306079000	63.67743553	27.75695652	335800000	892347000	98633000	793714000	156210000	22.98539322	7.185323008	11.2839	0	0	216182000	322817000	23.3189	231522000	216182000	655610000	0	113093000	0	98633000	25011000	98633000	138104000	793714000	NaN	NaN	NaN	-10225467.2	470908000	0	0	0	3.6621	4.663	1.0575	31.1652	41.0761	5.3764	5.4044	4.3339	8.19	2
NaN	0	36390000	38234000	38234000	38234000	0	0	0	0	3048000	3048000	1007924000	90.9662	141621000	141621000	1108020000	-26911000	1999.665604	153.1763331	7004000	1036016000	0	1036016000	65000000	172.6570795	117.3088417	5.8663	5630000	0	600469000	890402000	80.3597	866303000	600469000	1032023000	0	0	0	0	3993000	0	3993000	1036016000	NaN	NaN	NaN	40295880.6	0	0	0	0	8.1776	8.1776	0	66.3685	66.3685	0	1.6944	1.6944	0	0
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	0	36457000	27240000	27240000	38900000	0	0	0	0	0	0	1123253000	80.9387	265652000	188942000	1387783000	-87794000	251.4645444	61.8822391	83905000	1237577000	0	1237577000	66301000	14.45209189	12.0136583	4.7775	35380000	0	578385000	969077000	69.8291	934311000	578385000	1234729000	0	0	0	0	2848000	0	2848000	1237577000	NaN	NaN	NaN	25063785.1	13359000	0	0	0	8.2982	8.2982	0	65.1395	65.1395	0	1.8709	1.8709	0	0
NaN	0	356996000	649541000	649541000	794173000	0	14516000	0	0	52268000	66784000	14779919000	95.1414	3810181000	3805253000	15534680000	-845438000	213.0194356	31.79628204	215714000	14984966000	0	14984966000	334000000	22.03473409	4.579977926	2.15	179280000	23687000	6431291000	10998353000	70.7987	10974666000	6454978000	14808534000	0	14816000	0	0	161616000	0	176432000	14984966000	NaN	NaN	NaN	-132497240.5	0	0	0	0	7.0737	7.4392	3.1992	56.8465	58.9208	34.8633	2.4707	2.4224	2.9829	0
NaN	71033000	0	156240000	1080000	380993000	0	24194000	0	313381000	0	24194000	539868000	4.815	1060693000	533868000	11212252000	192430000	153.1595457	89.1265609	1321962000	8439969000	768624000	7671345000	1450321000	41.35268507	19.81140858	12.9351	0	824229000	0	1542358000	13.756	6000000	824229000	2603051000	4982406000	26487000	0	768624000	59401000	768624000	5068294000	7671345000	NaN	NaN	NaN	-12549865.3	7288835000	0	1334000	0	4.529	4.4431	4.9237	20.3978	21.9605	13.2218	6.4647	6.2114	7.6279	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	0	44108000	90444000	62053000	98050000	0	0	0	4620000	0	0	925051000	33.3576	565978000	464803000	2773137000	396587000	123.4377448	45.49199664	104793000	2619013000	662513000	1956500000	49331000	9.933219568	2.195819172	1.7789	124900000	561519000	397587000	1265912000	45.6491	460248000	959106000	1831890000	0	124610000	0	662513000	0	662513000	124610000	1956500000	NaN	NaN	NaN	553445719.7	1391418000	0	0	0	6.7427	6.7427	0	45.8272	45.8272	0	3.6709	3.6709	0	2
NaN	5511000	0	25365000	0	25365000	0	47781000	0	105900000	69901000	117682000	83463000	3.9003	183446000	83463000	2139888000	-122403000	27.9121894	16.86258166	114167000	787090000	98200000	688890000	1238631000	353.3939216	16.15640775	57.883	0	105154000	0	216675000	10.1255	0	105154000	400121000	0	55513000	0	98200000	233256000	98200000	288769000	688890000	NaN	NaN	NaN	-13083840.4	504999000	0	0	49215000	1.5166	2.4035	1.0173	5.8662	9.8634	3.6161	7.0183	6.7803	7.1523	2
NaN	2278000	0	22310000	3868000	26574000	86015000	95748000	0	4800000	9769000	191532000	105369000	17.1335	89313000	65396000	614987000	219368000	139.3290229	79.32130701	0	564987000	8400000	556587000	50000000	40.68381354	11.32780229	8.1303	0	39965000	0	139073000	22.614	39973000	39965000	228386000	74941000	244662000	0	8400000	8598000	8400000	328201000	556587000	NaN	NaN	NaN	40728386.8	108022000	0	0	0	3.6891	5.304	2.9898	7.7079	23.998	0.653	8.5503	6.276	9.5352	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
