Water pollution, clay and glass industry (% of total BOD emissions)	Water pollution, chemical industry (% of total BOD emissions)	Water pollution, food industry (% of total BOD emissions)	Water pollution, metal industry (% of total BOD emissions)	Water pollution, other industry (% of total BOD emissions)	Water pollution, paper and pulp industry (% of total BOD emissions)	Organic water pollutant (BOD) emissions (kg per day)	Water pollution, textile industry (% of total BOD emissions)	Water pollution, wood industry (% of total BOD emissions)	Organic water pollutant (BOD) emissions (kg per day per worker)	Energy production (kt of oil equivalent)	Access to electricity (% of population)	Electricity production from coal sources (kWh)	Electricity production from coal sources (% of total)	Electricity production from oil, gas and coal sources (% of total)	Electricity production from hydroelectric sources (kWh)	Electricity production from hydroelectric sources (% of total)	Electric power transmission and distribution losses (kWh)	Electric power transmission and distribution losses (% of output)	Electricity production from natural gas sources (kWh)	Electricity production from natural gas sources (% of total)	Electricity production from nuclear sources (kWh)	Electricity production from nuclear sources (% of total)	Electricity production from oil sources (kWh)	Electricity production from oil sources (% of total)	Electricity production (kWh)	Electricity production from renewable sources (kWh)	Electricity production from renewable sources, excluding hydroelectric (kWh)	Electricity production from renewable sources, excluding hydroelectric (% of total)	GDP per unit of energy use (PPP $ per kg of oil equivalent)	GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent)	Energy imports, net (% of energy use)	Alternative and nuclear energy (% of total energy use)	Fossil fuel energy consumption (% of total)	Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)	Energy use (kt of oil equivalent)	Combustible renewables and waste (metric tons of oil equivalent)	Combustible renewables and waste (% of total energy)	Electric power consumption (kWh)	Electric power consumption (kWh per capita)	Energy use (kg of oil equivalent per capita)	CO2 intensity (kg per kg of oil equivalent energy use)	CO2 emissions from gaseous fuel consumption (kt)	CO2 emissions from gaseous fuel consumption (% of total)	CO2 emissions (kg per 2000 US$ of GDP)	CO2 emissions (kt)	CO2 emissions from liquid fuel consumption (kt)	CO2 emissions from liquid fuel consumption (% of total)	CO2 emissions (metric tons per capita)	CO2 emissions (kg per PPP $ of GDP)	CO2 emissions (kg per 2005 PPP $ of GDP)	CO2 emissions from solid fuel consumption (kt)	CO2 emissions from solid fuel consumption (% of total)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	NaN	2258.872	2258.872	100	22.80629203	NaN	NaN	0	0	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0.370309255	564.718	564.718	100	7.500371885	NaN	NaN	0	0	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.334	1.041666667	NaN	704.064	572.052	81.25	0.024220736	0.037234728	0.036038515	91.675	13.02083333	0
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	57609.529	NaN	0	0	21.59498208	1750000000	78.40501792	590000000	26.43369176	0	0	0	0	482000000	21.59498208	2232000000	1750000000	0	0	4.75013844	4.907808024	-504.4818166	1.579157389	32.87761614	203.7569512	9530.399	6246.53	65.54321598	1642000000	102.8985816	597.2378436	1.97194	1441.131	7.668292683	1.517732345	18793.375	5038.458	26.8097561	1.177717193	0.415133164	0.401796482	0	0	2
NaN	NaN	39.54683	NaN	NaN	NaN	3068.7	60.45318	NaN	0.2501182	1152.894	NaN	0	0	1.672962763	5466000000	98.32703724	1968000000	35.40205073	0	0	0	0	93000000	1.672962763	5559000000	5466000000	0	0	8.786218027	9.077855704	42.40238605	23.55259575	63.93733123	110.1581731	2001.635	232.949	11.63793599	3794000000	1214.134005	640.5516917	2.000546553	33.003	0.824175824	0.881315913	4004.364	3600.994	89.92673993	1.281453479	0.227691431	0.220376554	84.341	2.106227106	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	171111.829	NaN	0	0	100	0	0	3466000000	6.612358586	51192000000	97.66297194	0	0	1225000000	2.337028063	52417000000	0	0	0	5.93303711	6.12997021	-304.2696166	0	99.96002473	163.1329298	42326.166	16.92	0.039975272	48951000000	13381.74903	11570.71625	2.666851375	77139.012	68.33863946	0.873742336	112877.594	29479.013	26.1159119	30.85738053	0.449491774	0.435051278	0	0	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	87129.602	NaN	1670000000	1.667049323	60.49891692	30440000000	30.3862164	15445000000	15.41771065	54897000000	54.80000399	7869000000	7.855096479	4039000000	4.031863601	1.00177E+11	31702000000	1262000000	1.259770207	5.519566964	5.702775903	-29.45722689	6.945733624	89.448907	175.3531994	67303.776	2128.209	3.162094501	88286000000	2302.665846	1755.409762	2.302997428	71902.536	46.38860631	0.539584829	155000.423	77780.737	50.1809837	4.042704167	0.417242411	0.403837967	2200.2	1.419479997	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	746.425	NaN	0	0	30.36484245	1998000000	33.13432836	956000000	15.85406302	1831000000	30.36484245	2201000000	36.50082919	0	0	6030000000	1998000000	0	0	5.124749537	5.294853448	64.16884243	35.78300986	67.27338536	188.8626399	2083.173	1.003	0.048147705	4322000000	1411.213696	680.1948794	1.7497337	2475.225	67.90744467	1.220618213	3644.998	920.417	25.25150905	1.190159903	0.341428139	0.330459326	0	0	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.71512747	11.07079072	NaN	NaN	0	90.32778465	135	NaN	NaN	NaN	NaN	1629.686859	3.015088889	0	0	0.43037618	407.037	407.037	100	4.91365074	0.28138619	0.2723463	0	0	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	269289.248	NaN	1.8427E+11	77.98269966	92.09169855	16046000000	6.790635474	17825000000	7.543504757	31906000000	13.50255612	0	0	1433000000	0.606442767	2.36296E+11	18687000000	2641000000	1.117665978	5.572505021	5.699291135	-136.8017796	1.327665962	94.15864596	175.4604171	113719.267	5132.934	4.51368896	2.18756E+11	10868.56723	5649.973022	3.070922696	52097.069	14.91799147	0.734311819	349223.078	89515.137	25.6326522	17.35063038	0.551084779	0.538825377	203217.806	58.19140223	3
5.85399	9.18151	12.30259	5.49822	49.34306	7.13981	85273.96	4.7788	5.90203	0.1432362	9897.677	NaN	9110000000	14.80843317	35.56787334	36337000000	59.06630472	3427000000	5.570636714	10953000000	17.8042556	0	0	1818000000	2.955184577	61519000000	39343000000	3006000000	4.886295291	8.253015403	8.307489983	69.56730259	10.20557438	77.87429189	120.3733019	32523.167	3607.856	11.09318782	63802000000	7807.423575	3979.846098	2.217462063	17451.253	24.19789495	0.353783957	72118.889	37077.037	51.41099303	8.82515774	0.268685075	0.26692323	15419.735	21.38099354	3
5.91704	20.10153	16.64585	9.46866	29.86599	2.46835	17315.75	14.06658	1.46602	0.1730416	20052.879	NaN	0	0	87.27071108	2755000000	12.72928892	2762000000	12.76163194	12741000000	58.86891836	0	0	6147000000	28.40179273	21643000000	2755000000	0	0	2.284738463	2.360574939	-58.57827193	1.873643678	97.16309802	423.6256106	12645.414	4.418	0.034937567	20246000000	2437.368326	1522.351652	2.551301681	18639.361	57.7744942	4.107990445	32262.266	12911.507	40.0204592	3.88397833	1.116671218	1.080796733	0	0	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0.174991899	161.348	154.014	95.45454545	0.022920267	0.047739128	0.046205448	7.334	4.545454545	0
5.41944	17.33654	15.76922	6.23675	38.08944	7.76586	99287.71	7.21152	2.17122	0.1708746	13747.918	NaN	11481000000	13.61065996	41.0584093	317000000	0.375801691	4046000000	4.796509905	21477000000	25.46086091	47312000000	56.08810594	1676000000	1.986888433	84353000000	1497000000	1180000000	1.398883264	5.517187564	5.628628926	76.65471479	21.01327293	75.3307059	177.6631598	58889.484	1484.19	2.520297172	89374000000	8576.223497	5650.965341	1.889682868	33369.7	29.9864896	0.449644213	111282.449	53358.517	47.9487264	10.67853239	0.342508361	0.335727029	21206.261	19.05624938	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1623.353	NaN	0	0	98.7654321	1000000	1.234567901	114000000	NaN	0	0	0	0	80000000	98.7654321	81000000	1000000	0	0	3.888016086	4.017069562	34.84568448	0.003451665	32.85058183	248.9376857	2491.551	1623.267	65.15086386	545000000	73.66870844	336.7877875	0.962540201	0	0	0.904884979	2398.218	2273.54	94.80122324	0.324171785	0.2475659	0.23961253	0	0	0
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18425.632	NaN	0	0	95.0332199	1226000000	4.9667801	2038000000	8.256360395	22011000000	89.17112299	0	0	1447000000	5.862096905	24684000000	1226000000	0	0	6.635633261	6.855887375	18.25030326	0.46779188	63.40942974	145.860039	22539.083	8141.743	36.12277838	22646000000	163.3516875	162.5804664	1.762964891	23028.76	57.95496493	0.685778509	39735.612	14088.614	35.45588778	0.286623654	0.265681484	0.257146128	124.678	0.313768918	0
3.85448	7.0087	17.44805	3.70961	27.25916	4.35101	100831.1	33.48276	2.88622	0.1700585	10270.719	NaN	19107000000	46.12320765	51.71389948	3168000000	7.647371216	5092000000	12.29179742	1494000000	3.606430744	16815000000	40.59045044	822000000	1.984261092	41426000000	3169000000	1000000	0.002413943	3.667092659	3.792837541	45.42906067	24.80580853	73.95803103	263.6548466	18820.858	738.25	3.922509803	30650000000	3939.000877	2418.772469	2.485925615	5709.519	12.20315072	2.953776611	46787.253	11386.035	24.33576299	6.012888437	0.677900955	0.655426337	28228.566	60.33388197	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15825.429	NaN	0	0	100	0	0	397000000	4.699337121	8448000000	100	0	0	0	0	8448000000	0	0	0	2.620788188	2.707779038	-127.062978	0	99.99998565	369.3063525	6969.621	0	0	8051000000	11984.9351	10375.16524	2.478647978	13505.561	78.17873063	1.738898741	17275.237	3571.658	20.67501592	25.71638234	0.945764328	0.915380444	0	0	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3589.199	NaN	6617000000	51.98774356	53.02482715	5979000000	46.97517285	2043000000	16.05122564	0	0	0	0	132000000	1.037083595	12728000000	5979000000	0	0	4.588695234	4.741006093	25.47474255	10.67659949	88.97961497	210.9256939	4816.084	183.828	3.816960003	8740000000	2311.338942	1273.63873	5.115132128	583.053	2.366775826	3.688402735	24634.906	3428.645	13.91783269	6.514830386	1.114724746	1.078912793	20102.494	81.60166716	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3626.828	NaN	0	0	99.87824415	33000000	0.105735341	3578000000	11.46427427	29657000000	95.02403076	0	0	1515000000	4.854213393	31210000000	34000000	1000000	0.003204101	2.747150902	2.838336064	86.50639356	0.010878736	92.86101164	352.3190974	26878.122	1119.709	4.165875131	30884000000	3143.579566	2735.834578	2.166109634	38070.794	65.39018706	3.482978919	58220.959	16611.51	28.53183851	5.926117635	0.788493137	0.763161791	2178.198	3.741260944	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.06110962	11.42825693	NaN	NaN	0	87.50240793	155	NaN	NaN	NaN	NaN	548.4784147	2.46043871	0	0	0.363288338	381.368	381.368	100	1.349497523	0.222440496	0.215294312	0	0	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0.173144399	671.061	671.061	100	10.60127962	NaN	NaN	0	0	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10762.932	NaN	0	0	51.27128012	2149000000	47.5127128	489000000	10.81140836	2262000000	50.01105461	0	0	57000000	1.260225514	4523000000	2204000000	55000000	1.216007075	8.723362223	9.01291355	-193.5938951	5.041401556	74.96113532	110.951913	3665.925	733.092	19.99746312	4034000000	449.0746157	408.0996184	2.898849813	4154.711	39.09592823	1.134884041	10626.966	5441.828	51.20772947	1.183019502	0.332308775	0.321632932	0	0	1
