Water pollution, clay and glass industry (% of total BOD emissions)	Water pollution, chemical industry (% of total BOD emissions)	Water pollution, food industry (% of total BOD emissions)	Water pollution, metal industry (% of total BOD emissions)	Water pollution, other industry (% of total BOD emissions)	Water pollution, paper and pulp industry (% of total BOD emissions)	Organic water pollutant (BOD) emissions (kg per day)	Water pollution, textile industry (% of total BOD emissions)	Water pollution, wood industry (% of total BOD emissions)	Organic water pollutant (BOD) emissions (kg per day per worker)	Energy production (kt of oil equivalent)	Access to electricity (% of population)	Electricity production from coal sources (kWh)	Electricity production from coal sources (% of total)	Electricity production from oil, gas and coal sources (% of total)	Electricity production from hydroelectric sources (kWh)	Electricity production from hydroelectric sources (% of total)	Electric power transmission and distribution losses (kWh)	Electric power transmission and distribution losses (% of output)	Electricity production from natural gas sources (kWh)	Electricity production from natural gas sources (% of total)	Electricity production from nuclear sources (kWh)	Electricity production from nuclear sources (% of total)	Electricity production from oil sources (kWh)	Electricity production from oil sources (% of total)	Electricity production (kWh)	Electricity production from renewable sources (kWh)	Electricity production from renewable sources, excluding hydroelectric (kWh)	Electricity production from renewable sources, excluding hydroelectric (% of total)	GDP per unit of energy use (PPP $ per kg of oil equivalent)	GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent)	Energy imports, net (% of energy use)	Alternative and nuclear energy (% of total energy use)	Fossil fuel energy consumption (% of total)	Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)	Energy use (kt of oil equivalent)	Combustible renewables and waste (metric tons of oil equivalent)	Combustible renewables and waste (% of total energy)	Electric power consumption (kWh)	Electric power consumption (kWh per capita)	Energy use (kg of oil equivalent per capita)	CO2 intensity (kg per kg of oil equivalent energy use)	CO2 emissions from gaseous fuel consumption (kt)	CO2 emissions from gaseous fuel consumption (% of total)	CO2 emissions (kg per 2000 US$ of GDP)	CO2 emissions (kt)	CO2 emissions from liquid fuel consumption (kt)	CO2 emissions from liquid fuel consumption (% of total)	CO2 emissions (metric tons per capita)	CO2 emissions (kg per PPP $ of GDP)	CO2 emissions (kg per 2005 PPP $ of GDP)	CO2 emissions from solid fuel consumption (kt)	CO2 emissions from solid fuel consumption (% of total)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	1.254151736	2255.205	2255.205	100	23.84038437	NaN	NaN	0	0	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0.396355814	531.715	531.715	100	7.701215185	NaN	NaN	0	0	3
11.70306	27.9476	14.14847	NaN	3.1441	19.73799	236.2594	23.31878	NaN	0.2063401	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.668	4.081632653	NaN	359.366	260.357	72.44897959	0.013084257	0.024960594	0.023013302	55.005	15.30612245	0
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	51433.983	NaN	0	0	35.2407932	1143000000	64.7592068	258000000	14.61756374	0	0	0	0	622000000	35.2407932	1765000000	1143000000	0	0	4.590019026	4.978407918	-528.8032038	1.201736551	26.96145306	200.8674292	8179.663	5876.008	71.83679817	1507000000	101.2056433	549.3218685	1.548452302	1158.772	9.14881297	1.17488785	12665.818	5023.79	39.6641575	0.850598712	0.337352044	0.311033633	0	0	2
NaN	NaN	41.82071	NaN	NaN	NaN	2593.889	58.17929	NaN	0.2577907	959.262	NaN	0	0	4.720564297	3512000000	95.2794357	1237000000	33.559414	0	0	0	0	174000000	4.720564297	3686000000	3512000000	0	0	7.541612417	8.179753235	51.66294034	15.29034374	63.64710583	122.2530768	1984.527	236.961	11.94042711	4554000000	1473.892299	642.2878925	1.890294765	25.669	0.684261975	0.924177848	3751.341	3637.664	96.96969697	1.214113441	0.250648623	0.231094351	84.341	2.248289345	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	148975.71	NaN	0	0	100	0	0	3089000000	6.592538842	45560000000	97.23407888	0	0	1296000000	2.76592112	46856000000	0	0	0	4.956781639	5.376204504	-267.9870548	0	99.95820566	186.0048291	40483.954	16.92	0.041794337	43767000000	13447.35952	12438.64748	2.082322863	69584.992	82.54382531	0.777884678	84300.663	10318.938	12.24063683	25.90128003	0.420095742	0.387322108	0	0	3
3.53771	15.81771	30.50196	3.76491	21.59869	8.35217	155535.5	14.28446	2.14239	0.2314169	81336.356	NaN	806000000	0.954196214	49.53414862	35850000000	42.4416058	14501000000	17.16724479	40275000000	47.68021404	5821000000	6.89128556	760000000	0.899738366	84469000000	36807000000	957000000	1.132960021	5.384276421	5.83987217	-46.8531794	8.316815823	85.41250178	171.2366249	55386.173	2964.057	5.351619076	75925000000	2016.207199	1470.793556	2.372558671	62669.03	47.69080508	0.542832952	131406.945	65683.304	49.98465188	3.489544004	0.440645778	0.406268939	1100.1	0.837170364	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	738.294	NaN	0	0	28.61025548	1658000000	30.04167422	1414000000	25.62058344	1579000000	28.61025548	2282000000	41.3480703	0	0	5519000000	1658000000	0	0	4.322462402	4.688211733	60.46758187	39.47871186	62.09772506	213.3009465	1867.566	1.003	0.053706268	3751000000	1225.389709	610.1029478	1.60812148	1965.512	65.44566545	1.266990823	3003.273	817.741	27.22832723	0.981119655	0.372038281	0.343013834	47.671	1.587301587	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0.431682269	363.033	363.033	100	4.509334592	0.296287587	0.273172806	0	0	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	263493.155	NaN	1.75328E+11	77.10589042	92.1358395	15877000000	6.982399972	15062000000	6.623978609	31730000000	13.9542452	0	0	2446000000	1.075703869	2.27386E+11	17882000000	2005000000	0.881760531	5.091616502	5.40195937	-136.2288263	1.33526725	93.81101424	185.1180158	111541.491	5413.907	4.853715825	2.12501E+11	10813.52982	5676.007358	3.060723834	49134.133	14.39205156	0.77215646	341397.7	89951.51	26.34801289	17.372691	0.60113008	0.566595123	198095.007	58.02470462	3
5.84268	9.14156	12.04683	5.4083	48.71732	7.34537	86434.39	5.71391	5.78402	0.1432487	9818.513	NaN	7817000000	12.95105868	30.76311342	39881000000	66.07409126	3184000000	5.275191358	9302000000	15.41137877	0	0	1449000000	2.400675967	60358000000	41549000000	1668000000	2.763511051	8.058944993	8.546531349	67.86186588	11.59027205	77.45780216	117.0065327	30550.974	3281.491	10.74103562	60012000000	7425.429262	3780.145576	2.131473321	16002.788	24.57483951	0.33055351	65118.586	32691.305	50.20272553	8.057279444	0.264485404	0.249396303	14469.982	22.22097083	3
5.95934	19.50647	15.14163	8.56089	29.69675	2.34979	17561.45	17.34621	1.43892	0.1655928	19751.898	NaN	0	0	89.66381825	2020000000	10.33618175	3814000000	19.51593921	11731000000	60.02660799	0	0	5792000000	29.63721025	19543000000	2020000000	0	0	1.960020379	2.125869396	-72.37764828	1.516079369	97.35708932	470.3957834	11458.503	4.418	0.03855652	17179000000	2102.191032	1402.174879	2.618759274	16633.512	55.43199316	4.682140051	30007.061	11686.729	38.9465966	3.671958468	1.336087779	1.23185332	0	0	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0.247098375	220.02	212.686	96.66666667	0.033055537	0.070765425	0.065244683	11.001	5	0
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13497.086	NaN	12660000000	15.64140896	38.91819766	360000000	0.444779402	3772000000	4.660299732	17868000000	22.07588431	47360000000	58.5132013	972000000	1.200904385	80939000000	1138000000	778000000	0.961217707	5.508317019	5.64933528	76.05309681	21.96952115	74.81550916	177.0119758	56362.553	1159.469	2.05716196	85885000000	8311.892679	5454.730066	1.907846651	30641.452	28.49543036	0.452302319	107531.108	49988.544	46.48751876	10.40678849	0.346357453	0.337711705	23421.129	21.78079389	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1545.447	NaN	0	0	96.82539683	2000000	3.174603175	98000000	NaN	0	0	0	0	61000000	96.82539683	63000000	2000000	0	0	3.790919212	4.111691502	31.99047878	0.007569097	29.97327053	243.208908	2272.398	1545.275	68.00195212	498000000	71.77876574	327.5299673	0.903679725	0	0	0.829999576	2053.52	1928.842	93.92857143	0.295982191	0.238380106	0.219782959	0	0	0
