Water pollution, clay and glass industry (% of total BOD emissions)	Water pollution, chemical industry (% of total BOD emissions)	Water pollution, food industry (% of total BOD emissions)	Water pollution, metal industry (% of total BOD emissions)	Water pollution, other industry (% of total BOD emissions)	Water pollution, paper and pulp industry (% of total BOD emissions)	Organic water pollutant (BOD) emissions (kg per day)	Water pollution, textile industry (% of total BOD emissions)	Water pollution, wood industry (% of total BOD emissions)	Organic water pollutant (BOD) emissions (kg per day per worker)	Energy production (kt of oil equivalent)	Access to electricity (% of population)	Electricity production from coal sources (kWh)	Electricity production from coal sources (% of total)	Electricity production from oil, gas and coal sources (% of total)	Electricity production from hydroelectric sources (kWh)	Electricity production from hydroelectric sources (% of total)	Electric power transmission and distribution losses (kWh)	Electric power transmission and distribution losses (% of output)	Electricity production from natural gas sources (kWh)	Electricity production from natural gas sources (% of total)	Electricity production from nuclear sources (kWh)	Electricity production from nuclear sources (% of total)	Electricity production from oil sources (kWh)	Electricity production from oil sources (% of total)	Electricity production (kWh)	Electricity production from renewable sources (kWh)	Electricity production from renewable sources, excluding hydroelectric (kWh)	Electricity production from renewable sources, excluding hydroelectric (% of total)	GDP per unit of energy use (PPP $ per kg of oil equivalent)	GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent)	Energy imports, net (% of energy use)	Alternative and nuclear energy (% of total energy use)	Fossil fuel energy consumption (% of total)	Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)	Energy use (kt of oil equivalent)	Combustible renewables and waste (metric tons of oil equivalent)	Combustible renewables and waste (% of total energy)	Electric power consumption (kWh)	Electric power consumption (kWh per capita)	Energy use (kg of oil equivalent per capita)	CO2 intensity (kg per kg of oil equivalent energy use)	CO2 emissions from gaseous fuel consumption (kt)	CO2 emissions from gaseous fuel consumption (% of total)	CO2 emissions (kg per 2000 US$ of GDP)	CO2 emissions (kt)	CO2 emissions from liquid fuel consumption (kt)	CO2 emissions from liquid fuel consumption (% of total)	CO2 emissions (metric tons per capita)	CO2 emissions (kg per PPP $ of GDP)	CO2 emissions (kg per 2005 PPP $ of GDP)	CO2 emissions from solid fuel consumption (kt)	CO2 emissions from solid fuel consumption (% of total)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	1.603893324	1840.834	1840.834	100	29.62064138	NaN	NaN	0	0	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	403.37	15.06849315	NaN	2676.91	1914.174	71.50684932	0.14071464	NaN	NaN	278.692	10.4109589	0
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28652.03	NaN	0	0	13.79310345	725000000	86.20689655	211000000	25.08917955	0	0	0	0	116000000	13.79310345	841000000	725000000	0	0	3.924822916	5.434346359	-387.0180223	1.059805315	25.48038842	184.0147709	5883.156	4321.755	73.45980627	630000000	60.95760331	569.2429995	0.752952327	1012.092	22.84768212	0.523370481	4429.736	1793.163	40.48013245	0.428612841	0.191843643	0.13855435	0	0	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2449.231	NaN	0	0	10.94434021	2848000000	89.05565979	1687000000	52.75171982	0	0	0	0	350000000	10.94434021	3198000000	2848000000	0	0	3.489876505	4.832108691	7.989403062	9.201243773	76.49814925	206.9489873	2661.901	362.952	13.63506757	1717000000	521.9665218	809.2156123	2.813032491	465.709	6.219392752	2.328114195	7488.014	3868.685	51.66503428	2.276349809	0.806055024	0.582154225	2779.586	37.12047013	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	110198.689	NaN	0	0	100	0	0	1537000000	8.99882904	16446000000	96.28805621	0	0	634000000	3.711943794	17080000000	0	0	0	4.715235316	6.528749518	-441.1995994	0	100	153.1686883	20361.931	0	0	15543000000	8593.740497	11258.13234	2.554230294	30725.793	59.07776916	0.785729348	52009.061	17638.27	33.91384051	28.75586269	0.541697311	0.391228104	0	0	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48417.108	NaN	654000000	1.288923926	50.20890816	17876000000	35.23058731	9292000000	18.31296807	19873000000	39.16633819	7281000000	14.34962554	4949000000	9.753646039	50740000000	17983000000	107000000	0.210878991	3.816297905	5.284074164	-5.086184283	7.455029564	88.6551451	189.2479116	46073.714	1721.581	3.736579604	42534000000	1303.027512	1411.46652	2.444204303	43248.598	38.40442852	0.618046545	112613.57	59236.718	52.60175838	3.44991254	0.640464755	0.46256056	3072.946	2.728752849	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	137.312	NaN	0	0	84.99324455	1555000000	15.00675545	1649000000	15.91391623	1700000000	16.40609921	0	0	7107000000	68.58714534	10362000000	1555000000	0	0	0.977207267	1.35304836	98.21594994	1.737510305	97.18798256	739.0718836	7696.645	3.582	0.046539759	9633000000	2717.58219	2171.313752	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.791147641	9.403072999	NaN	NaN	0	106.3482119	98.827512	NaN	NaN	NaN	NaN	1588.815665	3.042614287	0	0	0.511333021	300.694	300.694	100	4.834153243	0.448026526	0.323576589	0	0	2
