Water pollution, clay and glass industry (% of total BOD emissions)	Water pollution, chemical industry (% of total BOD emissions)	Water pollution, food industry (% of total BOD emissions)	Water pollution, metal industry (% of total BOD emissions)	Water pollution, other industry (% of total BOD emissions)	Water pollution, paper and pulp industry (% of total BOD emissions)	Organic water pollutant (BOD) emissions (kg per day)	Water pollution, textile industry (% of total BOD emissions)	Water pollution, wood industry (% of total BOD emissions)	Organic water pollutant (BOD) emissions (kg per day per worker)	Energy production (kt of oil equivalent)	Access to electricity (% of population)	Electricity production from coal sources (kWh)	Electricity production from coal sources (% of total)	Electricity production from oil, gas and coal sources (% of total)	Electricity production from hydroelectric sources (kWh)	Electricity production from hydroelectric sources (% of total)	Electric power transmission and distribution losses (kWh)	Electric power transmission and distribution losses (% of output)	Electricity production from natural gas sources (kWh)	Electricity production from natural gas sources (% of total)	Electricity production from nuclear sources (kWh)	Electricity production from nuclear sources (% of total)	Electricity production from oil sources (kWh)	Electricity production from oil sources (% of total)	Electricity production (kWh)	Electricity production from renewable sources (kWh)	Electricity production from renewable sources, excluding hydroelectric (kWh)	Electricity production from renewable sources, excluding hydroelectric (% of total)	GDP per unit of energy use (PPP $ per kg of oil equivalent)	GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent)	Energy imports, net (% of energy use)	Alternative and nuclear energy (% of total energy use)	Fossil fuel energy consumption (% of total)	Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)	Energy use (kt of oil equivalent)	Combustible renewables and waste (metric tons of oil equivalent)	Combustible renewables and waste (% of total energy)	Electric power consumption (kWh)	Electric power consumption (kWh per capita)	Energy use (kg of oil equivalent per capita)	CO2 intensity (kg per kg of oil equivalent energy use)	CO2 emissions from gaseous fuel consumption (kt)	CO2 emissions from gaseous fuel consumption (% of total)	CO2 emissions (kg per 2000 US$ of GDP)	CO2 emissions (kt)	CO2 emissions from liquid fuel consumption (kt)	CO2 emissions from liquid fuel consumption (% of total)	CO2 emissions (metric tons per capita)	CO2 emissions (kg per PPP $ of GDP)	CO2 emissions (kg per 2005 PPP $ of GDP)	CO2 emissions from solid fuel consumption (kt)	CO2 emissions from solid fuel consumption (% of total)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	NaN	2357.881	2357.881	100	22.62298873	NaN	NaN	0	0	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0.308108359	539.049	539.049	100	6.623037228	NaN	NaN	0	0	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.667	0.512820513	NaN	715.065	594.054	83.07692308	0.022612658	0.024352366	0.025866747	88.008	12.30769231	0
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	95054.152	NaN	0	0	22.3811004	2497000000	77.6188996	431000000	13.39757538	0	0	0	0	720000000	22.3811004	3217000000	2497000000	0	0	8.191056012	7.711506872	-795.3004946	2.022621998	34.04215179	129.6763417	10617.011	6788.009	63.9352168	2786000000	158.9695668	605.8081979	2.369023918	1595.145	6.342032366	1.16043082	25151.953	8808.134	35.01968217	1.435174111	0.289220818	0.307206355	0	0	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1054.78	NaN	0	0	2.517482517	2788000000	97.48251748	1972000000	68.95104895	0	0	0	0	72000000	2.517482517	2860000000	2788000000	0	0	10.717408	10.02224786	50.4069127	11.56968295	66.88799357	99.77801527	2126.869	214.968	10.10725155	3716000000	1172.363641	671.0075039	2.106887636	33.003	0.736497545	0.840702735	4481.074	3934.691	87.80687398	1.413737414	0.196585558	0.210221067	73.34	1.636661211	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	185493.569	NaN	0	0	100	0	0	5562000000	7.308227998	74687000000	98.13549523	0	0	1419000000	1.86450477	76106000000	0	0	0	6.342239257	5.970929944	-258.8857405	0	99.96726384	167.4780996	51685.968	16.92	0.032736158	70544000000	13050.31263	9561.664226	2.669619654	95745.37	69.38981609	0.897946259	137981.876	33388.035	24.19740619	25.52600674	0.420926986	0.447102826	0	0	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	82870.055	NaN	2494000000	2.167169211	65.87707788	30514000000	26.51523709	17957000000	15.60379211	62528000000	54.33390395	7217000000	6.271235043	10790000000	9.376004727	1.15081E+11	32052000000	1538000000	1.336449979	7.136051474	6.71826806	-12.73359608	6.135582091	89.49350245	148.8478863	73509.635	2554.886	3.475579766	1.04992E+11	2666.933143	1867.240189	2.499368974	85426.432	46.49621779	0.497079244	183727.701	89412.461	48.66574856	4.666922195	0.350245368	0.372025789	4099.706	2.231403309	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	825.946	NaN	0	0	25.24584605	1853000000	31.41742964	775000000	13.14004747	1489000000	25.24584605	2553000000	43.28585961	0	0	5898000000	1856000000	3000000	0.0508647	6.037098889	5.683654159	70.971812	28.99293718	70.73907928	175.9431471	2845.324	1.003	0.035250819	5200000000	1691.507429	925.5551316	1.777229236	3762.342	74.40174039	1.154988443	5056.793	924.084	18.27411168	1.64492364	0.294384649	0.312691305	7.334	0.145032632	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.60427625	10.92489856	NaN	NaN	0	91.53403068	146	NaN	NaN	NaN	NaN	1698.958515	2.988856164	0	0	0.432328981	436.373	436.373	100	5.077942631	0.257565065	0.273582052	0	0	2
