Time required to build a warehouse (days)	Procedures to build a warehouse (number)	Investment in energy with private participation (current US$)	Investment in telecoms with private participation (current US$)	Investment in transport with private participation (current US$)	Investment in water and sanitation with private participation (current US$)	Scientific and technical journal articles	Patent applications, nonresidents	Patent applications, residents	Trademark applications, aggregate direct	Trademark applications, Madrid	Trademark applications, direct nonresident	Trademark applications, direct resident	Trademark applications, total	CPIA business regulatory environment rating (1=low to 6=high)	CPIA debt policy rating (1=low to 6=high)	CPIA economic management cluster average (1=low to 6=high)	CPIA policy and institutions for environmental sustainability rating (1=low to 6=high)	CPIA quality of budgetary and financial management rating (1=low to 6=high)	CPIA financial sector rating (1=low to 6=high)	CPIA fiscal policy rating (1=low to 6=high)	CPIA gender equality rating (1=low to 6=high)	CPIA building human resources rating (1=low to 6=high)	IDA resource allocation index (1=low to 6=high)	CPIA macroeconomic management rating (1=low to 6=high)	CPIA quality of public administration rating (1=low to 6=high)	CPIA equity of public resource use rating (1=low to 6=high)	CPIA property rights and rule-based governance rating (1=low to 6=high)	CPIA social protection rating (1=low to 6=high)	CPIA public sector management and institutions cluster average (1=low to 6=high)	CPIA efficiency of revenue mobilization rating (1=low to 6=high)	CPIA policies for social inclusion/equity cluster average (1=low to 6=high)	CPIA structural policies cluster average (1=low to 6=high)	CPIA trade rating (1=low to 6=high)	CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)	Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)	Quality of port infrastructure, WEF (1=extremely underdeveloped to 7=well developed and efficient by international standards)	Air transport, registered carrier departures worldwide	Air transport, freight (million ton-km)	Air transport, passengers carried	Road sector diesel fuel consumption (kt of oil equivalent)	Road sector diesel fuel consumption per capita (kg of oil equivalent)	Road density (km of road per 100 sq. km of land area)	Road sector energy consumption (kt of oil equivalent)	Road sector energy consumption per capita (kg of oil equivalent)	Road sector energy consumption (% of total energy consumption)	Roads, goods transported (million ton-km)	Roads, paved (% of total roads)	Roads, passengers carried (million passenger-km)	Road sector gasoline fuel consumption (kt of oil equivalent)	Road sector gasoline fuel consumption per capita (kg of oil equivalent)	Roads, total network (km)	Railways, goods transported (million ton-km)	Railways, passengers carried (million passenger-km)	Rail lines (total route-km)	Liner shipping connectivity index (maximum value in 2004 = 100)	Container port traffic (TEU: 20 foot equivalent units)	Motor vehicles (per 1,000 people)	Passenger cars (per 1,000 people)	Vehicles (per km of road)	Mobile cellular subscriptions	Mobile cellular subscriptions (per 100 people)	Telephone lines	Telephone lines (per 100 people)	Fixed broadband Internet subscribers	Fixed broadband Internet subscribers (per 100 people)	Secure Internet servers	Secure Internet servers (per 1 million people)	Internet users	Internet users (per 100 people)	Daily newspapers (per 1,000 people)	Lead time to export, median case (days)	Lead time to import, median case (days)	Logistics performance index: Efficiency of customs clearance process (1=low to 5=high)	Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high)	Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high)	Logistics performance index: Competence and quality of logistics services (1=low to 5=high)	Logistics performance index: Overall (1=low to 5=high)	Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high)	Logistics performance index: Ability to track and trace consignments (1=low to 5=high)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.089381589	140000	NaN	NaN	NaN	120806	114.4798438	38461	36.44694199	18396	17.43267062	42	398.0061786	36089.892	34.2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	0.1	NaN	NaN	NaN	NaN	696	325	1021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	64202	77.74804122	37375	45.2607869	20672	25.033605	53	641.8252056	57836.9308	70.04	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
334	12	NaN	185000000	NaN	NaN	6.6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.5	3	3.2	2.5	3	2.5	3	2	3	2.6	3.5	2	2.5	1.5	2.5	2.2	2.5	2.5	2.5	2.5	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6350	NaN	202	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27	19	NaN	7898909	26.47087999	101124	0.338887468	500	0.001675604	6	0.184515145	549055.8896	1.688485448	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
321	11	0	327000000	NaN	NaN	2.2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2	3	3	3	2.5	2.5	3	3	2.5	2.7	3	2.5	2.5	2	2.5	2.4	2.5	2.7	2.8	4	2.5	NaN	NaN	3361	70.934	283887	706	39.1396723	NaN	1315.489	72.92890705	11.56432977	NaN	NaN	NaN	548	30.38036887	NaN	NaN	NaN	NaN	10.2229436	NaN	NaN	NaN	NaN	6773356	37.55055726	114296	0.633641358	15942	0.088380263	25	1.385965733	829746.344	4.6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
331	23	NaN	64000000	NaN	NaN	13.5	NaN	NaN	NaN	3592	788	216	4596	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.100531778	2.438194009	5058	0.106	243691	652	204.9414141	NaN	668.993	210.2827783	32.35495254	NaN	NaN	NaN	87	27.34647704	NaN	53	51	423	1.984580252	46798	114	84	NaN	1859632	58.45331469	343591	10.8000039	64000	2.011694862	15	4.714909834	759081.3242	23.86	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
80	19	NaN	NaN	NaN	NaN	255.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.63621932	6.117282576	NaN	NaN	NaN	4323	696.5140303	5	8449.228	1361.324508	14.46732082	NaN	NaN	NaN	3718	599.037512	4080	NaN	NaN	NaN	48.80290661	14756127	NaN	NaN	NaN	9357735	150.7701531	1595991	25.71432162	557577	8.983580926	564	90.87067154	3910172.49	63	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
365	25	717750000	1580000000	331000000	NaN	3567.1	4781	801	62074	NaN	NaN	NaN	62074	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.764512056	3.332217054	74649	131.685	6147290	7212	181.5970661	NaN	13813.07	347.8110075	18.08914747	NaN	NaN	NaN	4049	101.9532059	NaN	12871	NaN	35753	25.70379375	1997146	NaN	NaN	NaN	46508774	117.1083875	9742833	24.53230572	3185284	8.020496799	728	18.33092958	11164731.06	28.11262348	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
148	19	70000000	186300000	705000000	0	190.7	4	226	NaN	3292	504	939	4735	4	6	5.5	3	4.5	4	5	4.5	4	4.4	5.5	4	4.5	3.5	4.5	3.7	3.5	4.1	4.2	4.5	3	2.680395495	2.72247371	6681	7.174	623688	NaN	NaN	26	486.744	158.0806258	16.24336617	179.4	90.52	2741.7	198	64.30477606	7704	354	27	845	NaN	NaN	NaN	NaN	NaN	1442000	46.83206418	626600	20.35018822	11078	0.359781974	14	4.546802348	191211.3027	6.21	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.437990561	NaN	NaN	NaN	NaN	NaN	NaN	10400	15.70593654	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
134	10	NaN	NaN	NaN	NaN	0.5	NaN	NaN	NaN	1028	NaN	NaN	1028	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28356	0.193	813010	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.817197313	32562	221	152	NaN	136592	157.2173433	38000	43.73798644	4986	5.738884221	56	644.5598002	65186.8143	75.03	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
