Emigration rate of tertiary educated (% of total tertiary educated population)	Net migration	Refugee population by country or territory of asylum	Refugee population by country or territory of origin	International migrant stock, total	International migrant stock (% of population)	Prevalence of undernourishment (% of population)	Depth of hunger (kilocalories per person per day)	Consumption of iodized salt (% of households)	Vitamin A supplementation coverage rate (% of children ages 6-59 months)	Adolescent fertility rate (births per 1,000 women ages 15-19)	Completeness of infant death reporting (% of reported infant deaths to estimated infant deaths)	Completeness of total death reporting (% of reported total deaths to estimated total deaths)	Mortality rate, adult, female (per 1,000 female adults)	Mortality rate, adult, male (per 1,000 male adul ts)	Birth rate, crude (per 1,000 people)	Death rate, crude (per 1,000 people)	Contraceptive prevalence (% of women ages 15-49)	Mortality rate, infant (per 1,000 live births)	Life expectancy at birth, female (years)	Life expectancy at birth, total (years)	Life expectancy at birth, male (years)	Fertility rate, total (births per woman)	Survival to age 65, female (% of cohort)	Survival to age 65, male (% of cohort)	Wanted fertility rate (births per woman)	Female headed households (% of households with a female head)	Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)	Population ages 0-14 (% of total)	Population ages 15-64 (% of total)	Population ages 65 and above (% of total)	Age dependency ratio (% of working-age population)	Age dependency ratio, old (% of working-age population)	Age dependency ratio, young (% of working-age population)	Population growth (annual %)	Researchers in R&D (per million people)	Technicians in R&D (per million people)	Population, total	Population, female (% of total)	Completeness of birth registration, rural (%)	Completeness of birth registration, urban (%)	Completeness of birth registration (%)	Rural population	Rural population growth (annual %)	Rural population (% of total population)	Urban population growth (annual %)	Urban population	Urban population (% of total)	Unmet need for contraception (% of married women ages 15-49)	International tourism, number of arrivals	International tourism, number of departures	International tourism, receipts (current US$)	International tourism, receipts (% of total exports)	International tourism, receipts for passenger transport items (current US$)	International tourism, expenditures for passenger transport items (current US$)	International tourism, receipts for travel items (current US$)	International tourism, expenditures for travel items (current US$)	International tourism, expenditures (current US$)	International tourism, expenditures (% of total imports)	Merchandise trade (% of GDP)	Import volume index (2000 = 100)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.007	6.96	NaN	NaN	75.754	73.24270732	70.851	2.307	NaN	NaN	NaN	NaN	NaN	24.51118335	67.93783255	7.550984102	47.19339173	11.11454961	36.07884213	-1.309518613	NaN	NaN	61830	51.05849627	NaN	NaN	NaN	30689.56782	-1.278890618	49.6354	-1.339693987	31140.43218	50.3646	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.734000271	NaN	NaN	49504	NaN	NaN	NaN	NaN	2485.001792	3.530997431	5.0198	1.63991966	47018.99821	94.9802	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52.156	22.834	NaN	142.6	41.252	41.399	41.539	7.893	NaN	NaN	NaN	NaN	NaN	46.29815174	51.42890068	2.27294758	94.44319959	4.419592	90.02360759	2.082627992	NaN	NaN	17882944	48.11644742	NaN	NaN	NaN	14768986.96	1.761398347	82.587	3.49570045	3113957.039	17.413	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52.839	23.67	NaN	151.6	42.911	40.97797561	39.137	7.202	NaN	NaN	NaN	NaN	NaN	47.20811227	50.15647622	2.635411509	99.3760478	5.25437931	94.12166849	2.54439565	NaN	NaN	9562796	50.74394045	NaN	NaN	NaN	6401297.391	0.531319722	66.9396	6.748870406	3161498.609	33.0604	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47.01263453	58.72431763	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.615	5.703	NaN	39.2	74.697	71.77492683	68.992	3.65	NaN	NaN	NaN	NaN	NaN	33.74143014	61.03050408	5.228065773	63.85248902	8.566315896	55.28617312	2.687122133	NaN	NaN	3116009	48.50486632	NaN	NaN	NaN	2006055.434	2.270154538	64.379	3.445160509	1109953.566	35.621	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28.794	3.137	NaN	22.2	72.747	71.25753659	69.839	4.86	NaN	NaN	NaN	NaN	NaN	32.30108216	66.42701456	1.271903279	50.5411626	1.914737984	48.62642461	5.976445291	NaN	NaN	1516782	35.26571386	NaN	NaN	NaN	310897.8401	6.71389226	20.4972	5.787197188	1205884.16	79.5028	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	53.88497786	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.173	8.361	NaN	27.1	74.518	70.92239024	67.498	3.056	NaN	NaN	NaN	NaN	NaN	30.97015011	60.3895164	8.640333485	65.59165557	14.30767126	51.2839843	1.478149378	NaN	NaN	31269799	50.85895657	NaN	NaN	NaN	4435183.211	-1.228891608	14.1836	1.932707295	26834615.79	85.8164	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.96068531	22.78993267	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.898	6.645	NaN	45.3	71.184	68.57692683	66.094	2.549	NaN	NaN	NaN	NaN	NaN	30.28685696	64.43709008	5.276052963	55.19012401	8.187913136	47.00221087	1.766805303	NaN	NaN	3457054	51.17461284	NaN	NaN	NaN	1133139.332	1.565041785	32.7776	1.865332903	2323914.668	67.2224	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.87176121	NaN	NaN	42446	NaN	NaN	NaN	NaN	8898.209656	0.877486149	20.9636	4.681239472	33547.79034	79.0364	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.8	5.1	NaN	NaN	75.18	73.00829268	70.94	1.9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.607231842	NaN	NaN	63510	NaN	NaN	NaN	NaN	41165.2767	-1.732121039	64.817	-1.376741593	22344.7233	35.183	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	92.85308123	NaN	2
