Emigration rate of tertiary educated (% of total tertiary educated population)	Net migration	Refugee population by country or territory of asylum	Refugee population by country or territory of origin	International migrant stock, total	International migrant stock (% of population)	Prevalence of undernourishment (% of population)	Depth of hunger (kilocalories per person per day)	Consumption of iodized salt (% of households)	Vitamin A supplementation coverage rate (% of children ages 6-59 months)	Adolescent fertility rate (births per 1,000 women ages 15-19)	Completeness of infant death reporting (% of reported infant deaths to estimated infant deaths)	Completeness of total death reporting (% of reported total deaths to estimated total deaths)	Mortality rate, adult, female (per 1,000 female adults)	Mortality rate, adult, male (per 1,000 male adul ts)	Birth rate, crude (per 1,000 people)	Death rate, crude (per 1,000 people)	Contraceptive prevalence (% of women ages 15-49)	Mortality rate, infant (per 1,000 live births)	Life expectancy at birth, female (years)	Life expectancy at birth, total (years)	Life expectancy at birth, male (years)	Fertility rate, total (births per woman)	Survival to age 65, female (% of cohort)	Survival to age 65, male (% of cohort)	Wanted fertility rate (births per woman)	Female headed households (% of households with a female head)	Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)	Population ages 0-14 (% of total)	Population ages 15-64 (% of total)	Population ages 65 and above (% of total)	Age dependency ratio (% of working-age population)	Age dependency ratio, old (% of working-age population)	Age dependency ratio, young (% of working-age population)	Population growth (annual %)	Researchers in R&D (per million people)	Technicians in R&D (per million people)	Population, total	Population, female (% of total)	Completeness of birth registration, rural (%)	Completeness of birth registration, urban (%)	Completeness of birth registration (%)	Rural population	Rural population growth (annual %)	Rural population (% of total population)	Urban population growth (annual %)	Urban population	Urban population (% of total)	Unmet need for contraception (% of married women ages 15-49)	International tourism, number of arrivals	International tourism, number of departures	International tourism, receipts (current US$)	International tourism, receipts (% of total exports)	International tourism, receipts for passenger transport items (current US$)	International tourism, expenditures for passenger transport items (current US$)	International tourism, receipts for travel items (current US$)	International tourism, expenditures for travel items (current US$)	International tourism, expenditures (current US$)	International tourism, expenditures (% of total imports)	Merchandise trade (% of GDP)	Import volume index (2000 = 100)	Income
NaN	4000	NaN	NaN	34268	31.88076809	NaN	NaN	NaN	NaN	29.2338	NaN	NaN	76.6164	NaN	11.474	7.4	NaN	NaN	77.425	74.97517073	72.642	1.699	87.1590205	78.64997	NaN	NaN	NaN	19.16865138	71.3307532	9.500595415	40.19198664	13.31907346	26.87291319	0.818313768	NaN	NaN	107488	52.56493748	NaN	NaN	NaN	57208.33824	0.75182328	53.223	0.894020636	50279.66176	46.777	NaN	NaN	NaN	1241800000	69.05532946	2800000	19000000	1239000000	245000000	264000000	12.98598516	NaN	22.65704551	3
NaN	NaN	NaN	6	55847	65.80764517	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.8	2.8	NaN	2.9	NaN	NaN	NaN	1.22	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.408582631	NaN	NaN	84864	NaN	NaN	NaN	NaN	10338.98112	5.561602525	12.183	0.845813729	74525.01888	87.817	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	-381030	6434	3054709	90883	0.264309496	NaN	NaN	NaN	96.38104964	107.2078	NaN	NaN	376.7662	NaN	43.647	15.929	NaN	74.5	48.442	48.28219512	48.13	6.288	36.5000535	34.42579	NaN	NaN	NaN	46.44803697	51.314701	2.237262033	94.87592843	4.359885158	90.51604327	2.831298777	NaN	NaN	34385068	48.2627532	NaN	NaN	NaN	26394322.05	2.439016961	76.761	3.966695817	7990745.953	23.239	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32.14462567	275.7610965	0
NaN	82005	15155	134858	65387	0.342664823	NaN	NaN	NaN	28	157.3042	NaN	NaN	337.3444	NaN	41.551	14.362	NaN	98.2	52.138	50.65365854	49.24	5.443	44.8819455	38.0575895	NaN	NaN	NaN	46.57139704	50.94759896	2.481004	96.28010355	4.86971722	91.41038633	2.799537836	NaN	NaN	19081912	50.47751504	NaN	NaN	NaN	7942082.594	0.690322745	41.621	4.330928555	11139829.41	58.379	NaN	425000	NaN	726000000	1.411031258	7000000	127000000	719000000	148000000	275000000	0.776370723	83.58985326	627.6569651	2
NaN	-47889	76	14772	89106	2.780839651	NaN	NaN	NaN	NaN	16.0902	NaN	NaN	46.102	NaN	12.764	6.147	NaN	13.4	80.095	76.90095122	73.859	1.536	90.380707	82.3753785	NaN	NaN	NaN	22.68347625	67.65754846	9.658975297	47.80316798	14.27627148	33.5268965	0.361450678	NaN	NaN	3204284	49.92341503	NaN	NaN	NaN	1527738.526	-1.926861023	47.678	2.493259701	1676545.474	52.322	NaN	2417000	3443000	1780000000	46.9525295	167000000	92000000	1613000000	1362000000	1454000000	23.02222602	50.18085607	275.473378	1
NaN	3076634	538	424	3293264	43.84185183	NaN	NaN	NaN	NaN	24.7284	NaN	NaN	67.518	NaN	13.112	1.337	NaN	6	77.535	76.57360976	75.658	1.749	88.7606425	86.2012035	NaN	NaN	NaN	17.03060164	82.54209106	0.427307304	21.15031097	0.517684127	20.63262684	7.932946309	NaN	NaN	7511690	30.46046895	NaN	NaN	NaN	1198715.49	5.72660991	15.958	8.357443751	6312974.51	84.042	NaN	NaN	NaN	8577000000	NaN	NaN	NaN	NaN	NaN	11818000000	NaN	127.667376	346.9294042	3
NaN	-199997	3276	557	1449293	3.586260308	NaN	NaN	NaN	NaN	55.2692	NaN	NaN	73.654	NaN	17.154	7.708	NaN	13	79.49	75.63214634	71.958	2.211	87.500455	74.915304	NaN	NaN	NaN	24.86879019	64.54872389	10.58248592	54.92173041	16.39457031	38.5271601	0.869608884	NaN	NaN	40412376	51.08328449	NaN	NaN	NaN	3091950.888	-1.626745434	7.651	1.07925143	37320425.11	92.349	NaN	5325000	5307000	5629000000	6.927954891	687000000	1497000000	4942000000	4878000000	6375000000	9.376053928	33.80290066	190.0007089	2
NaN	-75000	3296	17547	324184	10.4843613	NaN	NaN	NaN	NaN	34.2108	43.1703204	100	78.7168	NaN	15.291	8.892	54.9	16.4	77.078	73.78356098	70.646	1.736	85.137523	72.95618	NaN	NaN	NaN	20.17556512	68.70334843	11.12108644	45.55331331	16.18710979	29.36620351	0.229656615	NaN	NaN	3092072	53.45580569	NaN	NaN	NaN	1111105.152	0.295354153	35.934	0.192826386	1980966.848	64.066	NaN	NaN	NaN	456000000	23.54228835	48000000	62000000	408000000	404000000	466000000	11.06428444	51.11525246	271.8563756	1
NaN	NaN	NaN	NaN	28370	41.46448407	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.63266527	NaN	NaN	68420	NaN	NaN	NaN	NaN	4804.4524	-3.082106263	7.022	1.997933944	63615.5476	92.978	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	63.51232429	2
NaN	NaN	NaN	30	20928	23.59147785	NaN	NaN	NaN	NaN	NaN	NaN	NaN	326.3333333	NaN	NaN	NaN	NaN	6.7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.028834311	NaN	NaN	88710	NaN	NaN	NaN	NaN	62201.6778	1.2432744	70.118	0.527449615	26508.3222	29.882	NaN	230000	NaN	301000000	57.45950261	NaN	NaN	301000000	51000000	51000000	7.498780337	60.26478398	67.59930523	2
NaN	1124639	21805	37	4711490	21.12794734	NaN	NaN	NaN	NaN	14.1042	NaN	NaN	NaN	NaN	12.98217921	6.430550947	NaN	4.2	84	81.69512195	79.5	1.92	93.1671445	88.550443	NaN	NaN	NaN	18.98742181	67.5672514	13.44532679	48.00069254	19.89917677	28.10151577	1.573312455	NaN	NaN	22299800	50.18650657	NaN	NaN	NaN	2442720.092	0.008119819	10.954	1.767557993	19857079.91	89.046	NaN	5885000	7111400	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36.60876367	195.054386	3
NaN	160000	42630	10	1310218	15.61685057	NaN	NaN	NaN	NaN	10.9568	100	100	NaN	NaN	9.4	9.2	NaN	3.5	83.2	80.38292683	77.7	1.44	92.8311065	85.4648945	NaN	NaN	NaN	14.72483227	67.67788817	17.59727956	47.75874765	26.0015199	21.75722775	0.292401674	NaN	NaN	8389771	51.20703237	NaN	NaN	NaN	2730534.87	-0.271359854	32.546	0.565552878	5659236.13	67.454	NaN	22004000	9882000	20931000000	10.34058368	2173000000	2090000000	18758000000	10125000000	12215000000	6.461817971	82.73743139	148.6952087	3
