Emigration rate of tertiary educated (% of total tertiary educated population)	Net migration	Refugee population by country or territory of asylum	Refugee population by country or territory of origin	International migrant stock, total	International migrant stock (% of population)	Prevalence of undernourishment (% of population)	Depth of hunger (kilocalories per person per day)	Consumption of iodized salt (% of households)	Vitamin A supplementation coverage rate (% of children ages 6-59 months)	Adolescent fertility rate (births per 1,000 women ages 15-19)	Completeness of infant death reporting (% of reported infant deaths to estimated infant deaths)	Completeness of total death reporting (% of reported total deaths to estimated total deaths)	Mortality rate, adult, female (per 1,000 female adults)	Mortality rate, adult, male (per 1,000 male adul ts)	Birth rate, crude (per 1,000 people)	Death rate, crude (per 1,000 people)	Contraceptive prevalence (% of women ages 15-49)	Mortality rate, infant (per 1,000 live births)	Life expectancy at birth, female (years)	Life expectancy at birth, total (years)	Life expectancy at birth, male (years)	Fertility rate, total (births per woman)	Survival to age 65, female (% of cohort)	Survival to age 65, male (% of cohort)	Wanted fertility rate (births per woman)	Female headed households (% of households with a female head)	Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)	Population ages 0-14 (% of total)	Population ages 15-64 (% of total)	Population ages 65 and above (% of total)	Age dependency ratio (% of working-age population)	Age dependency ratio, old (% of working-age population)	Age dependency ratio, young (% of working-age population)	Population growth (annual %)	Researchers in R&D (per million people)	Technicians in R&D (per million people)	Population, total	Population, female (% of total)	Completeness of birth registration, rural (%)	Completeness of birth registration, urban (%)	Completeness of birth registration (%)	Rural population	Rural population growth (annual %)	Rural population (% of total population)	Urban population growth (annual %)	Urban population	Urban population (% of total)	Unmet need for contraception (% of married women ages 15-49)	International tourism, number of arrivals	International tourism, number of departures	International tourism, receipts (current US$)	International tourism, receipts (% of total exports)	International tourism, receipts for passenger transport items (current US$)	International tourism, expenditures for passenger transport items (current US$)	International tourism, receipts for travel items (current US$)	International tourism, expenditures for travel items (current US$)	International tourism, expenditures (current US$)	International tourism, expenditures (% of total imports)	Merchandise trade (% of GDP)	Import volume index (2000 = 100)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38.0286	NaN	NaN	83.4564	NaN	12.802	7.053	NaN	NaN	76.576	74.0877561	71.718	1.787	86.1349495	76.8362764	NaN	NaN	NaN	21.96734883	69.67702202	8.355629146	43.51933694	11.99194355	31.52739339	2.216290101	NaN	NaN	99046	52.56595354	NaN	NaN	NaN	52870.16052	2.254889216	53.3794	2.172113385	46175.83948	46.6206	NaN	728000	NaN	1056000000	26.47220701	NaN	30000000	1056000000	218000000	248000000	6.531866243	NaN	92.61247635	3
NaN	NaN	NaN	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.9	3.8	NaN	3.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.189229118	NaN	NaN	75292	NaN	NaN	NaN	NaN	6990.8622	8.818154646	9.285	3.727309133	68301.1378	90.715	NaN	2791000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	161.4734386	3
NaN	NaN	30	2414476	NaN	NaN	NaN	NaN	28	96	144.1816	NaN	NaN	395.5858	NaN	47.399	17.889	NaN	86.4	46.448	46.35119512	46.259	7.14	33.706283	31.7809307	NaN	NaN	NaN	47.85837459	49.93702771	2.204597698	100.2522068	4.414755542	95.83745126	2.877035265	NaN	NaN	29068646	48.23207624	NaN	NaN	NaN	22783365.22	2.505502412	78.3778	4.045245401	6285280.775	21.6222	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	43.5117781	169.9261697	0
NaN	NaN	13970	228858	NaN	NaN	NaN	NaN	NaN	77	189.0118	NaN	NaN	362.5048	NaN	47.448	16.82	NaN	110.1	49.402	48.00370732	46.672	6.391	41.0973819	34.692951	NaN	NaN	NaN	47.69679838	49.84883873	2.454362884	100.6064786	4.923610953	95.68286763	3.426475986	NaN	NaN	15957460	50.58358595	NaN	NaN	NaN	7507697.696	1.341586044	47.0482	5.316108658	8449762.304	52.9518	NaN	194000	NaN	82000000	0.594298944	16000000	47000000	66000000	39000000	86000000	0.808687735	97.63229444	179.37954	2
NaN	NaN	51	10478	NaN	NaN	NaN	NaN	NaN	NaN	17.5542	NaN	NaN	50.9818	NaN	14.099	5.817	NaN	18.7	79.109	75.85912195	72.764	1.847	89.6234013	80.6102143	NaN	NaN	NaN	27.00910537	64.77244908	8.218445556	54.38662799	12.68818097	41.69844702	0.582841073	NaN	NaN	3124861	50.09141207	NaN	NaN	NaN	1693943.4	-1.267895935	54.2086	2.818989816	1430917.6	45.7914	NaN	645000	1694000	756000000	47.05038042	21000000	27000000	735000000	642000000	669000000	20.58640626	39.04374992	184.1915446	1
NaN	NaN	105	71	NaN	NaN	NaN	NaN	NaN	NaN	25.644	NaN	NaN	77.4072	NaN	15.447	1.6	NaN	8.4	76.431	75.46397561	74.543	2.191	88.1769788	84.8811195	NaN	NaN	NaN	20.67519672	78.38733531	0.937467964	27.57162825	1.195943147	26.3756851	7.287058091	NaN	NaN	3658042	31.87713656	NaN	NaN	NaN	663685.8761	5.078288381	18.1432	7.783298127	2994356.124	81.8568	NaN	6195000	NaN	1593000000	NaN	NaN	NaN	NaN	NaN	4472000000	NaN	110.319425	205.5095748	3
NaN	NaN	2916	796	NaN	NaN	NaN	NaN	NaN	NaN	59.1806	NaN	NaN	81.8752	NaN	17.789	7.749	NaN	15.9	78.406	74.54558537	70.869	2.31	86.1036927	72.9623472	NaN	NaN	NaN	26.63766047	63.24621173	10.1161278	58.11223671	15.99483593	42.11740078	0.88949493	768.6594153	181.7125359	38340778	51.06917108	NaN	NaN	91	3400596.964	-1.905541995	8.8694	1.165743967	34940181.04	91.1306	NaN	3457000	3904000	2660000000	6.672712244	425000000	604000000	2235000000	2604000000	3208000000	11.4857588	37.23704887	87.74967316	2
NaN	NaN	235235	13411	NaN	NaN	NaN	NaN	NaN	NaN	37.02	NaN	NaN	86.3254	NaN	14.464	8.372	NaN	22	76.043	72.61641463	69.353	1.715	83.4843444	70.0379294	NaN	NaN	NaN	22.57950656	65.57908633	11.84140711	52.48763836	18.05668206	34.4309563	0.06722013	NaN	NaN	3062612	53.27598136	NaN	NaN	NaN	1093952.756	0.337464804	35.7196	-0.082635483	1968659.244	64.2804	NaN	263000	221000	188000000	17.55516739	17000000	37000000	171000000	179000000	216000000	13.26947353	57.97660248	139.1281938	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.78895064	145.4639492	NaN	61871	NaN	NaN	NaN	NaN	5704.753684	-3.52685616	9.2204	2.345023737	56166.24632	90.7796	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	114.4648319	2
NaN	NaN	NaN	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	210.3333333	NaN	NaN	NaN	NaN	9.9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.363707218	NaN	NaN	82838	NaN	NaN	NaN	NaN	57214.71552	1.797261587	69.0682	0.402346971	25623.28448	30.9318	NaN	246000	NaN	337000000	63.11179215	NaN	NaN	337000000	38000000	38000000	6.41525169	55.30885384	105.5619851	2
