Emigration rate of tertiary educated (% of total tertiary educated population)	Net migration	Refugee population by country or territory of asylum	Refugee population by country or territory of origin	International migrant stock, total	International migrant stock (% of population)	Prevalence of undernourishment (% of population)	Depth of hunger (kilocalories per person per day)	Consumption of iodized salt (% of households)	Vitamin A supplementation coverage rate (% of children ages 6-59 months)	Adolescent fertility rate (births per 1,000 women ages 15-19)	Completeness of infant death reporting (% of reported infant deaths to estimated infant deaths)	Completeness of total death reporting (% of reported total deaths to estimated total deaths)	Mortality rate, adult, female (per 1,000 female adults)	Mortality rate, adult, male (per 1,000 male adul ts)	Birth rate, crude (per 1,000 people)	Death rate, crude (per 1,000 people)	Contraceptive prevalence (% of women ages 15-49)	Mortality rate, infant (per 1,000 live births)	Life expectancy at birth, female (years)	Life expectancy at birth, total (years)	Life expectancy at birth, male (years)	Fertility rate, total (births per woman)	Survival to age 65, female (% of cohort)	Survival to age 65, male (% of cohort)	Wanted fertility rate (births per woman)	Female headed households (% of households with a female head)	Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)	Population ages 0-14 (% of total)	Population ages 15-64 (% of total)	Population ages 65 and above (% of total)	Age dependency ratio (% of working-age population)	Age dependency ratio, old (% of working-age population)	Age dependency ratio, young (% of working-age population)	Population growth (annual %)	Researchers in R&D (per million people)	Technicians in R&D (per million people)	Population, total	Population, female (% of total)	Completeness of birth registration, rural (%)	Completeness of birth registration, urban (%)	Completeness of birth registration (%)	Rural population	Rural population growth (annual %)	Rural population (% of total population)	Urban population growth (annual %)	Urban population	Urban population (% of total)	Unmet need for contraception (% of married women ages 15-49)	International tourism, number of arrivals	International tourism, number of departures	International tourism, receipts (current US$)	International tourism, receipts (% of total exports)	International tourism, receipts for passenger transport items (current US$)	International tourism, expenditures for passenger transport items (current US$)	International tourism, receipts for travel items (current US$)	International tourism, expenditures for travel items (current US$)	International tourism, expenditures (current US$)	International tourism, expenditures (% of total imports)	Merchandise trade (% of GDP)	Import volume index (2000 = 100)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44.83	NaN	NaN	86.8748	NaN	14.64	6.882	NaN	NaN	76.221	73.67539024	71.251	1.905	85.4979767	76.0864485	NaN	NaN	NaN	23.36047038	69.36001809	7.279511533	44.17527958	10.49525611	33.68002347	1.842933673	NaN	NaN	88442	51.75599276	NaN	NaN	NaN	46772.90547	2.624264765	52.8854	0.973113056	41669.09453	47.1146	NaN	683000	NaN	782000000	33.77578523	53000000	11000000	729000000	140000000	151000000	5.687238694	47.07165918	NaN	3
NaN	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.6	NaN	NaN	4.2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.407078414	NaN	NaN	63985	NaN	NaN	NaN	NaN	4704.04923	3.097681556	7.3518	-0.679997522	59280.95077	92.6482	NaN	2347000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	2568243	NaN	NaN	NaN	NaN	NaN	78	191.9384	NaN	NaN	411.5592	NaN	51.373	19.601	NaN	97.2	45.079	45.00985366	44.944	7.847	32.7094388	30.7239626	NaN	NaN	NaN	48.0479398	49.74515851	2.20690169	101.0245881	4.436415032	96.58817309	2.917140143	NaN	NaN	25215252	48.20487573	NaN	NaN	NaN	20087831.37	2.564082365	79.6654	4.104487039	5127420.633	20.3346	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
NaN	NaN	13071	350645	NaN	NaN	NaN	NaN	NaN	94	209.4158	NaN	NaN	386.574	NaN	50.708	20.036	NaN	121	45.884	44.43909756	43.063	6.882	38.9087427	32.7110183	NaN	NaN	NaN	47.63975367	49.88373304	2.476513289	100.4661518	4.96457089	95.50158092	2.801776072	NaN	NaN	13511575	50.70486591	NaN	NaN	NaN	7027748.482	0.897798171	52.0128	4.907258874	6483826.518	47.9872	NaN	45000	NaN	31000000	0.583858021	18000000	15000000	13000000	127000000	142000000	2.489638196	134.3086599	97.41795788	2
NaN	NaN	3930	4325	NaN	NaN	NaN	NaN	NaN	NaN	14.0326	NaN	NaN	61.798	NaN	17.802	6.112	NaN	24.6	76.795	73.72182927	70.795	2.33	87.4210834	77.2570813	NaN	NaN	NaN	30.54579313	62.24473358	7.209473297	60.65616198	11.5824631	49.07369888	-0.205209571	NaN	NaN	3072725	50.04964655	NaN	NaN	NaN	1807530.481	-1.162786084	58.825	1.178946343	1265194.519	41.175	NaN	371000	NaN	218000000	40.04408523	7000000	23000000	211000000	12000000	35000000	3.178639542	43.83324379	NaN	1
NaN	NaN	501	10	NaN	NaN	NaN	NaN	NaN	NaN	26.5288	NaN	NaN	92.8718	NaN	17.379	1.986	NaN	11.3	75.492	74.38873171	73.338	2.77	87.7034833	83.4296371	NaN	NaN	NaN	26.23213949	72.74253599	1.025324522	37.47114895	1.4095254	36.06162355	5.009101011	NaN	NaN	2897038	32.68939888	NaN	NaN	NaN	583677.834	3.124006028	20.1474	5.490392008	2313360.166	79.8526	NaN	3393000	NaN	893000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	80.75588488	NaN	3
NaN	NaN	2345	472	NaN	NaN	NaN	NaN	NaN	NaN	66.1604	NaN	NaN	86.6296	NaN	19.1	7.802	NaN	18.6	77.285	73.50346341	69.902	2.535	85.0365006	71.6294908	NaN	NaN	NaN	28.17080767	62.03754689	9.791645441	61.19270508	15.78341816	45.40928693	1.118369408	711.6384161	156.1806045	36541029	51.01279989	NaN	NaN	NaN	3715930.321	-1.733621531	10.1692	1.446411476	32825098.68	89.8308	NaN	2898000	4786000	3175000000	11.32823311	277000000	1033000000	2898000000	4195000000	5228000000	15.87461759	17.22646701	100.9006978	2
NaN	NaN	296216	192230	NaN	NaN	NaN	NaN	NaN	NaN	46.9314	NaN	NaN	102.0724	NaN	13.371	8.484	NaN	27.5	73.874	70.4924878	67.272	1.712	80.440738	66.1736437	NaN	NaN	NaN	26.70752569	63.64482029	9.64765402	57.12197716	15.15858475	41.96339241	-0.596060461	NaN	NaN	3090624	52.95181204	NaN	NaN	NaN	1083442.968	0.20069717	35.0558	-1.023513315	2007181.032	64.9442	NaN	41000	NaN	47000000	12.26769681	16000000	14000000	31000000	37000000	51000000	5.548182154	55.92034485	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.64043105	NaN	NaN	56667	NaN	NaN	NaN	NaN	6761.053104	-4.038711753	11.9312	2.435235063	49905.9469	88.0688	NaN	41000	44000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	113.6666667	NaN	NaN	NaN	NaN	13.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.390658218	NaN	NaN	75985	NaN	NaN	NaN	NaN	51294.58607	2.935497273	67.5062	1.268151237	24690.41393	32.4938	NaN	232000	NaN	290000000	61.33255225	NaN	NaN	290000000	30000000	30000000	5.667623005	69.34091032	NaN	2
