Emigration rate of tertiary educated (% of total tertiary educated population)	Net migration	Refugee population by country or territory of asylum	Refugee population by country or territory of origin	International migrant stock, total	International migrant stock (% of population)	Prevalence of undernourishment (% of population)	Depth of hunger (kilocalories per person per day)	Consumption of iodized salt (% of households)	Vitamin A supplementation coverage rate (% of children ages 6-59 months)	Adolescent fertility rate (births per 1,000 women ages 15-19)	Completeness of infant death reporting (% of reported infant deaths to estimated infant deaths)	Completeness of total death reporting (% of reported total deaths to estimated total deaths)	Mortality rate, adult, female (per 1,000 female adults)	Mortality rate, adult, male (per 1,000 male adul ts)	Birth rate, crude (per 1,000 people)	Death rate, crude (per 1,000 people)	Contraceptive prevalence (% of women ages 15-49)	Mortality rate, infant (per 1,000 live births)	Life expectancy at birth, female (years)	Life expectancy at birth, total (years)	Life expectancy at birth, male (years)	Fertility rate, total (births per woman)	Survival to age 65, female (% of cohort)	Survival to age 65, male (% of cohort)	Wanted fertility rate (births per woman)	Female headed households (% of households with a female head)	Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)	Population ages 0-14 (% of total)	Population ages 15-64 (% of total)	Population ages 65 and above (% of total)	Age dependency ratio (% of working-age population)	Age dependency ratio, old (% of working-age population)	Age dependency ratio, young (% of working-age population)	Population growth (annual %)	Researchers in R&D (per million people)	Technicians in R&D (per million people)	Population, total	Population, female (% of total)	Completeness of birth registration, rural (%)	Completeness of birth registration, urban (%)	Completeness of birth registration (%)	Rural population	Rural population growth (annual %)	Rural population (% of total population)	Urban population growth (annual %)	Urban population	Urban population (% of total)	Unmet need for contraception (% of married women ages 15-49)	International tourism, number of arrivals	International tourism, number of departures	International tourism, receipts (current US$)	International tourism, receipts (% of total exports)	International tourism, receipts for passenger transport items (current US$)	International tourism, expenditures for passenger transport items (current US$)	International tourism, receipts for travel items (current US$)	International tourism, expenditures for travel items (current US$)	International tourism, expenditures (current US$)	International tourism, expenditures (% of total imports)	Merchandise trade (% of GDP)	Import volume index (2000 = 100)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30.6202	NaN	NaN	77.6876	NaN	11.648	7.309	NaN	NaN	77.287	74.83153659	72.493	1.713	87.0112495	78.3776496	NaN	NaN	NaN	19.6465755	71.083535	9.269889508	40.679554	13.04083922	27.63871479	1.02387077	NaN	NaN	106612	52.58596432	NaN	NaN	NaN	56779.84541	0.957424463	53.2584	1.099634997	49832.15459	46.7416	NaN	813000	NaN	1211600000	41.05897877	600000	21000000	1211000000	245000000	266000000	9.928022152	NaN	35.08510031	3
NaN	NaN	NaN	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.9	3.2	NaN	2.9	NaN	NaN	NaN	1.19	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.323295742	NaN	NaN	83677	NaN	NaN	NaN	NaN	9779.665698	5.656292856	11.6874	0.763676213	73897.3343	88.3126	NaN	1830000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	37	2887123	NaN	NaN	NaN	NaN	NaN	95	111.0362	NaN	NaN	379.9028	NaN	44.218	16.27	NaN	76.2	48.052	47.89885366	47.753	6.422	36.0419005	33.990958	NaN	NaN	NaN	46.77779494	50.99598872	2.226216338	96.09385466	4.365473431	91.72838123	2.831301863	NaN	NaN	33438329	48.2577662	NaN	NaN	NaN	25758347.35	2.440261258	77.0324	3.980663105	7679981.651	22.9676	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.31182427	186.0486334	0
NaN	NaN	14734	141021	NaN	NaN	NaN	NaN	NaN	28	161.9038	NaN	NaN	341.8146	NaN	42.355	14.707	NaN	100.1	51.72	50.25102439	48.852	5.584	44.2500929	37.4815381	NaN	NaN	NaN	46.86048025	50.66314598	2.476373765	97.38213658	4.887919448	92.49421713	2.826684433	NaN	NaN	18555115	50.49228744	NaN	NaN	NaN	7887445.394	0.761039812	42.5082	4.381891928	10667669.61	57.4918	NaN	366000	NaN	554000000	1.336515077	20000000	137000000	534000000	133000000	270000000	0.645480741	84.09828252	588.151737	2
NaN	NaN	70	15711	NaN	NaN	NaN	NaN	75.6	NaN	16.6788	NaN	NaN	46.729	NaN	12.802	6.063	69.3	14.1	79.97	76.76109756	73.705	1.558	90.2632794	82.0960107	NaN	15.6	2.8	23.35006826	67.21306546	9.436866274	48.78059692	14.04022597	34.74037094	0.35537492	NaN	NaN	3192723	49.92506397	98.4	99	99	1557461.363	-1.88174238	48.7816	2.533621804	1635261.637	51.2184	12.8	1856000	3404000	2012000000	56.94409388	185000000	107000000	1827000000	1585000000	1692000000	26.03003655	46.54529281	287.4903301	1
NaN	NaN	279	414	NaN	NaN	NaN	NaN	NaN	NaN	25.3826	NaN	NaN	67.832	NaN	13.472	1.337	NaN	6.3	77.342	76.39956098	75.502	1.787	88.6025659	86.0288441	NaN	NaN	NaN	17.25964934	82.29443911	0.445911553	21.51489345	0.541848948	20.9730445	11.15140629	NaN	NaN	6938815	30.48763334	NaN	NaN	NaN	1131998.279	8.992700107	16.314	11.5777134	5806816.721	83.686	NaN	NaN	NaN	7352000000	NaN	NaN	NaN	NaN	NaN	10347000000	NaN	123.9203534	344.7326446	3
NaN	NaN	3230	608	NaN	NaN	NaN	NaN	NaN	NaN	55.8128	99.96672582	98.53902407	74.88	NaN	17.279	7.712	NaN	13.4	79.324	75.46409756	71.788	2.226	87.2830698	74.606628	NaN	NaN	NaN	25.1291377	64.3821428	10.4887195	55.32257184	16.29134889	39.03122295	0.872871186	NaN	NaN	40062470	51.08402081	NaN	NaN	NaN	3142660.397	-1.562680062	7.8444	1.082954156	36919809.6	92.1556	NaN	4308000	4981000	4476000000	6.716779443	516000000	1272000000	3960000000	4494000000	5766000000	11.67242565	30.75985217	139.1390884	2
NaN	NaN	3607	18000	NaN	NaN	NaN	NaN	NaN	NaN	34.7092	NaN	NaN	79.5712	NaN	15.302	8.79	NaN	17.2	76.962	73.64553659	70.487	1.735	84.8980038	72.5282108	NaN	NaN	NaN	20.28459207	68.36877552	11.34663241	46.2656004	16.59622001	29.66938038	0.191172573	NaN	NaN	3084979	53.44743251	NaN	NaN	NaN	1107828.299	0.256913301	35.9104	0.154355904	1977150.701	64.0896	NaN	575000	526000	374000000	27.94483351	40000000	53000000	334000000	326000000	379000000	10.27727083	46.61531991	248.2266898	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.640129929	NaN	NaN	67312	NaN	NaN	NaN	NaN	4954.83632	-2.862323649	7.361	2.006737707	62357.16368	92.639	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	75.47834444	2
NaN	NaN	NaN	28	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	307	NaN	NaN	NaN	NaN	7.2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.054491318	NaN	NaN	87802	NaN	NaN	NaN	NaN	61433.12776	1.269392241	69.9678	0.555607952	26368.87224	30.0322	NaN	234000	NaN	305000000	54.3068301	NaN	NaN	305000000	54000000	54000000	7.643559715	48.14985465	93.65304418	2
