Emigration rate of tertiary educated (% of total tertiary educated population)	Net migration	Refugee population by country or territory of asylum	Refugee population by country or territory of origin	International migrant stock, total	International migrant stock (% of population)	Prevalence of undernourishment (% of population)	Depth of hunger (kilocalories per person per day)	Consumption of iodized salt (% of households)	Vitamin A supplementation coverage rate (% of children ages 6-59 months)	Adolescent fertility rate (births per 1,000 women ages 15-19)	Completeness of infant death reporting (% of reported infant deaths to estimated infant deaths)	Completeness of total death reporting (% of reported total deaths to estimated total deaths)	Mortality rate, adult, female (per 1,000 female adults)	Mortality rate, adult, male (per 1,000 male adul ts)	Birth rate, crude (per 1,000 people)	Death rate, crude (per 1,000 people)	Contraceptive prevalence (% of women ages 15-49)	Mortality rate, infant (per 1,000 live births)	Life expectancy at birth, female (years)	Life expectancy at birth, total (years)	Life expectancy at birth, male (years)	Fertility rate, total (births per woman)	Survival to age 65, female (% of cohort)	Survival to age 65, male (% of cohort)	Wanted fertility rate (births per woman)	Female headed households (% of households with a female head)	Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)	Population ages 0-14 (% of total)	Population ages 15-64 (% of total)	Population ages 65 and above (% of total)	Age dependency ratio (% of working-age population)	Age dependency ratio, old (% of working-age population)	Age dependency ratio, young (% of working-age population)	Population growth (annual %)	Researchers in R&D (per million people)	Technicians in R&D (per million people)	Population, total	Population, female (% of total)	Completeness of birth registration, rural (%)	Completeness of birth registration, urban (%)	Completeness of birth registration (%)	Rural population	Rural population growth (annual %)	Rural population (% of total population)	Urban population growth (annual %)	Urban population	Urban population (% of total)	Unmet need for contraception (% of married women ages 15-49)	International tourism, number of arrivals	International tourism, number of departures	International tourism, receipts (current US$)	International tourism, receipts (% of total exports)	International tourism, receipts for passenger transport items (current US$)	International tourism, expenditures for passenger transport items (current US$)	International tourism, receipts for travel items (current US$)	International tourism, expenditures for travel items (current US$)	International tourism, expenditures (current US$)	International tourism, expenditures (% of total imports)	Merchandise trade (% of GDP)	Import volume index (2000 = 100)	Income
NaN	-5194	NaN	NaN	14444	23.24166895	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.569	7.074	NaN	NaN	75.932	73.38997561	70.969	2.249	NaN	NaN	NaN	NaN	NaN	24.54342124	67.79410108	7.662477674	47.50545903	11.30257287	36.20288617	1.820254361	NaN	NaN	62147	50.67340338	NaN	NaN	NaN	30875.25107	1.850854239	49.681	1.790051645	31271.74893	50.319	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
8.445284674	NaN	NaN	NaN	38904	73.71951566	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.945970344	NaN	NaN	52773	NaN	NaN	NaN	NaN	2790.63624	4.651044742	5.288	2.851623447	49982.36376	94.712	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
12.83123636	-1484160	50	6339095	57686	0.303232635	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52.449	22.062	NaN	129.4	42.272	42.32936585	42.384	7.96	NaN	NaN	NaN	NaN	NaN	46.72998592	51.01337376	2.256640322	96.02702709	4.423624936	91.60340215	2.082624899	NaN	NaN	19023678	48.12699137	NaN	NaN	NaN	15569548.79	1.758673724	81.843	3.436512891	3454129.214	18.157	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
2.511727605	-150232	11557	407760	33517	0.324304125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52.541	23.42	NaN	143.7	43.203	41.14141463	39.178	7.165	NaN	NaN	NaN	NaN	NaN	47.52459881	49.87915881	2.59624238	100.4845358	5.205064484	95.27947132	2.771319979	NaN	NaN	10335052	50.76820126	NaN	NaN	NaN	6496200.285	0.628850808	62.856	6.504811948	3838851.715	37.144	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	53.48827071	59.68142854	2
15.2888819	22871	NaN	1822	66013	2.006789517	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.61	5.909	NaN	35.7	74.651	71.64543902	68.783	3.219	NaN	NaN	NaN	NaN	NaN	32.77618398	61.89686951	5.326946514	61.55905912	8.606164668	52.95289445	1.027426704	NaN	NaN	3289483	48.71391644	NaN	NaN	NaN	2091190.133	0.605177169	63.572	1.768609647	1198292.867	36.428	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29.02515966	NaN	1
0.593889649	259505	NaN	NaN	1330324	73.55374917	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.916	2.794	NaN	18.9	73.528	72.14353659	70.825	4.388	NaN	NaN	NaN	NaN	NaN	31.07187603	67.80341273	1.124711247	47.48520167	1.658782652	45.82641902	5.653214061	NaN	NaN	1808642	34.47166438	NaN	NaN	NaN	378892.4126	6.374699248	20.949	5.462885378	1429749.587	79.051	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	68.52467596	NaN	3
3.434150015	120000	11735	334	1649919	5.054520737	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.717	8.25	NaN	24.4	75.14	71.49829268	68.03	2.989	NaN	NaN	NaN	NaN	NaN	30.67265004	60.39678649	8.930563467	65.57172295	14.7864878	50.78523515	1.404532432	NaN	NaN	32642442	50.92924727	NaN	NaN	NaN	4248740.251	-1.541799714	13.016	1.852975044	28393701.75	86.984	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.62272705	13.66872547	2
9.135264476	-67914	NaN	1	658789	18.58520973	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.215	7.738	NaN	40.4	70.75	67.7572439	64.907	2.538	NaN	NaN	NaN	NaN	NaN	30.37076533	64.00779193	5.621442748	56.23097906	8.782435042	47.44854402	0.055732592	NaN	NaN	3544695	51.49373924	NaN	NaN	NaN	1154826.184	-0.147259618	32.579	0.153969821	2389868.816	67.421	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	21283	45.23293378	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.145531171	NaN	NaN	47052	NaN	NaN	NaN	NaN	8964.34704	-0.144286741	19.052	3.935817737	38087.65296	80.948	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
67.23573726	NaN	NaN	NaN	12029	19.33860648	NaN	NaN	NaN	NaN	NaN	NaN	NaN	85.35703524	NaN	20.1	6.8	NaN	22.7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.016077946	NaN	NaN	62202	NaN	NaN	NaN	NaN	40166.31948	-0.10928093	64.574	0.244985367	22035.68052	35.426	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	70.4854161	NaN	2
