Emigration rate of tertiary educated (% of total tertiary educated population)	Net migration	Refugee population by country or territory of asylum	Refugee population by country or territory of origin	International migrant stock, total	International migrant stock (% of population)	Prevalence of undernourishment (% of population)	Depth of hunger (kilocalories per person per day)	Consumption of iodized salt (% of households)	Vitamin A supplementation coverage rate (% of children ages 6-59 months)	Adolescent fertility rate (births per 1,000 women ages 15-19)	Completeness of infant death reporting (% of reported infant deaths to estimated infant deaths)	Completeness of total death reporting (% of reported total deaths to estimated total deaths)	Mortality rate, adult, female (per 1,000 female adults)	Mortality rate, adult, male (per 1,000 male adul ts)	Birth rate, crude (per 1,000 people)	Death rate, crude (per 1,000 people)	Contraceptive prevalence (% of women ages 15-49)	Mortality rate, infant (per 1,000 live births)	Life expectancy at birth, female (years)	Life expectancy at birth, total (years)	Life expectancy at birth, male (years)	Fertility rate, total (births per woman)	Survival to age 65, female (% of cohort)	Survival to age 65, male (% of cohort)	Wanted fertility rate (births per woman)	Female headed households (% of households with a female head)	Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)	Population ages 0-14 (% of total)	Population ages 15-64 (% of total)	Population ages 65 and above (% of total)	Age dependency ratio (% of working-age population)	Age dependency ratio, old (% of working-age population)	Age dependency ratio, young (% of working-age population)	Population growth (annual %)	Researchers in R&D (per million people)	Technicians in R&D (per million people)	Population, total	Population, female (% of total)	Completeness of birth registration, rural (%)	Completeness of birth registration, urban (%)	Completeness of birth registration (%)	Rural population	Rural population growth (annual %)	Rural population (% of total population)	Urban population growth (annual %)	Urban population	Urban population (% of total)	Unmet need for contraception (% of married women ages 15-49)	International tourism, number of arrivals	International tourism, number of departures	International tourism, receipts (current US$)	International tourism, receipts (% of total exports)	International tourism, receipts for passenger transport items (current US$)	International tourism, expenditures for passenger transport items (current US$)	International tourism, receipts for travel items (current US$)	International tourism, expenditures for travel items (current US$)	International tourism, expenditures (current US$)	International tourism, expenditures (% of total imports)	Merchandise trade (% of GDP)	Import volume index (2000 = 100)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41.119	NaN	NaN	85.874	NaN	13.435	6.98	NaN	NaN	76.376	73.86419512	71.472	1.825	85.8034721	76.3129935	NaN	NaN	NaN	22.71977673	69.38136919	7.898854074	44.13091175	11.38469039	32.74622136	2.388872631	NaN	NaN	94596	52.37007907	NaN	NaN	NaN	50455.80367	2.427501567	53.3382	2.344734912	44140.19633	46.6618	NaN	643000	NaN	835000000	33.51390985	1000000	13000000	834000000	159000000	172000000	6.54209182	50.70184144	80.28801528	3
NaN	NaN	NaN	10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.2	NaN	NaN	3.7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.918305617	NaN	NaN	69043	NaN	NaN	NaN	NaN	5830.68135	9.019593741	8.445	3.460613977	63212.31865	91.555	NaN	3387000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	121.0266206	3
NaN	NaN	3	2510285	NaN	NaN	NaN	NaN	NaN	84	161.174	NaN	NaN	401.859	NaN	48.998	18.555	NaN	90.5	45.911	45.83314634	45.759	7.447	32.9583464	31.0576898	NaN	NaN	NaN	48.0674144	49.73109809	2.20148751	101.0814236	4.426782424	96.65464115	2.877037228	NaN	NaN	27465525	48.22305664	NaN	NaN	NaN	21669585.12	2.507680125	78.8974	4.075196653	5795939.879	21.1026	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	58.81664806	219.7561847	0
NaN	NaN	12250	435421	NaN	NaN	NaN	360	NaN	88	200.951	NaN	NaN	370.338	NaN	49.196	18.009	NaN	114.3	48.101	46.71192683	45.389	6.654	39.9747441	33.7028549	NaN	NaN	NaN	47.70751391	49.83470638	2.457779713	100.6633675	4.931863538	95.73150395	3.431019537	NaN	NaN	14890474	50.63096724	NaN	NaN	NaN	7300888.745	1.429587795	49.0306	5.394873767	7589585.255	50.9694	NaN	91000	NaN	51000000	0.59756194	14000000	33000000	37000000	19000000	52000000	0.734243796	105.7406978	128.267785	2
NaN	NaN	17	10761	NaN	NaN	NaN	160	NaN	NaN	17.353	NaN	NaN	52.981	NaN	15.346	5.879	75.1	20.9	78.365	75.16121951	72.11	2.04	89.1384322	79.7393299	NaN	NaN	6.4	28.48371081	63.67514839	7.841140793	57.04714088	12.31428743	44.73285345	0.402130794	NaN	NaN	3089778	50.13140094	NaN	NaN	NaN	1737499.581	-1.382545081	56.2338	2.742973556	1352278.419	43.7662	NaN	470000	1303000	492000000	53.75639177	5000000	21000000	487000000	365000000	386000000	18.59730098	41.42763062	138.8734841	1
NaN	NaN	163	31	NaN	NaN	NaN	140	NaN	NaN	24.946	NaN	NaN	83.372	NaN	16.183	1.762	NaN	9.4	76.072	75.05221951	74.081	2.413	88.0401019	84.3471253	NaN	NaN	NaN	23.44758402	75.53035086	1.022065115	32.39710773	1.353184652	31.04392308	3.287268102	NaN	NaN	3254691	32.25304446	NaN	NaN	NaN	616881.1134	1.171947167	18.9536	3.788482603	2637809.887	81.0464	NaN	5445000	NaN	1332000000	NaN	NaN	NaN	NaN	NaN	3651000000	NaN	86.34009645	139.1301207	3
NaN	NaN	2439	771	NaN	NaN	NaN	120	NaN	NaN	60.701	NaN	NaN	84.904	NaN	18.176	7.765	NaN	17	77.977	74.13860976	70.483	2.379	85.6377798	72.3380044	NaN	NaN	NaN	27.30375418	62.70525282	9.990992991	59.47627271	15.93326323	43.54300948	0.94778345	692.6405317	161.2434654	37657340	51.04813569	NaN	NaN	NaN	3529321.219	-1.699271997	9.3722	1.225567238	34128018.78	90.6278	NaN	2820000	3008000	1716000000	5.887600357	181000000	416000000	1535000000	2328000000	2744000000	20.43381648	33.94736038	37.95610731	2
NaN	NaN	247550	13246	NaN	NaN	NaN	220	NaN	NaN	37.896	NaN	NaN	89.689	NaN	13.808	8.348	NaN	23.9	75.308	71.88960976	68.634	1.692	82.66222	68.8069111	NaN	NaN	NaN	24.1506548	64.89730368	10.95204151	54.08960669	16.87595769	37.213649	-0.154826054	NaN	NaN	3061067	53.14495221	NaN	NaN	NaN	1087499.151	0.116887202	35.5268	-0.304233875	1973567.849	64.4732	NaN	162000	131000	81000000	11.6110185	18000000	31000000	63000000	54000000	85000000	7.67799117	62.80090853	115.9430755	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.781656323	83.77033525	NaN	59687	NaN	NaN	NaN	NaN	6104.308864	-3.023207212	10.2272	2.343983335	53582.69114	89.7728	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	109.522113	2
NaN	NaN	NaN	5	NaN	NaN	NaN	260	NaN	NaN	NaN	NaN	NaN	171.6666667	NaN	18.1	5.1	NaN	11.3	78.2	75.2804878	72.5	1.7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.680985521	NaN	NaN	80507	NaN	NaN	NaN	NaN	55123.62594	2.118332167	68.4706	0.737760982	25383.37406	31.5294	NaN	218000	NaN	274000000	60.89700177	NaN	NaN	274000000	33000000	33000000	6.852417688	53.3282599	104.384458	2
