Emigration rate of tertiary educated (% of total tertiary educated population)	Net migration	Refugee population by country or territory of asylum	Refugee population by country or territory of origin	International migrant stock, total	International migrant stock (% of population)	Prevalence of undernourishment (% of population)	Depth of hunger (kilocalories per person per day)	Consumption of iodized salt (% of households)	Vitamin A supplementation coverage rate (% of children ages 6-59 months)	Adolescent fertility rate (births per 1,000 women ages 15-19)	Completeness of infant death reporting (% of reported infant deaths to estimated infant deaths)	Completeness of total death reporting (% of reported total deaths to estimated total deaths)	Mortality rate, adult, female (per 1,000 female adults)	Mortality rate, adult, male (per 1,000 male adul ts)	Birth rate, crude (per 1,000 people)	Death rate, crude (per 1,000 people)	Contraceptive prevalence (% of women ages 15-49)	Mortality rate, infant (per 1,000 live births)	Life expectancy at birth, female (years)	Life expectancy at birth, total (years)	Life expectancy at birth, male (years)	Fertility rate, total (births per woman)	Survival to age 65, female (% of cohort)	Survival to age 65, male (% of cohort)	Wanted fertility rate (births per woman)	Female headed households (% of households with a female head)	Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)	Population ages 0-14 (% of total)	Population ages 15-64 (% of total)	Population ages 65 and above (% of total)	Age dependency ratio (% of working-age population)	Age dependency ratio, old (% of working-age population)	Age dependency ratio, young (% of working-age population)	Population growth (annual %)	Researchers in R&D (per million people)	Technicians in R&D (per million people)	Population, total	Population, female (% of total)	Completeness of birth registration, rural (%)	Completeness of birth registration, urban (%)	Completeness of birth registration (%)	Rural population	Rural population growth (annual %)	Rural population (% of total population)	Urban population growth (annual %)	Urban population	Urban population (% of total)	Unmet need for contraception (% of married women ages 15-49)	International tourism, number of arrivals	International tourism, number of departures	International tourism, receipts (current US$)	International tourism, receipts (% of total exports)	International tourism, receipts for passenger transport items (current US$)	International tourism, expenditures for passenger transport items (current US$)	International tourism, receipts for travel items (current US$)	International tourism, expenditures for travel items (current US$)	International tourism, expenditures (current US$)	International tourism, expenditures (% of total imports)	Merchandise trade (% of GDP)	Import volume index (2000 = 100)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.448	7.043	NaN	NaN	76.002	73.4717561	71.062	2.187	NaN	NaN	NaN	NaN	NaN	24.07410119	68.60071758	7.325181226	45.77106993	10.67799505	35.09307489	5.48404132	NaN	NaN	68286	50.51328989	NaN	NaN	NaN	34350.72601	6.105399135	50.3042	4.858984121	33935.27399	49.6958	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	54.55536014	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.915722306	NaN	NaN	57767	NaN	NaN	NaN	NaN	3297.571428	8.667523136	5.7084	4.693044938	54469.42857	94.2916	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	60025	4552153	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52.675	21.565	NaN	119.9	42.951	42.93973171	42.929	8.01	NaN	NaN	NaN	NaN	NaN	47.0707452	50.68463021	2.24462459	97.29847013	4.428609976	92.86986015	3.391206687	NaN	NaN	20335820	48.14602437	NaN	NaN	NaN	16547134.72	3.044377224	81.3694	4.614146966	3788685.281	18.6306	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
NaN	NaN	11002	300492	NaN	NaN	67	420	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52.221	23.148	NaN	139.1	43.308	41.31453659	39.416	7.12	NaN	NaN	NaN	NaN	NaN	47.61363563	49.82004304	2.566321325	100.7224279	5.151182472	95.57124547	3.226989862	NaN	NaN	11002910	50.7821068	NaN	NaN	NaN	6614773.445	0.975682664	60.1184	6.71943097	4388136.555	39.8816	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	99.37027498	90.84203631	2
NaN	NaN	3000	4353	NaN	NaN	5	180	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.594	6.146	NaN	33.3	74.459	71.46521951	68.614	2.91	NaN	NaN	NaN	NaN	NaN	32.66179612	61.74080543	5.597398455	61.96743678	9.065962804	52.90147398	-0.753570062	NaN	NaN	3266983	49.03054256	NaN	NaN	NaN	2044438.758	-1.543997418	62.5788	0.582369253	1222544.242	37.4212	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42.28612476	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	5	130	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.597	2.575	NaN	16.9	73.998	72.67858537	71.422	3.989	NaN	NaN	NaN	NaN	NaN	29.26403247	69.68298945	1.052978084	43.5070464	1.511097748	41.99594865	5.31651551	NaN	NaN	2014095	34.09051302	NaN	NaN	NaN	427830.0317	6.008108641	21.2418	5.130802657	1586264.968	78.7582	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	77.74086251	NaN	3
NaN	NaN	11515	113	NaN	NaN	5	130	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.307	8.132	NaN	22.8	75.616	71.94407317	68.447	2.918	NaN	NaN	NaN	NaN	NaN	30.10961561	60.7441921	9.146192297	64.62479218	15.05690006	49.56789212	1.340016649	NaN	NaN	33540023	50.9510235	NaN	NaN	NaN	4141522.04	-1.328939214	12.348	1.721796847	29398500.96	87.652	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.84853271	56.56441962	2
NaN	NaN	300000	195003	NaN	NaN	45	250	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.379	8.332	NaN	37.4	71.187	67.82853659	64.63	2.399	NaN	NaN	NaN	NaN	NaN	30.27255813	63.18753672	6.539905152	58.25905738	10.34999225	47.90906514	-1.784335772	NaN	NaN	3449940	51.89714729	NaN	NaN	NaN	1142778.825	-0.957368691	33.1246	-2.191428816	2307161.175	66.8754	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.541697252	NaN	NaN	49648	NaN	NaN	NaN	NaN	8598.636416	-2.339738691	17.3192	3.595111591	41049.36358	82.6808	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	12	190	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.5	4.6	NaN	20.6	77.13	74.24634146	71.5	1.7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.656221682	NaN	NaN	63802	NaN	NaN	NaN	NaN	41573.3832	2.106898074	65.16	0.818750908	22228.6168	34.84	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	88.96483166	NaN	2
NaN	NaN	52604	NaN	NaN	NaN	5	120	NaN	NaN	NaN	NaN	NaN	65.40405824	NaN	15.1	7.1	NaN	6.7	80.4	77.37804878	74.5	1.888	NaN	NaN	NaN	NaN	NaN	21.74126076	66.690478	11.56826124	49.94644364	17.34619633	32.60024731	1.218627409	NaN	NaN	17495000	50.18630054	NaN	NaN	NaN	2504864.12	0.232023174	14.3176	1.378321348	14990135.88	85.6824	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.36604468	NaN	3
NaN	NaN	62355	NaN	NaN	NaN	5	110	NaN	NaN	NaN	NaN	NaN	71.57059661	NaN	12.1	10.5	NaN	6.9	79.2	75.85536585	72.67	1.49	NaN	NaN	NaN	NaN	NaN	17.54714298	67.35631605	15.09654097	48.46417659	22.41295525	26.05122134	1.100552287	NaN	NaN	7840709	51.96818	NaN	NaN	NaN	2683169.027	1.080099102	34.221	1.111194547	5157539.973	65.779	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	51.09392464	NaN	3
NaN	NaN	246000	300000	NaN	NaN	27	220	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.2	7.1	NaN	74	68.733	64.2072439	59.897	2.74	NaN	NaN	NaN	NaN	NaN	34.45382079	61.2206326	4.325546614	63.34362413	7.065504603	56.27811952	1.515076998	NaN	NaN	7382000	51.06600576	NaN	NaN	NaN	3459810.524	2.175696572	46.8682	0.935937576	3922189.476	53.1318	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	271745	184135	NaN	NaN	44	310	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44.952	19.196	NaN	109.4	46.646	45.11095122	43.649	6.468	NaN	NaN	NaN	NaN	NaN	45.14402486	51.76785399	3.088121152	93.17007041	5.965325803	87.20474461	1.921333085	NaN	NaN	5835071	51.25540075	NaN	NaN	NaN	5447213.831	1.720149458	93.353	4.790444885	387857.1694	6.647	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.05353728	51.26624969	0
NaN	NaN	24292	NaN	NaN	NaN	5	110	NaN	NaN	NaN	NaN	NaN	73.3694829	NaN	12.4	10.6	78.4	7.7	79.6	76.27073171	73.1	1.56	NaN	NaN	NaN	NaN	NaN	17.86298882	66.77428525	15.36272593	49.75824844	23.00694927	26.75129917	0.405713496	NaN	NaN	10045158	51.12621681	NaN	NaN	NaN	347863.8215	-1.87814255	3.463	0.488617632	9697294.178	96.537	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	107.0088261	NaN	3
NaN	NaN	293	4	NaN	NaN	20	240	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46.108	16.522	NaN	103.1	52.653	49.60339024	46.699	6.603	NaN	NaN	NaN	NaN	NaN	45.93534959	50.77332423	3.291326177	96.95381683	6.482392531	90.4714243	3.470789543	NaN	NaN	5108335	51.90651124	NaN	NaN	NaN	3300280.693	2.769601628	64.6058	4.76350039	1808054.307	35.3942	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	56.21572978	116.4193431	0
