Emigration rate of tertiary educated (% of total tertiary educated population)	Net migration	Refugee population by country or territory of asylum	Refugee population by country or territory of origin	International migrant stock, total	International migrant stock (% of population)	Prevalence of undernourishment (% of population)	Depth of hunger (kilocalories per person per day)	Consumption of iodized salt (% of households)	Vitamin A supplementation coverage rate (% of children ages 6-59 months)	Adolescent fertility rate (births per 1,000 women ages 15-19)	Completeness of infant death reporting (% of reported infant deaths to estimated infant deaths)	Completeness of total death reporting (% of reported total deaths to estimated total deaths)	Mortality rate, adult, female (per 1,000 female adults)	Mortality rate, adult, male (per 1,000 male adul ts)	Birth rate, crude (per 1,000 people)	Death rate, crude (per 1,000 people)	Contraceptive prevalence (% of women ages 15-49)	Mortality rate, infant (per 1,000 live births)	Life expectancy at birth, female (years)	Life expectancy at birth, total (years)	Life expectancy at birth, male (years)	Fertility rate, total (births per woman)	Survival to age 65, female (% of cohort)	Survival to age 65, male (% of cohort)	Wanted fertility rate (births per woman)	Female headed households (% of households with a female head)	Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)	Population ages 0-14 (% of total)	Population ages 15-64 (% of total)	Population ages 65 and above (% of total)	Age dependency ratio (% of working-age population)	Age dependency ratio, old (% of working-age population)	Age dependency ratio, young (% of working-age population)	Population growth (annual %)	Researchers in R&D (per million people)	Technicians in R&D (per million people)	Population, total	Population, female (% of total)	Completeness of birth registration, rural (%)	Completeness of birth registration, urban (%)	Completeness of birth registration (%)	Rural population	Rural population growth (annual %)	Rural population (% of total population)	Urban population growth (annual %)	Urban population	Urban population (% of total)	Unmet need for contraception (% of married women ages 15-49)	International tourism, number of arrivals	International tourism, number of departures	International tourism, receipts (current US$)	International tourism, receipts (% of total exports)	International tourism, receipts for passenger transport items (current US$)	International tourism, expenditures for passenger transport items (current US$)	International tourism, receipts for travel items (current US$)	International tourism, expenditures for travel items (current US$)	International tourism, expenditures (current US$)	International tourism, expenditures (% of total imports)	Merchandise trade (% of GDP)	Import volume index (2000 = 100)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46.067	NaN	NaN	87.2084	NaN	15.116	6.87	NaN	NaN	76.192	73.64229268	71.214	1.94	85.3961449	76.0109335	NaN	NaN	NaN	23.39533544	69.48689893	7.117765621	43.91202016	10.24332029	33.66869986	1.937405065	NaN	NaN	86827	51.46098474	NaN	NaN	NaN	45561.42633	2.724889045	52.4738	1.075085131	41265.57367	47.5262	NaN	647000	NaN	786000000	38.21337389	45000000	5000000	741000000	135000000	140000000	6.759271746	50.67963771	NaN	3
NaN	NaN	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.020519732	NaN	NaN	64246	NaN	NaN	NaN	NaN	4560.566556	2.611549034	7.0986	-1.292696019	59685.43344	92.9014	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	2667115	NaN	NaN	NaN	NaN	NaN	NaN	202.1932	NaN	NaN	414.7926	NaN	51.973	19.935	NaN	99.6	44.791	44.72134146	44.655	7.939	32.6264696	30.6127202	NaN	NaN	NaN	47.93835656	49.84973974	2.211903702	100.6028527	4.437141926	96.16571082	2.917137012	NaN	NaN	24500537	48.19709292	NaN	NaN	NaN	19579310.14	2.565045512	79.9138	4.119778693	4921226.863	20.0862	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
NaN	NaN	10605	319430	NaN	NaN	NaN	NaN	NaN	NaN	212.2374	NaN	NaN	391.986	NaN	50.987	20.691	NaN	123.4	45.213	43.71431707	42.287	6.925	38.5534089	32.3804061	NaN	NaN	NaN	47.63649901	49.87725928	2.486241714	100.4921711	4.98471999	95.50745108	2.66904622	NaN	NaN	13138265	50.72816317	NaN	NaN	NaN	6964935.871	0.800643351	53.0126	4.819814793	6173329.129	46.9874	NaN	52000	NaN	39000000	1.064207166	31000000	20500000	8000000	75000000	95500000	2.02565261	87.22780985	70.52649255	2
NaN	NaN	22332	5353	NaN	NaN	NaN	NaN	NaN	NaN	12.9258	NaN	NaN	64.737	NaN	18.721	6.195	NaN	25.9	76.23	73.19780488	70.31	2.409	86.8486338	76.4296651	NaN	NaN	NaN	31.16554586	61.86412769	6.970326446	61.64456484	11.26715385	50.37741099	-0.416954977	NaN	NaN	3079037	49.97755793	NaN	NaN	NaN	1828670.865	-1.365448866	59.391	0.986629043	1250366.135	40.609	NaN	184000	NaN	60230000	20.44675289	6230000	17000000	54000000	5000000	22000000	2.338186842	38.47499769	NaN	1
NaN	NaN	529	7	NaN	NaN	NaN	NaN	NaN	NaN	27.0564	NaN	NaN	96.0384	NaN	17.926	2.057	NaN	12	75.289	74.15704878	73.079	2.906	87.5912771	83.1238077	NaN	NaN	NaN	26.53078333	72.44864001	1.020576657	38.02881598	1.408689876	36.6201261	5.363093622	NaN	NaN	2755497	32.89147781	NaN	NaN	NaN	565725.5781	3.512877975	20.5308	5.846712236	2189771.422	79.4692	NaN	2991000	NaN	859000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	87.77823152	NaN	3
NaN	NaN	2270	142	NaN	NaN	NaN	NaN	NaN	NaN	67.9802	NaN	NaN	87.2048	NaN	19.462	7.827	NaN	19.1	77.047	73.28646341	69.705	2.596	84.8360742	71.3933196	NaN	NaN	NaN	28.39797412	61.88435358	9.717672302	61.59173397	15.70295517	45.88877879	1.168323675	703.4523823	170.3905078	36134642	51.00133968	NaN	NaN	NaN	3780912.131	-1.604579116	10.4634	1.497445401	32353729.87	89.5366	NaN	3012000	4592000	3352800000	10.71600835	327800000	1052000000	3025000000	4230000000	5282000000	13.60312345	19.34949553	119.3433679	2
NaN	NaN	310012	193150	NaN	NaN	NaN	NaN	NaN	NaN	49.9432	NaN	NaN	106.2002	NaN	13.654	8.561	NaN	28.8	73.386	69.98553659	66.747	1.762	79.700244	65.2958879	NaN	NaN	NaN	27.53037857	63.09333891	9.376282525	58.4953368	14.86097057	43.63436623	-0.824324324	NaN	NaN	3109101	52.90058216	NaN	NaN	NaN	1081270.709	-0.021167445	34.7776	-1.249957793	2027830.291	65.2224	NaN	32000	NaN	41000000	11.41330067	17000000	14000000	24000000	41000000	55000000	5.418719212	59.30106788	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.64772807	NaN	NaN	55745	NaN	NaN	NaN	NaN	7039.70158	-3.726147064	12.6284	2.448899863	48705.29842	87.3716	NaN	36000	39000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	94.33333333	NaN	NaN	NaN	53	14.4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.550099963	NaN	NaN	74190	NaN	NaN	NaN	NaN	49810.72086	3.097923784	67.1394	1.44005346	24379.27914	32.8606	NaN	234000	NaN	282000000	60.5280103	NaN	NaN	282000000	29000000	29000000	5.919306919	67.8991722	NaN	2
