Emigration rate of tertiary educated (% of total tertiary educated population)	Net migration	Refugee population by country or territory of asylum	Refugee population by country or territory of origin	International migrant stock, total	International migrant stock (% of population)	Prevalence of undernourishment (% of population)	Depth of hunger (kilocalories per person per day)	Consumption of iodized salt (% of households)	Vitamin A supplementation coverage rate (% of children ages 6-59 months)	Adolescent fertility rate (births per 1,000 women ages 15-19)	Completeness of infant death reporting (% of reported infant deaths to estimated infant deaths)	Completeness of total death reporting (% of reported total deaths to estimated total deaths)	Mortality rate, adult, female (per 1,000 female adults)	Mortality rate, adult, male (per 1,000 male adul ts)	Birth rate, crude (per 1,000 people)	Death rate, crude (per 1,000 people)	Contraceptive prevalence (% of women ages 15-49)	Mortality rate, infant (per 1,000 live births)	Life expectancy at birth, female (years)	Life expectancy at birth, total (years)	Life expectancy at birth, male (years)	Fertility rate, total (births per woman)	Survival to age 65, female (% of cohort)	Survival to age 65, male (% of cohort)	Wanted fertility rate (births per woman)	Female headed households (% of households with a female head)	Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)	Population ages 0-14 (% of total)	Population ages 15-64 (% of total)	Population ages 65 and above (% of total)	Age dependency ratio (% of working-age population)	Age dependency ratio, old (% of working-age population)	Age dependency ratio, young (% of working-age population)	Population growth (annual %)	Researchers in R&D (per million people)	Technicians in R&D (per million people)	Population, total	Population, female (% of total)	Completeness of birth registration, rural (%)	Completeness of birth registration, urban (%)	Completeness of birth registration (%)	Rural population	Rural population growth (annual %)	Rural population (% of total population)	Urban population growth (annual %)	Urban population	Urban population (% of total)	Unmet need for contraception (% of married women ages 15-49)	International tourism, number of arrivals	International tourism, number of departures	International tourism, receipts (current US$)	International tourism, receipts (% of total exports)	International tourism, receipts for passenger transport items (current US$)	International tourism, expenditures for passenger transport items (current US$)	International tourism, receipts for travel items (current US$)	International tourism, expenditures for travel items (current US$)	International tourism, expenditures (current US$)	International tourism, expenditures (% of total imports)	Merchandise trade (% of GDP)	Import volume index (2000 = 100)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.865	7.008	NaN	NaN	76.033	73.50531707	71.098	2.149	NaN	NaN	NaN	NaN	NaN	23.7832773	69.08725128	7.129471421	44.74450517	10.31951813	34.42498704	6.08881843	NaN	NaN	72573	50.49743703	NaN	NaN	NaN	36733.40453	6.70633922	50.6158	5.459829679	35839.59547	49.3842	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	51.51211685	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.903166358	NaN	NaN	60670	NaN	NaN	NaN	NaN	3590.81462	8.519282377	5.9186	4.679992031	57079.18538	94.0814	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	32132	3374576	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52.781	21.32	NaN	115.5	43.28	43.24209756	43.206	8.034	NaN	NaN	NaN	NaN	NaN	47.22033874	50.54028241	2.239378848	97.86197311	4.430879174	93.43109394	3.391208223	NaN	NaN	21025450	48.15582238	NaN	NaN	NaN	17058494.25	3.043531788	81.1326	4.597992044	3966955.753	18.8674	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
NaN	NaN	10878	323831	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52.039	22.934	NaN	136.4	43.402	41.47819512	39.646	7.093	NaN	NaN	NaN	NaN	NaN	47.62993843	49.81875702	2.551304544	100.7276094	5.121172619	95.60643677	3.297242646	NaN	NaN	11371750	50.78581126	NaN	NaN	NaN	6680857.638	0.994081986	58.7496	6.671817151	4690892.362	41.2504	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	98.85348778	51.19106194	2
NaN	NaN	3000	4744	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.955	6.24	NaN	32.3	74.469	71.487	68.647	2.784	NaN	NaN	NaN	NaN	NaN	32.67703473	61.53063781	5.792327462	62.52066216	9.413728945	53.10693321	-1.296467695	NaN	NaN	3224901	49.22856618	NaN	NaN	NaN	2002089.489	-2.093192616	62.0822	0.021859313	1222811.511	37.9178	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	56.54884602	NaN	1
NaN	NaN	433	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.428	2.474	NaN	15.9	74.223	72.93534146	71.709	3.784	NaN	NaN	NaN	NaN	NaN	28.27685444	70.69717921	1.025966356	41.44835922	1.451212577	39.99714664	5.204957642	NaN	NaN	2121704	33.9184911	NaN	NaN	NaN	453794.2949	5.891800596	21.3882	5.018899255	1667909.705	78.6118	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	83.79921686	NaN	3
NaN	NaN	11636	98	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.064	8.07	NaN	22.1	75.857	72.1717561	68.662	2.875	NaN	NaN	NaN	NaN	NaN	29.76007263	60.98361564	9.256311732	63.97847021	15.17835838	48.80011183	1.309256048	NaN	NaN	33982035	50.95749713	NaN	NaN	NaN	4082601.685	-1.432890974	12.014	1.689584226	29899433.32	87.986	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.63001053	65.08762427	2
NaN	NaN	334000	200116	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.274	8.531	NaN	36.1	71.488	68.0127561	64.703	2.295	NaN	NaN	NaN	NaN	NaN	30.12924682	62.70107196	7.169681219	59.48690649	11.43470278	48.0522037	-2.333341886	NaN	NaN	3370373	52.1438725	NaN	NaN	NaN	1125616.952	-1.513157498	33.3974	-2.742098954	2244756.048	66.6026	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.295793172	NaN	NaN	50801	NaN	NaN	NaN	NaN	8358.186928	-2.836210547	16.4528	3.338226271	42442.81307	83.5472	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.225758342	NaN	NaN	65238	NaN	NaN	NaN	NaN	42700.22814	2.674412751	65.453	1.38121472	22537.77186	34.547	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	84.33051003	NaN	2
