Emigration rate of tertiary educated (% of total tertiary educated population)	Net migration	Refugee population by country or territory of asylum	Refugee population by country or territory of origin	International migrant stock, total	International migrant stock (% of population)	Prevalence of undernourishment (% of population)	Depth of hunger (kilocalories per person per day)	Consumption of iodized salt (% of households)	Vitamin A supplementation coverage rate (% of children ages 6-59 months)	Adolescent fertility rate (births per 1,000 women ages 15-19)	Completeness of infant death reporting (% of reported infant deaths to estimated infant deaths)	Completeness of total death reporting (% of reported total deaths to estimated total deaths)	Mortality rate, adult, female (per 1,000 female adults)	Mortality rate, adult, male (per 1,000 male adul ts)	Birth rate, crude (per 1,000 people)	Death rate, crude (per 1,000 people)	Contraceptive prevalence (% of women ages 15-49)	Mortality rate, infant (per 1,000 live births)	Life expectancy at birth, female (years)	Life expectancy at birth, total (years)	Life expectancy at birth, male (years)	Fertility rate, total (births per woman)	Survival to age 65, female (% of cohort)	Survival to age 65, male (% of cohort)	Wanted fertility rate (births per woman)	Female headed households (% of households with a female head)	Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)	Population ages 0-14 (% of total)	Population ages 15-64 (% of total)	Population ages 65 and above (% of total)	Age dependency ratio (% of working-age population)	Age dependency ratio, old (% of working-age population)	Age dependency ratio, young (% of working-age population)	Population growth (annual %)	Researchers in R&D (per million people)	Technicians in R&D (per million people)	Population, total	Population, female (% of total)	Completeness of birth registration, rural (%)	Completeness of birth registration, urban (%)	Completeness of birth registration (%)	Rural population	Rural population growth (annual %)	Rural population (% of total population)	Urban population growth (annual %)	Urban population	Urban population (% of total)	Unmet need for contraception (% of married women ages 15-49)	International tourism, number of arrivals	International tourism, number of departures	International tourism, receipts (current US$)	International tourism, receipts (% of total exports)	International tourism, receipts for passenger transport items (current US$)	International tourism, expenditures for passenger transport items (current US$)	International tourism, receipts for travel items (current US$)	International tourism, expenditures for travel items (current US$)	International tourism, expenditures (current US$)	International tourism, expenditures (% of total imports)	Merchandise trade (% of GDP)	Import volume index (2000 = 100)	Income
NaN	NaN	NaN	324	NaN	NaN	NaN	NaN	NaN	87	21.6088	NaN	NaN	186.0952	NaN	19.795	6.914	69	41	68.812	64.88243902	61.14	2.156	66.6937714	54.0127608	NaN	NaN	NaN	31.46769828	64.69607597	3.83622575	54.56887994	5.929611173	48.63926877	1.064890333	NaN	NaN	2485177	50.5298013	NaN	NaN	NaN	985382.6212	-1.603328126	39.6504	2.857510247	1499794.379	60.3496	NaN	201000	NaN	154000000	18.43869732	11000000	6000000	143000000	138000000	144000000	13.28413284	88.81730062	124.2309443	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.415891082	NaN	NaN	69105	NaN	NaN	NaN	NaN	6546.86949	-1.689179038	9.4738	-0.281696258	62558.13051	90.5262	NaN	452000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	107.5846286	3
NaN	NaN	311	111	NaN	NaN	NaN	NaN	53.7	50	170.9484	NaN	NaN	425.5578	NaN	42.838	16.574	NaN	102.7	49.232	47.66212195	46.167	5.479	42.3107717	36.3965906	4.9	26.4	41	44.18279452	52.62116686	3.19603862	90.03759507	6.073674931	83.96392014	2.677314141	NaN	NaN	19721009	51.77558124	NaN	NaN	NaN	13875978.03	2.421535203	70.3614	3.287160863	5845030.973	29.6386	18.4	441000	NaN	106000000	7.864350103	8000000	1000000	98000000	140000000	141000000	6.345722935	59.96325912	143.7221427	0
NaN	NaN	475	30525	NaN	NaN	NaN	NaN	NaN	NaN	86.2422	NaN	NaN	232.7914	NaN	36.478	10.328	NaN	77.3	58.753	57.13292683	55.59	5.011	57.4180608	49.0452163	NaN	NaN	NaN	41.77708474	55.54727427	2.675640987	80.02683536	4.816871794	75.20996356	2.874719984	NaN	NaN	2882003	49.89356353	NaN	NaN	NaN	1723224.526	2.753039847	59.7926	3.055945296	1158778.474	40.2074	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	55.04564085	114.9062809	0
NaN	NaN	NaN	61	NaN	NaN	NaN	NaN	NaN	NaN	36.2686	NaN	NaN	112.7862	NaN	15.8	7	NaN	14	75.63666667	72.12130081	68.77333333	1.87	80.7910565	65.9842689	NaN	NaN	NaN	25.70813412	68.36973915	5.922126729	46.26353887	8.66191213	37.60162674	1.036997678	NaN	NaN	1222811	50.4542013	NaN	NaN	NaN	704632.6106	1.207210485	57.624	0.8060017	518178.3894	42.376	NaN	702000	161000	960000000	30.20619078	263000000	20000000	697000000	216000000	236000000	7.594870663	75.96442626	133.158125	2
NaN	NaN	3202	59	NaN	NaN	NaN	NaN	NaN	92	151.1312	NaN	NaN	497.7878	NaN	43.498	16.261	NaN	86.2	47.345	47.30863415	47.274	6.025	46.8513666	37.8699326	NaN	NaN	NaN	46.08831905	50.86203355	3.049647405	96.61030641	5.995921107	90.6143853	2.60121755	NaN	NaN	12144945	50.23943707	NaN	NaN	NaN	10338214.4	2.496953029	85.1236	3.19992484	1806730.598	14.8764	NaN	424000	NaN	66000000	10.09920777	12000000	13000000	54000000	57000000	70000000	7.007297352	54.07459917	141.3524138	0
NaN	NaN	7424	239	NaN	NaN	NaN	NaN	NaN	NaN	14.9948	NaN	NaN	89.5972	NaN	22.832	4.616	NaN	8	74.909	72.65790244	70.514	2.926	83.2429599	73.1188112	NaN	NaN	NaN	32.64837829	63.25286505	4.098756653	58.0956055	6.479954149	51.61565135	2.19819412	NaN	NaN	25060184	49.14836024	NaN	NaN	NaN	8686912.302	-0.980588173	34.6642	3.926655083	16373271.7	65.3358	NaN	10577000	32201000	6799000000	5.73382951	898000000	555000000	5901000000	2846000000	3401000000	3.512689665	170.6000204	105.661526	2
NaN	NaN	19800	1293	NaN	NaN	NaN	NaN	NaN	93	80.2588	NaN	NaN	386.6394	NaN	29.614	10.241	NaN	47.6	58.084	57.38895122	56.727	3.76	53.5424993	46.9348772	NaN	NaN	NaN	39.56339153	57.03838585	3.398222615	75.32052933	5.957781877	69.36274745	1.75475087	NaN	NaN	2008342	50.5724119	NaN	NaN	NaN	1326007.806	0.949219452	66.025	3.338977666	682334.1945	33.975	NaN	695000	NaN	383000000	22.84536696	50000000	NaN	333000000	101000000	101000000	5.044077955	65.7021231	124.6909281	2
NaN	NaN	328	728	NaN	NaN	NaN	NaN	NaN	95	212.2536	NaN	NaN	302.0362	NaN	51.147	15.903	NaN	86.7	50.812	50.38226829	49.973	7.381	43.7693289	39.8366259	NaN	NaN	NaN	48.73977602	49.15899247	2.101231507	103.4215816	4.274358365	99.14722326	3.460144388	8.251967558	9.489762692	12118322	49.8486094	NaN	NaN	NaN	10117150.78	3.329430109	83.4864	4.123613618	2001171.222	16.5136	NaN	55000	NaN	27500000	6.624367376	500000	17000000	27000000	22000000	39000000	5.726892702	35.65913701	148.7254268	0
NaN	NaN	9171	24428	NaN	NaN	NaN	NaN	97.3	27	125.4526	NaN	NaN	399.4252	NaN	41.367	16.602	12.6	102.1	48.699	47.91636585	47.171	5.772	40.8290972	37.8120509	5.3	16.6	25.2	42.89192123	53.84031	3.267768765	85.73444319	6.069372121	79.66507107	2.460873981	NaN	NaN	133067097	49.48434886	NaN	NaN	NaN	73998080.37	1.24583477	55.6096	4.004133404	59069016.63	44.3904	16.9	924000	NaN	58000000	0.211299221	28000000	281000000	30000000	1795000000	2076000000	9.493806737	51.56095905	121.7851915	1
