Emigration rate of tertiary educated (% of total tertiary educated population)	Net migration	Refugee population by country or territory of asylum	Refugee population by country or territory of origin	International migrant stock, total	International migrant stock (% of population)	Prevalence of undernourishment (% of population)	Depth of hunger (kilocalories per person per day)	Consumption of iodized salt (% of households)	Vitamin A supplementation coverage rate (% of children ages 6-59 months)	Adolescent fertility rate (births per 1,000 women ages 15-19)	Completeness of infant death reporting (% of reported infant deaths to estimated infant deaths)	Completeness of total death reporting (% of reported total deaths to estimated total deaths)	Mortality rate, adult, female (per 1,000 female adults)	Mortality rate, adult, male (per 1,000 male adul ts)	Birth rate, crude (per 1,000 people)	Death rate, crude (per 1,000 people)	Contraceptive prevalence (% of women ages 15-49)	Mortality rate, infant (per 1,000 live births)	Life expectancy at birth, female (years)	Life expectancy at birth, total (years)	Life expectancy at birth, male (years)	Fertility rate, total (births per woman)	Survival to age 65, female (% of cohort)	Survival to age 65, male (% of cohort)	Wanted fertility rate (births per woman)	Female headed households (% of households with a female head)	Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)	Population ages 0-14 (% of total)	Population ages 15-64 (% of total)	Population ages 65 and above (% of total)	Age dependency ratio (% of working-age population)	Age dependency ratio, old (% of working-age population)	Age dependency ratio, young (% of working-age population)	Population growth (annual %)	Researchers in R&D (per million people)	Technicians in R&D (per million people)	Population, total	Population, female (% of total)	Completeness of birth registration, rural (%)	Completeness of birth registration, urban (%)	Completeness of birth registration (%)	Rural population	Rural population growth (annual %)	Rural population (% of total population)	Urban population growth (annual %)	Urban population	Urban population (% of total)	Unmet need for contraception (% of married women ages 15-49)	International tourism, number of arrivals	International tourism, number of departures	International tourism, receipts (current US$)	International tourism, receipts (% of total exports)	International tourism, receipts for passenger transport items (current US$)	International tourism, expenditures for passenger transport items (current US$)	International tourism, receipts for travel items (current US$)	International tourism, expenditures for travel items (current US$)	International tourism, expenditures (current US$)	International tourism, expenditures (% of total imports)	Merchandise trade (% of GDP)	Import volume index (2000 = 100)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32.0066	NaN	NaN	78.7588	NaN	11.841	7.235	NaN	NaN	77.142	74.68192683	72.339	1.726	86.8634785	78.1053292	NaN	NaN	NaN	20.13419003	70.79187278	9.073937188	41.25915316	12.81776683	28.44138633	1.240534428	NaN	NaN	105526	52.61367298	NaN	NaN	NaN	56238.81539	1.174132243	53.2938	1.316356101	49287.18461	46.7062	NaN	827000	NaN	1343800000	25.35773735	800000	22000000	1343000000	258000000	280000000	5.34111411	NaN	70.27768279	3
NaN	NaN	NaN	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.4	2.8	NaN	3	NaN	NaN	NaN	1.25	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.447877605	NaN	NaN	82577	NaN	NaN	NaN	NaN	9241.852686	5.977160514	11.1918	0.891372396	73335.14731	88.8082	NaN	2059000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	37	2833128	NaN	NaN	NaN	NaN	NaN	96	114.8646	NaN	NaN	383.0394	NaN	44.803	16.607	22.8	78.1	47.683	47.53856098	47.401	6.559	35.5837475	33.556126	NaN	NaN	NaN	47.06713255	50.71441533	2.218452114	97.18259462	4.374401439	92.80819318	2.831299639	NaN	NaN	32517656	48.25248128	NaN	NaN	NaN	25137383.76	2.441491691	77.3038	3.994961219	7380272.241	22.6962	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29.81438618	154.902068	0
NaN	NaN	12710	171393	NaN	NaN	41	320	NaN	82	166.5034	NaN	NaN	346.2848	NaN	43.261	15.068	NaN	101.6	51.3	49.84741463	48.464	5.736	43.6182403	36.9054867	NaN	NaN	NaN	47.11472426	50.41475302	2.470522726	98.35463632	4.900396369	93.45423995	2.882927374	NaN	NaN	18037964	50.50787883	NaN	NaN	NaN	7827646.63	0.859089508	43.3954	4.462704179	10210317.37	56.6046	NaN	294000	NaN	293000000	0.456078041	8000000	193000000	285000000	254000000	447000000	1.036605129	100.8529118	515.0355342	2
NaN	NaN	65	15006	NaN	NaN	5	160	NaN	NaN	17.2674	29.5640327	84.87381703	47.356	NaN	12.886	5.986	NaN	15.1	79.844	76.6207561	73.551	1.59	90.1458518	81.8166429	NaN	NaN	NaN	24.05079525	66.76170868	9.187496071	49.7864599	13.76162512	36.02483478	0.369450443	146.7908595	37.71927867	3181397	49.94691017	NaN	NaN	NaN	1587046.256	-1.818713076	49.8852	2.596203466	1594350.744	50.1148	NaN	1420000	3716000	1849000000	48.23478207	135000000	89000000	1714000000	1555000000	1644000000	22.56399788	50.93381504	305.270329	1
NaN	NaN	209	256	NaN	NaN	5	140	NaN	NaN	26.0368	NaN	NaN	68.146	NaN	13.843	1.357	NaN	6.7	77.152	76.22134146	75.335	1.839	88.4444893	85.8564847	NaN	NaN	NaN	17.55201138	81.9469109	0.50107772	22.03022531	0.611466271	21.41875904	13.81924091	NaN	NaN	6206623	30.62485519	NaN	NaN	NaN	1034644.054	11.70615184	16.67	14.24737318	5171978.946	83.33	NaN	NaN	NaN	7162000000	NaN	NaN	NaN	NaN	NaN	13288000000	NaN	132.19615	394.7741389	3
NaN	NaN	2845	1047	NaN	NaN	5	130	NaN	NaN	56.3564	NaN	NaN	76.106	NaN	17.385	7.716	NaN	13.9	79.155	75.29253659	71.614	2.24	87.0656846	74.297952	NaN	33.8	NaN	25.40543079	64.19152799	10.40304122	55.78379754	16.20625268	39.57754487	0.875629394	1045.542842	207.3812308	39714298	51.08434997	NaN	NaN	NaN	3192155.845	-1.502010424	8.0378	1.086154641	36522142.16	91.9622	NaN	4700000	4614000	5296000000	6.444816985	650000000	1401000000	4646000000	4561000000	5962000000	8.762988499	39.02329443	178.207607	2
NaN	NaN	3953	16336	NaN	NaN	21	200	NaN	NaN	35.2076	36.40856672	100	80.4256	NaN	15.243	8.688	NaN	18	76.837	73.49595122	70.314	1.734	84.6584846	72.1002416	NaN	NaN	NaN	20.52060921	67.85249514	11.62689565	47.3785154	17.1355462	30.2429692	0.159460015	NaN	NaN	3079087	53.4300612	NaN	NaN	NaN	1104985.794	0.22524399	35.8868	0.122656896	1974101.206	64.1132	NaN	558000	516000	377000000	21.45712913	46000000	59000000	331000000	324000000	383000000	8.065413216	47.01844975	304.6644022	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.6551955	NaN	NaN	66217	NaN	NaN	NaN	NaN	5098.709	-2.653241349	7.7	2.023152238	61118.291	92.3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	82.70099998	2
NaN	NaN	NaN	26	NaN	NaN	21	230	NaN	NaN	NaN	NaN	NaN	287.6666667	NaN	NaN	NaN	NaN	7.900001	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.094816972	NaN	NaN	86881	NaN	NaN	NaN	NaN	60658.22906	1.310180714	69.8176	0.598410103	26222.77094	30.1824	NaN	266000	434000	334000000	54.0867415	NaN	NaN	334000000	58000000	58000000	6.150001361	59.08439933	110.9588057	2
