

1-Month Net Change
Series Id:    SMS01000000600000001

Seasonally Adjusted
State:        Alabama
Area:         Statewide
Supersector:  Goods Producing
Industry:     Goods Producing
Data Type:    All Employees, In Thousands


Series Id,Year,Period,Value
SMS01000000600000001,2012,M06,0.1
SMS01000000600000001,2012,M07,1.1
SMS01000000600000001,2012,M08,0.5
SMS01000000600000001,2012,M09,0.3
SMS01000000600000001,2012,M10,1.5
SMS01000000600000001,2012,M11,0.1
SMS01000000600000001,2012,M12,0.0
SMS01000000600000001,2013,M01,1.2
SMS01000000600000001,2013,M02,0.4
SMS01000000600000001,2013,M03,1.2
SMS01000000600000001,2013,M04,0.1
SMS01000000600000001,2013,M05,-0.8
SMS01000000600000001,2013,M06,0.5
SMS01000000600000001,2013,M07,-0.8
SMS01000000600000001,2013,M08,0.6
SMS01000000600000001,2013,M09,-0.2
SMS01000000600000001,2013,M10,0.3
SMS01000000600000001,2013,M11,0.0
SMS01000000600000001,2013,M12,0.8
SMS01000000600000001,2014,M01,-0.6
SMS01000000600000001,2014,M02,0.5
SMS01000000600000001,2014,M03,0.6
SMS01000000600000001,2014,M04,0.5
SMS01000000600000001,2014,M05,1.0
SMS01000000600000001,2014,M06,0.3
SMS01000000600000001,2014,M07,0.7
SMS01000000600000001,2014,M08,0.8
SMS01000000600000001,2014,M09,1.1
SMS01000000600000001,2014,M10,1.4
SMS01000000600000001,2014,M11,0.0
SMS01000000600000001,2014,M12,-0.2
SMS01000000600000001,2015,M01,0.1
SMS01000000600000001,2015,M02,1.0
SMS01000000600000001,2015,M03,-1.2
SMS01000000600000001,2015,M04,0.4
SMS01000000600000001,2015,M05,1.3
SMS01000000600000001,2015,M06,0.8
SMS01000000600000001,2015,M07,-0.4
SMS01000000600000001,2015,M08,1.0
SMS01000000600000001,2015,M09,0.7
SMS01000000600000001,2015,M10,0.8
SMS01000000600000001,2015,M11,0.3
SMS01000000600000001,2015,M12,0.2
SMS01000000600000001,2016,M01,0.8
SMS01000000600000001,2016,M02,-0.7
SMS01000000600000001,2016,M03,-0.1
SMS01000000600000001,2016,M04,1.1
